i	j	k	LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          
102	0	0	1.43314        1.43079        1.43314        1.43079        0              0              
103	0	0	1.45106        1.43477        1.45106        1.43477        0              0              
104	0	0	1.44296        1.43885        1.44296        1.43885        0              0              
105	0	0	1.45758        1.44307        1.45758        1.44307        0              0              
106	0	0	1.45882        1.44714        1.45882        1.44714        0              0              
107	0	0	1.4761         1.45135        1.4761         1.45135        0              0              
108	0	0	1.47522        1.45583        1.47522        1.45583        0              0              
109	0	0	1.47021        1.4603         1.47021        1.4603         0              0              
110	0	0	1.47275        1.46478        1.47275        1.46478        0              0              
111	0	0	1.49392        1.46916        1.49392        1.46916        0              0              
112	0	0	1.48566        1.47353        1.48566        1.47353        0              0              
113	0	0	1.48366        1.47783        1.48366        1.47783        0              0              
114	0	0	1.49698        1.48235        1.49698        1.48235        0              0              
115	0	0	1.50389        1.48728        1.50389        1.48728        0              0              
116	0	0	1.50619        1.4923         1.50619        1.4923         0              0              
117	0	0	1.50594        1.49722        1.50594        1.49722        0              0              
118	0	0	1.50986        1.50185        1.50986        1.50185        0              0              
119	0	0	1.51942        1.50652        1.51942        1.50652        0              0              
120	0	0	1.52751        1.51151        1.52751        1.51151        0              0              
121	0	0	1.54108        1.51648        1.54108        1.51648        0              0              
122	0	0	1.5393         1.52141        1.5393         1.52141        0              0              
123	0	0	1.53648        1.52631        1.53648        1.52631        0              0              
124	0	0	1.55554        1.53125        1.55554        1.53125        0              0              
125	0	0	1.55197        1.53636        1.55197        1.53636        0              0              
126	0	0	1.55235        1.54169        1.55235        1.54169        0              0              
127	0	0	1.56037        1.54701        1.56037        1.54701        0              0              
128	0	0	1.57895        1.55216        1.57895        1.55216        0              0              
129	0	0	1.5781         1.55748        1.5781         1.55748        0              0              
130	0	0	1.57373        1.56296        1.57373        1.56296        0              0              
131	0	0	1.58777        1.56852        1.58777        1.56852        0              0              
132	0	0	1.58994        1.57421        1.58994        1.57421        0              0              
133	0	0	1.60582        1.57996        1.60582        1.57996        0              0              
134	0	0	1.6063         1.58565        1.6063         1.58565        0              0              
135	0	0	1.61326        1.59129        1.61326        1.59129        0              0              
136	0	0	1.60323        1.59737        1.60323        1.59737        0              0              
137	0	0	1.62891        1.6037         1.62891        1.6037         0              0              
138	0	0	1.63453        1.61004        1.63453        1.61004        0              0              
139	0	0	1.6325         1.61636        1.6325         1.61636        0              0              
140	0	0	1.63994        1.62259        1.63994        1.62259        0              0              
141	0	0	1.65744        1.62906        1.65744        1.62906        0              0              
142	0	0	1.66216        1.63571        1.66216        1.63571        0              0              
143	0	0	1.67944        1.64213        1.67944        1.64213        0              0              
144	0	0	1.67201        1.64843        1.67201        1.64843        0              0              
145	0	0	1.69314        1.65505        1.69314        1.65505        0              0              
146	0	0	1.68848        1.66186        1.68848        1.66186        0              0              
147	0	0	1.71018        1.66879        1.71018        1.66879        0              0              
148	0	0	1.70778        1.67597        1.70778        1.67597        0              0              
149	0	0	1.71989        1.68346        1.71989        1.68346        0              0              
150	0	0	1.72538        1.6911         1.72538        1.6911         0              0              
151	0	0	1.75672        1.69854        1.75672        1.69854        0              0              
152	0	0	1.74809        1.70613        1.74809        1.70613        0              0              
153	0	0	1.76085        1.71392        1.76085        1.71392        0              0              
154	0	0	1.77087        1.72167        1.77087        1.72167        0              0              
155	0	0	1.76931        1.72916        1.76931        1.72916        0              0              
156	0	0	1.79605        1.73703        1.79605        1.73703        0              0              
157	0	0	1.82131        1.74584        1.82131        1.74584        0              0              
158	0	0	1.81511        1.75477        1.81511        1.75477        0              0              
159	0	0	1.84119        1.76388        1.84119        1.76388        0              0              
160	0	0	1.84008        1.77309        1.84008        1.77309        0              0              
161	0	0	1.86571        1.78259        1.86571        1.78259        0              0              
162	0	0	1.8436         1.79278        1.8436         1.79278        0              0              
163	0	0	1.85975        1.80304        1.85975        1.80304        0              0              
164	0	0	1.89617        1.81344        1.89617        1.81344        0              0              
165	0	0	1.8971         1.82369        1.8971         1.82369        0              0              
166	0	0	1.919          1.83414        1.919          1.83414        0              0              
167	0	0	1.943          1.84525        1.943          1.84525        0              0              
168	0	0	1.94997        1.85675        1.94997        1.85675        0              0              
169	0	0	1.96972        1.86824        1.96972        1.86824        0              0              
170	0	0	2.00574        1.88036        2.00574        1.88036        0              0              
171	0	0	2.01803        1.89302        2.01803        1.89302        0              0              
172	0	0	2.05953        1.90613        2.05953        1.90613        0              0              
173	0	0	2.05923        1.92015        2.05923        1.92015        0              0              
174	0	0	2.09486        1.93497        2.09486        1.93497        0              0              
175	0	0	2.09799        1.95029        2.09799        1.95029        0              0              
176	0	0	2.11573        1.96597        2.11573        1.96597        0              0              
177	0	0	2.18693        1.98248        2.18693        1.98248        0              0              
178	0	0	2.23069        2.00094        2.23069        2.00094        0              0              
179	0	0	2.23308        2.01986        2.23308        2.01986        0              0              
180	0	0	2.31402        2.04015        2.31402        2.04015        0              0              
181	0	0	2.38556        2.06357        2.38556        2.06357        0              0              
182	0	0	2.46427        2.08963        2.46427        2.08963        0              0              
183	0	0	2.5851         2.11856        2.5851         2.11856        0              0              
184	0	0	2.56797        2.15073        2.56797        2.15073        0              0              
185	0	0	2.75707        2.18641        2.75707        2.18641        0              0              
186	0	0	2.79807        2.2284         2.79807        2.2284         0              0              
187	0	0	3.10135        2.27884        3.10135        2.27884        0              0              
188	0	0	3.3369         2.34539        3.3369         2.34539        0              0              
189	0	0	3.77486        2.43532        3.77486        2.43532        0              0              
190	0	0	4.64265        2.58985        4.64265        2.58985        0              0              
191	0	0	6.8128         2.94141        6.8128         2.94141        0              0              
192	0	0	16.432         3.05087        16.432         3.05087        0              0              
193	0	0	1.95518        1.95512        1.95518        1.95512        0              0              
194	0	0	1.96679        1.96613        1.96679        1.96613        0              0              
195	0	0	1.97701        1.97724        1.97701        1.97724        0              0              
196	0	0	1.9892         1.98854        1.9892         1.98854        0              0              
197	0	0	1.99965        1.99966        1.99965        1.99966        0              0              
198	0	0	2.01475        2.01156        2.01475        2.01156        0              0              
199	0	0	2.02302        2.0235         2.02302        2.0235         0              0              
200	0	0	2.03686        2.03556        2.03686        2.03556        0              0              
201	0	0	2.05096        2.04831        2.05096        2.04831        0              0              
202	0	0	2.06523        2.06127        2.06523        2.06127        0              0              
203	0	0	2.07562        2.07513        2.07562        2.07513        0              0              
204	0	0	2.09138        2.08954        2.09138        2.08954        0              0              
205	0	0	2.1035         2.10387        2.1035         2.10387        0              0              
206	0	0	2.11651        2.11809        2.11651        2.11809        0              0              
207	0	0	2.13618        2.13226        2.13618        2.13226        0              0              
208	0	0	2.14991        2.14646        2.14991        2.14646        0              0              
209	0	0	2.16047        2.16152        2.16047        2.16152        0              0              
210	0	0	2.17814        2.17746        2.17814        2.17746        0              0              
211	0	0	2.19195        2.19345        2.19195        2.19345        0              0              
212	0	0	2.21212        2.20981        2.21212        2.20981        0              0              
213	0	0	2.22906        2.22637        2.22906        2.22637        0              0              
214	0	0	2.2426         2.24273        2.2426         2.24273        0              0              
215	0	0	2.26052        2.25968        2.26052        2.25968        0              0              
216	0	0	2.28102        2.27745        2.28102        2.27745        0              0              
217	0	0	2.29656        2.29552        2.29656        2.29552        0              0              
218	0	0	2.31668        2.31403        2.31668        2.31403        0              0              
219	0	0	2.33443        2.33303        2.33443        2.33303        0              0              
220	0	0	2.35908        2.35305        2.35908        2.35305        0              0              
221	0	0	2.37474        2.37277        2.37474        2.37277        0              0              
222	0	0	2.39527        2.39254        2.39527        2.39254        0              0              
223	0	0	2.41528        2.41364        2.41528        2.41364        0              0              
224	0	0	2.44058        2.43525        2.44058        2.43525        0              0              
225	0	0	2.46266        2.45788        2.46266        2.45788        0              0              
226	0	0	2.486          2.48162        2.486          2.48162        0              0              
227	0	0	2.50751        2.50632        2.50751        2.50632        0              0              
228	0	0	2.53357        2.53188        2.53357        2.53188        0              0              
229	0	0	2.56194        2.55826        2.56194        2.55826        0              0              
230	0	0	2.59264        2.58575        2.59264        2.58575        0              0              
231	0	0	2.61922        2.61391        2.61922        2.61391        0              0              
232	0	0	2.64588        2.64206        2.64588        2.64206        0              0              
233	0	0	2.67655        2.67099        2.67655        2.67099        0              0              
234	0	0	2.70514        2.70126        2.70514        2.70126        0              0              
235	0	0	2.73848        2.73322        2.73848        2.73322        0              0              
236	0	0	8.90783        2.889          2.77195        2.76775        168.219        168.219        
237	0	0	2.80961        2.80291        2.80961        2.80291        0              0              
238	0	0	2.84573        2.83909        2.84573        2.83909        0              0              
239	0	0	2.88065        2.87823        2.88065        2.87823        0              0              
240	0	0	2.92708        2.91877        2.92708        2.91877        0              0              
241	0	0	2.96654        2.9592         2.96654        2.9592         0              0              
242	0	0	3.00713        3.00181        3.00713        3.00181        0              0              
243	0	0	3.05483        3.04776        3.05483        3.04776        0              0              
244	0	0	3.1029         3.09496        3.1029         3.09496        0              0              
245	0	0	3.14904        3.14407        3.14904        3.14407        0              0              
246	0	0	3.21209        3.19696        3.21209        3.19696        0              0              
247	0	0	3.2648         3.25374        3.2648         3.25374        0              0              
248	0	0	3.3186         3.31424        3.3186         3.31424        0              0              
249	0	0	3.3935         3.37797        3.3935         3.37797        0              0              
250	0	0	3.44307        3.44512        3.44307        3.44512        0              0              
251	0	0	3.54117        3.51843        3.54117        3.51843        0              0              
252	0	0	3.60698        3.59638        3.60698        3.59638        0              0              
253	0	0	3.70636        3.67863        3.70636        3.67863        0              0              
254	0	0	3.78698        3.76813        3.78698        3.76813        0              0              
255	0	0	3.90198        3.86579        3.90198        3.86579        0              0              
256	0	0	4.01003        3.97346        4.01003        3.97346        0              0              
257	0	0	4.11899        4.09354        4.11899        4.09354        0              0              
258	0	0	4.27338        4.2238         4.27338        4.2238         0              0              
259	0	0	4.42958        4.36654        4.42958        4.36654        0              0              
260	0	0	4.59636        4.52957        4.59636        4.52957        0              0              
261	0	0	4.80309        4.71562        4.80309        4.71562        0              0              
262	0	0	5.04772        4.93271        5.04772        4.93271        0              0              
263	0	0	5.38548        5.19681        5.38548        5.19681        0              0              
264	0	0	5.76848        5.53026        5.76848        5.53026        0              0              
265	0	0	6.5022         5.98783        6.5022         5.98783        0              0              
266	0	0	8.70139        6.89741        8.70139        6.89741        0              0              
