i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            
109	0	0	1.9452e-09     1.9452e-09     13             0              0              
110	0	0	1.87617e-09    1.85672e-09    13             0              0              
111	0	0	1.91841e-09    1.84581e-09    13             0              0              
112	0	0	1.85644e-09    1.85644e-09    13             0              0              
113	0	0	1.80857e-09    1.80857e-09    13             0              0              
114	0	0	2.02269e-09    2.02269e-09    13             0              0              
115	0	0	2.06499e-09    2.06499e-09    13             0              0              
116	0	0	2.0858e-09     2.0858e-09     13             0              0              
117	0	0	1.98967e-09    1.98967e-09    13             0              0              
118	0	0	1.84329e-09    1.84329e-09    13             0              0              
119	0	0	2.00245e-09    2.00245e-09    13             0              0              
120	0	0	2.01488e-09    2.01488e-09    13             0              0              
121	0	0	1.89579e-09    1.89579e-09    13             0              0              
122	0	0	1.96868e-09    1.96868e-09    13             0              0              
123	0	0	1.88272e-09    1.88272e-09    13             0              0              
124	0	0	1.95294e-09    1.95294e-09    13             0              0              
125	0	0	1.96578e-09    1.96578e-09    13             0              0              
126	0	0	2.06387e-09    2.05475e-09    13             0              0              
127	0	0	2.02473e-09    1.94896e-09    13             0              0              
128	0	0	1.90763e-09    1.90763e-09    13             0              0              
129	0	0	2.04208e-09    2.04208e-09    13             0              0              
130	0	0	1.97496e-09    1.97496e-09    13             0              0              
131	0	0	2.14656e-09    2.14656e-09    13             0              0              
132	0	0	1.99525e-09    1.99525e-09    13             0              0              
133	0	0	2.12076e-09    2.12076e-09    13             0              0              
134	0	0	1.89785e-09    1.89785e-09    13             0              0              
135	0	0	2.0685e-09     2.0685e-09     13             0              0              
136	0	0	2.23332e-09    2.23332e-09    13             0              0              
137	0	0	2.18593e-09    2.18593e-09    13             0              0              
138	0	0	2.13521e-09    2.13521e-09    13             0              0              
139	0	0	2.15086e-09    2.15086e-09    13             0              0              
140	0	0	2.07132e-09    2.07132e-09    13             0              0              
141	0	0	2.2038e-09     2.2038e-09     13             0              0              
142	0	0	2.12636e-09    2.12636e-09    13             0              0              
143	0	0	1.98186e-09    1.98186e-09    13             0              0              
144	0	0	2.04069e-09    2.04069e-09    13             0              0              
145	0	0	2.13434e-09    2.13434e-09    13             0              0              
146	0	0	2.09723e-09    2.09723e-09    13             0              0              
147	0	0	2.15406e-09    2.15406e-09    13             0              0              
148	0	0	2.1832e-09     2.1832e-09     13             0              0              
149	0	0	2.32171e-09    2.32171e-09    13             0              0              
150	0	0	2.19773e-09    2.19773e-09    13             0              0              
151	0	0	2.10003e-09    2.10003e-09    13             0              0              
152	0	0	2.19091e-09    2.19091e-09    13             0              0              
153	0	0	2.19717e-09    2.19717e-09    13             0              0              
154	0	0	2.10537e-09    2.10537e-09    13             0              0              
155	0	0	2.04857e-09    2.04857e-09    13             0              0              
156	0	0	2.26099e-09    2.26099e-09    13             0              0              
157	0	0	2.3172e-09     2.3172e-09     13             0              0              
158	0	0	2.26788e-09    2.26788e-09    13             0              0              
159	0	0	2.32393e-09    2.32393e-09    13             0              0              
160	0	0	2.22882e-09    2.22882e-09    13             0              0              
161	0	0	2.4043e-09     2.4043e-09     13             0              0              
162	0	0	2.53043e-09    2.53043e-09    13             0              0              
163	0	0	2.49933e-09    2.49933e-09    13             0              0              
164	0	0	2.38435e-09    2.38435e-09    13             0              0              
165	0	0	2.2907e-09     2.2907e-09     13             0              0              
166	0	0	2.40073e-09    2.40073e-09    13             0              0              
167	0	0	2.38606e-09    2.38606e-09    13             0              0              
168	0	0	2.43162e-09    2.43162e-09    13             0              0              
169	0	0	2.36601e-09    2.36601e-09    13             0              0              
170	0	0	2.44311e-09    2.44311e-09    13             0              0              
171	0	0	2.41052e-09    2.41052e-09    13             0              0              
172	0	0	2.42153e-09    2.42153e-09    13             0              0              
173	0	0	2.6316e-09     2.6316e-09     13             0              0              
174	0	0	2.52979e-09    2.52979e-09    13             0              0              
175	0	0	2.58498e-09    2.58498e-09    13             0              0              
176	0	0	2.56853e-09    2.56853e-09    13             0              0              
177	0	0	2.53867e-09    2.53867e-09    13             0              0              
178	0	0	2.6612e-09     2.6612e-09     13             0              0              
179	0	0	2.60006e-09    2.60006e-09    13             0              0              
180	0	0	2.69258e-09    2.69258e-09    13             0              0              
181	0	0	2.88479e-09    2.88479e-09    13             0              0              
182	0	0	2.61726e-09    2.61726e-09    13             0              0              
183	0	0	2.8235e-09     2.8235e-09     13             0              0              
184	0	0	2.79638e-09    2.79638e-09    13             0              0              
185	0	0	2.82433e-09    2.82433e-09    13             0              0              
186	0	0	2.88263e-09    2.88263e-09    13             0              0              
187	0	0	2.83128e-09    2.83128e-09    13             0              0              
188	0	0	2.97689e-09    2.97689e-09    13             0              0              
189	0	0	3.08544e-09    3.08544e-09    13             0              0              
190	0	0	3.29473e-09    3.29473e-09    13             0              0              
191	0	0	3.93802e-09    3.93802e-09    13             0              0              
192	0	0	3.63777e-09    3.63777e-09    13             0              0              
193	0	0	2.42209e-09    2.42209e-09    12             0              0              
194	0	0	2.27653e-09    2.27653e-09    12             0              0              
195	0	0	2.41016e-09    2.41016e-09    12             0              0              
196	0	0	2.29258e-09    2.29258e-09    12             0              0              
197	0	0	2.27491e-09    2.27491e-09    12             0              0              
198	0	0	2.54377e-09    2.54377e-09    12             0              0              
199	0	0	2.23112e-09    2.23112e-09    12             0              0              
200	0	0	2.52969e-09    2.52969e-09    12             0              0              
201	0	0	2.42923e-09    2.42923e-09    12             0              0              
202	0	0	2.52914e-09    2.52914e-09    12             0              0              
203	0	0	2.70546e-09    2.70546e-09    12             0              0              
204	0	0	2.66261e-09    2.66261e-09    12             0              0              
205	0	0	2.59245e-09    2.59245e-09    12             0              0              
206	0	0	2.5535e-09     2.5535e-09     12             0              0              
207	0	0	2.48679e-09    2.48679e-09    12             0              0              
208	0	0	2.47836e-09    2.47836e-09    12             0              0              
209	0	0	2.71897e-09    2.71897e-09    12             0              0              
210	0	0	2.70173e-09    2.70173e-09    12             0              0              
211	0	0	2.64473e-09    2.64473e-09    12             0              0              
212	0	0	2.73295e-09    2.73295e-09    12             0              0              
213	0	0	2.61255e-09    2.61255e-09    12             0              0              
214	0	0	2.58447e-09    2.58447e-09    12             0              0              
215	0	0	2.71611e-09    2.71611e-09    12             0              0              
216	0	0	2.73563e-09    2.73563e-09    12             0              0              
217	0	0	2.71276e-09    2.71276e-09    12             0              0              
218	0	0	2.76818e-09    2.76818e-09    12             0              0              
219	0	0	2.7592e-09     2.7592e-09     12             0              0              
220	0	0	2.94451e-09    2.94451e-09    12             0              0              
221	0	0	2.56653e-09    2.56653e-09    12             0              0              
222	0	0	2.87036e-09    2.87036e-09    12             0              0              
223	0	0	2.82129e-09    2.82129e-09    12             0              0              
224	0	0	2.88553e-09    2.88553e-09    12             0              0              
225	0	0	2.95855e-09    2.95855e-09    12             0              0              
226	0	0	3.05153e-09    3.05153e-09    12             0              0              
227	0	0	3.07613e-09    3.07613e-09    12             0              0              
228	0	0	3.13073e-09    3.13073e-09    12             0              0              
229	0	0	3.12574e-09    3.12574e-09    12             0              0              
230	0	0	3.22344e-09    3.22344e-09    12             0              0              
231	0	0	3.12296e-09    3.12296e-09    12             0              0              
232	0	0	3.07824e-09    3.07824e-09    12             0              0              
233	0	0	3.14168e-09    3.14168e-09    12             0              0              
234	0	0	3.20977e-09    3.20977e-09    12             0              0              
235	0	0	3.32607e-09    3.32607e-09    12             0              0              
236	0	0	3.59835e-09    3.4649e-09     12             1.33451e-10    1              
237	0	0	3.3476e-09     3.3476e-09     12             0              0              
238	0	0	3.44873e-09    3.44873e-09    12             0              0              
239	0	0	3.70688e-09    3.70688e-09    12             0              0              
240	0	0	3.47065e-09    3.47065e-09    12             0              0              
241	0	0	3.45684e-09    3.45684e-09    12             0              0              
242	0	0	3.62005e-09    3.62005e-09    12             0              0              
243	0	0	3.76184e-09    3.76184e-09    12             0              0              
244	0	0	3.58434e-09    3.58434e-09    12             0              0              
245	0	0	3.7889e-09     3.7889e-09     12             0              0              
246	0	0	3.84112e-09    3.84112e-09    12             0              0              
247	0	0	4.0322e-09     4.0322e-09     12             0              0              
248	0	0	4.05798e-09    4.05798e-09    12             0              0              
249	0	0	4.09261e-09    4.09261e-09    12             0              0              
250	0	0	4.15409e-09    4.15409e-09    12             0              0              
251	0	0	4.42464e-09    4.42464e-09    12             0              0              
252	0	0	4.23186e-09    4.23186e-09    12             0              0              
253	0	0	4.45999e-09    4.45999e-09    12             0              0              
254	0	0	4.52263e-09    4.52263e-09    12             0              0              
255	0	0	4.688e-09      4.688e-09      12             0              0              
256	0	0	4.84226e-09    4.84226e-09    12             0              0              
257	0	0	5.1731e-09     5.1731e-09     12             0              0              
258	0	0	4.9456e-09     4.9456e-09     12             0              0              
259	0	0	5.24716e-09    5.24716e-09    12             0              0              
260	0	0	5.45453e-09    5.45453e-09    12             0              0              
261	0	0	5.64136e-09    5.64136e-09    12             0              0              
262	0	0	5.94749e-09    5.94749e-09    12             0              0              
263	0	0	6.42607e-09    6.42607e-09    12             0              0              
264	0	0	6.84265e-09    6.84265e-09    12             0              0              
265	0	0	7.24198e-09    7.24198e-09    12             0              0              
266	0	0	8.45191e-09    8.45191e-09    12             0              0              
267	0	0	7.96451e-09    7.96451e-09    12             0              0              
268	0	0	7.74006e-09    7.74006e-09    11             0              0              
269	0	0	8.84973e-09    8.84973e-09    11             0              0              
270	0	0	1.09525e-08    1.09525e-08    11             0              0              
271	0	0	1.1289e-08     1.1289e-08     10             0              0              
272	0	0	1.01975e-08    1.01975e-08    8              0              0              
273	0	0	6.00628e-09    6.00628e-09    6              0              0              
274	0	0	4.91325e-09    4.91325e-09    4              0              0              
275	0	0	3.62778e-09    3.62778e-09    3              0              0              
276	0	0	3.93774e-09    3.93774e-09    3              0              0              
277	0	0	1.04223e-09    1.04223e-09    1              0              0              
278	0	0	1.34691e-09    1.34691e-09    1              0              0              
279	0	0	1.70369e-09    1.70369e-09    1              0              0              
