i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	985.249   0.489397  0.489406  0.489397  0.489406  
1	0	0	971.796   0.491234  0.491247  0.491234  0.491247  
2	0	0	990.745   0.493108  0.493117  0.493108  0.493117  
3	0	0	989.027   0.495008  0.495023  0.495008  0.495023  
4	0	0	997.011   0.496944  0.496955  0.496944  0.496955  
5	0	0	993.796   0.498901  0.49891   0.498901  0.49891   
6	0	0	996.961   0.500879  0.500895  0.500879  0.500895  
7	0	0	1003.33   0.502889  0.502908  0.502889  0.502908  
8	0	0	1006.98   0.504937  0.504954  0.504937  0.504954  
9	0	0	1015.24   0.507031  0.507038  0.507031  0.507038  
10	0	0	1015.81   0.509145  0.509153  0.509145  0.509153  
11	0	0	1017.34   0.511277  0.511294  0.511277  0.511294  
12	0	0	1027.09   0.513468  0.513478  0.513468  0.513478  
13	0	0	1038.55   0.515702  0.515714  0.515702  0.515714  
14	0	0	1028.33   0.517966  0.517972  0.517966  0.517972  
15	0	0	1034.34   0.52024   0.520256  0.52024   0.520256  
16	0	0	1048.73   0.522585  0.522596  0.522585  0.522596  
17	0	0	1047.31   0.52495   0.524965  0.52495   0.524965  
18	0	0	1055.94   0.52739   0.52739   0.52739   0.52739   
19	0	0	1048.55   0.529839  0.529839  0.529839  0.529839  
20	0	0	1066.33   0.532332  0.532342  0.532332  0.532342  
21	0	0	1076.39   0.534892  0.534899  0.534892  0.534899  
22	0	0	1078.48   0.537506  0.537513  0.537506  0.537513  
23	0	0	1071.35   0.540149  0.540153  0.540149  0.540153  
24	0	0	1085.96   0.54282   0.542847  0.54282   0.542847  
25	0	0	1085.87   0.545575  0.54558   0.545575  0.54558   
26	0	0	1096.02   0.548368  0.548381  0.548368  0.548381  
27	0	0	1105.22   0.55122   0.551235  0.55122   0.551235  
28	0	0	1102.31   0.554142  0.554148  0.554142  0.554148  
29	0	0	1114.11   0.557113  0.557112  0.557113  0.557112  
30	0	0	1120.1    0.560141  0.560149  0.560141  0.560149  
31	0	0	1124.24   0.563223  0.563235  0.563223  0.563235  
32	0	0	1132.27   0.566383  0.566389  0.566383  0.566389  
33	0	0	1138.13   0.569586  0.569614  0.569586  0.569614  
34	0	0	1141.74   0.572896  0.5729    0.572896  0.5729    
35	0	0	1150.37   0.576236  0.576261  0.576236  0.576261  
36	0	0	1160.09   0.579686  0.579695  0.579686  0.579695  
37	0	0	1171.55   0.583219  0.583227  0.583219  0.583227  
38	0	0	1174.74   0.586825  0.586831  0.586825  0.586831  
39	0	0	1183.83   0.590511  0.59052   0.590511  0.59052   
40	0	0	1187.64   0.594277  0.59429   0.594277  0.59429   
41	0	0	1193.53   0.598152  0.598145  0.598152  0.598145  
42	0	0	1199.22   0.602061  0.602084  0.602061  0.602084  
43	0	0	1213.71   0.606119  0.606134  0.606119  0.606134  
44	0	0	1220.34   0.610276  0.61028   0.610276  0.61028   
45	0	0	1227.61   0.614529  0.614534  0.614529  0.614534  
46	0	0	1239.39   0.618913  0.618902  0.618913  0.618902  
47	0	0	1248.83   0.623374  0.623395  0.623374  0.623395  
48	0	0	1255.1    0.62801   0.628002  0.62801   0.628002  
49	0	0	1251.46   0.632718  0.632694  0.632718  0.632694  
50	0	0	1279.28   0.637561  0.637546  0.637561  0.637546  
51	0	0	1284.01   0.642536  0.642541  0.642536  0.642541  
52	0	0	1290.05   0.647623  0.647671  0.647623  0.647671  
53	0	0	1310.98   0.652994  0.652971  0.652994  0.652971  
