i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	866.757   0.434375  0.434379  0.434375  0.434379  
1	0	0	873.424   0.435525  0.435532  0.435525  0.435532  
2	0	0	868.938   0.436681  0.436688  0.436681  0.436688  
3	0	0	872.813   0.437854  0.437856  0.437854  0.437856  
4	0	0	871.113   0.43903   0.439035  0.43903   0.439035  
5	0	0	885.338   0.440228  0.440235  0.440228  0.440235  
6	0	0	875.73    0.441436  0.441442  0.441436  0.441442  
7	0	0	884.677   0.442657  0.442664  0.442657  0.442664  
8	0	0	884.855   0.443892  0.443903  0.443892  0.443903  
9	0	0	893.314   0.445146  0.445154  0.445146  0.445154  
10	0	0	888.844   0.446415  0.446421  0.446415  0.446421  
11	0	0	902.456   0.447698  0.447708  0.447698  0.447708  
12	0	0	898.924   0.449003  0.449013  0.449003  0.449013  
13	0	0	898.071   0.450318  0.45032   0.450318  0.45032   
14	0	0	898.513   0.45164   0.451643  0.45164   0.451643  
15	0	0	902.602   0.452974  0.452982  0.452974  0.452982  
16	0	0	906.517   0.45433   0.454337  0.45433   0.454337  
17	0	0	911.839   0.45571   0.455715  0.45571   0.455715  
18	0	0	912.405   0.457097  0.457105  0.457097  0.457105  
19	0	0	912.984   0.458506  0.45851   0.458506  0.45851   
20	0	0	914.754   0.459923  0.459931  0.459923  0.459931  
21	0	0	914.451   0.461354  0.461364  0.461354  0.461364  
22	0	0	922.695   0.46281   0.462818  0.46281   0.462818  
23	0	0	924.219   0.464293  0.464295  0.464293  0.464295  
24	0	0	930.497   0.465795  0.465796  0.465795  0.465796  
25	0	0	938.472   0.467302  0.467317  0.467302  0.467317  
26	0	0	946.095   0.468867  0.468869  0.468867  0.468869  
27	0	0	940.154   0.47043   0.470433  0.47043   0.470433  
28	0	0	951.108   0.472011  0.472024  0.472011  0.472024  
29	0	0	956.659   0.473623  0.473638  0.473623  0.473638  
30	0	0	955.96    0.475283  0.475273  0.475283  0.475273  
31	0	0	946.773   0.476917  0.476918  0.476917  0.476918  
32	0	0	954.627   0.478566  0.478578  0.478566  0.478578  
33	0	0	958.087   0.480237  0.480264  0.480237  0.480264  
34	0	0	971.623   0.481975  0.481988  0.481975  0.481988  
35	0	0	966.189   0.483722  0.483732  0.483722  0.483732  
36	0	0	967.891   0.485478  0.485493  0.485478  0.485493  
37	0	0	977.07    0.48728   0.487279  0.48728   0.487279  
38	0	0	978.705   0.489095  0.489096  0.489095  0.489096  
39	0	0	982.138   0.490922  0.490943  0.490922  0.490943  
40	0	0	973.531   0.492787  0.492793  0.492787  0.492793  
41	0	0	988.006   0.494682  0.49468   0.494682  0.49468   
42	0	0	985.296   0.4966    0.496597  0.4966    0.496597  
43	0	0	983.353   0.498517  0.49853   0.498517  0.49853   
44	0	0	1002.99   0.500503  0.500506  0.500503  0.500506  
45	0	0	1013.07   0.502524  0.502529  0.502524  0.502529  
46	0	0	1004.41   0.504562  0.504575  0.504562  0.504575  
47	0	0	1014.21   0.506653  0.506655  0.506653  0.506655  
48	0	0	1017.08   0.508784  0.508769  0.508784  0.508769  
49	0	0	1018.24   0.510901  0.510906  0.510901  0.510906  
50	0	0	1020.48   0.513056  0.513077  0.513056  0.513077  
51	0	0	1027.1    0.51529   0.515287  0.51529   0.515287  
52	0	0	1035.03   0.517532  0.517537  0.517532  0.517537  
53	0	0	1036.51   0.519841  0.519827  0.519841  0.519827  
54	0	0	1041.84   0.522134  0.522149  0.522134  0.522149  
55	0	0	1042.42   0.524499  0.524509  0.524499  0.524509  
56	0	0	1053.61   0.526913  0.526916  0.526913  0.526916  
57	0	0	1057.05   0.52936   0.529372  0.52936   0.529372  
58	0	0	1060.51   0.531857  0.53186   0.531857  0.53186   
59	0	0	1072.66   0.534405  0.534409  0.534405  0.534409  
60	0	0	1073.88   0.536971  0.536998  0.536971  0.536998  
61	0	0	1076.4    0.53963   0.539638  0.53963   0.539638  
62	0	0	1082.43   0.542308  0.542322  0.542308  0.542322  
63	0	0	1092.33   0.545064  0.545064  0.545064  0.545064  
64	0	0	1095.25   0.547863  0.547851  0.547863  0.547851  
65	0	0	1098.07   0.550684  0.550691  0.550684  0.550691  
66	0	0	1101.43   0.553604  0.553589  0.553604  0.553589  
67	0	0	1106.9    0.556536  0.556529  0.556536  0.556529  
68	0	0	1124.8    0.559604  0.559553  0.559604  0.559553  
69	0	0	1116.65   0.562647  0.562622  0.562647  0.562622  
70	0	0	1123.96   0.565797  0.565752  0.565797  0.565752  
71	0	0	1137.5    0.568957  0.568958  0.568957  0.568958  
72	0	0	1139.84   0.572239  0.57223   0.572239  0.57223   
73	0	0	1148.63   0.57559   0.575576  0.57559   0.575576  
74	0	0	1160.81   0.578988  0.579001  0.578988  0.579001  
75	0	0	1155.42   0.58251   0.582488  0.58251   0.582488  
76	0	0	1178.43   0.586112  0.586073  0.586112  0.586073  
77	0	0	1170.9    0.589751  0.589732  0.589751  0.589732  
78	0	0	1184.75   0.593508  0.593463  0.593508  0.593463  
79	0	0	1198.75   0.597319  0.597314  0.597319  0.597314  
80	0	0	1201.8    0.601257  0.601246  0.601257  0.601246  
81	0	0	1205.08   0.605289  0.605265  0.605289  0.605265  
82	0	0	1214.66   0.609379  0.609378  0.609379  0.609378  
83	0	0	1220.21   0.613599  0.613591  0.613599  0.613591  
84	0	0	1234.68   0.617967  0.617919  0.617967  0.617919  
85	0	0	1243.68   0.622396  0.622379  0.622396  0.622379  
86	0	0	1259.93   0.627016  0.626969  0.627016  0.626969  
87	0	0	1259.51   0.631698  0.631667  0.631698  0.631667  
88	0	0	1273.4    0.636562  0.63649   0.636562  0.63649   
89	0	0	1283.77   0.641515  0.641472  0.641515  0.641472  
90	0	0	1291.42   0.646591  0.646578  0.646591  0.646578  
91	0	0	1304.27   0.65189   0.651836  0.65189   0.651836  
92	0	0	1312.79   0.65732   0.657253  0.65732   0.657253  
93	0	0	1321.38   0.662884  0.662826  0.662884  0.662826  
94	0	0	1332.14   0.668629  0.66857   0.668629  0.66857   
95	0	0	1356.41   0.67455   0.674519  0.67455   0.674519  
96	0	0	1361.96   0.680744  0.680681  0.680744  0.680681  
97	0	0	1380.26   0.687112  0.687036  0.687112  0.687036  
98	0	0	1383.16   0.693698  0.693607  0.693698  0.693607  
99	0	0	1397.74   0.700444  0.700374  0.700444  0.700374  
100	0	0	1412.76   0.707501  0.707389  0.707501  0.707389  
101	0	0	1433.91   0.714779  0.714689  0.714779  0.714689  
102	0	0	1444.22   0.722386  0.722267  0.722386  0.722267  
103	0	0	1463.12   0.730255  0.730119  0.730255  0.730119  
104	0	0	1473.99   0.738421  0.738289  0.738421  0.738289  
105	0	0	1497.79   0.746885  0.746786  0.746885  0.746786  
106	0	0	1506.3    0.755756  0.755623  0.755756  0.755623  
107	0	0	1535.72   0.765077  0.764865  0.765077  0.764865  
108	0	0	1559.73   0.774777  0.774569  0.774777  0.774569  
109	0	0	1573.42   0.784907  0.7847    0.784907  0.7847    
110	0	0	1586.44   0.795482  0.795249  0.795482  0.795249  
111	0	0	1612.67   0.80659   0.806324  0.80659   0.806324  
112	0	0	1637.86   0.81824   0.817951  0.81824   0.817951  
113	0	0	1666.34   0.830636  0.830233  0.830636  0.830233  
114	0	0	1694.24   0.843542  0.843187  0.843542  0.843187  
115	0	0	1716.67   0.857236  0.856845  0.857236  0.856845  
116	0	0	1740.98   0.871679  0.871268  0.871679  0.871268  
117	0	0	1779.6    0.887056  0.886597  0.887056  0.886597  
118	0	0	1812.13   0.90348   0.902919  0.90348   0.902919  
119	0	0	1838.53   0.920902  0.920281  0.920902  0.920281  
120	0	0	1874.1    0.939536  0.938813  0.939536  0.938813  
121	0	0	1921.9    0.959629  0.958726  0.959629  0.958726  
122	0	0	1959.85   0.981036  0.980166  0.981036  0.980166  
123	0	0	2014.35   1.00443   1.00337   1.00443   1.00337   
124	0	0	2061.45   1.02987   1.02858   1.02987   1.02858   
125	0	0	2121.83   1.05768   1.05614   1.05768   1.05614   
126	0	0	2178.07   1.08813   1.08634   1.08813   1.08634   
127	0	0	2245.78   1.12188   1.11968   1.12188   1.11968   
128	0	0	2326.55   1.1596    1.15686   1.1596    1.15686   
129	0	0	2411.06   1.20222   1.19865   1.20222   1.19865   
130	0	0	2492.6    1.2504    1.24589   1.2504    1.24589   
131	0	0	2602.82   1.3059    1.30003   1.3059    1.30003   
