i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	854.273   0.427948  0.427953  0.427948  0.427953  
1	0	0	857.843   0.429031  0.429034  0.429031  0.429034  
2	0	0	860.962   0.430121  0.430126  0.430121  0.430126  
3	0	0	857.686   0.431224  0.431226  0.431224  0.431226  
4	0	0	868.423   0.432334  0.432338  0.432334  0.432338  
5	0	0	869.747   0.433468  0.43347   0.433468  0.43347   
6	0	0	871.997   0.43461   0.434611  0.43461   0.434611  
7	0	0	879.622   0.435763  0.435769  0.435763  0.435769  
8	0	0	873.262   0.436929  0.436936  0.436929  0.436936  
9	0	0	869.972   0.438106  0.438108  0.438106  0.438108  
10	0	0	881.923   0.439291  0.439294  0.439291  0.439294  
11	0	0	878.639   0.440491  0.440499  0.440491  0.440499  
12	0	0	889.514   0.441708  0.441715  0.441708  0.441715  
13	0	0	887.127   0.442937  0.442951  0.442937  0.442951  
14	0	0	884.486   0.444186  0.444191  0.444186  0.444191  
15	0	0	895.899   0.445434  0.445447  0.445434  0.445447  
16	0	0	885.594   0.446708  0.446713  0.446708  0.446713  
17	0	0	889.989   0.447989  0.447989  0.447989  0.447989  
18	0	0	893.841   0.449274  0.449285  0.449274  0.449285  
19	0	0	897.955   0.450582  0.450594  0.450582  0.450594  
20	0	0	894.507   0.451905  0.451916  0.451905  0.451916  
21	0	0	910.383   0.453255  0.453263  0.453255  0.453263  
22	0	0	913.096   0.454618  0.45463   0.454618  0.45463   
23	0	0	912.879   0.456014  0.456015  0.456014  0.456015  
24	0	0	904.153   0.457386  0.457399  0.457386  0.457399  
25	0	0	919.249   0.458808  0.458812  0.458808  0.458812  
26	0	0	923.833   0.460251  0.460244  0.460251  0.460244  
27	0	0	919.494   0.461695  0.461694  0.461695  0.461694  
28	0	0	921.851   0.463145  0.463155  0.463145  0.463155  
29	0	0	923.081   0.464626  0.464633  0.464626  0.464633  
30	0	0	934.622   0.466134  0.466134  0.466134  0.466134  
31	0	0	929.874   0.467653  0.467657  0.467653  0.467657  
32	0	0	944.35    0.469198  0.469203  0.469198  0.469203  
33	0	0	943.966   0.47078   0.470773  0.47078   0.470773  
34	0	0	944.441   0.472369  0.47236   0.472369  0.47236   
35	0	0	958.775   0.473976  0.473981  0.473976  0.473981  
36	0	0	946.246   0.475613  0.47561   0.475613  0.47561   
37	0	0	957.058   0.477257  0.477258  0.477257  0.477258  
38	0	0	960.718   0.478922  0.478938  0.478922  0.478938  
39	0	0	953.188   0.48061   0.480626  0.48061   0.480626  
40	0	0	961.055   0.482327  0.482341  0.482327  0.482341  
41	0	0	962.051   0.484083  0.484073  0.484083  0.484073  
42	0	0	963.304   0.48583   0.48583   0.48583   0.48583   
43	0	0	976.622   0.487616  0.48762   0.487616  0.48762   
44	0	0	972.552   0.489423  0.489434  0.489423  0.489434  
45	0	0	983.025   0.491262  0.491275  0.491262  0.491275  
46	0	0	986.037   0.493136  0.493151  0.493136  0.493151  
47	0	0	996.017   0.49505   0.495057  0.49505   0.495057  
