i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	954.66    0.480254  0.480264  0.480254  0.480264  
1	0	0	963.273   0.481965  0.481972  0.481965  0.481972  
2	0	0	957.792   0.483696  0.483707  0.483696  0.483707  
3	0	0	972.468   0.48545   0.485461  0.48545   0.485461  
4	0	0	978.538   0.487241  0.487253  0.487241  0.487253  
5	0	0	984.428   0.489074  0.48908   0.489074  0.48908   
6	0	0	982.036   0.49091   0.490929  0.49091   0.490929  
7	0	0	983.291   0.492785  0.492795  0.492785  0.492795  
8	0	0	992.513   0.494679  0.494694  0.494679  0.494694  
9	0	0	987.973   0.496603  0.496616  0.496603  0.496616  
10	0	0	996.293   0.498561  0.498564  0.498561  0.498564  
11	0	0	994.194   0.500527  0.500539  0.500527  0.500539  
12	0	0	1010.24   0.50254   0.502558  0.50254   0.502558  
13	0	0	1010.13   0.50459   0.50461   0.50459   0.50461   
14	0	0	1016.19   0.506677  0.50669   0.506677  0.50669   
15	0	0	1018.19   0.508795  0.508809  0.508795  0.508809  
16	0	0	1021.72   0.510954  0.510954  0.510954  0.510954  
17	0	0	1022.15   0.513117  0.513132  0.513117  0.513132  
18	0	0	1034.88   0.515344  0.515354  0.515344  0.515354  
19	0	0	1027.09   0.517589  0.517603  0.517589  0.517603  
20	0	0	1038.48   0.51986   0.519883  0.51986   0.519883  
21	0	0	1044.7    0.522195  0.522216  0.522195  0.522216  
22	0	0	1050.92   0.524583  0.52459   0.524583  0.52459   
23	0	0	1058.54   0.527007  0.527007  0.527007  0.527007  
24	0	0	1058.11   0.529466  0.529476  0.529466  0.529476  
25	0	0	1062.24   0.531951  0.531966  0.531951  0.531966  
26	0	0	1066.74   0.534506  0.534508  0.534506  0.534508  
27	0	0	1070.24   0.537095  0.537097  0.537095  0.537097  
28	0	0	1074.46   0.539711  0.539723  0.539711  0.539723  
29	0	0	1081.54   0.54239   0.542406  0.54239   0.542406  
30	0	0	1087.29   0.545116  0.545138  0.545116  0.545138  
31	0	0	1087.89   0.547907  0.54791   0.547907  0.54791   
32	0	0	1105.7    0.55077   0.550759  0.55077   0.550759  
33	0	0	1094.41   0.553644  0.553647  0.553644  0.553647  
34	0	0	1115.54   0.556591  0.556601  0.556591  0.556601  
35	0	0	1122.86   0.55963   0.559627  0.55963   0.559627  
36	0	0	1118.91   0.562686  0.562706  0.562686  0.562706  
37	0	0	1132.89   0.565844  0.565846  0.565844  0.565846  
38	0	0	1132.5    0.569037  0.569054  0.569037  0.569054  
39	0	0	1142.11   0.572331  0.57233   0.572331  0.57233   
40	0	0	1149.97   0.575693  0.575677  0.575693  0.575677  
41	0	0	1150.77   0.579081  0.579092  0.579081  0.579092  
42	0	0	1153.15   0.582544  0.582565  0.582544  0.582565  
43	0	0	1178.87   0.586126  0.58615   0.586126  0.58615   
44	0	0	1175.24   0.589803  0.589813  0.589803  0.589813  
45	0	0	1180.16   0.593547  0.593545  0.593547  0.593545  
46	0	0	1200.01   0.59738   0.597388  0.59738   0.597388  
