i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	899.831   0.448188  0.448195  0.448188  0.448195  
1	0	0	902.62    0.449497  0.449505  0.449497  0.449505  
2	0	0	899.166   0.450817  0.450824  0.450817  0.450824  
3	0	0	905.859   0.45215   0.452158  0.45215   0.452158  
4	0	0	901.172   0.453498  0.453501  0.453498  0.453501  
5	0	0	917.749   0.454866  0.454872  0.454866  0.454872  
6	0	0	901.326   0.456241  0.45625   0.456241  0.45625   
7	0	0	916.832   0.457634  0.457645  0.457634  0.457645  
8	0	0	913.752   0.459053  0.459058  0.459053  0.459058  
9	0	0	918.97    0.460482  0.460489  0.460482  0.460489  
10	0	0	919.318   0.461924  0.461934  0.461924  0.461934  
11	0	0	929.08    0.463387  0.463403  0.463387  0.463403  
12	0	0	926.908   0.464884  0.464893  0.464884  0.464893  
13	0	0	929.18    0.466384  0.466396  0.466384  0.466396  
14	0	0	936.998   0.467925  0.467923  0.467925  0.467923  
15	0	0	943.266   0.469463  0.469475  0.469463  0.469475  
16	0	0	925.993   0.471022  0.471028  0.471022  0.471028  
17	0	0	937.178   0.472594  0.4726    0.472594  0.4726    
18	0	0	946.774   0.474198  0.474202  0.474198  0.474202  
19	0	0	940.551   0.475814  0.475819  0.475814  0.475819  
20	0	0	955.594   0.477453  0.477468  0.477453  0.477468  
21	0	0	954.195   0.479131  0.479139  0.479131  0.479139  
22	0	0	952.266   0.480816  0.480824  0.480816  0.480824  
23	0	0	961.915   0.482538  0.482538  0.482538  0.482538  
24	0	0	966.345   0.484268  0.484283  0.484268  0.484283  
25	0	0	974.795   0.486052  0.486057  0.486052  0.486057  
26	0	0	976.687   0.487857  0.487859  0.487857  0.487859  
27	0	0	981.595   0.489677  0.489686  0.489677  0.489686  
28	0	0	971.408   0.49152   0.491524  0.49152   0.491524  
29	0	0	983       0.493383  0.493386  0.493383  0.493386  
30	0	0	986.734   0.495288  0.495287  0.495288  0.495287  
31	0	0	986.83    0.497195  0.497207  0.497195  0.497207  
32	0	0	990.33    0.499146  0.499156  0.499146  0.499156  
33	0	0	999.359   0.501139  0.501141  0.501139  0.501141  
34	0	0	1008.34   0.503158  0.503167  0.503158  0.503167  
35	0	0	1002.87   0.505209  0.505217  0.505209  0.505217  
36	0	0	1013.18   0.507273  0.507296  0.507273  0.507296  
37	0	0	1013.78   0.509406  0.509407  0.509406  0.509407  
38	0	0	1025.83   0.511571  0.511564  0.511571  0.511564  
39	0	0	1016.24   0.513745  0.513746  0.513745  0.513746  
40	0	0	1026.89   0.515951  0.515953  0.515951  0.515953  
41	0	0	1031.43   0.518218  0.518213  0.518218  0.518213  
42	0	0	1042.61   0.520515  0.520515  0.520515  0.520515  
43	0	0	1045.99   0.522858  0.522859  0.522858  0.522859  
44	0	0	1044.84   0.525222  0.525234  0.525222  0.525234  
45	0	0	1053.56   0.527655  0.527652  0.527655  0.527652  
46	0	0	1063.33   0.530122  0.530126  0.530122  0.530126  
47	0	0	1058.79   0.532629  0.532631  0.532629  0.532631  
48	0	0	1070.07   0.535182  0.535182  0.535182  0.535182  
49	0	0	1072.01   0.537781  0.537781  0.537781  0.537781  
50	0	0	1079.1    0.540423  0.540431  0.540423  0.540431  
51	0	0	1081.91   0.543117  0.543124  0.543117  0.543124  
52	0	0	1091.79   0.545861  0.545879  0.545861  0.545879  
53	0	0	1098.79   0.548677  0.548682  0.548677  0.548682  
54	0	0	1113.46   0.551561  0.551567  0.551561  0.551567  
55	0	0	1105      0.554499  0.554493  0.554499  0.554493  
56	0	0	1108.03   0.55745   0.557454  0.55745   0.557454  
57	0	0	1113.55   0.560467  0.560476  0.560467  0.560476  
58	0	0	1125.77   0.563569  0.563568  0.563569  0.563568  
59	0	0	1125.11   0.566692  0.566715  0.566692  0.566715  
60	0	0	1136.14   0.569922  0.569935  0.569922  0.569935  
61	0	0	1144.87   0.573226  0.573229  0.573226  0.573229  
62	0	0	1144.62   0.576609  0.576584  0.576609  0.576584  
63	0	0	1164.4    0.580017  0.58003   0.580017  0.58003   
64	0	0	1166.79   0.583568  0.583559  0.583568  0.583559  
65	0	0	1170      0.587185  0.587162  0.587185  0.587162  
66	0	0	1176.11   0.590845  0.590835  0.590845  0.590835  
67	0	0	1185.59   0.594604  0.594599  0.594604  0.594599  
68	0	0	1191.43   0.598463  0.598446  0.598463  0.598446  
69	0	0	1207.45   0.602426  0.602407  0.602426  0.602407  
70	0	0	1209.12   0.60648   0.606465  0.60648   0.606465  
71	0	0	1218.03   0.610594  0.610611  0.610594  0.610611  
72	0	0	1224.3    0.614891  0.614861  0.614891  0.614861  
73	0	0	1229.92   0.619207  0.619215  0.619207  0.619215  
74	0	0	1245.35   0.623676  0.623685  0.623676  0.623685  
75	0	0	1254.23   0.628303  0.628293  0.628303  0.628293  
76	0	0	1262.77   0.633035  0.633013  0.633035  0.633013  
77	0	0	1273.02   0.637932  0.637865  0.637932  0.637865  
78	0	0	1282.55   0.642908  0.642869  0.642908  0.642869  
79	0	0	1301.56   0.648083  0.648034  0.648083  0.648034  
80	0	0	1305.61   0.653352  0.653338  0.653352  0.653338  
81	0	0	1313.3    0.658808  0.658791  0.658808  0.658791  
82	0	0	1325.87   0.664476  0.664418  0.664476  0.664418  
83	0	0	1340.66   0.670264  0.670222  0.670264  0.670222  
84	0	0	1355.45   0.676275  0.676221  0.676275  0.676221  
85	0	0	1364.6    0.682438  0.682421  0.682438  0.682421  
86	0	0	1376.81   0.688872  0.688815  0.688872  0.688815  
87	0	0	1388.11   0.695453  0.695426  0.695453  0.695426  
88	0	0	1407.48   0.702328  0.702282  0.702328  0.702282  
89	0	0	1414.07   0.709431  0.709375  0.709431  0.709375  
90	0	0	1435.08   0.716815  0.716729  0.716815  0.716729  
91	0	0	1445.55   0.724503  0.724365  0.724503  0.724365  
92	0	0	1460.36   0.732345  0.732273  0.732345  0.732273  
93	0	0	1491.02   0.740655  0.740555  0.740655  0.740555  
94	0	0	1495.88   0.749211  0.749155  0.749211  0.749155  
95	0	0	1518.48   0.758227  0.758099  0.758227  0.758099  
96	0	0	1542.84   0.767644  0.767487  0.767644  0.767487  
97	0	0	1553.32   0.777402  0.777248  0.777402  0.777248  
98	0	0	1568.25   0.78762   0.78743   0.78762   0.78743   
99	0	0	1602.11   0.798369  0.798118  0.798369  0.798118  
100	0	0	1621.61   0.809495  0.809377  0.809495  0.809377  
101	0	0	1646.93   0.821421  0.82118   0.821421  0.82118   
102	0	0	1674.45   0.833804  0.833625  0.833804  0.833625  
103	0	0	1700.8    0.847037  0.846759  0.847037  0.846759  
104	0	0	1723.92   0.861049  0.860627  0.861049  0.860627  
105	0	0	1751.14   0.875781  0.875305  0.875781  0.875305  
106	0	0	1787.25   0.891274  0.890872  0.891274  0.890872  
107	0	0	1813.23   0.907952  0.907407  0.907952  0.907407  
108	0	0	1849.57   0.925595  0.925059  0.925595  0.925059  
109	0	0	1893.51   0.944624  0.943969  0.944624  0.943969  
110	0	0	1922.9    0.964888  0.964234  0.964888  0.964234  
111	0	0	1971.31   0.986957  0.98605   0.986957  0.98605   
112	0	0	2018.6    1.01063   1.00966   1.01063   1.00966   
113	0	0	2073.97   1.03662   1.03537   1.03662   1.03537   
114	0	0	2131.26   1.06494   1.06348   1.06494   1.06348   
115	0	0	2201.19   1.09612   1.09446   1.09612   1.09446   
116	0	0	2263.04   1.13063   1.12868   1.13063   1.12868   
117	0	0	2342.9    1.16963   1.16685   1.16963   1.16685   
118	0	0	2428.62   1.21303   1.20979   1.21303   1.20979   
119	0	0	2526.51   1.26285   1.2586    1.26285   1.2586    
120	0	0	2631.34   1.32024   1.3147    1.32024   1.3147    
121	0	0	2769.11   1.38782   1.38034   1.38782   1.38034   
122	0	0	2926.6    1.46965   1.45892   1.46965   1.45892   
123	0	0	3121.74   1.57158   1.55533   1.57158   1.55533   
124	0	0	3377.25   1.70721   1.67933   1.70721   1.67933   
125	0	0	3715.9    1.96141   1.85382   1.96141   1.85382   
126	0	0	4205.72   2.39444   2.10553   2.39444   2.10553   
127	0	0	4907.91   3.26564   2.50683   3.26564   2.50683   
128	0	0	5722.03   4.62288   3.12533   4.62288   3.12533   
129	0	0	6059.17   6.80692   4.03459   6.80692   4.03459   
130	0	0	4921.04   8.77985   5.08231   8.77985   5.08231   
131	0	0	2625.8    10.9149   6.21821   10.9149   6.21821   
132	0	0	861.417   12.6251   7.40401   12.6251   7.40401   
133	0	0	127.419   15.2236   9.05851   15.2236   9.05851   
134	0	0	7.7247    14.7702   9.87127   14.7702   9.87127   
135	0	0	0         0         0         0         0         
136	0	0	0         0         0         0         0         
137	0	0	0         0         0         0         0         
138	0	0	0         0         0         0         0         
139	0	0	0         0         0         0         0         
140	0	0	0         0         0         0         0         
141	0	0	0         0         0         0         0         
142	0	0	0         0         0         0         0         
143	0	0	0         0         0         0         0         
144	0	0	0         0         0         0         0         
145	0	0	0         0         0         0         0         
146	0	0	0         0         0         0         0         
147	0	0	0         0         0         0         0         
148	0	0	0         0         0         0         0         
149	0	0	0         0         0         0         0         
150	0	0	0         0         0         0         0         
151	0	0	0         0         0         0         0         
152	0	0	0         0         0         0         0         
153	0	0	0         0         0         0         0         
154	0	0	0         0         0         0         0         
155	0	0	0         0         0         0         0         
156	0	0	0         0         0         0         0         
157	0	0	0         0         0         0         0         
158	0	0	0         0         0         0         0         
159	0	0	0         0         0         0         0         
160	0	0	0         0         0         0         0         
161	0	0	0         0         0         0         0         
162	0	0	0         0         0         0         0         
163	0	0	0         0         0         0         0         
164	0	0	0         0         0         0         0         
165	0	0	0         0         0         0         0         
166	0	0	0         0         0         0         0         
