i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	844.63    0.421804  0.421809  0.421804  0.421809  
1	0	0	836.127   0.422816  0.42282   0.422816  0.42282   
2	0	0	853.963   0.423845  0.423852  0.423845  0.423852  
3	0	0	844.744   0.424879  0.424885  0.424879  0.424885  
4	0	0	857.983   0.42593   0.425936  0.42593   0.425936  
5	0	0	853.307   0.426991  0.426996  0.426991  0.426996  
6	0	0	856.955   0.428065  0.428068  0.428065  0.428068  
7	0	0	861.108   0.429152  0.429151  0.429152  0.429151  
8	0	0	866.29    0.430248  0.430252  0.430248  0.430252  
9	0	0	861.54    0.431352  0.431358  0.431352  0.431358  
10	0	0	863.695   0.432467  0.432471  0.432467  0.432471  
11	0	0	868.94    0.433595  0.4336    0.433595  0.4336    
12	0	0	872.997   0.434738  0.434743  0.434738  0.434743  
13	0	0	872.048   0.435893  0.435898  0.435893  0.435898  
14	0	0	885.303   0.437064  0.437072  0.437064  0.437072  
15	0	0	879.521   0.438245  0.438255  0.438245  0.438255  
16	0	0	877.262   0.439446  0.439446  0.439446  0.439446  
17	0	0	878.698   0.440642  0.440649  0.440642  0.440649  
18	0	0	883.108   0.441858  0.441861  0.441858  0.441861  
19	0	0	885.042   0.44309   0.44309   0.44309   0.44309   
20	0	0	896.956   0.444324  0.444343  0.444324  0.444343  
21	0	0	893.263   0.445599  0.445605  0.445599  0.445605  
22	0	0	885.28    0.446858  0.446872  0.446858  0.446872  
23	0	0	884.897   0.448141  0.448145  0.448141  0.448145  
24	0	0	895.803   0.449435  0.449441  0.449435  0.449441  
25	0	0	899.876   0.450756  0.450754  0.450756  0.450754  
26	0	0	909.024   0.452088  0.452093  0.452088  0.452093  
27	0	0	904.595   0.453433  0.45344   0.453433  0.45344   
28	0	0	906.593   0.454798  0.454802  0.454798  0.454802  
29	0	0	921.922   0.45619   0.456193  0.45619   0.456193  
30	0	0	915.383   0.45759   0.457595  0.45759   0.457595  
31	0	0	921.044   0.459008  0.459016  0.459008  0.459016  
32	0	0	911.141   0.460441  0.460441  0.460441  0.460441  
33	0	0	917.011   0.461879  0.461883  0.461879  0.461883  
34	0	0	924.441   0.463325  0.463346  0.463325  0.463346  
35	0	0	935.624   0.464834  0.46484   0.464834  0.46484   
36	0	0	936.894   0.466354  0.466353  0.466354  0.466353  
37	0	0	941.995   0.467903  0.467892  0.467903  0.467892  
38	0	0	937.751   0.469448  0.469441  0.469448  0.469441  
39	0	0	935.798   0.471009  0.471003  0.471009  0.471003  
40	0	0	937.829   0.472562  0.47258   0.472562  0.47258   
41	0	0	943.836   0.474175  0.474181  0.474175  0.474181  
42	0	0	958.409   0.47581   0.475816  0.47581   0.475816  
43	0	0	953.456   0.477466  0.477472  0.477466  0.477472  
44	0	0	957.221   0.47914   0.479147  0.47914   0.479147  
45	0	0	960.671   0.480847  0.480844  0.480847  0.480844  
46	0	0	964.98    0.482571  0.482565  0.482571  0.482565  
47	0	0	971.895   0.484307  0.484318  0.484307  0.484318  
48	0	0	969.825   0.486094  0.486092  0.486094  0.486092  
49	0	0	974.413   0.487902  0.487885  0.487902  0.487885  
50	0	0	977.715   0.489705  0.489708  0.489705  0.489708  
51	0	0	980.482   0.491547  0.491556  0.491547  0.491556  
52	0	0	983.036   0.493428  0.493423  0.493428  0.493423  
53	0	0	985.068   0.495329  0.495323  0.495329  0.495323  
54	0	0	992.371   0.497251  0.497255  0.497251  0.497255  
55	0	0	1000.1    0.499215  0.499214  0.499215  0.499214  
56	0	0	998.913   0.50122   0.501212  0.50122   0.501212  
57	0	0	1011.25   0.50324   0.503235  0.50324   0.503235  
58	0	0	1009.24   0.505308  0.505298  0.505308  0.505298  
59	0	0	1009.36   0.507357  0.507377  0.507357  0.507377  
60	0	0	1017.89   0.509508  0.509495  0.509508  0.509495  
61	0	0	1025.26   0.511669  0.511662  0.511669  0.511662  
62	0	0	1031.64   0.51386   0.513859  0.51386   0.513859  
63	0	0	1028.58   0.516106  0.516088  0.516106  0.516088  
64	0	0	1033.74   0.518333  0.518351  0.518333  0.518351  
65	0	0	1041.21   0.520622  0.520652  0.520622  0.520652  
66	0	0	1046.91   0.52302   0.523     0.52302   0.523     
67	0	0	1054.74   0.525387  0.525391  0.525387  0.525391  
68	0	0	1051.7    0.527835  0.527817  0.527835  0.527817  
69	0	0	1055.85   0.530259  0.530283  0.530259  0.530283  
70	0	0	1066.53   0.532791  0.53279   0.532791  0.53279   
71	0	0	1077.36   0.53535   0.535361  0.53535   0.535361  
72	0	0	1067.77   0.537963  0.537968  0.537963  0.537968  
73	0	0	1088.46   0.540623  0.540626  0.540623  0.540626  
74	0	0	1079.63   0.543375  0.543329  0.543375  0.543329  
75	0	0	1091.63   0.546066  0.546082  0.546066  0.546082  
76	0	0	1092.56   0.548875  0.548885  0.548875  0.548885  
77	0	0	1106.65   0.551746  0.551752  0.551746  0.551752  
78	0	0	1108.27   0.554663  0.554675  0.554663  0.554675  
79	0	0	1115.71   0.55767   0.55766   0.55767   0.55766   
80	0	0	1117.21   0.560685  0.560695  0.560685  0.560695  
