i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	941.904   0.471609  0.47162   0.471609  0.47162   
1	0	0	941.137   0.473202  0.473212  0.473202  0.473212  
2	0	0	944.181   0.474805  0.474815  0.474805  0.474815  
3	0	0	955.708   0.476449  0.476457  0.476449  0.476457  
4	0	0	954.213   0.478108  0.478122  0.478108  0.478122  
5	0	0	949.833   0.479787  0.479792  0.479787  0.479792  
6	0	0	957.74    0.481477  0.481485  0.481477  0.481485  
7	0	0	954.192   0.483193  0.483201  0.483193  0.483201  
8	0	0	965.241   0.484934  0.484944  0.484934  0.484944  
9	0	0	971.647   0.486702  0.486723  0.486702  0.486723  
10	0	0	976.48    0.488521  0.488529  0.488521  0.488529  
11	0	0	976.854   0.490348  0.490356  0.490348  0.490356  
12	0	0	984.288   0.492202  0.492214  0.492202  0.492214  
13	0	0	982.572   0.494086  0.494096  0.494086  0.494096  
14	0	0	1000.05   0.496008  0.496019  0.496008  0.496019  
15	0	0	998.313   0.497962  0.49797   0.497962  0.49797   
16	0	0	999.631   0.499935  0.499949  0.499935  0.499949  
17	0	0	1004.99   0.501949  0.501958  0.501949  0.501958  
18	0	0	1006.07   0.503976  0.503989  0.503976  0.503989  
19	0	0	1020.29   0.50605   0.506068  0.50605   0.506068  
20	0	0	1022.58   0.508164  0.508185  0.508164  0.508185  
21	0	0	1014.74   0.510311  0.510319  0.510311  0.510319  
22	0	0	1018.76   0.512469  0.512481  0.512469  0.512481  
23	0	0	1035.96   0.514685  0.51469   0.514685  0.51469   
24	0	0	1029.36   0.516928  0.516935  0.516928  0.516935  
25	0	0	1037.39   0.519202  0.519213  0.519202  0.519213  
26	0	0	1041.98   0.521522  0.521528  0.521522  0.521528  
27	0	0	1041.61   0.523875  0.523883  0.523875  0.523883  
28	0	0	1060.19   0.526272  0.526286  0.526272  0.526286  
29	0	0	1054.29   0.528718  0.528735  0.528718  0.528735  
30	0	0	1048.28   0.531179  0.531199  0.531179  0.531199  
31	0	0	1059.02   0.533702  0.533707  0.533702  0.533707  
32	0	0	1069.88   0.536263  0.536271  0.536263  0.536271  
33	0	0	1080.57   0.538875  0.538897  0.538875  0.538897  
34	0	0	1086.94   0.541562  0.541585  0.541562  0.541585  
35	0	0	1088.86   0.544304  0.54431   0.544304  0.54431   
36	0	0	1090.77   0.547067  0.54708   0.547067  0.54708   
37	0	0	1099.44   0.549903  0.549904  0.549903  0.549904  
38	0	0	1097.66   0.552772  0.552778  0.552772  0.552778  
39	0	0	1103.16   0.555695  0.555704  0.555695  0.555704  
40	0	0	1123.95   0.558693  0.558713  0.558693  0.558713  
41	0	0	1119.57   0.56176   0.561774  0.56176   0.561774  
42	0	0	1124.68   0.564905  0.56489   0.564905  0.56489   
43	0	0	1127.05   0.568055  0.568064  0.568055  0.568064  
44	0	0	1142.35   0.571304  0.571316  0.571304  0.571316  
45	0	0	1146.64   0.574626  0.574641  0.574626  0.574641  
46	0	0	1164.95   0.578071  0.578063  0.578071  0.578063  
47	0	0	1153.22   0.581533  0.581533  0.581533  0.581533  
48	0	0	1164.22   0.585055  0.58507   0.585055  0.58507   
49	0	0	1168.89   0.588675  0.588692  0.588675  0.588692  
50	0	0	1183.75   0.59242   0.592398  0.59242   0.592398  
51	0	0	1195.49   0.596209  0.59622   0.596209  0.59622   
52	0	0	1188.53   0.600101  0.600105  0.600101  0.600105  
53	0	0	1216.24   0.604082  0.604107  0.604082  0.604107  
54	0	0	1206.97   0.608216  0.608197  0.608216  0.608197  
55	0	0	1222.1    0.612401  0.612389  0.612401  0.612389  
56	0	0	1227.42   0.616718  0.61668   0.616718  0.61668   
57	0	0	1241.28   0.621091  0.621093  0.621091  0.621093  
58	0	0	1251.28   0.625643  0.625636  0.625643  0.625636  
59	0	0	1259.93   0.630304  0.630295  0.630304  0.630295  
60	0	0	1263.78   0.635091  0.635074  0.635091  0.635074  
