i	j	k	Dose(Gy)       
0	0	0	4.77929e-10    
1	0	0	4.8116e-10     
2	0	0	4.80693e-10    
3	0	0	4.85856e-10    
4	0	0	4.89314e-10    
5	0	0	4.93965e-10    
6	0	0	4.93004e-10    
7	0	0	4.90172e-10    
8	0	0	4.9655e-10     
9	0	0	4.95884e-10    
10	0	0	4.98898e-10    
11	0	0	4.96886e-10    
12	0	0	5.06516e-10    
13	0	0	5.05733e-10    
14	0	0	5.07783e-10    
15	0	0	5.10762e-10    
16	0	0	5.11963e-10    
17	0	0	5.11529e-10    
18	0	0	5.17914e-10    
19	0	0	5.14693e-10    
20	0	0	5.19743e-10    
21	0	0	5.22411e-10    
22	0	0	5.26528e-10    
23	0	0	5.29684e-10    
24	0	0	5.29998e-10    
25	0	0	5.31602e-10    
26	0	0	5.34775e-10    
27	0	0	5.35086e-10    
28	0	0	5.38767e-10    
29	0	0	5.4269e-10     
30	0	0	5.41977e-10    
31	0	0	5.45982e-10    
32	0	0	5.52876e-10    
33	0	0	5.4869e-10     
34	0	0	5.58318e-10    
35	0	0	5.61746e-10    
36	0	0	5.61323e-10    
37	0	0	5.6555e-10     
38	0	0	5.67601e-10    
39	0	0	5.72756e-10    
40	0	0	5.75127e-10    
41	0	0	5.76008e-10    
42	0	0	5.7812e-10     
43	0	0	5.89454e-10    
44	0	0	5.89247e-10    
45	0	0	5.90585e-10    
46	0	0	6.00444e-10    
47	0	0	6.03439e-10    
48	0	0	6.04222e-10    
49	0	0	6.08126e-10    
50	0	0	6.18379e-10    
51	0	0	6.19418e-10    
52	0	0	6.23322e-10    
53	0	0	6.27262e-10    
54	0	0	6.30751e-10    
55	0	0	6.41403e-10    
56	0	0	6.41802e-10    
57	0	0	6.46166e-10    
58	0	0	6.5345e-10     
59	0	0	6.57541e-10    
60	0	0	6.62486e-10    
61	0	0	6.65203e-10    
62	0	0	6.75922e-10    
63	0	0	6.79101e-10    
64	0	0	6.89434e-10    
65	0	0	6.95474e-10    
66	0	0	7.01599e-10    
67	0	0	7.08792e-10    
68	0	0	7.1629e-10     
69	0	0	7.23214e-10    
70	0	0	7.2781e-10     
71	0	0	7.4044e-10     
72	0	0	7.54661e-10    
73	0	0	7.55509e-10    
74	0	0	7.67149e-10    
75	0	0	7.78637e-10    
76	0	0	7.84506e-10    
77	0	0	7.98557e-10    
78	0	0	8.06639e-10    
79	0	0	8.1875e-10     
80	0	0	8.32941e-10    
81	0	0	8.45566e-10    
82	0	0	8.5719e-10     
83	0	0	8.76604e-10    
84	0	0	8.89837e-10    
85	0	0	9.06201e-10    
86	0	0	9.23268e-10    
87	0	0	9.40582e-10    
88	0	0	9.59332e-10    
89	0	0	9.85558e-10    
90	0	0	1.00631e-09    
91	0	0	1.03228e-09    
92	0	0	1.05751e-09    
93	0	0	1.08817e-09    
94	0	0	1.12511e-09    
95	0	0	1.16272e-09    
96	0	0	1.19853e-09    
97	0	0	1.2481e-09     
98	0	0	1.30164e-09    
99	0	0	1.36351e-09    
100	0	0	1.43857e-09    
101	0	0	1.52601e-09    
102	0	0	1.64044e-09    
103	0	0	1.7915e-09     
104	0	0	2.00437e-09    
105	0	0	2.34038e-09    
106	0	0	2.82247e-09    
107	0	0	3.2359e-09     
108	0	0	2.79993e-09    
109	0	0	1.54896e-09    
110	0	0	4.65167e-10    
111	0	0	6.60935e-11    
112	0	0	1.15921e-11    
115	0	0	1.69217e-15    
119	0	0	1.48473e-14    
125	0	0	2.96479e-15    
154	0	0	2.10723e-14    
186	0	0	3.30891e-14    
