i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T
99	0	0	1749.03   0.870813  0.870434  0.870813  0.870434  
100	0	0	1775.75   0.886289  0.885745  0.886289  0.885745  
101	0	0	1797.01   0.902343  0.901927  0.902343  0.901927  
102	0	0	1835.21   0.919588  0.919155  0.919588  0.919155  
103	0	0	1888.09   0.938251  0.937667  0.938251  0.937667  
104	0	0	1920.45   0.958185  0.957581  0.958185  0.957581  
105	0	0	1960.35   0.979556  0.978904  0.979556  0.978904  
106	0	0	2007.58   1.00285   1.00197   1.00285   1.00197   
107	0	0	2065.49   1.0282    1.02708   1.0282    1.02708   
108	0	0	2108.36   1.05563   1.05439   1.05563   1.05439   
109	0	0	2173.51   1.08569   1.08433   1.08569   1.08433   
110	0	0	2242.26   1.11912   1.11742   1.11912   1.11742   
111	0	0	2314.09   1.15621   1.15417   1.15621   1.15417   
112	0	0	2396.12   1.19776   1.19536   1.19776   1.19536   
113	0	0	2489.02   1.24539   1.24198   1.24539   1.24198   
114	0	0	2603.27   1.29974   1.29546   1.29974   1.29546   
115	0	0	2719.57   1.36337   1.35762   1.36337   1.35762   
116	0	0	2874.34   1.43919   1.43125   1.43919   1.43125   
117	0	0	3049.53   1.53185   1.52049   1.53185   1.52049   
118	0	0	3278.34   1.65153   1.6326    1.65153   1.6326    
119	0	0	3571.08   1.83985   1.7826    1.83985   1.7826    
120	0	0	3991.02   2.07342   1.98904   2.07342   1.98904   
121	0	0	4690.82   2.81497   2.35148   2.81497   2.35148   
122	0	0	5662.79   4.09977   2.9454    4.09977   2.9454    
123	0	0	6250.27   6.52837   3.84438   6.52837   3.84438   
124	0	0	5347.31   8.0948    4.75245   8.0948    4.75245   
125	0	0	3248.37   10.6215   5.98952   10.6215   5.98952   
126	0	0	1140.93   11.7073   6.67      11.7073   6.67      
127	0	0	325.653   12.9252   7.52784   12.9252   7.52784   
128	0	0	35.8219   12.9431   7.8771    12.9431   7.8771    
129	0	0	4.83592   18.9564   14.0891   18.9564   14.0891   
130	0	0	0         0         0         0         0         
131	0	0	0         0         0         0         0         
132	0	0	0         0         0         0         0         
133	0	0	0         0         0         0         0         
134	0	0	0         0         0         0         0         
135	0	0	0         0         0         0         0         
136	0	0	0         0         0         0         0         
137	0	0	0         0         0         0         0         
138	0	0	0         0         0         0         0         
139	0	0	0         0         0         0         0         
140	0	0	0         0         0         0         0         
141	0	0	0         0         0         0         0         
142	0	0	0         0         0         0         0         
143	0	0	0         0         0         0         0         
144	0	0	0         0         0         0         0         
145	0	0	0         0         0         0         0         
146	0	0	0         0         0         0         0         
