i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	879.717   0.441117  0.441123  0.441117  0.441123  
1	0	0	885.373   0.442339  0.442348  0.442339  0.442348  
2	0	0	886.745   0.443573  0.443581  0.443573  0.443581  
3	0	0	889.01    0.444823  0.444831  0.444823  0.444831  
4	0	0	891.899   0.446087  0.44609   0.446087  0.44609   
5	0	0	902.147   0.44737   0.447379  0.44737   0.447379  
6	0	0	898.022   0.448668  0.448676  0.448668  0.448676  
7	0	0	899.124   0.449978  0.449985  0.449978  0.449985  
8	0	0	902.976   0.451306  0.451309  0.451306  0.451309  
9	0	0	914.277   0.452653  0.452657  0.452653  0.452657  
10	0	0	905.942   0.454007  0.454016  0.454007  0.454016  
11	0	0	906.245   0.455379  0.455383  0.455379  0.455383  
12	0	0	912.489   0.456761  0.45677   0.456761  0.45677   
13	0	0	918.225   0.458174  0.458177  0.458174  0.458177  
14	0	0	917.378   0.459598  0.459598  0.459598  0.459598  
15	0	0	921.655   0.461027  0.461039  0.461027  0.461039  
16	0	0	921.199   0.462489  0.462493  0.462489  0.462493  
17	0	0	924.856   0.463964  0.463966  0.463964  0.463966  
18	0	0	943.259   0.46546   0.465474  0.46546   0.465474  
19	0	0	929.631   0.46699   0.466992  0.46699   0.466992  
20	0	0	936.787   0.468521  0.468526  0.468521  0.468526  
21	0	0	934.733   0.470069  0.470077  0.470069  0.470077  
22	0	0	944.168   0.471652  0.471651  0.471652  0.471651  
23	0	0	942.397   0.473223  0.473243  0.473223  0.473243  
24	0	0	938.584   0.474841  0.474847  0.474841  0.474847  
25	0	0	949.747   0.476456  0.476477  0.476456  0.476477  
26	0	0	953.823   0.478121  0.478134  0.478121  0.478134  
27	0	0	968.86    0.479814  0.479831  0.479814  0.479831  
28	0	0	960.214   0.481532  0.481541  0.481532  0.481541  
29	0	0	967.73    0.483285  0.483271  0.483285  0.483271  
30	0	0	974.34    0.485025  0.485038  0.485025  0.485038  
31	0	0	965.34    0.486809  0.486813  0.486809  0.486813  
32	0	0	968.506   0.488603  0.488607  0.488603  0.488607  
33	0	0	980.41    0.490427  0.490434  0.490427  0.490434  
34	0	0	975.776   0.492273  0.492283  0.492273  0.492283  
35	0	0	995.345   0.494171  0.494178  0.494171  0.494178  
36	0	0	985.81    0.496088  0.496094  0.496088  0.496094  
37	0	0	987.724   0.498019  0.498022  0.498019  0.498022  
38	0	0	1002.08   0.499995  0.499996  0.499995  0.499996  
39	0	0	994.766   0.501983  0.501992  0.501983  0.501992  
40	0	0	1004.12   0.504039  0.504019  0.504039  0.504019  
41	0	0	1013.3    0.506085  0.50609   0.506085  0.50609   
42	0	0	1010.97   0.508175  0.508186  0.508175  0.508186  
43	0	0	1022.75   0.510311  0.510322  0.510311  0.510322  
44	0	0	1017.37   0.512491  0.512485  0.512491  0.512485  
45	0	0	1020.45   0.514659  0.514672  0.514659  0.514672  
46	0	0	1031.12   0.516902  0.516908  0.516902  0.516908  
47	0	0	1035.42   0.519182  0.519179  0.519182  0.519179  
48	0	0	1043.01   0.521502  0.521501  0.521502  0.521501  
49	0	0	1041.33   0.523844  0.523851  0.523844  0.523851  
50	0	0	1051.39   0.52625   0.526245  0.52625   0.526245  
51	0	0	1057.36   0.528691  0.528686  0.528691  0.528686  
52	0	0	1063.95   0.531169  0.53118   0.531169  0.53118   
53	0	0	1063.74   0.533718  0.533703  0.533718  0.533703  
54	0	0	1068.39   0.536264  0.536272  0.536264  0.536272  
55	0	0	1081.74   0.53889   0.538901  0.53889   0.538901  
56	0	0	1081.15   0.541567  0.541573  0.541567  0.541573  
57	0	0	1082.71   0.544271  0.544293  0.544271  0.544293  
58	0	0	1096.01   0.547036  0.547066  0.547036  0.547066  
59	0	0	1104.48   0.549888  0.549905  0.549888  0.549905  
60	0	0	1104.12   0.552829  0.552792  0.552829  0.552792  
61	0	0	1099.25   0.555701  0.555717  0.555701  0.555717  
62	0	0	1109.91   0.558696  0.558693  0.558696  0.558693  
63	0	0	1123.19   0.561767  0.56175   0.561767  0.56175   
64	0	0	1127.35   0.564893  0.564873  0.564893  0.564873  
65	0	0	1136.36   0.568076  0.568069  0.568076  0.568069  
66	0	0	1142.46   0.571343  0.571327  0.571343  0.571327  
67	0	0	1144.86   0.574663  0.574654  0.574663  0.574654  
68	0	0	1156.06   0.57807   0.578055  0.57807   0.578055  
69	0	0	1158.73   0.581514  0.581526  0.581514  0.581526  
70	0	0	1167.99   0.585076  0.585078  0.585076  0.585078  
71	0	0	1174.93   0.58875   0.588711  0.58875   0.588711  
72	0	0	1187.56   0.592433  0.592444  0.592433  0.592444  
73	0	0	1191.41   0.596277  0.596262  0.596277  0.596262  
74	0	0	1197.24   0.600166  0.600161  0.600166  0.600161  
75	0	0	1206.64   0.604195  0.604154  0.604195  0.604154  
76	0	0	1211.66   0.608251  0.608239  0.608251  0.608239  
77	0	0	1223.07   0.612468  0.612441  0.612468  0.612441  
78	0	0	1229.94   0.616762  0.616741  0.616762  0.616741  
79	0	0	1244.94   0.621188  0.621165  0.621188  0.621165  
80	0	0	1243.53   0.625718  0.625699  0.625718  0.625699  
81	0	0	1263.25   0.630373  0.630362  0.630373  0.630362  
82	0	0	1261.97   0.635143  0.635134  0.635143  0.635134  
83	0	0	1278.05   0.640074  0.640051  0.640074  0.640051  
84	0	0	1287.91   0.645185  0.645113  0.645185  0.645113  
85	0	0	1295      0.650362  0.650314  0.650362  0.650314  
86	0	0	1311.23   0.655708  0.655674  0.655708  0.655674  
87	0	0	1315.6    0.661253  0.661191  0.661253  0.661191  
88	0	0	1329.7    0.666955  0.666886  0.666955  0.666886  
89	0	0	1348.41   0.672801  0.672779  0.672801  0.672779  
90	0	0	1365.32   0.678917  0.678877  0.678917  0.678877  
91	0	0	1372.51   0.685279  0.685176  0.685279  0.685176  
92	0	0	1385.04   0.691774  0.691686  0.691774  0.691686  
93	0	0	1390.8    0.698466  0.69839   0.698466  0.69839   
94	0	0	1412.35   0.705402  0.705344  0.705402  0.705344  
95	0	0	1418.52   0.712651  0.712545  0.712651  0.712545  
96	0	0	1445.61   0.720174  0.72003   0.720174  0.72003   
97	0	0	1453.78   0.727895  0.727798  0.727895  0.727798  
98	0	0	1477.77   0.736003  0.735894  0.736003  0.735894  
99	0	0	1497.69   0.744483  0.744328  0.744483  0.744328  
100	0	0	1509.97   0.753278  0.75312   0.753278  0.75312   
101	0	0	1528.46   0.762393  0.762264  0.762393  0.762264  
102	0	0	1543.18   0.771905  0.771789  0.771905  0.771789  
103	0	0	1572.18   0.781913  0.781773  0.781913  0.781773  
104	0	0	1588.87   0.792459  0.79223   0.792459  0.79223   
105	0	0	1607.87   0.803388  0.803184  0.803388  0.803184  
106	0	0	1633.93   0.814933  0.814678  0.814933  0.814678  
107	0	0	1661.95   0.827115  0.826793  0.827115  0.826793  
108	0	0	1684.01   0.839863  0.839552  0.839863  0.839552  
109	0	0	1707.15   0.853441  0.852991  0.853441  0.852991  
110	0	0	1741.18   0.867758  0.867225  0.867758  0.867225  
111	0	0	1761.21   0.882764  0.882287  0.882764  0.882287  
112	0	0	1795.65   0.898805  0.898255  0.898805  0.898255  
113	0	0	1831.87   0.915744  0.915292  0.915744  0.915292  
114	0	0	1869.7    0.934253  0.93351   0.934253  0.93351   
115	0	0	1905.37   0.953815  0.953     0.953815  0.953     
116	0	0	1954.91   0.974851  0.974016  0.974851  0.974016  
117	0	0	2001.46   0.997842  0.996776  0.997842  0.996776  
118	0	0	2045.1    1.02263   1.0214    1.02263   1.0214    
119	0	0	2096.74   1.04969   1.04819   1.04969   1.04819   
120	0	0	2154.72   1.07924   1.0775    1.07924   1.0775    
121	0	0	2223.77   1.11198   1.10985   1.11198   1.10985   
122	0	0	2293.92   1.14828   1.14576   1.14828   1.14576   
123	0	0	2372.35   1.1892    1.18593   1.1892    1.18593   
124	0	0	2468.56   1.23532   1.23136   1.23532   1.23136   
125	0	0	2574.65   1.28849   1.28334   1.28849   1.28334   
126	0	0	2698.42   1.35089   1.34372   1.35089   1.34372   
127	0	0	2840.15   1.42488   1.41515   1.42488   1.41515   
128	0	0	3008.36   1.51585   1.50151   1.51585   1.50151   
129	0	0	3234.62   1.63341   1.60994   1.63341   1.60994   
130	0	0	3523.46   1.82292   1.75541   1.82292   1.75541   
131	0	0	3936.69   2.12714   1.96247   2.12714   1.96247   
132	0	0	4522.56   2.82546   2.28215   2.82546   2.28215   
133	0	0	5295.33   3.93556   2.77674   3.93556   2.77674   
134	0	0	5886.21   5.74679   3.50319   5.74679   3.50319   
135	0	0	5568.53   7.51949   4.38837   7.51949   4.38837   
136	0	0	3911.04   9.48365   5.42155   9.48365   5.42155   
137	0	0	1804.3    11.3464   6.47363   11.3464   6.47363   
138	0	0	509.482   12.4355   7.35957   12.4355   7.35957   
139	0	0	61.1372   13.7167   7.29722   13.7167   7.29722   
140	0	0	15.1828   14.9202   10.016    14.9202   10.016    
141	0	0	0         0         0         0         0         
142	0	0	0         0         0         0         0         
143	0	0	0         0         0         0         0         
144	0	0	0         0         0         0         0         
145	0	0	0         0         0         0         0         
146	0	0	0         0         0         0         0         
147	0	0	0         0         0         0         0         
148	0	0	0         0         0         0         0         
149	0	0	0         0         0         0         0         
150	0	0	0         0         0         0         0         
151	0	0	0         0         0         0         0         
152	0	0	0         0         0         0         0         
153	0	0	0         0         0         0         0         
154	0	0	0         0         0         0         0         
155	0	0	0         0         0         0         0         
156	0	0	0         0         0         0         0         
157	0	0	0         0         0         0         0         
158	0	0	0         0         0         0         0         
