i	j	k	Dose(Gy)       
0	0	0	2.15049e-08    
1	0	0	2.16394e-08    
2	0	0	2.16947e-08    
3	0	0	2.17536e-08    
4	0	0	2.18371e-08    
5	0	0	2.18872e-08    
6	0	0	2.19601e-08    
7	0	0	2.19961e-08    
8	0	0	2.20372e-08    
9	0	0	2.21114e-08    
10	0	0	2.21901e-08    
11	0	0	2.22519e-08    
12	0	0	2.23169e-08    
13	0	0	2.23954e-08    
14	0	0	2.24528e-08    
15	0	0	2.2501e-08     
16	0	0	2.25807e-08    
17	0	0	2.26374e-08    
18	0	0	2.27284e-08    
19	0	0	2.27951e-08    
20	0	0	2.28314e-08    
21	0	0	2.29001e-08    
22	0	0	2.2978e-08     
23	0	0	2.30648e-08    
24	0	0	2.31285e-08    
25	0	0	2.3216e-08     
26	0	0	2.32797e-08    
27	0	0	2.33473e-08    
28	0	0	2.34356e-08    
29	0	0	2.35137e-08    
30	0	0	2.3583e-08     
31	0	0	2.36737e-08    
32	0	0	2.37593e-08    
33	0	0	2.37896e-08    
34	0	0	2.39399e-08    
35	0	0	2.40076e-08    
36	0	0	2.41111e-08    
37	0	0	2.41665e-08    
38	0	0	2.42443e-08    
39	0	0	2.43512e-08    
40	0	0	2.44396e-08    
41	0	0	2.44887e-08    
42	0	0	2.46245e-08    
43	0	0	2.4704e-08     
44	0	0	2.48256e-08    
45	0	0	2.49017e-08    
46	0	0	2.49994e-08    
47	0	0	2.50815e-08    
48	0	0	2.51841e-08    
49	0	0	2.53162e-08    
50	0	0	2.54213e-08    
51	0	0	2.55371e-08    
52	0	0	2.56361e-08    
53	0	0	2.57219e-08    
54	0	0	2.58639e-08    
55	0	0	2.59577e-08    
56	0	0	2.60622e-08    
57	0	0	2.61824e-08    
58	0	0	2.63175e-08    
59	0	0	2.64476e-08    
60	0	0	2.65675e-08    
61	0	0	2.66927e-08    
62	0	0	2.68208e-08    
63	0	0	2.69362e-08    
64	0	0	2.70611e-08    
65	0	0	2.7224e-08     
66	0	0	2.73555e-08    
67	0	0	2.75024e-08    
68	0	0	2.76432e-08    
69	0	0	2.77941e-08    
70	0	0	2.79404e-08    
71	0	0	2.80598e-08    
72	0	0	2.823e-08      
73	0	0	2.84226e-08    
74	0	0	2.85465e-08    
75	0	0	2.87214e-08    
76	0	0	2.89075e-08    
77	0	0	2.907e-08      
78	0	0	2.92176e-08    
79	0	0	2.94112e-08    
80	0	0	2.95972e-08    
81	0	0	2.97862e-08    
82	0	0	2.99882e-08    
83	0	0	3.018e-08      
84	0	0	3.04021e-08    
85	0	0	3.0601e-08     
86	0	0	3.08446e-08    
87	0	0	3.10347e-08    
88	0	0	3.12778e-08    
89	0	0	3.151e-08      
90	0	0	3.1742e-08     
91	0	0	3.20184e-08    
92	0	0	3.22652e-08    
93	0	0	3.25746e-08    
94	0	0	3.28435e-08    
95	0	0	3.3115e-08     
96	0	0	3.34331e-08    
97	0	0	3.37078e-08    
98	0	0	3.39913e-08    
99	0	0	3.43075e-08    
100	0	0	3.46444e-08    
101	0	0	3.49775e-08    
102	0	0	3.53345e-08    
103	0	0	3.56842e-08    
104	0	0	3.60751e-08    
105	0	0	3.64538e-08    
106	0	0	3.6883e-08     
107	0	0	3.73073e-08    
108	0	0	3.77136e-08    
109	0	0	3.81783e-08    
110	0	0	3.86844e-08    
111	0	0	3.91879e-08    
112	0	0	3.96975e-08    
113	0	0	4.02585e-08    
114	0	0	4.08287e-08    
115	0	0	4.14144e-08    
116	0	0	4.20984e-08    
117	0	0	4.27865e-08    
118	0	0	4.34501e-08    
119	0	0	4.42302e-08    
120	0	0	4.50494e-08    
121	0	0	4.58388e-08    
122	0	0	4.67897e-08    
123	0	0	4.77986e-08    
124	0	0	4.8866e-08     
125	0	0	4.99598e-08    
126	0	0	5.12204e-08    
127	0	0	5.25922e-08    
128	0	0	5.4062e-08     
129	0	0	5.56786e-08    
130	0	0	5.75094e-08    
131	0	0	5.95307e-08    
132	0	0	6.18046e-08    
133	0	0	6.441e-08      
134	0	0	6.74959e-08    
135	0	0	7.10572e-08    
136	0	0	7.54256e-08    
137	0	0	8.09537e-08    
138	0	0	8.82597e-08    
139	0	0	9.85702e-08    
140	0	0	1.13798e-07    
141	0	0	1.33292e-07    
142	0	0	1.4554e-07     
143	0	0	1.34768e-07    
144	0	0	9.51373e-08    
145	0	0	4.7939e-08     
146	0	0	1.60973e-08    
147	0	0	3.51943e-09    
148	0	0	4.53928e-10    
149	0	0	1.42159e-11    
150	0	0	2.58346e-12    
151	0	0	1.26852e-13    
152	0	0	9.53427e-14    
153	0	0	1.9104e-13     
154	0	0	2.57252e-13    
155	0	0	1.65439e-13    
156	0	0	1.77249e-13    
157	0	0	9.79865e-14    
158	0	0	1.91586e-13    
159	0	0	1.05697e-13    
160	0	0	1.24536e-13    
161	0	0	1.54194e-13    
162	0	0	9.77969e-14    
163	0	0	1.58104e-13    
164	0	0	7.9586e-14     
165	0	0	5.24753e-14    
166	0	0	5.65632e-14    
167	0	0	1.88255e-13    
168	0	0	1.3786e-13     
169	0	0	1.0986e-13     
170	0	0	5.7314e-14     
171	0	0	9.76251e-14    
172	0	0	6.86287e-14    
173	0	0	6.0051e-14     
174	0	0	2.27685e-14    
175	0	0	1.10777e-13    
176	0	0	6.82431e-14    
177	0	0	6.76586e-14    
178	0	0	4.28357e-14    
179	0	0	5.25223e-14    
180	0	0	5.68735e-14    
181	0	0	5.66791e-14    
182	0	0	7.67245e-14    
183	0	0	4.68462e-14    
184	0	0	8.24615e-14    
185	0	0	2.63041e-14    
186	0	0	2.42707e-14    
187	0	0	6.55899e-14    
188	0	0	7.83736e-14    
189	0	0	7.74854e-14    
190	0	0	1.00713e-14    
191	0	0	1.93218e-14    
192	0	0	2.46383e-14    
193	0	0	1.26861e-14    
194	0	0	2.56774e-14    
195	0	0	7.95801e-14    
196	0	0	7.46051e-14    
197	0	0	1.38339e-14    
199	0	0	8.13168e-15    
