i	j	k	Dose(Gy)       
0	0	0	2.43266e-08    
1	0	0	2.44542e-08    
2	0	0	2.45546e-08    
3	0	0	2.46901e-08    
4	0	0	2.47403e-08    
5	0	0	2.48244e-08    
6	0	0	2.4934e-08     
7	0	0	2.50361e-08    
8	0	0	2.51175e-08    
9	0	0	2.52243e-08    
10	0	0	2.53603e-08    
11	0	0	2.54515e-08    
12	0	0	2.55714e-08    
13	0	0	2.56404e-08    
14	0	0	2.57803e-08    
15	0	0	2.58657e-08    
16	0	0	2.59971e-08    
17	0	0	2.61098e-08    
18	0	0	2.62669e-08    
19	0	0	2.63551e-08    
20	0	0	2.6455e-08     
21	0	0	2.66033e-08    
22	0	0	2.67308e-08    
23	0	0	2.68691e-08    
24	0	0	2.69677e-08    
25	0	0	2.71389e-08    
26	0	0	2.72816e-08    
27	0	0	2.73889e-08    
28	0	0	2.75414e-08    
29	0	0	2.76955e-08    
30	0	0	2.78512e-08    
31	0	0	2.79757e-08    
32	0	0	2.81575e-08    
33	0	0	2.83018e-08    
34	0	0	2.84332e-08    
35	0	0	2.86166e-08    
36	0	0	2.88033e-08    
37	0	0	2.89397e-08    
38	0	0	2.91208e-08    
39	0	0	2.9312e-08     
40	0	0	2.94605e-08    
41	0	0	2.96902e-08    
42	0	0	2.99188e-08    
43	0	0	3.00654e-08    
44	0	0	3.02644e-08    
45	0	0	3.04681e-08    
46	0	0	3.06917e-08    
47	0	0	3.09103e-08    
48	0	0	3.11462e-08    
49	0	0	3.13317e-08    
50	0	0	3.15711e-08    
51	0	0	3.18426e-08    
52	0	0	3.21518e-08    
53	0	0	3.24116e-08    
54	0	0	3.26638e-08    
55	0	0	3.29316e-08    
56	0	0	3.32175e-08    
57	0	0	3.35001e-08    
58	0	0	3.37925e-08    
59	0	0	3.41154e-08    
60	0	0	3.44427e-08    
61	0	0	3.47837e-08    
62	0	0	3.51046e-08    
63	0	0	3.54395e-08    
64	0	0	3.58509e-08    
65	0	0	3.62192e-08    
66	0	0	3.66256e-08    
67	0	0	3.70325e-08    
68	0	0	3.74768e-08    
69	0	0	3.78964e-08    
70	0	0	3.83988e-08    
71	0	0	3.88642e-08    
72	0	0	3.93459e-08    
73	0	0	3.98992e-08    
74	0	0	4.04821e-08    
75	0	0	4.1091e-08     
76	0	0	4.16692e-08    
77	0	0	4.22901e-08    
78	0	0	4.30154e-08    
79	0	0	4.37301e-08    
80	0	0	4.45463e-08    
81	0	0	4.53611e-08    
82	0	0	4.62366e-08    
83	0	0	4.71835e-08    
84	0	0	4.81787e-08    
85	0	0	4.92496e-08    
86	0	0	5.04379e-08    
87	0	0	5.17021e-08    
88	0	0	5.31198e-08    
89	0	0	5.46654e-08    
90	0	0	5.6332e-08     
91	0	0	5.82011e-08    
92	0	0	6.02929e-08    
93	0	0	6.26824e-08    
94	0	0	6.54254e-08    
95	0	0	6.85925e-08    
96	0	0	7.23567e-08    
97	0	0	7.69477e-08    
98	0	0	8.27053e-08    
99	0	0	9.0328e-08     
100	0	0	1.0109e-07     
101	0	0	1.18604e-07    
102	0	0	1.45558e-07    
103	0	0	1.65485e-07    
104	0	0	1.38121e-07    
105	0	0	6.79361e-08    
106	0	0	1.61273e-08    
107	0	0	1.64735e-09    
108	0	0	6.17318e-11    
109	0	0	2.24865e-13    
110	0	0	1.51329e-13    
111	0	0	1.77593e-13    
112	0	0	6.78369e-14    
113	0	0	1.61021e-13    
114	0	0	2.9032e-13     
115	0	0	1.92318e-13    
116	0	0	1.91506e-13    
117	0	0	1.44997e-13    
118	0	0	1.07933e-13    
119	0	0	9.13508e-14    
120	0	0	1.519e-13      
121	0	0	1.40589e-13    
122	0	0	2.28911e-13    
123	0	0	6.28981e-14    
124	0	0	6.38562e-14    
125	0	0	8.33417e-14    
126	0	0	1.37215e-13    
127	0	0	7.51571e-14    
128	0	0	1.05449e-13    
129	0	0	8.75186e-14    
130	0	0	7.05382e-14    
131	0	0	5.17721e-14    
132	0	0	6.08601e-14    
133	0	0	9.33536e-14    
134	0	0	5.5105e-14     
135	0	0	1.03014e-13    
136	0	0	6.63186e-14    
137	0	0	4.31114e-14    
138	0	0	7.68204e-14    
139	0	0	1.09457e-13    
140	0	0	8.65861e-14    
141	0	0	7.72019e-14    
142	0	0	1.23146e-13    
143	0	0	6.03009e-14    
144	0	0	4.42676e-14    
145	0	0	3.51763e-14    
146	0	0	2.70337e-14    
147	0	0	6.50106e-14    
148	0	0	5.458e-14      
149	0	0	1.25184e-13    
150	0	0	8.10554e-14    
151	0	0	8.62252e-14    
152	0	0	4.61738e-14    
153	0	0	1.43585e-14    
154	0	0	1.23011e-13    
155	0	0	1.94695e-15    
156	0	0	9.168e-15      
157	0	0	6.69861e-15    
158	0	0	1.26038e-14    
159	0	0	1.07664e-14    
160	0	0	2.26612e-14    
161	0	0	2.04976e-14    
162	0	0	8.28973e-15    
163	0	0	3.77856e-14    
164	0	0	3.68443e-14    
165	0	0	1.70218e-14    
166	0	0	2.65313e-14    
167	0	0	4.88225e-15    
168	0	0	5.19205e-14    
169	0	0	5.51392e-15    
170	0	0	3.12043e-14    
171	0	0	1.78366e-15    
172	0	0	2.33621e-14    
173	0	0	2.20338e-14    
174	0	0	3.3821e-16     
175	0	0	2.56131e-14    
176	0	0	4.8467e-15     
177	0	0	4.90564e-14    
178	0	0	2.93739e-15    
179	0	0	7.32483e-15    
180	0	0	6.7886e-14     
181	0	0	2.86083e-14    
182	0	0	1.32579e-15    
183	0	0	5.08988e-14    
184	0	0	4.49826e-14    
185	0	0	6.3261e-15     
186	0	0	5.05132e-15    
188	0	0	1.73704e-14    
189	0	0	6.19685e-15    
190	0	0	2.02467e-15    
191	0	0	2.08087e-14    
192	0	0	2.08489e-14    
193	0	0	1.58467e-15    
194	0	0	1.80408e-14    
197	0	0	1.66568e-14    
198	0	0	9.20556e-16    
