i	j	k	Dose(Gy)       
0	0	0	2.14269e-08    
1	0	0	2.1522e-08     
2	0	0	2.15511e-08    
3	0	0	2.1613e-08     
4	0	0	2.16865e-08    
5	0	0	2.17598e-08    
6	0	0	2.18012e-08    
7	0	0	2.18676e-08    
8	0	0	2.18986e-08    
9	0	0	2.19751e-08    
10	0	0	2.2025e-08     
11	0	0	2.2115e-08     
12	0	0	2.21709e-08    
13	0	0	2.21996e-08    
14	0	0	2.22938e-08    
15	0	0	2.23757e-08    
16	0	0	2.24459e-08    
17	0	0	2.24776e-08    
18	0	0	2.25582e-08    
19	0	0	2.26187e-08    
20	0	0	2.26761e-08    
21	0	0	2.27376e-08    
22	0	0	2.28143e-08    
23	0	0	2.28815e-08    
24	0	0	2.29608e-08    
25	0	0	2.30292e-08    
26	0	0	2.31403e-08    
27	0	0	2.31712e-08    
28	0	0	2.32483e-08    
29	0	0	2.33453e-08    
30	0	0	2.33854e-08    
31	0	0	2.34618e-08    
32	0	0	2.35749e-08    
33	0	0	2.3657e-08     
34	0	0	2.37088e-08    
35	0	0	2.37848e-08    
36	0	0	2.38746e-08    
37	0	0	2.39651e-08    
38	0	0	2.40455e-08    
39	0	0	2.41247e-08    
40	0	0	2.42359e-08    
41	0	0	2.4323e-08     
42	0	0	2.44178e-08    
43	0	0	2.45073e-08    
44	0	0	2.45863e-08    
45	0	0	2.46314e-08    
46	0	0	2.47725e-08    
47	0	0	2.48599e-08    
48	0	0	2.49892e-08    
49	0	0	2.50973e-08    
50	0	0	2.51722e-08    
51	0	0	2.52494e-08    
52	0	0	2.53929e-08    
53	0	0	2.5471e-08     
54	0	0	2.55995e-08    
55	0	0	2.56663e-08    
56	0	0	2.58429e-08    
57	0	0	2.59315e-08    
58	0	0	2.6032e-08     
59	0	0	2.61533e-08    
60	0	0	2.6282e-08     
61	0	0	2.63863e-08    
62	0	0	2.6529e-08     
63	0	0	2.66494e-08    
64	0	0	2.67444e-08    
65	0	0	2.68638e-08    
66	0	0	2.70267e-08    
67	0	0	2.71811e-08    
68	0	0	2.73102e-08    
69	0	0	2.74547e-08    
70	0	0	2.75678e-08    
71	0	0	2.77659e-08    
72	0	0	2.78891e-08    
