i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	45322.6        0.454087       0.454094       0.454087       0.454094       0              0              
1	0	0	45498.1        0.455459       0.455466       0.455459       0.455466       0              0              
2	0	0	45615.2        0.456847       0.456854       0.456847       0.456854       0              0              
3	0	0	45807.2        0.458253       0.45826        0.458253       0.45826        0              0              
4	0	0	45925.4        0.459676       0.459684       0.459676       0.459684       0              0              
5	0	0	45983.5        0.461115       0.461123       0.461115       0.461123       0              0              
6	0	0	46159.9        0.462573       0.46258        0.462573       0.46258        0              0              
7	0	0	46337.9        0.464048       0.464057       0.464048       0.464057       0              0              
8	0	0	46520.3        0.465545       0.465553       0.465545       0.465553       0              0              
9	0	0	46664.3        0.467061       0.467068       0.467061       0.467068       0              0              
10	0	0	46822.2        0.468596       0.468604       0.468596       0.468604       0              0              
11	0	0	46998.6        0.470151       0.47016        0.470151       0.47016        0              0              
12	0	0	47117.3        0.471729       0.471736       0.471729       0.471736       0              0              
13	0	0	47292.2        0.489345       0.473347       0.473323       0.473332       556.217        411.109        
14	0	0	47458.3        0.474942       0.47495        0.474942       0.47495        0              0              
15	0	0	47613.7        0.476583       0.476591       0.476583       0.476591       0              0              
16	0	0	47761.4        0.478246       0.478253       0.478246       0.478253       0              0              
17	0	0	48000.3        0.479932       0.47994        0.479932       0.47994        0              0              
18	0	0	48103.4        0.481641       0.481649       0.481641       0.481649       0              0              
19	0	0	48225.2        0.483373       0.483381       0.483373       0.483381       0              0              
20	0	0	48467.5        0.485129       0.485137       0.485129       0.485137       0              0              
21	0	0	48595.3        0.486911       0.486918       0.486911       0.486918       0              0              
22	0	0	48836.6        0.48872        0.488726       0.48872        0.488726       0              0              
23	0	0	49032.8        0.490555       0.490562       0.490555       0.490562       0              0              
24	0	0	49181          0.492416       0.492424       0.492416       0.492424       0              0              
25	0	0	49403          0.494306       0.494314       0.494306       0.494314       0              0              
26	0	0	49507.4        0.496221       0.49623        0.496221       0.49623        0              0              
27	0	0	49757.4        0.498169       0.498175       0.498169       0.498175       0              0              
28	0	0	49951.3        0.500145       0.500152       0.500145       0.500152       0              0              
29	0	0	50171.6        0.502151       0.502159       0.502151       0.502159       0              0              
30	0	0	50338          0.50419        0.504197       0.50419        0.504197       0              0              
31	0	0	50538.5        0.50626        0.506266       0.50626        0.506266       0              0              
32	0	0	50766.9        0.517723       0.508381       0.508363       0.508369       468.26         416.089        
33	0	0	50966          0.510499       0.510506       0.510499       0.510506       0              0              
34	0	0	51180.2        0.512669       0.512677       0.512669       0.512677       0              0              
35	0	0	51440.4        0.51488        0.514885       0.51488        0.514885       0              0              
36	0	0	51623.5        0.517122       0.517129       0.517122       0.517129       0              0              
37	0	0	51915.3        0.519402       0.519412       0.519402       0.519412       0              0              
38	0	0	52140.1        0.530776       0.521744       0.521729       0.521734       466.926        390.064        
39	0	0	52285.8        0.537271       0.524111       0.524089       0.524095       534.61         454.442        
40	0	0	52580.8        0.52649        0.526496       0.52649        0.526496       0              0              
41	0	0	52829          0.528935       0.528941       0.528935       0.528941       0              0              
42	0	0	53052.9        0.531422       0.531428       0.531422       0.531428       0              0              
43	0	0	53330          0.533954       0.53396        0.533954       0.53396        0              0              
44	0	0	53557.6        0.536532       0.536539       0.536532       0.536539       0              0              
45	0	0	53830.1        0.539161       0.539165       0.539161       0.539165       0              0              
46	0	0	54126.5        0.541837       0.541841       0.541837       0.541841       0              0              
47	0	0	54350          0.544562       0.544567       0.544562       0.544567       0              0              
48	0	0	54651.3        0.547339       0.547345       0.547339       0.547345       0              0              
49	0	0	54941.8        0.550174       0.550177       0.550174       0.550177       0              0              
50	0	0	55227.5        0.553062       0.553065       0.553062       0.553065       0              0              
51	0	0	55486          0.556009       0.556011       0.556009       0.556011       0              0              
52	0	0	55794.2        0.559011       0.559014       0.559011       0.559014       0              0              
53	0	0	56102.5        0.56208        0.56208        0.56208        0.56208        0              0              
54	0	0	56428.8        0.565207       0.56521        0.565207       0.56521        0              0              
55	0	0	56725.4        0.568403       0.568404       0.568403       0.568404       0              0              
56	0	0	57040.9        0.571667       0.571666       0.571667       0.571666       0              0              
57	0	0	57444.2        0.575          0.575002       0.575          0.575002       0              0              
58	0	0	57711.9        0.578414       0.57841        0.578414       0.57841        0              0              
59	0	0	58072.2        0.581894       0.581892       0.581894       0.581892       0              0              
60	0	0	58445.9        0.585456       0.585455       0.585456       0.585455       0              0              
61	0	0	58766.6        0.589102       0.589097       0.589102       0.589097       0              0              
62	0	0	59172.7        0.592824       0.592824       0.592824       0.592824       0              0              
63	0	0	59555.9        0.596645       0.596642       0.596645       0.596642       0              0              
64	0	0	59932.7        0.600558       0.60055        0.600558       0.60055        0              0              
65	0	0	60334.9        0.604557       0.604553       0.604557       0.604553       0              0              
66	0	0	60813.3        0.608667       0.60866        0.608667       0.60866        0              0              
67	0	0	61186.8        0.612879       0.61287        0.612879       0.61287        0              0              
68	0	0	61566.2        0.617193       0.617185       0.617193       0.617185       0              0              
69	0	0	62024.4        0.621622       0.621612       0.621622       0.621612       0              0              
70	0	0	62514.6        0.626175       0.626159       0.626175       0.626159       0              0              
71	0	0	62992.1        0.630846       0.630831       0.630846       0.630831       0              0              
72	0	0	63516.6        0.635654       0.635634       0.635654       0.635634       0              0              
73	0	0	63959.2        0.640595       0.640572       0.640595       0.640572       0              0              
74	0	0	64519.3        0.645672       0.645652       0.645672       0.645652       0              0              
75	0	0	65026.2        0.650912       0.650882       0.650912       0.650882       0              0              
76	0	0	65652.7        0.6563         0.656273       0.6563         0.656273       0              0              
77	0	0	66140.1        0.661853       0.661826       0.661853       0.661826       0              0              
78	0	0	66713.1        0.66758        0.66755        0.66758        0.66755        0              0              
79	0	0	67340.3        0.680068       0.673467       0.673499       0.673458       456.484        381.619        
80	0	0	67928.8        0.679596       0.679559       0.679596       0.679559       0              0              
81	0	0	68575.3        0.685911       0.68586        0.685911       0.68586        0              0              
82	0	0	69222.8        0.698547       0.692388       0.692429       0.692379       448.471        376.073        
83	0	0	69919.3        0.699176       0.699123       0.699176       0.699123       0              0              
84	0	0	70615.5        0.706169       0.706108       0.706169       0.706108       0              0              
85	0	0	71327.8        0.713416       0.713347       0.713416       0.713347       0              0              
86	0	0	72079.1        0.720937       0.720857       0.720937       0.720857       0              0              
87	0	0	72848.7        0.728734       0.728652       0.728734       0.728652       0              0              
88	0	0	73630.6        0.736847       0.736753       0.736847       0.736753       0              0              
89	0	0	74539.5        0.745282       0.745184       0.745282       0.745184       0              0              
90	0	0	75457.8        0.754082       0.753971       0.754082       0.753971       0              0              
91	0	0	76323.3        0.763264       0.763131       0.763264       0.763131       0              0              
92	0	0	77341          0.772838       0.772699       0.772838       0.772699       0              0              
93	0	0	78325          0.782853       0.782701       0.782853       0.782701       0              0              
94	0	0	79338.6        0.793342       0.793169       0.793342       0.793169       0              0              
95	0	0	80490          0.804334       0.804144       0.804334       0.804144       0              0              
96	0	0	81626.9        0.815875       0.81567        0.815875       0.81567        0              0              
97	0	0	82876.9        0.828032       0.827795       0.828032       0.827795       0              0              
98	0	0	84111.2        0.840831       0.840567       0.840831       0.840567       0              0              
