i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
78	0	0	59279.6        0.593615       0.5936         0.593615       0.5936         0              0              0              0              
79	0	0	59678.4        0.597455       0.597439       0.597455       0.597439       0              0              0              0              
80	0	0	60042.3        0.601384       0.601369       0.601384       0.601369       0              0              0              0              
81	0	0	60436.3        0.605414       0.605395       0.605414       0.605395       0              0              0              0              
82	0	0	60900.9        0.617529       0.609534       0.609546       0.609523       0              0              472.266        414.346        
83	0	0	61281          0.613779       0.613757       0.613779       0.613757       0              0              0              0              
84	0	0	61691.1        0.625654       0.618109       0.618119       0.618097       0              0              464.464        410.386        
85	0	0	62124.1        0.622578       0.62255        0.622578       0.62255        0              0              0              0              
86	0	0	62608.1        0.627143       0.627122       0.627143       0.627122       0              0              0              0              
87	0	0	63076.3        0.631858       0.631819       0.631858       0.631819       0              0              0              0              
88	0	0	63557.6        0.636693       0.636648       0.636693       0.636648       0              0              0              0              
89	0	0	64085.4        0.641656       0.641616       0.641656       0.641616       0              0              0              0              
90	0	0	64645.6        0.646777       0.646727       0.646777       0.646727       0              0              0              0              
91	0	0	65220.3        0.652045       0.651995       0.652045       0.651995       0              0              0              0              
92	0	0	65762.1        0.657468       0.657421       0.657468       0.657421       0              0              0              0              
93	0	0	66313.2        0.663072       0.663015       0.663072       0.663015       0              0              0              0              
94	0	0	66858.7        0.668834       0.66878        0.668834       0.66878        0              0              0              0              
95	0	0	67438.7        0.674786       0.674727       0.674786       0.674727       0              0              0              0              
96	0	0	68125.9        0.680941       0.680873       0.680941       0.680873       0              0              0              0              
97	0	0	68749.1        0.687302       0.687226       0.687302       0.687226       0              0              0              0              
98	0	0	69427.5        0.694063       0.69385        0.693885       0.693799       2.41143        2.40422        0              0              
99	0	0	70101.5        0.702716       0.700754       0.700688       0.700597       8.40711        5.04407        0              0              
100	0	0	70764          0.707736       0.707638       0.707736       0.707638       0              0              0              0              
101	0	0	71501          0.715044       0.714936       0.715044       0.714936       0              0              0              0              
102	0	0	72258          0.72262        0.722509       0.72262        0.722509       0              0              0              0              
103	0	0	73071.8        0.73049        0.730375       0.73049        0.730375       0              0              0              0              
104	0	0	73869.7        0.73869        0.738554       0.73869        0.738554       0              0              0              0              
105	0	0	74704.7        0.747213       0.747061       0.747213       0.747061       0              0              0              0              
106	0	0	75605.5        0.756096       0.755927       0.756096       0.755927       0              0              0              0              
107	0	0	76567.3        0.765367       0.765175       0.765367       0.765175       0              0              0              0              
108	0	0	77564.8        0.775039       0.77484        0.775039       0.77484        0              0              0              0              
109	0	0	78642.2        0.785179       0.784953       0.785179       0.784953       0              0              0              0              
110	0	0	79626.9        0.795783       0.795542       0.795783       0.795542       0              0              0              0              
111	0	0	80790          0.806921       0.806644       0.806921       0.806644       0              0              0              0              
112	0	0	81886.7        0.8186         0.818306       0.8186         0.818306       0              0              0              0              
113	0	0	83144.7        0.830912       0.830575       0.830912       0.830575       0              0              0              0              
114	0	0	84441.9        0.843898       0.84351        0.843898       0.84351        0              0              0              0              
115	0	0	85838.5        0.864562       0.857187       0.8576         0.857174       0              0              509.941        449.773        
116	0	0	87298.4        0.872118       0.871641       0.872118       0.871641       0              0              0              0              
117	0	0	88822.7        0.887526       0.886988       0.887526       0.886988       0              0              0              0              
118	0	0	90464          0.903925       0.903309       0.903925       0.903309       0              0              0              0              
119	0	0	92181          0.921431       0.920715       0.921431       0.920715       0              0              0              0              
120	0	0	94063.9        0.940168       0.939334       0.940168       0.939334       0              0              0              0              
121	0	0	96078.3        0.960473       0.959337       0.960473       0.959337       0              0              0              0              
122	0	0	98281.9        0.982842       0.980838       0.982842       0.980838       0              0              0              0              
123	0	0	100632         1.01492        1.00406        1.00521        1.00404        0              0              608.775        461.378        
124	0	0	103150         1.03071        1.02931        1.03071        1.02931        0              0              0              0              
125	0	0	105976         1.05855        1.05689        1.05855        1.05689        0              0              0              0              
126	0	0	108952         1.08918        1.08717        1.08918        1.08717        0              0              0              0              
127	0	0	112324         1.12308        1.12063        1.12308        1.12063        0              0              0              0              
128	0	0	116104         1.16177        1.1579         1.16177        1.1579         0              0              0              0              
129	0	0	120233         1.20324        1.1996         1.20324        1.1996         0              0              0              0              
130	0	0	124964         1.25165        1.247          1.25165        1.247          0              0              0              0              
131	0	0	130478         1.30835        1.30149        1.30835        1.30149        0              0              0              0              
132	0	0	136867         1.37732        1.36495        1.37312        1.36494        0              0              503.289        386.001        
133	0	0	144481         1.45741        1.44064        1.45232        1.44063        3.06692        3.06692        552.111        447.17         
134	0	0	153796         1.5536         1.53349        1.5528         1.53337        9.2116         5.60105        0              0              
135	0	0	165658         1.68752        1.6515         1.68752        1.6515         0              0              0              0              
136	0	0	181656         1.89653        1.81173        1.89363        1.81172        0              0              490.841        424.362        
137	0	0	205007         2.30958        2.05081        2.30958        2.05081        0              0              0              0              
138	0	0	238739         3.14962        2.42776        3.14962        2.42776        0              0              0              0              
139	0	0	276883         4.55599        2.9969         4.55451        2.99689        0              0              444.356        414.047        
140	0	0	292520         6.30985        3.75511        6.30985        3.75511        0              0              0              0              
141	0	0	250181         8.10481        4.61401        8.10481        4.61401        0              0              0              0              
142	0	0	160297         9.75399        5.53413        9.75399        5.53413        0              0              0              0              
143	0	0	70248.9        11.3067        6.47598        11.3067        6.47598        0              0              0              0              
144	0	0	19410          12.6355        7.29489        12.6355        7.29489        0              0              0              0              
145	0	0	3586.09        13.6349        8.03053        13.6349        8.03053        0              0              0              0              
146	0	0	399.144        15.6261        9.75753        15.6261        9.75753        0              0              0              0              
147	0	0	11.8499        25.3517        18.9726        25.3517        18.9726        0              0              0              0              
148	0	0	0              0              0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              0              0              
