i	j	k	Dose(Gy)       
0	0	0	2.22041e-08    
1	0	0	2.23421e-08    
2	0	0	2.2357e-08     
3	0	0	2.24595e-08    
4	0	0	2.25401e-08    
5	0	0	2.25818e-08    
6	0	0	2.26522e-08    
7	0	0	2.27009e-08    
8	0	0	2.2792e-08     
9	0	0	2.28401e-08    
10	0	0	2.29299e-08    
11	0	0	2.30166e-08    
12	0	0	2.30809e-08    
13	0	0	2.31473e-08    
14	0	0	2.32325e-08    
15	0	0	2.33013e-08    
16	0	0	2.33785e-08    
17	0	0	2.34765e-08    
18	0	0	2.35299e-08    
19	0	0	2.36167e-08    
20	0	0	2.3696e-08     
21	0	0	2.37782e-08    
22	0	0	2.38731e-08    
23	0	0	2.3962e-08     
24	0	0	2.40017e-08    
25	0	0	2.41276e-08    
26	0	0	2.42226e-08    
27	0	0	2.42761e-08    
28	0	0	2.43735e-08    
29	0	0	2.44834e-08    
30	0	0	2.45779e-08    
31	0	0	2.46598e-08    
32	0	0	2.47455e-08    
33	0	0	2.48486e-08    
34	0	0	2.49481e-08    
35	0	0	2.50427e-08    
36	0	0	2.51409e-08    
37	0	0	2.52233e-08    
38	0	0	2.53404e-08    
39	0	0	2.54874e-08    
40	0	0	2.55408e-08    
41	0	0	2.56957e-08    
42	0	0	2.57839e-08    
43	0	0	2.58837e-08    
44	0	0	2.60232e-08    
45	0	0	2.61447e-08    
46	0	0	2.62377e-08    
47	0	0	2.63391e-08    
48	0	0	2.65006e-08    
49	0	0	2.66199e-08    
50	0	0	2.67061e-08    
51	0	0	2.6905e-08     
52	0	0	2.69668e-08    
53	0	0	2.71262e-08    
54	0	0	2.7248e-08     
55	0	0	2.74161e-08    
56	0	0	2.75467e-08    
57	0	0	2.76954e-08    
58	0	0	2.78477e-08    
59	0	0	2.80211e-08    
60	0	0	2.81455e-08    
61	0	0	2.82806e-08    
62	0	0	2.84456e-08    
63	0	0	2.86181e-08    
64	0	0	2.87996e-08    
65	0	0	2.89519e-08    
66	0	0	2.91411e-08    
67	0	0	2.93219e-08    
68	0	0	2.95274e-08    
69	0	0	2.968e-08      
70	0	0	2.989e-08      
71	0	0	3.00796e-08    
72	0	0	3.02895e-08    
73	0	0	3.05134e-08    
74	0	0	3.07126e-08    
75	0	0	3.09105e-08    
76	0	0	3.11349e-08    
77	0	0	3.13815e-08    
78	0	0	3.16024e-08    
79	0	0	3.18842e-08    
80	0	0	3.21105e-08    
81	0	0	3.23923e-08    
82	0	0	3.26453e-08    
83	0	0	3.29651e-08    
84	0	0	3.32148e-08    
85	0	0	3.35325e-08    
86	0	0	3.38026e-08    
87	0	0	3.41157e-08    
88	0	0	3.44593e-08    
89	0	0	3.47678e-08    
90	0	0	3.51398e-08    
91	0	0	3.55155e-08    
92	0	0	3.58697e-08    
93	0	0	3.6234e-08     
94	0	0	3.66153e-08    
95	0	0	3.70264e-08    
96	0	0	3.74786e-08    
97	0	0	3.78798e-08    
98	0	0	3.83817e-08    
99	0	0	3.88848e-08    
100	0	0	3.93926e-08    
101	0	0	3.99118e-08    
102	0	0	4.04769e-08    
103	0	0	4.10381e-08    
104	0	0	4.16798e-08    
105	0	0	4.23447e-08    
106	0	0	4.30496e-08    
107	0	0	4.37566e-08    
108	0	0	4.45357e-08    
109	0	0	4.53628e-08    
110	0	0	4.62842e-08    
111	0	0	4.71818e-08    
112	0	0	4.82012e-08    
113	0	0	4.93114e-08    
114	0	0	5.04715e-08    
115	0	0	5.17397e-08    
116	0	0	5.31543e-08    
117	0	0	5.47142e-08    
118	0	0	5.63636e-08    
119	0	0	5.82936e-08    
120	0	0	6.04099e-08    
121	0	0	6.28119e-08    
122	0	0	6.55704e-08    
123	0	0	6.87895e-08    
124	0	0	7.26492e-08    
125	0	0	7.73437e-08    
126	0	0	8.33471e-08    
127	0	0	9.14854e-08    
128	0	0	1.03322e-07    
129	0	0	1.20795e-07    
130	0	0	1.42039e-07    
131	0	0	1.50881e-07    
132	0	0	1.26048e-07    
133	0	0	7.33629e-08    
134	0	0	2.77641e-08    
135	0	0	6.2452e-09     
136	0	0	8.00242e-10    
137	0	0	5.70323e-11    
138	0	0	2.16802e-12    
139	0	0	1.05321e-13    
140	0	0	1.28088e-13    
141	0	0	1.63078e-13    
142	0	0	1.2503e-13     
143	0	0	1.10445e-13    
144	0	0	1.6054e-13     
145	0	0	1.60866e-13    
146	0	0	1.39636e-13    
147	0	0	1.18621e-13    
148	0	0	1.9268e-13     
149	0	0	9.07012e-14    
150	0	0	1.73242e-13    
151	0	0	5.22095e-14    
152	0	0	6.09388e-14    
153	0	0	1.36144e-13    
154	0	0	8.238e-14      
155	0	0	1.28518e-13    
156	0	0	8.99795e-14    
157	0	0	6.51727e-14    
158	0	0	9.67546e-14    
159	0	0	5.34031e-14    
160	0	0	1.40936e-13    
161	0	0	8.36197e-14    
162	0	0	4.68768e-14    
163	0	0	9.99667e-14    
164	0	0	5.5845e-14     
165	0	0	3.81891e-14    
166	0	0	3.77114e-14    
167	0	0	2.96483e-14    
168	0	0	7.40332e-14    
169	0	0	1.47284e-13    
170	0	0	5.87678e-14    
171	0	0	6.211e-14      
172	0	0	4.42107e-14    
173	0	0	6.58733e-14    
174	0	0	2.89971e-14    
175	0	0	5.04531e-14    
176	0	0	4.79881e-14    
177	0	0	1.74125e-14    
178	0	0	2.20678e-14    
179	0	0	6.72587e-14    
180	0	0	5.01853e-14    
181	0	0	2.31786e-15    
182	0	0	6.35486e-14    
183	0	0	5.32885e-15    
184	0	0	7.12055e-14    
185	0	0	1.89218e-14    
186	0	0	3.92809e-14    
187	0	0	2.24367e-15    
188	0	0	2.31579e-15    
189	0	0	3.46494e-14    
190	0	0	1.03195e-14    
191	0	0	1.73016e-15    
192	0	0	3.03202e-14    
193	0	0	2.03173e-14    
194	0	0	7.67014e-15    
195	0	0	1.21888e-16    
196	0	0	3.39308e-14    
198	0	0	4.8055e-16     
199	0	0	5.41439e-15    
