i	j	k	Dose(Gy)       
0	0	0	2.19118e-08    
1	0	0	2.20494e-08    
2	0	0	2.21094e-08    
3	0	0	2.21707e-08    
4	0	0	2.22383e-08    
5	0	0	2.23116e-08    
6	0	0	2.23551e-08    
7	0	0	2.24365e-08    
8	0	0	2.25143e-08    
9	0	0	2.25418e-08    
10	0	0	2.26248e-08    
11	0	0	2.26914e-08    
12	0	0	2.27705e-08    
13	0	0	2.28346e-08    
14	0	0	2.29004e-08    
15	0	0	2.29913e-08    
16	0	0	2.30448e-08    
17	0	0	2.3159e-08     
18	0	0	2.32181e-08    
19	0	0	2.32572e-08    
20	0	0	2.3349e-08     
21	0	0	2.34474e-08    
22	0	0	2.34938e-08    
23	0	0	2.35697e-08    
24	0	0	2.36712e-08    
25	0	0	2.37233e-08    
26	0	0	2.37819e-08    
27	0	0	2.3899e-08     
28	0	0	2.39861e-08    
29	0	0	2.40765e-08    
30	0	0	2.41598e-08    
31	0	0	2.42512e-08    
32	0	0	2.4316e-08     
33	0	0	2.44111e-08    
34	0	0	2.44921e-08    
35	0	0	2.46034e-08    
36	0	0	2.47275e-08    
37	0	0	2.48092e-08    
38	0	0	2.49017e-08    
39	0	0	2.49889e-08    
40	0	0	2.50724e-08    
41	0	0	2.51849e-08    
42	0	0	2.52836e-08    
43	0	0	2.53976e-08    
44	0	0	2.54722e-08    
45	0	0	2.56087e-08    
46	0	0	2.56843e-08    
47	0	0	2.58416e-08    
48	0	0	2.59526e-08    
49	0	0	2.60912e-08    
50	0	0	2.61849e-08    
51	0	0	2.63228e-08    
52	0	0	2.64275e-08    
53	0	0	2.65508e-08    
54	0	0	2.66656e-08    
55	0	0	2.68024e-08    
56	0	0	2.69313e-08    
57	0	0	2.70557e-08    
58	0	0	2.71883e-08    
59	0	0	2.73088e-08    
60	0	0	2.74566e-08    
61	0	0	2.76175e-08    
62	0	0	2.77664e-08    
63	0	0	2.79013e-08    
64	0	0	2.8074e-08     
65	0	0	2.82458e-08    
66	0	0	2.83667e-08    
67	0	0	2.85517e-08    
68	0	0	2.87016e-08    
69	0	0	2.88705e-08    
70	0	0	2.90676e-08    
71	0	0	2.92141e-08    
72	0	0	2.94433e-08    
73	0	0	2.95745e-08    
74	0	0	2.97869e-08    
75	0	0	2.99846e-08    
76	0	0	3.01373e-08    
77	0	0	3.03686e-08    
78	0	0	3.05715e-08    
79	0	0	3.07902e-08    
80	0	0	3.10261e-08    
81	0	0	3.12753e-08    
82	0	0	3.14708e-08    
83	0	0	3.1742e-08     
84	0	0	3.19793e-08    
85	0	0	3.22484e-08    
86	0	0	3.25362e-08    
87	0	0	3.27791e-08    
88	0	0	3.30843e-08    
89	0	0	3.33674e-08    
90	0	0	3.36856e-08    
91	0	0	3.39467e-08    
92	0	0	3.42955e-08    
93	0	0	3.45966e-08    
94	0	0	3.49253e-08    
95	0	0	3.53061e-08    
96	0	0	3.56633e-08    
97	0	0	3.6023e-08     
98	0	0	3.64007e-08    
99	0	0	3.68544e-08    
100	0	0	3.72479e-08    
101	0	0	3.76966e-08    
102	0	0	3.81605e-08    
103	0	0	3.86063e-08    
104	0	0	3.91158e-08    
105	0	0	3.96235e-08    
106	0	0	4.01979e-08    
107	0	0	4.07647e-08    
108	0	0	4.13642e-08    
109	0	0	4.2045e-08     
110	0	0	4.26681e-08    
111	0	0	4.33792e-08    
112	0	0	4.41522e-08    
113	0	0	4.49422e-08    
114	0	0	4.57691e-08    
115	0	0	4.6706e-08     
116	0	0	4.76771e-08    
117	0	0	4.87306e-08    
118	0	0	4.98438e-08    
119	0	0	5.10603e-08    
120	0	0	5.24218e-08    
121	0	0	5.38568e-08    
122	0	0	5.54818e-08    
123	0	0	5.72696e-08    
124	0	0	5.9262e-08     
125	0	0	6.15258e-08    
126	0	0	6.4099e-08     
127	0	0	6.7074e-08     
128	0	0	7.06084e-08    
129	0	0	7.4827e-08     
130	0	0	8.00853e-08    
131	0	0	8.70417e-08    
132	0	0	9.68342e-08    
133	0	0	1.11306e-07    
134	0	0	1.31053e-07    
135	0	0	1.47073e-07    
136	0	0	1.40301e-07    
137	0	0	1.02999e-07    
138	0	0	5.07194e-08    
139	0	0	1.61884e-08    
140	0	0	3.11689e-09    
141	0	0	2.96397e-10    
142	0	0	2.65099e-11    
143	0	0	3.76311e-12    
144	0	0	1.83928e-13    
145	0	0	9.97758e-14    
146	0	0	1.49993e-13    
147	0	0	1.01417e-13    
148	0	0	1.74796e-13    
149	0	0	1.4612e-13     
150	0	0	1.17068e-13    
151	0	0	1.16891e-13    
152	0	0	2.46432e-13    
153	0	0	5.39006e-14    
154	0	0	1.21568e-13    
155	0	0	7.26094e-14    
156	0	0	1.51409e-13    
157	0	0	5.23654e-14    
158	0	0	1.05735e-13    
159	0	0	1.08308e-13    
160	0	0	2.72085e-14    
161	0	0	5.54653e-14    
162	0	0	1.25376e-13    
163	0	0	6.45996e-14    
164	0	0	4.6556e-14     
165	0	0	5.5097e-14     
166	0	0	1.15808e-13    
167	0	0	3.6023e-14     
168	0	0	1.0906e-13     
169	0	0	2.87482e-14    
170	0	0	7.89578e-14    
171	0	0	1.10934e-13    
172	0	0	5.57953e-14    
173	0	0	2.83279e-14    
174	0	0	9.65394e-14    
175	0	0	4.53749e-14    
176	0	0	3.83271e-14    
177	0	0	7.42137e-14    
178	0	0	4.99612e-14    
179	0	0	4.11999e-14    
180	0	0	2.61461e-14    
181	0	0	2.87396e-14    
182	0	0	4.59628e-14    
183	0	0	2.3301e-14     
184	0	0	5.68675e-14    
185	0	0	1.01238e-15    
186	0	0	3.60038e-14    
187	0	0	2.36751e-14    
188	0	0	6.63918e-15    
189	0	0	1.16446e-14    
190	0	0	2.82537e-14    
191	0	0	1.70362e-14    
192	0	0	4.19955e-15    
193	0	0	2.30594e-14    
194	0	0	6.78451e-15    
195	0	0	2.07696e-14    
196	0	0	3.40137e-14    
197	0	0	6.04951e-16    
198	0	0	2.00863e-14    
