i	j	k	Dose(Gy)       
0	0	0	2.36101e-08    
1	0	0	2.37325e-08    
2	0	0	2.38275e-08    
3	0	0	2.39299e-08    
4	0	0	2.40104e-08    
5	0	0	2.4064e-08     
6	0	0	2.4186e-08     
7	0	0	2.42647e-08    
8	0	0	2.43254e-08    
9	0	0	2.44437e-08    
10	0	0	2.45543e-08    
11	0	0	2.46201e-08    
12	0	0	2.4721e-08     
13	0	0	2.48254e-08    
14	0	0	2.49032e-08    
15	0	0	2.50291e-08    
16	0	0	2.51322e-08    
17	0	0	2.52234e-08    
18	0	0	2.53124e-08    
19	0	0	2.54268e-08    
20	0	0	2.55258e-08    
21	0	0	2.56269e-08    
22	0	0	2.57309e-08    
23	0	0	2.58512e-08    
24	0	0	2.59588e-08    
25	0	0	2.60613e-08    
26	0	0	2.62059e-08    
27	0	0	2.63249e-08    
28	0	0	2.64275e-08    
29	0	0	2.65695e-08    
30	0	0	2.66607e-08    
31	0	0	2.68157e-08    
32	0	0	2.69554e-08    
33	0	0	2.70575e-08    
34	0	0	2.72098e-08    
35	0	0	2.73669e-08    
36	0	0	2.7513e-08     
37	0	0	2.76506e-08    
38	0	0	2.77683e-08    
39	0	0	2.7944e-08     
40	0	0	2.80887e-08    
41	0	0	2.82566e-08    
42	0	0	2.84082e-08    
43	0	0	2.85847e-08    
44	0	0	2.87592e-08    
45	0	0	2.89006e-08    
46	0	0	2.90752e-08    
47	0	0	2.92637e-08    
48	0	0	2.94443e-08    
49	0	0	2.96036e-08    
50	0	0	2.98e-08       
51	0	0	3.00057e-08    
52	0	0	3.01843e-08    
53	0	0	3.03978e-08    
54	0	0	3.06198e-08    
55	0	0	3.0819e-08     
56	0	0	3.10508e-08    
57	0	0	3.1279e-08     
58	0	0	3.15228e-08    
59	0	0	3.17735e-08    
60	0	0	3.20378e-08    
61	0	0	3.22825e-08    
62	0	0	3.25664e-08    
63	0	0	3.28372e-08    
64	0	0	3.31027e-08    
65	0	0	3.34082e-08    
66	0	0	3.37183e-08    
67	0	0	3.40066e-08    
68	0	0	3.43262e-08    
69	0	0	3.46625e-08    
70	0	0	3.49942e-08    
71	0	0	3.53387e-08    
72	0	0	3.57081e-08    
73	0	0	3.61005e-08    
74	0	0	3.64798e-08    
75	0	0	3.69093e-08    
76	0	0	3.73194e-08    
77	0	0	3.77542e-08    
78	0	0	3.82196e-08    
79	0	0	3.86751e-08    
80	0	0	3.92013e-08    
81	0	0	3.97101e-08    
82	0	0	4.02573e-08    
83	0	0	4.08651e-08    
84	0	0	4.14684e-08    
85	0	0	4.21167e-08    
86	0	0	4.27884e-08    
87	0	0	4.34906e-08    
88	0	0	4.42517e-08    
89	0	0	4.50627e-08    
90	0	0	4.59116e-08    
91	0	0	4.68389e-08    
92	0	0	4.78067e-08    
93	0	0	4.89048e-08    
94	0	0	5.0049e-08     
95	0	0	5.12949e-08    
96	0	0	5.26141e-08    
97	0	0	5.41115e-08    
98	0	0	5.57679e-08    
99	0	0	5.75816e-08    
100	0	0	5.95971e-08    
101	0	0	6.18806e-08    
102	0	0	6.44673e-08    
103	0	0	6.7522e-08     
104	0	0	7.10701e-08    
105	0	0	7.53778e-08    
106	0	0	8.07441e-08    
107	0	0	8.771e-08      
108	0	0	9.74699e-08    
109	0	0	1.12495e-07    
110	0	0	1.35815e-07    
111	0	0	1.58602e-07    
112	0	0	1.49302e-07    
113	0	0	9.24479e-08    
114	0	0	3.28851e-08    
115	0	0	6.11345e-09    
116	0	0	5.41875e-10    
117	0	0	2.09713e-11    
118	0	0	2.08223e-13    
119	0	0	1.30843e-13    
120	0	0	2.0083e-13     
121	0	0	9.80558e-14    
122	0	0	1.8348e-13     
123	0	0	6.28073e-14    
124	0	0	1.22324e-13    
125	0	0	1.55814e-13    
126	0	0	2.66681e-13    
127	0	0	6.29427e-14    
128	0	0	6.33244e-14    
129	0	0	7.84198e-14    
130	0	0	1.23961e-13    
131	0	0	1.0522e-13     
132	0	0	7.76666e-14    
133	0	0	1.21402e-13    
134	0	0	1.28344e-13    
135	0	0	8.29787e-14    
136	0	0	1.96421e-14    
137	0	0	7.00923e-14    
138	0	0	4.41246e-14    
139	0	0	7.87866e-14    
140	0	0	1.21852e-13    
141	0	0	5.33159e-14    
142	0	0	8.88678e-14    
143	0	0	9.18033e-14    
144	0	0	1.04563e-13    
145	0	0	4.65196e-14    
146	0	0	5.93914e-14    
