i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	43110.8        0.431771       0.431776       0.431771       0.431776       0              0              
1	0	0	43214.8        0.432889       0.432894       0.432889       0.432894       0              0              
2	0	0	43315.7        0.434019       0.434024       0.434019       0.434024       0              0              
3	0	0	43470.7        0.435162       0.435166       0.435162       0.435166       0              0              
4	0	0	43606.8        0.436317       0.436322       0.436317       0.436322       0              0              
5	0	0	43703          0.437485       0.43749        0.437485       0.43749        0              0              
6	0	0	43885.4        0.438667       0.438672       0.438667       0.438672       0              0              
7	0	0	43919.9        0.439861       0.439866       0.439861       0.439866       0              0              
8	0	0	44014.1        0.441067       0.441071       0.441067       0.441071       0              0              
9	0	0	44169.6        0.442286       0.442291       0.442286       0.442291       0              0              
10	0	0	44311.2        0.44352        0.443525       0.44352        0.443525       0              0              
11	0	0	44454.6        0.444768       0.444773       0.444768       0.444773       0              0              
12	0	0	44577.3        0.44603        0.446036       0.44603        0.446036       0              0              
13	0	0	44712.3        0.44731        0.447314       0.44731        0.447314       0              0              
14	0	0	44843.1        0.4486         0.448606       0.4486         0.448606       0              0              
15	0	0	44943.7        0.44991        0.449913       0.44991        0.449913       0              0              
16	0	0	45099.7        0.45123        0.451236       0.45123        0.451236       0              0              
17	0	0	45213.7        0.452569       0.452574       0.452569       0.452574       0              0              
18	0	0	45397.8        0.453924       0.453929       0.453924       0.453929       0              0              
19	0	0	45527.7        0.455296       0.4553         0.455296       0.4553         0              0              
20	0	0	45599.3        0.479121       0.456704       0.456683       0.456687       619.786        547.343        
21	0	0	45733.8        0.458084       0.45809        0.458084       0.45809        0              0              
22	0	0	45881.3        0.459505       0.459511       0.459505       0.459511       0              0              
23	0	0	46090          0.460944       0.46095        0.460944       0.46095        0              0              
24	0	0	46195.7        0.462402       0.462407       0.462402       0.462407       0              0              
25	0	0	46352.4        0.463877       0.463882       0.463877       0.463882       0              0              
26	0	0	46500.3        0.465373       0.465377       0.465373       0.465377       0              0              
27	0	0	46629.7        0.466885       0.46689        0.466885       0.46689        0              0              
28	0	0	46795.3        0.468419       0.468423       0.468419       0.468423       0              0              
29	0	0	46966.8        0.495901       0.469998       0.469973       0.469976       654.77         518.733        
30	0	0	47098.1        0.471543       0.471549       0.471543       0.471549       0              0              
31	0	0	47302.1        0.47314        0.473144       0.47314        0.473144       0              0              
32	0	0	47416.1        0.474754       0.47476        0.474754       0.47476        0              0              
33	0	0	47539.9        0.47639        0.476396       0.47639        0.476396       0              0              
34	0	0	47815          0.478052       0.478057       0.478052       0.478057       0              0              
35	0	0	47944.5        0.479735       0.479741       0.479735       0.479741       0              0              
36	0	0	48129.1        0.481442       0.481448       0.481442       0.481448       0              0              
37	0	0	48297.9        0.483176       0.483179       0.483176       0.483179       0              0              
38	0	0	48428.6        0.484929       0.484933       0.484929       0.484933       0              0              
39	0	0	48624.8        0.486707       0.486714       0.486707       0.486714       0              0              
40	0	0	48811.9        0.488515       0.488519       0.488515       0.488519       0              0              
41	0	0	48917.9        0.490345       0.490349       0.490345       0.490349       0              0              
42	0	0	49172.6        0.492205       0.492208       0.492205       0.492208       0              0              
43	0	0	49342.7        0.494091       0.494093       0.494091       0.494093       0              0              
