i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	49791.1        0.499034       0.499046       0.499034       0.499046       0              0              0              0              
1	0	0	50029.2        0.501022       0.501034       0.501022       0.501034       0              0              0              0              
2	0	0	50228          0.503042       0.503054       0.503042       0.503054       0              0              0              0              
3	0	0	50483.7        0.505094       0.505107       0.505094       0.505107       0              0              0              0              
4	0	0	50654.3        0.507179       0.507193       0.507179       0.507193       0              0              0              0              
5	0	0	50884.9        0.509299       0.509311       0.509299       0.509311       0              0              0              0              
6	0	0	51060.7        0.51145        0.511463       0.51145        0.511463       0              0              0              0              
7	0	0	51293          0.513637       0.51365        0.513637       0.51365        0              0              0              0              
8	0	0	51529.4        0.515861       0.515874       0.515861       0.515874       0              0              0              0              
9	0	0	51708.3        0.518121       0.518134       0.518121       0.518134       0              0              0              0              
10	0	0	51964.3        0.52042        0.520432       0.52042        0.520432       0              0              0              0              
11	0	0	52168.1        0.522757       0.52277        0.522757       0.52277        0              0              0              0              
12	0	0	52464.5        0.525134       0.525148       0.525134       0.525148       0              0              0              0              
13	0	0	52659.5        0.537477       0.52758        0.527554       0.527568       0              0              484.386        403.959        
14	0	0	52953.9        0.530018       0.530031       0.530018       0.530031       0              0              0              0              
15	0	0	53200.4        0.532525       0.53254        0.532525       0.53254        0              0              0              0              
16	0	0	53395.3        0.535078       0.535092       0.535078       0.535092       0              0              0              0              
17	0	0	53659.3        0.537677       0.537689       0.537677       0.537689       0              0              0              0              
18	0	0	53884.6        0.540322       0.540334       0.540322       0.540334       0              0              0              0              
19	0	0	54224.2        0.543017       0.543031       0.543017       0.543031       0              0              0              0              
20	0	0	54451.4        0.545765       0.545778       0.545765       0.545778       0              0              0              0              
21	0	0	54751.8        0.548562       0.548578       0.548562       0.548578       0              0              0              0              
22	0	0	55019.5        0.569171       0.551541       0.551421       0.551433       3.06079        2.9909         599.1          489.533        
23	0	0	55332          0.55659        0.55445        0.554332       0.554344       11.495         7.31869        0              0              
24	0	0	55636.3        0.564812       0.557324       0.557301       0.557315       0              0              446.054        375.498        
25	0	0	55961          0.560334       0.560346       0.560334       0.560346       0              0              0              0              
26	0	0	56210.5        0.563428       0.563439       0.563428       0.563439       0              0              0              0              
27	0	0	56567.5        0.566583       0.566596       0.566583       0.566596       0              0              0              0              
28	0	0	56929.5        0.569807       0.569822       0.569807       0.569822       0              0              0              0              
29	0	0	57158.3        0.573104       0.573115       0.573104       0.573115       0              0              0              0              
30	0	0	57521.2        0.576466       0.576478       0.576466       0.576478       0              0              0              0              
31	0	0	57904.1        0.579905       0.579919       0.579905       0.579919       0              0              0              0              
32	0	0	58231.9        0.583422       0.583435       0.583422       0.583435       0              0              0              0              
33	0	0	58532.5        0.587019       0.58703        0.587019       0.58703        0              0              0              0              
34	0	0	59007.5        0.590698       0.590709       0.590698       0.590709       0              0              0              0              
35	0	0	59347.4        0.594463       0.594477       0.594463       0.594477       0              0              0              0              
36	0	0	59669.2        0.598323       0.598332       0.598323       0.598332       0              0              0              0              
37	0	0	60120.8        0.602269       0.60228        0.602269       0.60228        0              0              0              0              
38	0	0	60527.1        0.606316       0.606328       0.606316       0.606328       0              0              0              0              
39	0	0	60930          0.610468       0.610477       0.610468       0.610477       0              0              0              0              
40	0	0	61321.5        0.614719       0.614729       0.614719       0.614729       0              0              0              0              
41	0	0	61766          0.619081       0.61909        0.619081       0.61909        0              0              0              0              
42	0	0	62203.2        0.623561       0.623566       0.623561       0.623566       0              0              0              0              
43	0	0	62625.3        0.6282         0.628185       0.628168       0.628169       1.24775        1.24675        0              0              
44	0	0	63105.1        0.633085       0.632941       0.63289        0.632889       2.23634        1.8516         0              0              
45	0	0	63664.5        0.639881       0.637897       0.63775        0.637744       8.07743        3.50266        0              0              
46	0	0	64217.2        0.642811       0.642768       0.642746       0.642741       1.55378        1.55171        0              0              
47	0	0	64787          0.647983       0.647921       0.647893       0.647887       1.74215        1.74027        0              0              
48	0	0	65299.1        0.653329       0.653229       0.653195       0.653187       2.04471        2.03946        0              0              
49	0	0	65835.4        0.658897       0.658703       0.658657       0.658643       2.64263        2.61528        0              0              
50	0	0	66385.7        0.666365       0.664408       0.664285       0.664268       9.40287        5.64154        0              0              
51	0	0	66970.4        0.670094       0.67007        0.670094       0.67007        0              0              0              0              
52	0	0	67563.7        0.676091       0.676057       0.676091       0.676057       0              0              0              0              
53	0	0	68200          0.682283       0.682244       0.682283       0.682244       0              0              0              0              
54	0	0	68855.8        0.688693       0.688639       0.688693       0.688639       0              0              0              0              
55	0	0	69513.7        0.695333       0.695257       0.695333       0.695257       0              0              0              0              
56	0	0	70275.6        0.702255       0.702115       0.702255       0.702115       0              0              0              0              
57	0	0	70943.2        0.709634       0.709243       0.709634       0.709243       0              0              0              0              
58	0	0	71672.2        0.718075       0.716584       0.718075       0.716584       0              0              0              0              
59	0	0	72414.2        0.724176       0.724144       0.724176       0.724144       0              0              0              0              
60	0	0	73188.7        0.732099       0.732067       0.732099       0.732067       0              0              0              0              
61	0	0	74072.8        0.740343       0.740305       0.740343       0.740305       0              0              0              0              
62	0	0	74923.6        0.748935       0.748887       0.748935       0.748887       0              0              0              0              
63	0	0	75811.6        0.75788        0.757825       0.75788        0.757825       0              0              0              0              
64	0	0	76719.7        0.767203       0.767149       0.767203       0.767149       0              0              0              0              
65	0	0	77753.7        0.776957       0.776893       0.776957       0.776893       0              0              0              0              
66	0	0	78756.2        0.799133       0.787098       0.787163       0.787082       0              0              602.029        531.542        
67	0	0	79782          0.797835       0.797753       0.797835       0.797753       0              0              0              0              
