i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	44205.8        0.442503       0.442509       0.442503       0.442509       0              0              0              0              
1	0	0	44339.9        0.456318       0.44376        0.443739       0.443745       0              0              495.76         454.423        
2	0	0	44496.5        0.444991       0.444997       0.444991       0.444997       0              0              0              0              
3	0	0	44572.7        0.446256       0.446262       0.446256       0.446262       0              0              0              0              
4	0	0	44701.8        0.447535       0.447541       0.447535       0.447541       0              0              0              0              
5	0	0	44819.1        0.448829       0.448835       0.448829       0.448835       0              0              0              0              
6	0	0	44925.4        0.450137       0.450143       0.450137       0.450143       0              0              0              0              
7	0	0	45112.5        0.451462       0.451468       0.451462       0.451468       0              0              0              0              
8	0	0	45311.1        0.452805       0.45281        0.452805       0.45281        0              0              0              0              
9	0	0	45379.2        0.454161       0.454168       0.454161       0.454168       0              0              0              0              
10	0	0	45480.1        0.455534       0.45554        0.455534       0.45554        0              0              0              0              
11	0	0	45627          0.456922       0.456929       0.456922       0.456929       0              0              0              0              
12	0	0	45766.5        0.45833        0.458335       0.45833        0.458335       0              0              0              0              
13	0	0	45943.3        0.459753       0.45976        0.459753       0.45976        0              0              0              0              
14	0	0	46087.6        0.461196       0.461202       0.461196       0.461202       0              0              0              0              
15	0	0	46210.5        0.497018       0.462684       0.462656       0.462662       0              0              718.207        578.018        
16	0	0	46329          0.464133       0.464139       0.464133       0.464139       0              0              0              0              
17	0	0	46510.3        0.465629       0.465636       0.465629       0.465636       0              0              0              0              
18	0	0	46671.5        0.467147       0.467153       0.467147       0.467153       0              0              0              0              
19	0	0	46811.5        0.468683       0.468689       0.468683       0.468689       0              0              0              0              
20	0	0	46920.7        0.470238       0.470244       0.470238       0.470244       0              0              0              0              
21	0	0	47123.7        0.471813       0.47182        0.471813       0.47182        0              0              0              0              
22	0	0	47280.1        0.473411       0.473416       0.473411       0.473416       0              0              0              0              
23	0	0	47503.4        0.475031       0.475038       0.475031       0.475038       0              0              0              0              
24	0	0	47625.6        0.476673       0.47668        0.476673       0.47668        0              0              0              0              
25	0	0	47751.8        0.478337       0.478343       0.478337       0.478343       0              0              0              0              
26	0	0	47939.6        0.480022       0.480028       0.480022       0.480028       0              0              0              0              
27	0	0	48143.7        0.481732       0.481739       0.481732       0.481739       0              0              0              0              
28	0	0	48342.9        0.483468       0.483474       0.483468       0.483474       0              0              0              0              
29	0	0	48489.8        0.485227       0.485234       0.485227       0.485234       0              0              0              0              
30	0	0	48654.8        0.487012       0.487018       0.487012       0.487018       0              0              0              0              
31	0	0	48819.1        0.488821       0.488828       0.488821       0.488828       0              0              0              0              
32	0	0	48979.2        0.506903       0.49068        0.490658       0.490663       0              0              564.241        441.328        
33	0	0	49170.3        0.492517       0.492525       0.492517       0.492525       0              0              0              0              
34	0	0	49360.4        0.494409       0.494415       0.494409       0.494415       0              0              0              0              
35	0	0	49507          0.496325       0.496332       0.496325       0.496332       0              0              0              0              
36	0	0	49806.9        0.498273       0.49828        0.498273       0.49828        0              0              0              0              
37	0	0	49991.6        0.500255       0.500259       0.500255       0.500259       0              0              0              0              
38	0	0	50157.3        0.502261       0.502267       0.502261       0.502267       0              0              0              0              
39	0	0	50395.6        0.504303       0.504308       0.504303       0.504308       0              0              0              0              
40	0	0	50585.8        0.506376       0.50638        0.506376       0.50638        0              0              0              0              
41	0	0	50767.8        0.50848        0.508486       0.50848        0.508486       0              0              0              0              
42	0	0	50963.2        0.510617       0.510624       0.510617       0.510624       0              0              0              0              
43	0	0	51198.3        0.512793       0.512796       0.512793       0.512796       0              0              0              0              
44	0	0	51442.5        0.515002       0.515006       0.515002       0.515006       0              0              0              0              
45	0	0	51638.5        0.51725        0.517252       0.51725        0.517252       0              0              0              0              
46	0	0	51864.2        0.519532       0.519536       0.519532       0.519536       0              0              0              0              
47	0	0	52094.4        0.521855       0.521858       0.521855       0.521858       0              0              0              0              
48	0	0	52316.7        0.524213       0.52422        0.524213       0.52422        0              0              0              0              
49	0	0	52635.5        0.526622       0.526625       0.526622       0.526625       0              0              0              0              
50	0	0	52839.8        0.529069       0.529072       0.529069       0.529072       0              0              0              0              
51	0	0	53086.9        0.53156        0.531563       0.53156        0.531563       0              0              0              0              
52	0	0	53368.6        0.534095       0.534099       0.534095       0.534099       0              0              0              0              
53	0	0	53597.4        0.536678       0.536682       0.536678       0.536682       0              0              0              0              
54	0	0	53874.3        0.539311       0.539311       0.539311       0.539311       0              0              0              0              
55	0	0	54203.7        0.541993       0.541993       0.541993       0.541993       0              0              0              0              
56	0	0	54403.3        0.544723       0.544725       0.544723       0.544725       0              0              0              0              
57	0	0	54651.5        0.547504       0.547505       0.547504       0.547505       0              0              0              0              
58	0	0	54936.9        0.550341       0.55034        0.550341       0.55034        0              0              0              0              
59	0	0	55200.3        0.553228       0.55323        0.553228       0.55323        0              0              0              0              
60	0	0	55492.1        0.556178       0.556177       0.556178       0.556177       0              0              0              0              
61	0	0	55850.3        0.559189       0.559186       0.559189       0.559186       0              0              0              0              
62	0	0	56139.3        0.562257       0.562256       0.562257       0.562256       0              0              0              0              
63	0	0	56485.7        0.565393       0.565391       0.565393       0.565391       0              0              0              0              
64	0	0	56735.7        0.568596       0.56859        0.568596       0.56859        0              0              0              0              
65	0	0	57153.7        0.571863       0.571861       0.571863       0.571861       0              0              0              0              
66	0	0	57442.8        0.575201       0.575201       0.575201       0.575201       0              0              0              0              
67	0	0	57780.4        0.586317       0.578623       0.578617       0.578614       0              0              457.36         381.905        
68	0	0	58149.8        0.582109       0.582105       0.582109       0.582105       0              0              0              0              
69	0	0	58470          0.585678       0.585674       0.585678       0.585674       0              0              0              0              
70	0	0	58817.1        0.597561       0.589331       0.589333       0.589323       0              0              474.099        407.299        
71	0	0	59200.4        0.593062       0.593056       0.593062       0.593056       0              0              0              0              
72	0	0	59554.9        0.596889       0.596877       0.596889       0.596877       0              0              0              0              
73	0	0	59985.1        0.600801       0.600793       0.600801       0.600793       0              0              0              0              
74	0	0	60384.7        0.604817       0.604805       0.604817       0.604805       0              0              0              0              
75	0	0	60784.4        0.608933       0.608916       0.608933       0.608916       0              0              0              0              
76	0	0	61214.7        0.613142       0.613131       0.613142       0.613131       0              0              0              0              
77	0	0	61619.2        0.626353       0.617468       0.617478       0.617455       0              0              493.385        444.567        
78	0	0	62047.5        0.621913       0.62189        0.621913       0.62189        0              0              0              0              
79	0	0	62531.8        0.626463       0.626444       0.626463       0.626444       0              0              0              0              
80	0	0	63003          0.631149       0.631123       0.631149       0.631123       0              0              0              0              
81	0	0	63483.6        0.635966       0.635931       0.635966       0.635931       0              0              0              0              
82	0	0	63994          0.640909       0.640876       0.640909       0.640876       0              0              0              0              
83	0	0	64506.8        0.645997       0.645964       0.645997       0.645964       0              0              0              0              
84	0	0	65066          0.651243       0.651202       0.651243       0.651202       0              0              0              0              
85	0	0	65744.8        0.656649       0.656605       0.656649       0.656605       0              0              0              0              
86	0	0	66216.5        0.662212       0.662174       0.662212       0.662174       0              0              0              0              
87	0	0	66780.6        0.667962       0.667912       0.667962       0.667912       0              0              0              0              
88	0	0	67454.6        0.673893       0.673838       0.673893       0.673838       0              0              0              0              
89	0	0	67975.6        0.680009       0.679954       0.680009       0.679954       0              0              0              0              
90	0	0	68639.1        0.686333       0.686271       0.686333       0.686271       0              0              0              0              
91	0	0	69304.4        0.692886       0.692807       0.692886       0.692807       0              0              0              0              
92	0	0	69969.4        0.699641       0.69957        0.699641       0.69957        0              0              0              0              
93	0	0	70733.3        0.706654       0.706575       0.706654       0.706575       0              0              0              0              
94	0	0	71412          0.713932       0.713839       0.713932       0.713839       0              0              0              0              
95	0	0	72178.1        0.721468       0.721371       0.721468       0.721371       0              0              0              0              
96	0	0	72978.3        0.729304       0.729196       0.729304       0.729196       0              0              0              0              
97	0	0	73762.8        0.73745        0.737328       0.73745        0.737328       0              0              0              0              
98	0	0	74598          0.745913       0.745788       0.745913       0.745788       0              0              0              0              
99	0	0	75465.6        0.754736       0.754598       0.754736       0.754598       0              0              0              0              
100	0	0	76446.3        0.763941       0.76379        0.763941       0.76379        0              0              0              0              
101	0	0	77409.1        0.773556       0.773389       0.773556       0.773389       0              0              0              0              
102	0	0	78373          0.790217       0.783436       0.783623       0.783424       0              0              482.609        379.405        
103	0	0	79472          0.794142       0.79393        0.794142       0.79393        0              0              0              0              
104	0	0	80476.8        0.805158       0.80494        0.805158       0.80494        0              0              0              0              
105	0	0	81702.6        0.816762       0.816501       0.816762       0.816501       0              0              0              0              
106	0	0	82935.1        0.828957       0.828671       0.828957       0.828671       0              0              0              0              
107	0	0	84276.3        0.841815       0.841499       0.841815       0.841499       0              0              0              0              
108	0	0	85563.5        0.855395       0.85504        0.855395       0.85504        0              0              0              0              
109	0	0	87030.1        0.896249       0.869408       0.869764       0.869369       0              0              661.075        509.915        
110	0	0	88585          0.88502        0.884566       0.88502        0.884566       0              0              0              0              
111	0	0	90216.4        0.901233       0.900725       0.901233       0.900725       0              0              0              0              
112	0	0	91917.8        0.918638       0.917994       0.918548       0.917956       2.12355        2.1138         0              0              
113	0	0	93699.9        0.937214       0.936416       0.93703        0.936357       2.88446        2.83777        0              0              
114	0	0	95754.3        0.958152       0.956208       0.95685        0.956094       10.2181        6.44632        0              0              
115	0	0	97863.9        0.978223       0.977336       0.978223       0.977336       0              0              0              0              
116	0	0	100237         1.00134        1.0003         1.00134        1.0003         0              0              0              0              
117	0	0	102730         1.02645        1.02522        1.02645        1.02522        0              0              0              0              
118	0	0	105389         1.05388        1.05239        1.05388        1.05239        0              0              0              0              
119	0	0	108495         1.08398        1.08219        1.08398        1.08219        0              0              0              0              
120	0	0	111746         1.11824        1.11514        1.11824        1.11514        0              0              0              0              
121	0	0	115421         1.15423        1.15157        1.15423        1.15157        0              0              0              0              
122	0	0	119527         1.19653        1.19254        1.19653        1.19254        0              0              0              0              
