i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	48685.1        0.48752        0.487531       0.48752        0.487531       0              0              0              0              
1	0	0	48839.7        0.489336       0.489347       0.489336       0.489347       0              0              0              0              
2	0	0	49060.3        0.491178       0.49119        0.491178       0.49119        0              0              0              0              
3	0	0	49306.3        0.49305        0.493062       0.49305        0.493062       0              0              0              0              
4	0	0	49393.3        0.494948       0.49496        0.494948       0.49496        0              0              0              0              
5	0	0	49593.9        0.496874       0.496886       0.496874       0.496886       0              0              0              0              
6	0	0	49805.1        0.49883        0.498841       0.49883        0.498841       0              0              0              0              
7	0	0	49999.3        0.500813       0.500827       0.500813       0.500827       0              0              0              0              
8	0	0	50173.1        0.502831       0.502842       0.502831       0.502842       0              0              0              0              
9	0	0	50386.6        0.504878       0.504889       0.504878       0.504889       0              0              0              0              
10	0	0	50647.9        0.506959       0.50697        0.506959       0.50697        0              0              0              0              
11	0	0	50812.9        0.509073       0.509084       0.509073       0.509084       0              0              0              0              
12	0	0	51085.5        0.511221       0.511233       0.511221       0.511233       0              0              0              0              
13	0	0	51201.8        0.513403       0.513415       0.513403       0.513415       0              0              0              0              
14	0	0	51478.3        0.515622       0.515634       0.515622       0.515634       0              0              0              0              
15	0	0	51672.7        0.517876       0.517888       0.517876       0.517888       0              0              0              0              
16	0	0	51933.2        0.520171       0.520183       0.520171       0.520183       0              0              0              0              
17	0	0	52142.1        0.522503       0.522515       0.522503       0.522515       0              0              0              0              
18	0	0	52451.5        0.524878       0.52489        0.524878       0.52489        0              0              0              0              
19	0	0	52648.4        0.527293       0.527306       0.527293       0.527306       0              0              0              0              
20	0	0	52846.9        0.529751       0.529762       0.529751       0.529762       0              0              0              0              
21	0	0	53122.1        0.53225        0.532263       0.53225        0.532263       0              0              0              0              
22	0	0	53408          0.534797       0.53481        0.534797       0.53481        0              0              0              0              
23	0	0	53646.1        0.537392       0.537404       0.537392       0.537404       0              0              0              0              
24	0	0	53858.5        0.540033       0.540045       0.540033       0.540045       0              0              0              0              
25	0	0	54204.1        0.555892       0.542751       0.542724       0.542735       0              0              543.565        408.638        
26	0	0	54484.9        0.545465       0.545479       0.545465       0.545479       0              0              0              0              
27	0	0	54706.4        0.548263       0.548274       0.548263       0.548274       0              0              0              0              
28	0	0	55007.6        0.551114       0.551123       0.551114       0.551123       0              0              0              0              
29	0	0	55323          0.55402        0.554029       0.55402        0.554029       0              0              0              0              
30	0	0	55608.9        0.556981       0.556994       0.556981       0.556994       0              0              0              0              
31	0	0	55884.2        0.560004       0.560017       0.560004       0.560017       0              0              0              0              
32	0	0	56223.7        0.563091       0.563104       0.563091       0.563104       0              0              0              0              
