i	j	k	Dose(Gy)       
0	0	0	2.26271e-08    
1	0	0	2.27867e-08    
2	0	0	2.28333e-08    
3	0	0	2.2939e-08     
4	0	0	2.29912e-08    
5	0	0	2.30293e-08    
6	0	0	2.31137e-08    
7	0	0	2.31928e-08    
8	0	0	2.32871e-08    
9	0	0	2.33699e-08    
10	0	0	2.34465e-08    
11	0	0	2.35247e-08    
12	0	0	2.35936e-08    
13	0	0	2.3683e-08     
14	0	0	2.3753e-08     
15	0	0	2.38449e-08    
16	0	0	2.39148e-08    
17	0	0	2.40312e-08    
18	0	0	2.40835e-08    
19	0	0	2.41487e-08    
20	0	0	2.42738e-08    
21	0	0	2.43272e-08    
22	0	0	2.44412e-08    
23	0	0	2.45568e-08    
24	0	0	2.46284e-08    
25	0	0	2.4735e-08     
26	0	0	2.47949e-08    
27	0	0	2.49018e-08    
28	0	0	2.50069e-08    
29	0	0	2.51196e-08    
30	0	0	2.52154e-08    
31	0	0	2.52931e-08    
32	0	0	2.54179e-08    
33	0	0	2.5525e-08     
34	0	0	2.56278e-08    
35	0	0	2.57499e-08    
36	0	0	2.58492e-08    
37	0	0	2.59937e-08    
38	0	0	2.60996e-08    
39	0	0	2.61872e-08    
40	0	0	2.63322e-08    
41	0	0	2.64461e-08    
42	0	0	2.65609e-08    
43	0	0	2.66979e-08    
44	0	0	2.68212e-08    
45	0	0	2.69462e-08    
46	0	0	2.71036e-08    
47	0	0	2.72236e-08    
48	0	0	2.73606e-08    
49	0	0	2.75043e-08    
50	0	0	2.76503e-08    
51	0	0	2.77842e-08    
52	0	0	2.79388e-08    
53	0	0	2.80885e-08    
54	0	0	2.82561e-08    
55	0	0	2.83965e-08    
56	0	0	2.85669e-08    
57	0	0	2.87545e-08    
58	0	0	2.89051e-08    
59	0	0	2.90721e-08    
60	0	0	2.92627e-08    
61	0	0	2.94231e-08    
62	0	0	2.96255e-08    
63	0	0	2.9822e-08     
64	0	0	3.00088e-08    
65	0	0	3.02065e-08    
66	0	0	3.04408e-08    
67	0	0	3.06412e-08    
68	0	0	3.0834e-08     
69	0	0	3.10524e-08    
70	0	0	3.12947e-08    
71	0	0	3.15446e-08    
72	0	0	3.18013e-08    
73	0	0	3.20214e-08    
74	0	0	3.23135e-08    
75	0	0	3.25566e-08    
76	0	0	3.28713e-08    
77	0	0	3.31129e-08    
78	0	0	3.34049e-08    
79	0	0	3.37202e-08    
80	0	0	3.40063e-08    
81	0	0	3.43346e-08    
82	0	0	3.46639e-08    
83	0	0	3.50106e-08    
84	0	0	3.53614e-08    
85	0	0	3.57095e-08    
86	0	0	3.6087e-08     
87	0	0	3.6478e-08     
88	0	0	3.68634e-08    
89	0	0	3.73259e-08    
90	0	0	3.77787e-08    
91	0	0	3.82187e-08    
92	0	0	3.87227e-08    
93	0	0	3.9217e-08     
94	0	0	3.9723e-08     
95	0	0	4.03067e-08    
96	0	0	4.08686e-08    
97	0	0	4.14953e-08    
98	0	0	4.21168e-08    
99	0	0	4.27878e-08    
100	0	0	4.35576e-08    
101	0	0	4.42678e-08    
102	0	0	4.51029e-08    
103	0	0	4.59474e-08    
104	0	0	4.68822e-08    
105	0	0	4.78721e-08    
106	0	0	4.89541e-08    
107	0	0	5.00692e-08    
108	0	0	5.136e-08      
109	0	0	5.26692e-08    
110	0	0	5.41921e-08    
111	0	0	5.58124e-08    
112	0	0	5.76207e-08    
113	0	0	5.96646e-08    
114	0	0	6.19678e-08    
115	0	0	6.46219e-08    
116	0	0	6.76721e-08    
117	0	0	7.12774e-08    
118	0	0	7.5665e-08     
119	0	0	8.11349e-08    
120	0	0	8.84024e-08    
121	0	0	9.86078e-08    
122	0	0	1.14179e-07    
123	0	0	1.35859e-07    
124	0	0	1.53271e-07    
125	0	0	1.40987e-07    
126	0	0	9.18039e-08    
127	0	0	3.73692e-08    
128	0	0	8.93585e-09    
129	0	0	1.10765e-09    
130	0	0	9.43323e-11    
131	0	0	6.98679e-12    
132	0	0	1.84749e-13    
133	0	0	1.95426e-13    
134	0	0	1.58461e-13    
135	0	0	6.11395e-14    
136	0	0	2.14646e-13    
137	0	0	4.97047e-14    
138	0	0	1.89757e-13    
139	0	0	1.63868e-13    
140	0	0	1.86277e-13    
141	0	0	1.29432e-13    
142	0	0	9.89696e-14    
143	0	0	1.37553e-13    
144	0	0	6.40267e-14    
145	0	0	3.70004e-14    
146	0	0	8.91057e-14    
147	0	0	1.28728e-13    
148	0	0	1.83121e-13    
149	0	0	1.10883e-13    
150	0	0	7.88817e-14    
151	0	0	9.19909e-14    
152	0	0	7.6974e-14     
153	0	0	6.32282e-14    
154	0	0	1.46104e-13    
155	0	0	9.27507e-14    
156	0	0	6.25789e-14    
157	0	0	3.65294e-14    
158	0	0	9.30742e-14    
159	0	0	8.98699e-14    
160	0	0	4.5496e-14     
161	0	0	1.5464e-14     
162	0	0	1.43275e-14    
163	0	0	3.84018e-14    
164	0	0	5.12228e-14    
165	0	0	7.35147e-14    
166	0	0	4.02201e-14    
167	0	0	5.6124e-14     
168	0	0	3.82576e-15    
169	0	0	2.33439e-14    
170	0	0	2.70573e-14    
171	0	0	5.8961e-15     
172	0	0	5.37484e-14    
173	0	0	7.001e-14      
174	0	0	2.47657e-14    
175	0	0	5.01316e-14    
176	0	0	4.92598e-14    
177	0	0	4.35054e-14    
178	0	0	4.17219e-14    
179	0	0	2.90253e-14    
180	0	0	5.91557e-14    
181	0	0	1.49013e-14    
182	0	0	9.66586e-15    
183	0	0	2.44042e-14    
184	0	0	4.09156e-14    
186	0	0	6.89691e-14    
187	0	0	2.89849e-15    
188	0	0	4.52107e-14    
189	0	0	9.47615e-15    
190	0	0	2.46011e-14    
191	0	0	3.43889e-15    
192	0	0	3.71552e-14    
193	0	0	3.41046e-14    
194	0	0	1.69092e-15    
195	0	0	5.43727e-15    
196	0	0	3.12527e-14    
197	0	0	3.46758e-15    
198	0	0	1.32363e-15    
199	0	0	6.08572e-15    
