i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T
99	0	0	73.1198   1.36949   1.36917   1.36949   1.36917   
100	0	0	74.1818   1.37268   1.37261   1.37268   1.37261   
101	0	0	73.295    1.37639   1.37607   1.37639   1.37607   
102	0	0	72.8232   1.37965   1.37953   1.37965   1.37953   
103	0	0	74.2239   1.38328   1.38301   1.38328   1.38301   
104	0	0	73.4849   1.38662   1.38655   1.38662   1.38655   
105	0	0	74.2672   1.39036   1.3901    1.39036   1.3901    
106	0	0	74.6225   1.39385   1.3937    1.39385   1.3937    
107	0	0	74.4923   1.39738   1.39732   1.39738   1.39732   
108	0	0	75.0685   1.40109   1.40098   1.40109   1.40098   
109	0	0	74.7987   1.4048    1.40467   1.4048    1.40467   
110	0	0	74.4169   1.40835   1.40835   1.40835   1.40835   
111	0	0	74.6555   1.41221   1.41207   1.41221   1.41207   
112	0	0	76.1328   1.41604   1.41584   1.41604   1.41584   
113	0	0	75.9549   1.4198    1.41967   1.4198    1.41967   
114	0	0	74.8918   1.42362   1.42348   1.42362   1.42348   
115	0	0	76.8391   1.42764   1.42735   1.42764   1.42735   
116	0	0	76.786    1.4315    1.4313    1.4315    1.4313    
117	0	0	77.7901   1.43554   1.43529   1.43554   1.43529   
118	0	0	77.2146   1.43946   1.43931   1.43946   1.43931   
119	0	0	77.3085   1.44351   1.44335   1.44351   1.44335   
120	0	0	76.868    1.44762   1.44741   1.44762   1.44741   
121	0	0	77.5253   1.45185   1.4515    1.45185   1.4515    
122	0	0	77.0762   1.45594   1.45563   1.45594   1.45563   
123	0	0	77.1634   1.45987   1.45976   1.45987   1.45976   
124	0	0	79.3078   1.46404   1.46399   1.46404   1.46399   
125	0	0	78.4185   1.4684    1.46828   1.4684    1.46828   
126	0	0	78.9608   1.47265   1.47259   1.47265   1.47259   
127	0	0	79.1288   1.47719   1.47695   1.47719   1.47695   
128	0	0	79.6256   1.48149   1.48135   1.48149   1.48135   
129	0	0	80.2428   1.48599   1.48582   1.48599   1.48582   
130	0	0	79.9934   1.49038   1.49033   1.49038   1.49033   
131	0	0	79.4833   1.49497   1.49485   1.49497   1.49485   
132	0	0	81.0527   1.49973   1.49944   1.49973   1.49944   
133	0	0	80.3405   1.5042    1.50407   1.5042    1.50407   
134	0	0	81.7998   1.5092    1.50877   1.5092    1.50877   
135	0	0	81.5078   1.51363   1.51353   1.51363   1.51353   
136	0	0	80.9226   1.51845   1.51828   1.51845   1.51828   
137	0	0	80.968    1.523     1.52307   1.523     1.52307   
138	0	0	82.5179   1.52817   1.52795   1.52817   1.52795   
139	0	0	81.2869   1.53309   1.53288   1.53309   1.53288   
140	0	0	81.612    1.53803   1.53781   1.53803   1.53781   
141	0	0	81.3777   1.543     1.54279   1.543     1.54279   
142	0	0	82.8511   1.54818   1.54783   1.54818   1.54783   
143	0	0	83.8364   1.55319   1.553     1.55319   1.553     
144	0	0	83.8792   1.55849   1.55824   1.55849   1.55824   
145	0	0	83.3904   1.5637    1.5635    1.5637    1.5635    
146	0	0	84.5881   1.5692    1.56882   1.5692    1.56882   
147	0	0	84.3463   1.57443   1.57422   1.57443   1.57422   
148	0	0	84.3124   1.57995   1.57965   1.57995   1.57965   
149	0	0	83.7979   1.58565   1.58513   1.58565   1.58513   
150	0	0	84.548    1.59093   1.59065   1.59093   1.59065   
151	0	0	86.4952   1.59646   1.59628   1.59646   1.59628   
152	0	0	84.6687   1.60236   1.60196   1.60236   1.60196   
153	0	0	86.4009   1.60807   1.60768   1.60807   1.60768   
154	0	0	87.0643   1.61361   1.61353   1.61361   1.61353   
155	0	0	86.711    1.61977   1.61945   1.61977   1.61945   
156	0	0	86.4921   1.62563   1.62539   1.62563   1.62539   
157	0	0	87.2268   1.63205   1.6314    1.63205   1.6314    
158	0	0	87.5268   1.63773   1.6375    1.63773   1.6375    
159	0	0	87.5371   1.64399   1.64366   1.64399   1.64366   
160	0	0	87.4202   1.65019   1.64987   1.65019   1.64987   
161	0	0	88.4367   1.6564    1.65616   1.6564    1.65616   
162	0	0	88.9831   1.66305   1.66257   1.66305   1.66257   
163	0	0	89.7219   1.66942   1.66908   1.66942   1.66908   
164	0	0	90.1507   1.67576   1.67569   1.67576   1.67569   
165	0	0	90.4718   1.68286   1.68245   1.68286   1.68245   
166	0	0	89.8529   1.68939   1.68918   1.68939   1.68918   
167	0	0	89.3796   1.69643   1.69594   1.69643   1.69594   
168	0	0	90.6421   1.70306   1.70279   1.70306   1.70279   
169	0	0	91.921    1.7102    1.70979   1.7102    1.70979   
170	0	0	93.7619   1.71752   1.71693   1.71752   1.71693   
171	0	0	94.0054   1.72475   1.72427   1.72475   1.72427   
172	0	0	92.5381   1.73187   1.73163   1.73187   1.73163   
173	0	0	93.4799   1.7395    1.73904   1.7395    1.73904   
174	0	0	92.7731   1.74677   1.74653   1.74677   1.74653   
