i	j	k	Dose(Gy)       
0	2	5	1.06075e-10    
0	3	2	3.80475e-11    
0	3	4	8.18279e-11    
0	3	5	1.61249e-11    
0	3	6	2.90545e-11    
0	4	4	1.81576e-08    
0	4	5	1.85168e-08    
0	5	3	4.84762e-11    
0	5	4	1.79873e-08    
0	5	5	1.86715e-08    
0	5	7	1.03301e-10    
0	6	3	4.66359e-11    
0	6	5	2.66005e-11    
0	6	6	6.18531e-11    
0	7	4	5.14934e-11    
0	7	5	1.89387e-11    
0	9	6	7.86903e-12    
1	4	4	1.77479e-08    
1	4	5	1.77743e-08    
1	5	4	1.87875e-08    
1	5	5	1.88994e-08    
1	5	7	2.23466e-11    
2	4	4	1.70636e-08    
2	4	5	1.77906e-08    
2	5	4	1.79122e-08    
2	5	5	1.91938e-08    
3	4	4	1.76779e-08    
3	4	5	1.82785e-08    
3	5	4	1.81525e-08    
3	5	5	1.89564e-08    
4	4	4	1.81233e-08    
4	4	5	1.791e-08      
4	5	4	1.87137e-08    
4	5	5	1.95733e-08    
5	4	4	1.71905e-08    
5	4	5	1.81305e-08    
5	5	4	1.88406e-08    
5	5	5	1.93346e-08    
6	4	4	1.72793e-08    
6	4	5	1.80493e-08    
6	5	4	1.83429e-08    
6	5	5	1.918e-08      
7	4	4	1.74531e-08    
7	4	5	1.82481e-08    
7	5	4	1.85323e-08    
7	5	5	1.94669e-08    
8	4	4	1.77755e-08    
8	4	5	1.77433e-08    
8	5	4	1.87326e-08    
8	5	5	1.92691e-08    
9	4	4	1.77056e-08    
9	4	5	1.79234e-08    
9	5	4	1.84996e-08    
9	5	5	1.97693e-08    
10	4	4	1.73758e-08    
10	4	5	1.82007e-08    
10	5	3	1.36129e-12    
10	5	4	1.86799e-08    
10	5	5	1.91496e-08    
11	4	4	1.74773e-08    
11	4	5	1.7905e-08     
11	5	4	1.86838e-08    
11	5	5	1.89782e-08    
12	4	4	1.82942e-08    
12	4	5	1.7471e-08     
12	5	4	1.87291e-08    
12	5	5	1.87112e-08    
13	4	4	1.76294e-08    
13	4	5	1.79898e-08    
13	5	4	1.82647e-08    
13	5	5	1.8817e-08     
14	4	4	1.86956e-08    
14	4	5	1.7289e-08     
14	5	4	1.84638e-08    
14	5	5	1.91065e-08    
15	4	4	1.81019e-08    
15	4	5	1.83815e-08    
15	5	4	1.87114e-08    
15	5	5	1.91842e-08    
16	4	4	1.76692e-08    
16	4	5	1.7885e-08     
16	5	4	1.86254e-08    
16	5	5	1.93048e-08    
17	4	4	1.78857e-08    
17	4	5	1.76585e-08    
17	5	4	1.88223e-08    
17	5	5	1.95076e-08    
18	4	4	1.80348e-08    
18	4	5	1.73844e-08    
18	5	4	1.91958e-08    
18	5	5	1.94749e-08    
19	4	4	1.78333e-08    
19	4	5	1.77415e-08    
19	5	4	1.85436e-08    
19	5	5	1.95593e-08    
20	4	4	1.84456e-08    
20	4	5	1.82332e-08    
20	5	4	1.85492e-08    
20	5	5	1.98187e-08    
21	4	4	1.85988e-08    
21	4	5	1.82238e-08    
21	5	4	1.90958e-08    
21	5	5	1.93356e-08    
22	4	4	1.81609e-08    
22	4	5	1.81161e-08    
22	5	4	1.89029e-08    
22	5	5	2.02556e-08    
23	4	4	1.92525e-08    
23	4	5	1.86912e-08    
23	5	4	1.85936e-08    
23	5	5	1.97716e-08    
24	4	4	1.8567e-08     
24	4	5	1.80386e-08    
24	5	4	1.90732e-08    
24	5	5	1.92369e-08    
25	4	4	1.7918e-08     
25	4	5	1.84103e-08    
25	5	4	1.86604e-08    
25	5	5	2.00953e-08    
26	4	4	1.7679e-08     
26	4	5	1.77174e-08    
26	5	4	1.8968e-08     
26	5	5	1.95006e-08    
27	4	4	1.79527e-08    
27	4	5	1.76732e-08    
27	5	4	1.86009e-08    
27	5	5	1.93573e-08    
28	4	4	1.83585e-08    
28	4	5	1.80954e-08    
28	5	4	1.99275e-08    
28	5	5	1.96688e-08    
29	4	4	1.80444e-08    
29	4	5	1.79563e-08    
29	5	4	1.9408e-08     
29	5	5	1.9579e-08     
30	4	4	1.81359e-08    
30	4	5	1.79762e-08    
30	5	4	1.91818e-08    
30	5	5	1.98083e-08    
31	4	4	1.75545e-08    
31	4	5	1.82855e-08    
31	5	4	1.91132e-08    
31	5	5	1.97529e-08    
32	4	4	1.81889e-08    
32	4	5	1.80149e-08    
32	5	3	1.2448e-12     
32	5	4	1.84648e-08    
32	5	5	1.96001e-08    
33	4	4	1.85185e-08    
33	4	5	1.82976e-08    
33	5	4	1.93848e-08    
33	5	5	1.99177e-08    
34	4	4	1.82185e-08    
34	4	5	1.85022e-08    
34	5	4	1.96361e-08    
34	5	5	1.96592e-08    
35	4	4	1.85917e-08    
35	4	5	1.80431e-08    
35	5	4	1.93688e-08    
35	5	5	1.97663e-08    
36	4	4	1.83578e-08    
36	4	5	1.8688e-08     
36	5	4	1.93459e-08    
36	5	5	2.01981e-08    
37	4	4	1.86948e-08    
37	4	5	1.82694e-08    
37	5	4	1.93379e-08    
37	5	5	1.92675e-08    
38	4	4	1.84469e-08    
38	4	5	1.87468e-08    
38	5	4	1.9914e-08     
38	5	5	1.97705e-08    
39	4	4	1.8806e-08     
39	4	5	1.91309e-08    
39	5	4	1.92797e-08    
39	5	5	1.98457e-08    
40	4	4	1.92379e-08    
40	4	5	1.83724e-08    
40	5	4	1.88305e-08    
40	5	5	2.04963e-08    
41	4	4	1.84274e-08    
41	4	5	1.82807e-08    
41	5	4	1.95129e-08    
41	5	5	2.03023e-08    
42	4	4	1.88495e-08    
42	4	5	1.89019e-08    
42	5	4	1.89706e-08    
42	5	5	2.00284e-08    
43	4	4	1.84648e-08    
43	4	5	1.86889e-08    
43	5	4	1.94967e-08    
43	5	5	1.93815e-08    
44	4	4	1.85794e-08    
44	4	5	1.9186e-08     
44	5	4	1.94592e-08    
44	5	5	1.9893e-08     
45	4	4	1.81341e-08    
45	4	5	1.8617e-08     
45	5	4	1.99458e-08    
45	5	5	2.00697e-08    
46	4	4	1.86248e-08    
46	4	5	1.91272e-08    
46	5	4	1.95813e-08    
46	5	5	1.95407e-08    
47	4	4	1.85416e-08    
47	4	5	1.85752e-08    
47	5	4	1.94513e-08    
47	5	5	1.98881e-08    
48	4	4	1.84015e-08    
48	4	5	1.8821e-08     
48	5	4	1.90797e-08    
48	5	5	2.00084e-08    
49	4	4	1.87709e-08    
49	4	5	1.90291e-08    
49	5	4	1.88553e-08    
49	5	5	2.0568e-08     
50	4	4	1.79746e-08    
50	4	5	1.90922e-08    
50	5	4	1.90696e-08    
50	5	5	2.01797e-08    
51	4	4	1.87558e-08    
51	4	5	1.85751e-08    
51	5	4	1.95451e-08    
51	5	5	1.93595e-08    
52	4	4	1.842e-08      
52	4	5	1.87081e-08    
52	5	4	1.93544e-08    
52	5	5	2.00709e-08    
53	4	4	1.87378e-08    
53	4	5	1.901e-08      
53	5	4	1.96751e-08    
53	5	5	1.9658e-08     
54	4	4	1.89902e-08    
54	4	5	1.88879e-08    
54	5	4	1.96642e-08    
54	5	5	2.01068e-08    
55	4	4	1.83404e-08    
55	4	5	1.88011e-08    
55	5	4	1.99994e-08    
55	5	5	2.01045e-08    
56	4	4	1.86002e-08    
56	4	5	1.85353e-08    
56	5	4	1.98899e-08    
56	5	5	1.96861e-08    
57	4	4	1.83057e-08    
57	4	5	1.89452e-08    
57	5	4	1.99135e-08    
57	5	5	2.04269e-08    
58	4	4	1.86703e-08    
58	4	5	1.87947e-08    
58	5	4	1.9819e-08     
58	5	5	2.05134e-08    
59	4	4	1.88361e-08    
59	4	5	1.96483e-08    
59	5	4	1.97881e-08    
59	5	5	1.97691e-08    
60	4	4	1.89547e-08    
60	4	5	1.92426e-08    
60	5	4	2.0138e-08     
60	5	5	2.07528e-08    
61	4	4	1.81332e-08    
61	4	5	1.93289e-08    
61	5	4	1.95555e-08    
61	5	5	2.05926e-08    
62	4	4	1.84532e-08    
62	4	5	1.91978e-08    
62	5	4	1.96745e-08    
62	5	5	2.031e-08      
63	4	4	1.83669e-08    
63	4	5	1.89686e-08    
63	5	4	2.03443e-08    
63	5	5	2.05238e-08    
64	4	4	1.83529e-08    
64	4	5	1.89829e-08    
64	5	4	2.00374e-08    
64	5	5	2.05926e-08    
65	4	4	1.80498e-08    
65	4	5	1.9005e-08     
65	5	4	2.01649e-08    
65	5	5	2.01059e-08    
66	4	4	1.90927e-08    
66	4	5	1.94884e-08    
66	5	4	2.02873e-08    
66	5	5	2.04406e-08    
67	3	4	7.53406e-13    
67	4	4	1.90553e-08    
67	4	5	1.96235e-08    
67	5	4	2.04853e-08    
67	5	5	2.0204e-08     
68	4	4	1.90825e-08    
68	4	5	1.90797e-08    
68	5	4	2.06488e-08    
68	5	5	2.02143e-08    
69	4	4	1.85994e-08    
69	4	5	1.92754e-08    
69	5	4	2.09946e-08    
69	5	5	2.05391e-08    
70	4	4	1.88273e-08    
70	4	5	1.94166e-08    
70	5	4	1.99707e-08    
70	5	5	2.04663e-08    
71	4	4	1.8987e-08     
71	4	5	1.90423e-08    
71	5	4	1.99887e-08    
71	5	5	2.03776e-08    
72	4	4	1.91004e-08    
72	4	5	1.92797e-08    
72	5	4	2.02179e-08    
72	5	5	2.11014e-08    
73	4	4	1.91494e-08    
73	4	5	1.89771e-08    
73	5	4	2.01086e-08    
73	5	5	2.08173e-08    
74	4	4	1.90435e-08    
74	4	5	1.90154e-08    
74	5	4	2.02625e-08    
74	5	5	2.03844e-08    
75	4	4	1.86814e-08    
75	4	5	1.96611e-08    
75	5	4	1.96825e-08    
75	5	5	2.03831e-08    
76	4	4	1.88443e-08    
76	4	5	1.97761e-08    
76	5	4	2.0174e-08     
76	5	5	2.04304e-08    
77	4	4	1.92498e-08    
77	4	5	1.93268e-08    
77	5	4	2.02535e-08    
77	5	5	2.1258e-08     
78	4	4	1.86981e-08    
78	4	5	1.92311e-08    
78	5	4	2.04118e-08    
78	5	5	2.08451e-08    
79	4	4	1.88712e-08    
79	4	5	1.9838e-08     
