i	j	k	Dose(Gy)       
51	5	5	2.9573e-08     
52	4	4	3.22265e-08    
52	4	5	3.48532e-08    
52	5	4	3.25216e-08    
52	5	5	3.02058e-08    
53	4	4	3.23557e-08    
53	4	5	3.46137e-08    
53	5	4	3.29276e-08    
53	5	5	3.03294e-08    
54	4	4	3.20951e-08    
54	4	5	3.51511e-08    
54	5	4	3.29145e-08    
54	5	5	3.06287e-08    
55	4	4	3.24551e-08    
55	4	5	3.48616e-08    
55	5	4	3.27333e-08    
55	5	5	3.09509e-08    
56	4	4	3.31233e-08    
56	4	5	3.5521e-08     
56	5	4	3.30454e-08    
56	5	5	3.07017e-08    
57	4	4	3.32279e-08    
57	4	5	3.49836e-08    
57	5	4	3.30196e-08    
57	5	5	3.09707e-08    
58	4	4	3.25002e-08    
58	4	5	3.4693e-08     
58	5	4	3.36202e-08    
58	5	5	3.11024e-08    
59	4	4	3.36201e-08    
59	4	5	3.4667e-08     
59	5	4	3.37009e-08    
59	5	5	3.13026e-08    
60	4	4	3.37259e-08    
60	4	5	3.57435e-08    
60	5	4	3.27055e-08    
60	5	5	3.13034e-08    
61	4	4	3.37372e-08    
61	4	5	3.48116e-08    
61	5	4	3.39714e-08    
61	5	5	3.16386e-08    
62	4	4	3.39724e-08    
62	4	5	3.56152e-08    
62	5	4	3.34271e-08    
62	5	5	3.16952e-08    
63	4	4	3.34504e-08    
63	4	5	3.59273e-08    
63	5	4	3.4335e-08     
63	5	5	3.21571e-08    
64	4	4	3.39553e-08    
64	4	5	3.59104e-08    
64	5	4	3.41865e-08    
64	5	5	3.20226e-08    
65	4	4	3.44106e-08    
65	4	5	3.60807e-08    
65	5	4	3.38717e-08    
65	5	5	3.26188e-08    
66	4	4	3.38281e-08    
66	4	5	3.66273e-08    
66	5	4	3.42216e-08    
66	5	5	3.2388e-08     
67	4	4	3.53012e-08    
67	4	5	3.67545e-08    
67	5	4	3.38016e-08    
67	5	5	3.31511e-08    
68	4	4	3.41989e-08    
68	4	5	3.70987e-08    
68	5	4	3.37166e-08    
68	5	5	3.35331e-08    
69	4	4	3.48643e-08    
69	4	5	3.72819e-08    
69	5	4	3.44838e-08    
69	5	5	3.36895e-08    
70	4	4	3.5828e-08     
70	4	5	3.72081e-08    
70	5	4	3.49237e-08    
70	5	5	3.33982e-08    
71	4	4	3.47238e-08    
71	4	5	3.69012e-08    
71	5	4	3.47105e-08    
71	5	5	3.41849e-08    
72	4	4	3.55157e-08    
72	4	5	3.79325e-08    
72	5	4	3.50602e-08    
72	5	5	3.37312e-08    
73	4	4	3.57017e-08    
73	4	5	3.77297e-08    
73	5	4	3.54095e-08    
73	5	5	3.46695e-08    
74	4	4	3.56759e-08    
74	4	5	3.76977e-08    
74	5	4	3.48999e-08    
74	5	5	3.51808e-08    
75	4	4	3.55304e-08    
75	4	5	3.78579e-08    
75	5	4	3.5441e-08     
