i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
95	0	0	3.11299e-09    3.07235e-09    21             0              0              0              0              
96	0	0	3.11753e-09    2.95199e-09    21             0              0              0              0              
97	0	0	3.13616e-09    3.12075e-09    21             0              0              0              0              
98	0	0	2.80937e-09    2.80937e-09    21             0              0              0              0              
99	0	0	3.00997e-09    3.00997e-09    21             0              0              0              0              
100	0	0	3.03857e-09    3.03857e-09    21             0              0              0              0              
101	0	0	2.73058e-09    2.73058e-09    21             0              0              0              0              
102	0	0	3.26765e-09    3.26765e-09    21             0              0              0              0              
103	0	0	2.97629e-09    2.97629e-09    21             0              0              0              0              
104	0	0	2.91397e-09    2.91397e-09    21             0              0              0              0              
105	0	0	3.13478e-09    3.13478e-09    21             0              0              0              0              
106	0	0	3.39673e-09    3.39673e-09    21             0              0              0              0              
107	0	0	3.06194e-09    3.06066e-09    21             0              0              0              0              
108	0	0	3.14709e-09    3.05665e-09    21             0              0              0              0              
109	0	0	3.0164e-09     3.0164e-09     21             0              0              0              0              
110	0	0	2.89697e-09    2.89697e-09    21             0              0              0              0              
111	0	0	3.04939e-09    3.04939e-09    21             0              0              0              0              
112	0	0	3.168e-09      3.168e-09      21             0              0              0              0              
113	0	0	2.96342e-09    2.96342e-09    21             0              0              0              0              
114	0	0	3.17697e-09    3.08782e-09    21             0              0              0              0              
115	0	0	3.01932e-09    3.01932e-09    21             0              0              0              0              
116	0	0	2.94511e-09    2.94511e-09    21             0              0              0              0              
117	0	0	3.39059e-09    3.39059e-09    21             0              0              0              0              
118	0	0	3.22896e-09    3.22896e-09    21             0              0              0              0              
119	0	0	3.12059e-09    3.03462e-09    21             0              0              0              0              
120	0	0	3.2339e-09     3.2339e-09     21             0              0              0              0              
121	0	0	3.34774e-09    3.34774e-09    21             0              0              0              0              
122	0	0	3.17091e-09    3.17091e-09    21             0              0              0              0              
123	0	0	3.03756e-09    3.03756e-09    21             0              0              0              0              
124	0	0	3.32907e-09    3.32907e-09    21             0              0              0              0              
125	0	0	3.48909e-09    3.48909e-09    21             0              0              0              0              
126	0	0	3.05107e-09    3.05107e-09    21             0              0              0              0              
127	0	0	3.1669e-09     3.1669e-09     21             0              0              0              0              
128	0	0	3.13269e-09    3.13269e-09    21             0              0              0              0              
129	0	0	3.24224e-09    3.24224e-09    21             0              0              0              0              
130	0	0	3.43761e-09    3.43761e-09    21             0              0              0              0              
131	0	0	3.21479e-09    3.21479e-09    21             0              0              0              0              
132	0	0	3.4025e-09     3.4025e-09     21             0              0              0              0              
133	0	0	3.31748e-09    3.31748e-09    21             0              0              0              0              
134	0	0	3.50184e-09    3.50184e-09    21             0              0              0              0              
135	0	0	3.47073e-09    3.47073e-09    21             0              0              0              0              
136	0	0	3.43871e-09    3.43871e-09    21             0              0              0              0              
137	0	0	3.43213e-09    3.43213e-09    21             0              0              0              0              
138	0	0	3.23587e-09    3.23587e-09    21             0              0              0              0              
139	0	0	3.39067e-09    3.39067e-09    21             0              0              0              0              
140	0	0	3.42662e-09    3.42662e-09    21             0              0              0              0              
141	0	0	3.53236e-09    3.53236e-09    21             0              0              0              0              
142	0	0	3.44441e-09    3.44441e-09    21             0              0              0              0              
143	0	0	3.48379e-09    3.48379e-09    21             0              0              0              0              
144	0	0	3.71041e-09    3.71041e-09    21             0              0              0              0              
145	0	0	3.56106e-09    3.56106e-09    21             0              0              0              0              
146	0	0	3.68372e-09    3.68372e-09    21             0              0              0              0              
147	0	0	3.58764e-09    3.58764e-09    21             0              0              0              0              
148	0	0	3.66003e-09    3.66003e-09    21             0              0              0              0              
149	0	0	3.60183e-09    3.60183e-09    21             0              0              0              0              
150	0	0	3.56332e-09    3.56332e-09    21             0              0              0              0              
151	0	0	3.54105e-09    3.54105e-09    21             0              0              0              0              
152	0	0	3.72843e-09    3.72843e-09    21             0              0              0              0              
153	0	0	3.53591e-09    3.53591e-09    21             0              0              0              0              
154	0	0	3.68292e-09    3.68292e-09    21             0              0              0              0              
155	0	0	3.74497e-09    3.74497e-09    21             0              0              0              0              
156	0	0	3.70647e-09    3.70647e-09    21             0              0              0              0              
157	0	0	3.67408e-09    3.67408e-09    21             0              0              0              0              
158	0	0	3.97468e-09    3.97468e-09    21             0              0              0              0              
159	0	0	3.69749e-09    3.69749e-09    21             0              0              0              0              
160	0	0	4.60681e-09    4.00622e-09    21             0              0              6.00594e-10    1              
161	0	0	4.22212e-09    4.22212e-09    21             0              0              0              0              
162	0	0	4.0347e-09     4.0347e-09     21             0              0              0              0              
163	0	0	3.97405e-09    3.97405e-09    21             0              0              0              0              
164	0	0	4.17771e-09    4.17771e-09    21             0              0              0              0              
165	0	0	3.91186e-09    3.91186e-09    21             0              0              0              0              
166	0	0	4.0917e-09     4.0917e-09     21             0              0              0              0              
167	0	0	4.35504e-09    4.35504e-09    21             0              0              0              0              
168	0	0	4.39691e-09    4.39691e-09    21             0              0              0              0              
169	0	0	4.40804e-09    4.40804e-09    21             0              0              0              0              
170	0	0	4.46795e-09    4.46795e-09    21             0              0              0              0              
171	0	0	4.58673e-09    4.58673e-09    21             0              0              0              0              
172	0	0	4.60859e-09    4.60859e-09    21             0              0              0              0              
173	0	0	5.27107e-09    5.27107e-09    21             0              0              0              0              
174	0	0	5.17608e-09    5.17608e-09    21             0              0              0              0              
175	0	0	3.8637e-09     3.8637e-09     20             0              0              0              0              
176	0	0	3.6405e-09     3.6405e-09     20             0              0              0              0              
177	0	0	3.64932e-09    3.64932e-09    20             0              0              0              0              
178	0	0	3.80706e-09    3.80706e-09    20             0              0              0              0              
179	0	0	3.96539e-09    3.96539e-09    20             0              0              0              0              
180	0	0	3.91877e-09    3.91877e-09    20             0              0              0              0              
181	0	0	3.83535e-09    3.83535e-09    20             0              0              0              0              
182	0	0	3.98363e-09    3.98363e-09    20             0              0              0              0              
183	0	0	3.78427e-09    3.78427e-09    20             0              0              0              0              
184	0	0	4.07522e-09    4.07522e-09    20             0              0              0              0              
