i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
90	0	0	1.40867        1.39939        1.40867        1.39939        0              0              0              0              
91	0	0	1.41013        1.40328        1.41013        1.40328        0              0              0              0              
92	0	0	1.42639        1.40728        1.42639        1.40728        0              0              0              0              
93	0	0	1.41902        1.41125        1.41902        1.41125        0              0              0              0              
94	0	0	1.4233         1.41518        1.4233         1.41518        0              0              0              0              
95	0	0	1.42909        1.41919        1.42909        1.41919        0              0              0              0              
96	0	0	1.43509        1.42341        1.43509        1.42341        0              0              0              0              
97	0	0	1.44373        1.42754        1.44373        1.42754        0              0              0              0              
98	0	0	1.44085        1.43156        1.44085        1.43156        0              0              0              0              
99	0	0	1.44713        1.43552        1.44713        1.43552        0              0              0              0              
100	0	0	1.44976        1.43968        1.44976        1.43968        0              0              0              0              
101	0	0	1.46728        1.44367        1.46728        1.44367        0              0              0              0              
102	0	0	1.4567         1.44786        1.4567         1.44786        0              0              0              0              
103	0	0	1.47199        1.45225        1.47199        1.45225        0              0              0              0              
104	0	0	1.47266        1.45644        1.47266        1.45644        0              0              0              0              
105	0	0	1.48319        1.46079        1.48319        1.46079        0              0              0              0              
106	0	0	1.48179        1.46553        1.48179        1.46553        0              0              0              0              
107	0	0	1.48584        1.47029        1.48584        1.47029        0              0              0              0              
108	0	0	1.49393        1.47484        1.49393        1.47484        0              0              0              0              
109	0	0	1.48862        1.4793         1.48862        1.4793         0              0              0              0              
110	0	0	1.49818        1.48366        1.49818        1.48366        0              0              0              0              
111	0	0	1.50376        1.4881         1.50376        1.4881         0              0              0              0              
112	0	0	1.5163         1.49283        1.5163         1.49283        0              0              0              0              
113	0	0	1.52986        1.49759        1.52986        1.49759        0              0              0              0              
114	0	0	1.51982        1.50242        1.51982        1.50242        0              0              0              0              
115	0	0	1.52813        1.50718        1.52813        1.50718        0              0              0              0              
116	0	0	1.53312        1.51187        1.53312        1.51187        0              0              0              0              
117	0	0	1.5444         1.51693        1.5444         1.51693        0              0              0              0              
118	0	0	1.53961        1.52223        1.53961        1.52223        0              0              0              0              
119	0	0	1.55414        1.52738        1.55414        1.52738        0              0              0              0              
120	0	0	1.56477        1.53257        1.56477        1.53257        0              0              0              0              
121	0	0	1.55449        1.53799        1.55449        1.53799        0              0              0              0              
122	0	0	1.57002        1.54339        1.57002        1.54339        0              0              0              0              
123	0	0	1.58072        1.54864        1.58072        1.54864        0              0              0              0              
124	0	0	1.58173        1.55407        1.58173        1.55407        0              0              0              0              
125	0	0	1.60736        1.56003        1.60736        1.56003        0              0              0              0              
126	0	0	1.59857        1.56584        1.59857        1.56584        0              0              0              0              
127	0	0	1.6132         1.57138        1.6132         1.57138        0              0              0              0              
128	0	0	1.6158         1.57706        1.6158         1.57706        0              0              0              0              
129	0	0	1.61144        1.58279        1.61144        1.58279        0              0              0              0              
130	0	0	1.62702        1.58888        1.62702        1.58888        0              0              0              0              
131	0	0	1.64239        1.59506        1.64239        1.59506        0              0              0              0              
132	0	0	1.63794        1.60129        1.63794        1.60129        0              0              0              0              
133	0	0	1.6468         1.60757        1.6468         1.60757        0              0              0              0              
134	0	0	1.65656        1.61406        1.65656        1.61406        0              0              0              0              
135	0	0	1.67643        1.62088        1.67643        1.62088        0              0              0              0              
136	0	0	1.66833        1.62771        1.66833        1.62771        0              0              0              0              
137	0	0	1.69366        1.63457        1.69366        1.63457        0              0              0              0              
138	0	0	1.69185        1.6414         1.69185        1.6414         0              0              0              0              
139	0	0	1.70398        1.64823        1.70398        1.64823        0              0              0              0              
140	0	0	1.69417        1.65523        1.69417        1.65523        0              0              0              0              
141	0	0	1.71617        1.66243        1.71617        1.66243        0              0              0              0              
142	0	0	1.73687        1.66995        1.73687        1.66995        0              0              0              0              
143	0	0	1.72041        1.67748        1.72041        1.67748        0              0              0              0              
144	0	0	1.74921        1.6853         1.74921        1.6853         0              0              0              0              
145	0	0	1.75247        1.69351        1.75247        1.69351        0              0              0              0              
146	0	0	1.76544        1.70177        1.76544        1.70177        0              0              0              0              
147	0	0	1.76999        1.71016        1.76999        1.71016        0              0              0              0              
148	0	0	1.81669        1.71891        1.81669        1.71891        0              0              0              0              
149	0	0	1.81326        1.72792        1.81326        1.72792        0              0              0              0              
150	0	0	1.83503        1.73696        1.83503        1.73696        0              0              0              0              
151	0	0	1.82889        1.74608        1.82889        1.74608        0              0              0              0              
152	0	0	1.86312        1.75573        1.86312        1.75573        0              0              0              0              
153	0	0	1.88335        1.76581        1.88335        1.76581        0              0              0              0              
154	0	0	1.87743        1.77584        1.87743        1.77584        0              0              0              0              
