i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
78	0	0	90795.3        0.454628       0.454624       0.454628       0.454624       0              0              0              0              
79	0	0	91151.1        0.456009       0.456003       0.456009       0.456003       0              0              0              0              
80	0	0	91409.2        0.457403       0.457399       0.457403       0.457399       0              0              0              0              
81	0	0	91730.4        0.458815       0.458813       0.458815       0.458813       0              0              0              0              
82	0	0	91939.6        0.460246       0.460243       0.460246       0.460243       0              0              0              0              
83	0	0	92372.1        0.461696       0.461693       0.461696       0.461693       0              0              0              0              
84	0	0	92561.3        0.463244       0.463173       0.463166       0.463159       2.63341        2.63323        0              0              
85	0	0	92910.1        0.488016       0.464739       0.464651       0.464645       8.62851        5.09083        778.874        685.22         
86	0	0	93132.5        0.466156       0.46615        0.466156       0.46615        0              0              0              0              
87	0	0	93543.5        0.467681       0.467674       0.467681       0.467674       0              0              0              0              
88	0	0	93720.5        0.469225       0.469218       0.469225       0.469218       0              0              0              0              
89	0	0	94141.4        0.470787       0.470782       0.470787       0.470782       0              0              0              0              
90	0	0	94357.6        0.472372       0.472366       0.472372       0.472366       0              0              0              0              
91	0	0	94668.4        0.473977       0.473972       0.473977       0.473972       0              0              0              0              
92	0	0	95088.7        0.475605       0.475599       0.475605       0.475599       0              0              0              0              
93	0	0	95337.5        0.477257       0.477249       0.477257       0.477249       0              0              0              0              
94	0	0	95685.7        0.478927       0.47892        0.478927       0.47892        0              0              0              0              
95	0	0	96091.9        0.480625       0.480616       0.480625       0.480616       0              0              0              0              
96	0	0	96366.7        0.482343       0.482335       0.482343       0.482335       0              0              0              0              
97	0	0	96771.5        0.484087       0.484079       0.484087       0.484079       0              0              0              0              
98	0	0	97105.9        0.485859       0.485847       0.485859       0.485847       0              0              0              0              
99	0	0	97407.8        0.487651       0.48764        0.487651       0.48764        0              0              0              0              
100	0	0	97829.9        0.497119       0.489466       0.489471       0.48946        0              0              555.888        444.654        
101	0	0	98254.7        0.491317       0.491307       0.491317       0.491307       0              0              0              0              
102	0	0	98450.8        0.49319        0.49318        0.49319        0.49318        0              0              0              0              
103	0	0	98974.5        0.495091       0.495081       0.495091       0.495081       0              0              0              0              
104	0	0	99340.3        0.497026       0.497012       0.497026       0.497012       0              0              0              0              
105	0	0	99731.7        0.498982       0.498972       0.498982       0.498972       0              0              0              0              
106	0	0	100193         0.508613       0.50097        0.500976       0.500963       0              0              557.726        508.356        
107	0	0	100532         0.502997       0.502984       0.502997       0.502984       0              0              0              0              
108	0	0	100877         0.505051       0.505036       0.505051       0.505036       0              0              0              0              
109	0	0	101320         0.507138       0.50712        0.507138       0.50712        0              0              0              0              
110	0	0	101788         0.509256       0.509239       0.509256       0.509239       0              0              0              0              
111	0	0	102214         0.517498       0.511399       0.511407       0.511392       0              0              517.113        436.418        
112	0	0	102603         0.513596       0.51358        0.513596       0.51358        0              0              0              0              
113	0	0	103140         0.515823       0.515806       0.515822       0.515805       1.08019        1.08019        0              0              
114	0	0	103496         0.518108       0.518079       0.518087       0.518069       1.10902        1.11038        0              0              
115	0	0	103948         0.520411       0.520378       0.520391       0.520368       1.16482        1.16402        0              0              
116	0	0	104436         0.522754       0.522717       0.522728       0.522706       1.22856        1.2279         0              0              
117	0	0	104875         0.525137       0.525097       0.525108       0.525085       1.30796        1.30875        0              0              
118	0	0	105359         0.527565       0.527519       0.527529       0.527505       1.40842        1.40792        0              0              
119	0	0	105959         0.530042       0.529985       0.529997       0.529969       1.54152        1.54116        0              0              
120	0	0	106381         0.532564       0.532496       0.532506       0.532478       1.72583        1.7238         0              0              
121	0	0	106875         0.535145       0.535054       0.535058       0.535031       2.01655        2.00984        0              0              
122	0	0	107425         0.537824       0.537665       0.537659       0.537632       2.62273        2.59402        0              0              
123	0	0	107943         0.541584       0.540353       0.540309       0.54028        9.27949        5.73969        0              0              
124	0	0	108485         0.543007       0.542979       0.543007       0.542979       0              0              0              0              
125	0	0	108996         0.554058       0.545736       0.545758       0.545728       0              0              592.633        533.901        
126	0	0	109546         0.548569       0.54853        0.548569       0.54853        0              0              0              0              
127	0	0	110229         0.551426       0.551389       0.551426       0.551389       0              0              0              0              
128	0	0	110714         0.559898       0.554309       0.554344       0.554304       0              0              518.04         426.179        
129	0	0	111392         0.557318       0.557277       0.557318       0.557277       0              0              0              0              
130	0	0	111922         0.560357       0.560312       0.560357       0.560312       0              0              0              0              
131	0	0	112535         0.563454       0.563407       0.563454       0.563407       0              0              0              0              
132	0	0	113212         0.566617       0.566568       0.566617       0.566568       0              0              0              0              
133	0	0	113804         0.581623       0.569805       0.56985        0.569796       0              0              682.642        535.887        
134	0	0	114532         0.573146       0.573093       0.573146       0.573093       0              0              0              0              
135	0	0	115195         0.576524       0.576464       0.576524       0.576464       0              0              0              0              
136	0	0	115815         0.590078       0.579917       0.579968       0.579908       0              0              648.94         591.146        
137	0	0	116542         0.583501       0.583429       0.583501       0.583429       0              0              0              0              
138	0	0	117271         0.587102       0.58703        0.587102       0.58703        0              0              0              0              
139	0	0	118029         0.590797       0.590717       0.590797       0.590717       0              0              0              0              
140	0	0	118711         0.594582       0.594489       0.594582       0.594489       0              0              0              0              
141	0	0	119501         0.598462       0.598353       0.598462       0.598353       0              0              0              0              
142	0	0	120253         0.602435       0.60231        0.602435       0.60231        1.51958        1.51958        0              0              
143	0	0	121166         0.606613       0.606389       0.606563       0.606371       1.62333        1.61998        0              0              
144	0	0	121981         0.611749       0.610587       0.611675       0.610563       1.91084        1.90339        0              0              
145	0	0	122708         0.614993       0.614792       0.614845       0.614756       2.52283        2.49302        0              0              
146	0	0	123642         0.620315       0.619196       0.619216       0.619124       8.97566        5.48974        0              0              
147	0	0	124517         0.62371        0.623608       0.62371        0.623608       0              0              0              0              
148	0	0	125480         0.632473       0.628225       0.628324       0.628215       2.97505        2.97505        483.621        437.262        
149	0	0	126456         0.634166       0.63302        0.633068       0.632949       9.12247        5.52706        0              0              
150	0	0	127433         0.637941       0.637814       0.637941       0.637814       0              0              0              0              
151	0	0	128446         0.642954       0.642819       0.642954       0.642819       0              0              0              0              
152	0	0	129501         0.648108       0.64797        0.648108       0.64797        0              0              0              0              
153	0	0	130646         0.653429       0.653277       0.653429       0.653277       0              0              0              0              
154	0	0	131843         0.658904       0.658747       0.658904       0.658747       0              0              0              0              
155	0	0	132939         0.664589       0.664394       0.664552       0.664387       3.33136        3.3308         0              0              
156	0	0	134106         0.671355       0.670267       0.670374       0.670205       10.1991        6.25989        0              0              
157	0	0	135331         0.676401       0.676209       0.676401       0.676209       0              0              0              0              
158	0	0	136495         0.682611       0.682409       0.682611       0.682409       0              0              0              0              
159	0	0	137820         0.689038       0.68882        0.689038       0.68882        0              0              0              0              
160	0	0	139121         0.695679       0.69545        0.695679       0.69545        0              0              0              0              
161	0	0	140573         0.702556       0.702314       0.702556       0.702314       0              0              0              0              
162	0	0	141929         0.709697       0.709428       0.709697       0.709428       0              0              0              0              
163	0	0	143376         0.72023        0.716807       0.717088       0.716802       0              0              458.897        391.074        
164	0	0	145042         0.728998       0.724468       0.72478        0.72446        0              0              510.886        461.862        
165	0	0	146631         0.738971       0.732427       0.732763       0.732419       0              0              594.986        514.45         
