i	j	k	LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          
101	0	0	1.40043        1.39977        1.40043        1.39977        0              0              
102	0	0	1.40393        1.40348        1.40393        1.40348        0              0              
103	0	0	1.40757        1.40707        1.40757        1.40707        0              0              
104	0	0	1.41134        1.41076        1.41134        1.41076        0              0              
105	0	0	1.41554        1.41437        1.41554        1.41437        0              0              
106	0	0	1.41832        1.41813        1.41832        1.41813        0              0              
107	0	0	1.42197        1.42203        1.42197        1.42203        0              0              
108	0	0	1.42524        1.42597        1.42524        1.42597        0              0              
109	0	0	1.42998        1.42981        1.42998        1.42981        0              0              
110	0	0	1.43279        1.43353        1.43279        1.43353        0              0              
111	0	0	1.43878        1.43741        1.43878        1.43741        0              0              
112	0	0	1.44189        1.44146        1.44189        1.44146        0              0              
113	0	0	1.44686        1.44563        1.44686        1.44563        0              0              
114	0	0	1.4506         1.44982        1.4506         1.44982        0              0              
115	0	0	1.45299        1.45398        1.45299        1.45398        0              0              
116	0	0	1.45945        1.45816        1.45945        1.45816        0              0              
117	0	0	1.46357        1.4624         1.46357        1.4624         0              0              
118	0	0	1.4665         1.46676        1.4665         1.46676        0              0              
119	0	0	1.47114        1.47117        1.47114        1.47117        0              0              
120	0	0	1.47661        1.47547        1.47661        1.47547        0              0              
121	0	0	1.47917        1.47976        1.47917        1.47976        0              0              
122	0	0	1.48327        1.48421        1.48327        1.48421        0              0              
123	0	0	1.48824        1.48867        1.48824        1.48867        0              0              
124	0	0	1.49356        1.49298        1.49356        1.49298        0              0              
125	0	0	1.49878        1.49745        1.49878        1.49745        0              0              
126	0	0	1.50322        1.50212        1.50322        1.50212        0              0              
127	0	0	1.50701        1.50687        1.50701        1.50687        0              0              
128	0	0	1.51132        1.51175        1.51132        1.51175        0              0              
129	0	0	1.51736        1.51643        1.51736        1.51643        0              0              
130	0	0	1.52079        1.52106        1.52079        1.52106        0              0              
131	0	0	1.52599        1.52567        1.52599        1.52567        0              0              
132	0	0	1.53048        1.53025        1.53048        1.53025        0              0              
133	0	0	1.53527        1.53506        1.53527        1.53506        0              0              
134	0	0	1.54099        1.53999        1.54099        1.53999        0              0              
135	0	0	1.54634        1.54492        1.54634        1.54492        0              0              
136	0	0	1.5501         1.55009        1.5501         1.55009        0              0              
137	0	0	1.5551         1.55514        1.5551         1.55514        0              0              
138	0	0	1.56199        1.56022        1.56199        1.56022        0              0              
139	0	0	1.56707        1.5654         1.56707        1.5654         0              0              
140	0	0	1.57377        1.57071        1.57377        1.57071        0              0              
141	0	0	1.57561        1.57623        1.57561        1.57623        0              0              
142	0	0	1.58109        1.5815         1.58109        1.5815         0              0              
143	0	0	1.5883         1.58714        1.5883         1.58714        0              0              
144	0	0	1.59289        1.59291        1.59289        1.59291        0              0              
145	0	0	1.60013        1.59843        1.60013        1.59843        0              0              
146	0	0	1.60429        1.60411        1.60429        1.60411        0              0              
147	0	0	1.60852        1.60987        1.60852        1.60987        0              0              
148	0	0	1.617          1.61579        1.617          1.61579        0              0              
149	0	0	1.62127        1.62179        1.62127        1.62179        0              0              
150	0	0	1.62754        1.62787        1.62754        1.62787        0              0              
151	0	0	1.63363        1.63396        1.63363        1.63396        0              0              
152	0	0	1.6416         1.64016        1.6416         1.64016        0              0              
153	0	0	1.64691        1.64649        1.64691        1.64649        0              0              
154	0	0	1.65423        1.65272        1.65423        1.65272        0              0              
155	0	0	1.66103        1.65888        1.66103        1.65888        0              0              
156	0	0	1.66625        1.66498        1.66625        1.66498        0              0              
157	0	0	1.67061        1.67129        1.67061        1.67129        0              0              
158	0	0	1.67808        1.67764        1.67808        1.67764        0              0              
159	0	0	1.6842         1.68422        1.6842         1.68422        0              0              
160	0	0	1.69037        1.69123        1.69037        1.69123        0              0              
161	0	0	1.69817        1.69811        1.69817        1.69811        0              0              
162	0	0	1.70619        1.70482        1.70619        1.70482        0              0              
163	0	0	1.70992        1.71176        1.70992        1.71176        0              0              
164	0	0	1.71836        1.719          1.71836        1.719          0              0              
165	0	0	1.72925        1.72632        1.72925        1.72632        0              0              
166	0	0	1.73512        1.73377        1.73512        1.73377        0              0              
167	0	0	1.74156        1.74126        1.74156        1.74126        0              0              
168	0	0	1.75125        1.74895        1.75125        1.74895        0              0              
169	0	0	1.75725        1.75677        1.75725        1.75677        0              0              
170	0	0	1.76472        1.7648         1.76472        1.7648         0              0              
171	0	0	1.77588        1.77279        1.77588        1.77279        0              0              
172	0	0	1.78058        1.78056        1.78058        1.78056        0              0              
173	0	0	1.79027        1.78847        1.79027        1.78847        0              0              
174	0	0	1.79686        1.79638        1.79686        1.79638        0              0              
175	0	0	1.80506        1.80428        1.80506        1.80428        0              0              
176	0	0	1.81282        1.81256        1.81282        1.81256        0              0              
177	0	0	1.82174        1.82156        1.82174        1.82156        0              0              
178	0	0	1.83233        1.83067        1.83233        1.83067        0              0              
179	0	0	1.84323        1.83952        1.84323        1.83952        0              0              
180	0	0	1.84862        1.84857        1.84862        1.84857        0              0              
181	0	0	1.85957        1.85788        1.85957        1.85788        0              0              
182	0	0	1.86747        1.86713        1.86747        1.86713        0              0              
183	0	0	1.87826        1.87625        1.87826        1.87625        0              0              
184	0	0	1.88752        1.88574        1.88752        1.88574        0              0              
185	0	0	1.8977         1.8958         1.8977         1.8958         0              0              
186	0	0	1.90644        1.90605        1.90644        1.90605        0              0              
187	0	0	1.91751        1.91624        1.91751        1.91624        0              0              
188	0	0	1.92772        1.92645        1.92772        1.92645        0              0              
189	0	0	1.93985        1.93675        1.93985        1.93675        0              0              
190	0	0	1.94849        1.94744        1.94849        1.94744        0              0              
191	0	0	1.95926        1.9588         1.95926        1.9588         0              0              
192	0	0	1.97547        1.97051        1.97547        1.97051        0              0              
193	0	0	1.98229        1.98209        1.98229        1.98209        0              0              
194	0	0	1.99516        1.99349        1.99516        1.99349        0              0              
195	0	0	2.00686        2.00515        2.00686        2.00515        0              0              
196	0	0	2.02149        2.01714        2.02149        2.01714        0              0              
197	0	0	2.03157        2.02937        2.03157        2.02937        0              0              
198	0	0	2.04449        2.04183        2.04449        2.04183        0              0              
199	0	0	2.0572         2.05425        2.0572         2.05425        0              0              
200	0	0	2.06963        2.06711        2.06963        2.06711        0              0              
201	0	0	2.08139        2.08035        2.08139        2.08035        0              0              
202	0	0	2.0964         2.09359        2.0964         2.09359        0              0              
203	0	0	2.111          2.10719        2.111          2.10719        0              0              
204	0	0	2.1259         2.12179        2.1259         2.12179        0              0              
205	0	0	2.13789        2.13686        2.13789        2.13686        0              0              
206	0	0	2.15382        2.15151        2.15382        2.15151        0              0              
207	0	0	2.17049        2.16696        2.17049        2.16696        0              0              
208	0	0	2.18626        2.18277        2.18626        2.18277        0              0              
209	0	0	2.20441        2.19844        2.20441        2.19844        0              0              
210	0	0	2.21732        2.21475        2.21732        2.21475        0              0              
211	0	0	2.23591        2.23114        2.23591        2.23114        0              0              
212	0	0	2.2498         2.24799        2.2498         2.24799        0              0              
213	0	0	2.26888        2.26564        2.26888        2.26564        0              0              
214	0	0	2.29217        2.28395        2.29217        2.28395        0              0              
215	0	0	2.30172        2.30263        2.30172        2.30263        0              0              
216	0	0	2.3274         2.32135        2.3274         2.32135        0              0              
217	0	0	2.34531        2.34056        2.34531        2.34056        0              0              
218	0	0	2.36357        2.36019        2.36357        2.36019        0              0              
219	0	0	2.38263        2.38034        2.38263        2.38034        0              0              
220	0	0	2.41186        2.40135        2.41186        2.40135        0              0              
221	0	0	2.4263         2.42296        2.4263         2.42296        0              0              
222	0	0	2.45927        2.44532        2.45927        2.44532        0              0              
223	0	0	2.47368        2.46886        2.47368        2.46886        0              0              
224	0	0	2.49555        2.49292        2.49555        2.49292        0              0              
225	0	0	2.52162        2.51722        2.52162        2.51722        0              0              
226	0	0	2.5545         2.54291        2.5545         2.54291        0              0              
227	0	0	2.58174        2.5699         2.58174        2.5699         0              0              
228	0	0	2.60979        2.59686        2.60979        2.59686        0              0              
229	0	0	2.63591        2.62456        2.63591        2.62456        0              0              
230	0	0	2.66322        2.65396        2.66322        2.65396        0              0              
231	0	0	2.70065        2.6845         2.70065        2.6845         0              0              
232	0	0	2.73209        2.7162         2.73209        2.7162         0              0              
233	0	0	2.76406        2.74966        2.76406        2.74966        0              0              
234	0	0	2.79761        2.78544        2.79761        2.78544        0              0              
235	0	0	2.83322        2.82249        2.83322        2.82249        0              0              
236	0	0	2.88169        2.861          2.88169        2.861          0              0              
237	0	0	2.9245         2.90127        2.9245         2.90127        0              0              
238	0	0	2.9638         2.94262        2.9638         2.94262        0              0              
239	0	0	3.00957        2.98648        3.00957        2.98648        0              0              
240	0	0	3.05855        3.03302        3.05855        3.03302        0              0              
241	0	0	3.10716        3.08132        3.10716        3.08132        0              0              
242	0	0	3.17207        3.13273        3.17207        3.13273        0              0              
243	0	0	3.22142        3.18724        3.22142        3.18724        0              0              
244	0	0	3.27583        3.24308        3.27583        3.24308        0              0              
245	0	0	3.34305        3.30287        3.34305        3.30287        0              0              
246	0	0	3.42096        3.36744        3.42096        3.36744        0              0              
247	0	0	3.49729        3.43587        3.49729        3.43587        0              0              
248	0	0	3.59753        3.5108         3.59753        3.5108         0              0              
249	0	0	3.69778        3.59439        3.69778        3.59439        0              0              
250	0	0	3.79854        3.6861         3.79854        3.6861         0              0              
251	0	0	3.92202        3.78916        3.92202        3.78916        0              0              
252	0	0	4.11583        3.90733        4.11583        3.90733        0              0              
253	0	0	4.36017        4.04991        4.36017        4.04991        0              0              
254	0	0	4.81673        4.24279        4.81673        4.24279        0              0              
255	0	0	6.01789        4.60223        6.01789        4.60223        0              0              
256	0	0	9.42211        4.75886        9.42211        4.75886        0              0              
257	0	0	4.31699        4.27287        4.31699        4.27287        0              0              
258	0	0	4.48366        4.4243         4.48366        4.4243         0              0              
259	0	0	4.68628        4.59631        4.68628        4.59631        0              0              
260	0	0	4.90872        4.7974         4.90872        4.7974         0              0              
261	0	0	5.19789        5.03444        5.19789        5.03444        0              0              
262	0	0	5.49904        5.31366        5.49904        5.31366        0              0              
263	0	0	5.95274        5.66198        5.95274        5.66198        0              0              
264	0	0	6.59688        6.13063        6.59688        6.13063        0              0              
265	0	0	7.80175        6.8641         7.80175        6.8641         0              0              
266	0	0	13.9512        8.65806        13.9512        8.65806        0              0              
267	0	0	11.3905        7.99778        11.3905        7.99778        0              0              
268	0	0	14.6829        9.21919        14.6829        9.21919        0              0              
269	0	0	12.3175        8.96546        12.3175        8.96546        0              0              
270	0	0	13.5583        10.1382        13.5583        10.1382        0              0              
271	0	0	18.9208        11.9646        18.9208        11.9646        0              0              
272	0	0	17.8745        11.3256        17.8745        11.3256        0              0              
273	0	0	11.4897        10.2568        11.4897        10.2568        0              0              
274	0	0	21.2562        14.1434        21.2562        14.1434        0              0              
275	0	0	23.576         15.0917        23.576         15.0917        0              0              
276	0	0	12.454         12.2054        12.454         12.2054        0              0              
277	0	0	28.0421        22.506         28.0421        22.506         0              0              
278	0	0	35.3293        33.1814        35.3293        33.1814        0              0              
279	0	0	0              0              0              0              0              0              
280	0	0	0              0              0              0              0              0              
281	0	0	0              0              0              0              0              0              
282	0	0	0              0              0              0              0              0              
283	0	0	0              0              0              0              0              0              
284	0	0	0              0              0              0              0              0              
285	0	0	0              0              0              0              0              0              
286	0	0	0              0              0              0              0              0              
287	0	0	0              0              0              0              0              0              
288	0	0	0              0              0              0              0              0              
289	0	0	0              0              0              0              0              0              
290	0	0	0              0              0              0              0              0              
291	0	0	0              0              0              0              0              0              
292	0	0	0              0              0              0              0              0              
293	0	0	0              0              0              0              0              0              
294	0	0	0              0              0              0              0              0              
295	0	0	0              0              0              0              0              0              
296	0	0	0              0              0              0              0              0              
297	0	0	0              0              0              0              0              0              
298	0	0	0              0              0              0              0              0              
299	0	0	0              0              0              0              0              0              
300	0	0	0              0              0              0              0              0              
301	0	0	0              0              0              0              0              0              
302	0	0	0              0              0              0              0              0              
303	0	0	0              0              0              0              0              0              
304	0	0	0              0              0              0              0              0              
305	0	0	0              0              0              0              0              0              
306	0	0	0              0              0              0              0              0              
307	0	0	0              0              0              0              0              0              
308	0	0	0              0              0              0              0              0              
309	0	0	0              0              0              0              0              0              
310	0	0	0              0              0              0              0              0              
311	0	0	0              0              0              0              0              0              
312	0	0	0              0              0              0              0              0              
313	0	0	0              0              0              0              0              0              
314	0	0	0              0              0              0              0              0              
315	0	0	0              0              0              0              0              0              
316	0	0	0              0              0              0              0              0              
317	0	0	0              0              0              0              0              0              
318	0	0	0              0              0              0              0              0              
319	0	0	0              0              0              0              0              0              
320	0	0	0              0              0              0              0              0              
321	0	0	0              0              0              0              0              0              
322	0	0	0              0              0              0              0              0              
323	0	0	0              0              0              0              0              0              
324	0	0	0              0              0              0              0              0              
325	0	0	0              0              0              0              0              0              
326	0	0	0              0              0              0              0              0              
327	0	0	0              0              0              0              0              0              
328	0	0	0              0              0              0              0              0              
329	0	0	0              0              0              0              0              0              
330	0	0	0              0              0              0              0              0              
331	0	0	0              0              0              0              0              0              
332	0	0	0              0              0              0              0              0              
333	0	0	0              0              0              0              0              0              
334	0	0	0              0              0              0              0              0              
335	0	0	0              0              0              0              0              0              
336	0	0	0              0              0              0              0              0              
337	0	0	0              0              0              0              0              0              
338	0	0	0              0              0              0              0              0              
339	0	0	0              0              0              0              0              0              
340	0	0	0              0              0              0              0              0              
341	0	0	0              0              0              0              0              0              
342	0	0	0              0              0              0              0              0              
343	0	0	0              0              0              0              0              0              
344	0	0	0              0              0              0              0              0              
345	0	0	0              0              0              0              0              0              
346	0	0	0              0              0              0              0              0              
347	0	0	0              0              0              0              0              0              
348	0	0	0              0              0              0              0              0              
349	0	0	0              0              0              0              0              0              
350	0	0	0              0              0              0              0              0              
351	0	0	0              0              0              0              0              0              
352	0	0	0              0              0              0              0              0              
353	0	0	0              0              0              0              0              0              
354	0	0	0              0              0              0              0              0              
355	0	0	0              0              0              0              0              0              
356	0	0	0              0              0              0              0              0              
357	0	0	0              0              0              0              0              0              
358	0	0	0              0              0              0              0              0              
359	0	0	0              0              0              0              0              0              
360	0	0	0              0              0              0              0              0              
361	0	0	0              0              0              0              0              0              
362	0	0	0              0              0              0              0              0              
363	0	0	0              0              0              0              0              0              
364	0	0	0              0              0              0              0              0              
365	0	0	0              0              0              0              0              0              
366	0	0	0              0              0              0              0              0              
367	0	0	0              0              0              0              0              0              
368	0	0	0              0              0              0              0              0              
369	0	0	0              0              0              0              0              0              
370	0	0	0              0              0              0              0              0              
371	0	0	0              0              0              0              0              0              
372	0	0	0              0              0              0              0              0              
373	0	0	0              0              0              0              0              0              
374	0	0	0              0              0              0              0              0              
375	0	0	0              0              0              0              0              0              
376	0	0	0              0              0              0              0              0              
377	0	0	0              0              0              0              0              0              
378	0	0	0              0              0              0              0              0              
379	0	0	0              0              0              0              0              0              
380	0	0	0              0              0              0              0              0              
381	0	0	0              0              0              0              0              0              
382	0	0	0              0              0              0              0              0              
383	0	0	0              0              0              0              0              0              
384	0	0	0              0              0              0              0              0              
385	0	0	0              0              0              0              0              0              
386	0	0	0              0              0              0              0              0              
387	0	0	0              0              0              0              0              0              
388	0	0	0              0              0              0              0              0              
389	0	0	0              0              0              0              0              0              
390	0	0	0              0              0              0              0              0              
391	0	0	0              0              0              0              0              0              
392	0	0	0              0              0              0              0              0              
393	0	0	0              0              0              0              0              0              
394	0	0	0              0              0              0              0              0              
395	0	0	0              0              0              0              0              0              
396	0	0	0              0              0              0              0              0              
397	0	0	0              0              0              0              0              0              
398	0	0	0              0              0              0              0              0              
399	0	0	0              0              0              0              0              0              
