#class tools::wcsv::ntuple
#title Let
#separator 44
#vector_separator 59
#column int i
#column int j
#column int k
#column double TotalLetD
#column double TotalLetT
#column int A
#column int Z
#column double IonLETD
#column double IonLETT
0,0,0,0.381007,0.381008,1,1,0.381007,0.381008
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
1,0,0,0.381667,0.381668,1,1,0.381667,0.381668
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
2,0,0,0.382333,0.382334,1,1,0.382333,0.382334
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
3,0,0,0.383004,0.383005,1,1,0.383004,0.383005
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
4,0,0,0.38368,0.383681,1,1,0.38368,0.383681
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
5,0,0,0.384361,0.384362,1,1,0.384361,0.384362
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
6,0,0,0.385048,0.385049,1,1,0.385048,0.385049
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
7,0,0,0.38574,0.385741,1,1,0.38574,0.385741
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
8,0,0,0.386438,0.386439,1,1,0.386438,0.386439
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
9,0,0,0.387141,0.387141,1,1,0.387141,0.387141
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
10,0,0,0.387848,0.387849,1,1,0.387848,0.387849
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
11,0,0,0.388562,0.388563,1,1,0.388562,0.388563
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
12,0,0,0.425781,0.389305,1,1,0.389281,0.389282
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,690.832,599.088
13,0,0,0.390006,0.390006,1,1,0.390006,0.390006
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
14,0,0,0.390737,0.390738,1,1,0.390737,0.390738
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
15,0,0,0.391474,0.391475,1,1,0.391474,0.391475
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
16,0,0,0.392217,0.392218,1,1,0.392217,0.392218
0,0,0,0,0,1,1,0,0
0,0,0,0,0,16,8,0,0
17,0,0,0.392966,0.392967,1,1,0.392966,0.392967
0,0,0,0,0,1,1,0,0
