i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
78	0	0	12296.6        0.61684        0.616831       0.61684        0.616831       0              0              0              0              
79	0	0	12411.7        0.621268       0.621251       0.621268       0.621251       0              0              0              0              
80	0	0	12519.4        0.625821       0.625796       0.625821       0.625796       0              0              0              0              
81	0	0	12602.9        0.630495       0.630465       0.630495       0.630465       0              0              0              0              
82	0	0	12677.9        0.635291       0.635256       0.635291       0.635256       0              0              0              0              
83	0	0	12777.7        0.640207       0.640178       0.640207       0.640178       0              0              0              0              
84	0	0	12903          0.645284       0.645249       0.645284       0.645249       0              0              0              0              
85	0	0	12994.2        0.650508       0.650469       0.650508       0.650469       0              0              0              0              
86	0	0	13124          0.65589        0.655849       0.65589        0.655849       0              0              0              0              
87	0	0	13220.6        0.66144        0.661387       0.66144        0.661387       0              0              0              0              
88	0	0	13351.4        0.667138       0.667105       0.667138       0.667105       0              0              0              0              
89	0	0	13455.6        0.673059       0.673          0.673059       0.673          0              0              0              0              
90	0	0	13569.5        0.679159       0.679081       0.679159       0.679081       0              0              0              0              
91	0	0	13706.9        0.685436       0.68537        0.685436       0.68537        0              0              0              0              
92	0	0	13820.5        0.691938       0.691866       0.691938       0.691866       0              0              0              0              
93	0	0	13971.7        0.698675       0.698592       0.698675       0.698592       0              0              0              0              
94	0	0	14130.5        0.705645       0.705564       0.705645       0.705564       0              0              0              0              
95	0	0	14261.5        0.712871       0.71279        0.712871       0.71279        0              0              0              0              
96	0	0	14405          0.720378       0.720279       0.720378       0.720279       0              0              0              0              
97	0	0	14576          0.728166       0.728065       0.728166       0.728065       0              0              0              0              
98	0	0	14733.3        0.736277       0.736151       0.736277       0.736151       0              0              0              0              
99	0	0	14893.6        0.7447         0.744562       0.7447         0.744562       0              0              0              0              
100	0	0	15073.2        0.753472       0.753323       0.753472       0.753323       0              0              0              0              
101	0	0	15237.4        0.762612       0.762448       0.762612       0.762448       0              0              0              0              
102	0	0	15444.3        0.772167       0.771983       0.772167       0.771983       0              0              0              0              
103	0	0	15661.4        0.782151       0.781956       0.782151       0.781956       0              0              0              0              
104	0	0	15864.4        0.792606       0.7924         0.792606       0.7924         0              0              0              0              
105	0	0	16097.8        0.803592       0.803352       0.803592       0.803352       0              0              0              0              
106	0	0	16319.6        0.815104       0.814846       0.815104       0.814846       0              0              0              0              
107	0	0	16551          0.827208       0.826934       0.827208       0.826934       0              0              0              0              
108	0	0	16835.3        0.865539       0.839739       0.840014       0.839677       0              0              450.627        397.886        
109	0	0	17062.1        0.853483       0.853114       0.853483       0.853114       0              0              0              0              
110	0	0	17348.6        0.867736       0.867314       0.867736       0.867314       0              0              0              0              
111	0	0	17672          0.882811       0.882375       0.882811       0.882375       0              0              0              0              
112	0	0	17991.7        0.898911       0.898396       0.898911       0.898396       0              0              0              0              
113	0	0	18332.6        0.916017       0.915455       0.916017       0.915455       0              0              0              0              
114	0	0	18679.5        0.93437        0.933682       0.93437        0.933682       0              0              0              0              
115	0	0	19100.1        0.97954        0.95327        0.954017       0.953224       0              0              473.519        392.33         
116	0	0	19515.4        0.975524       0.974446       0.975213       0.974302       2.20644        2.20401        0              0              
117	0	0	20001.2        0.998898       0.997305       0.99808        0.997033       2.90321        2.86921        0              0              
118	0	0	20488          1.02896        1.02227        1.02302        1.02171        10.0753        6.42295        0              0              
119	0	0	21006.4        1.05016        1.04856        1.05016        1.04856        0              0              0              0              
120	0	0	21602.1        1.08009        1.07803        1.08009        1.07803        0              0              0              0              
121	0	0	22256.2        1.11509        1.11074        1.11509        1.11074        0              0              0              0              
122	0	0	22964.1        1.15145        1.14629        1.15145        1.14629        0              0              0              0              
123	0	0	23774.8        1.18963        1.18644        1.18963        1.18644        0              0              0              0              
124	0	0	24697.8        1.23592        1.23196        1.23592        1.23196        0              0              0              0              
125	0	0	25757.5        1.30833        1.2841         1.28914        1.28405        0              0              477.001        398.756        
126	0	0	26963.7        1.35134        1.3445         1.35134        1.3445         0              0              0              0              
127	0	0	28401.1        1.42543        1.41592        1.42543        1.41592        0              0              0              0              
128	0	0	30123.6        1.51656        1.5024         1.51656        1.5024         0              0              0              0              
129	0	0	32315.3        1.63377        1.61087        1.63377        1.61087        0              0              0              0              
130	0	0	35207.6        1.81451        1.75548        1.81451        1.75548        0              0              0              0              
131	0	0	39339.4        2.12724        1.96316        2.12724        1.96316        0              0              0              0              
132	0	0	45355.3        2.79273        2.28598        2.79273        2.28598        0              0              0              0              
133	0	0	53210.3        4.01516        2.79164        4.00281        2.79157        0              0              528.437        404.443        
134	0	0	59388.7        5.74343        3.52784        5.74343        3.52784        0              0              0              0              
135	0	0	55044.5        7.60545        4.40732        7.60545        4.40732        0              0              0              0              
136	0	0	38302.2        9.5312         5.40717        9.5312         5.40717        0              0              0              0              
137	0	0	17806.3        11.1981        6.38586        11.1981        6.38586        0              0              0              0              
138	0	0	5218.9         12.3653        7.18218        12.3653        7.18218        0              0              0              0              
139	0	0	946.676        13.8723        8.11245        13.8723        8.11245        0              0              0              0              
140	0	0	117.236        14.7544        9.00076        14.7544        9.00076        0              0              0              0              
141	0	0	0              0              0              0              0              0              0              0              0              
142	0	0	0              0              0              0              0              0              0              0              0              
143	0	0	0              0              0              0              0              0              0              0              0              
144	0	0	0              0              0              0              0              0              0              0              0              
145	0	0	0              0              0              0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              0              0              
167	0	0	0              0              0              0              0              0              0              0              0              
168	0	0	0              0              0              0              0              0              0              0              0              
169	0	0	0              0              0              0              0              0              0              0              0              
170	0	0	0              0              0              0              0              0              0              0              0              
171	0	0	0              0              0              0              0              0              0              0              0              
172	0	0	0              0              0              0              0              0              0              0              0              
173	0	0	0              0              0              0              0              0              0              0              0              
174	0	0	0              0              0              0              0              0              0              0              0              
175	0	0	0              0              0              0              0              0              0              0              0              
176	0	0	0              0              0              0              0              0              0              0              0              
177	0	0	0              0              0              0              0              0              0              0              0              
178	0	0	0              0              0              0              0              0              0              0              0              
179	0	0	0              0              0              0              0              0              0              0              0              
180	0	0	0              0              0              0              0              0              0              0              0              
181	0	0	0              0              0              0              0              0              0              0              0              
182	0	0	0              0              0              0              0              0              0              0              0              
183	0	0	0              0              0              0              0              0              0              0              0              
184	0	0	0              0              0              0              0              0              0              0              0              
185	0	0	0              0              0              0              0              0              0              0              0              
186	0	0	0              0              0              0              0              0              0              0              0              
187	0	0	0              0              0              0              0              0              0              0              0              
188	0	0	0              0              0              0              0              0              0              0              0              
189	0	0	0              0              0              0              0              0              0              0              0              
190	0	0	0              0              0              0              0              0              0              0              0              
191	0	0	0              0              0              0              0              0              0              0              0              
192	0	0	0              0              0              0              0              0              0              0              0              
193	0	0	0              0              0              0              0              0              0              0              0              
194	0	0	0              0              0              0              0              0              0              0              0              
195	0	0	0              0              0              0              0              0              0              0              0              
196	0	0	0              0              0              0              0              0              0              0              0              
197	0	0	0              0              0              0              0              0              0              0              0              
198	0	0	0              0              0              0              0              0              0              0              0              
199	0	0	0              0              0              0              0              0              0              0              0              
