i	j	k	Dose(Gy)       
0	0	0	3.82426e-08    
1	0	0	3.8573e-08     
2	0	0	3.85792e-08    
3	0	0	3.86912e-08    
4	0	0	3.87624e-08    
5	0	0	3.88137e-08    
6	0	0	3.89189e-08    
7	0	0	3.90008e-08    
8	0	0	3.89923e-08    
9	0	0	3.90612e-08    
10	0	0	3.92183e-08    
11	0	0	3.92603e-08    
12	0	0	3.93564e-08    
13	0	0	3.93911e-08    
14	0	0	3.95194e-08    
15	0	0	3.96198e-08    
16	0	0	3.9651e-08     
17	0	0	3.96756e-08    
18	0	0	3.98555e-08    
19	0	0	3.99017e-08    
20	0	0	3.99601e-08    
21	0	0	4.00167e-08    
22	0	0	4.01226e-08    
23	0	0	4.01968e-08    
24	0	0	4.02597e-08    
25	0	0	4.03646e-08    
26	0	0	4.04707e-08    
27	0	0	4.0535e-08     
28	0	0	4.06289e-08    
29	0	0	4.0662e-08     
30	0	0	4.0821e-08     
31	0	0	4.08918e-08    
32	0	0	4.09986e-08    
33	0	0	4.10553e-08    
34	0	0	4.11783e-08    
35	0	0	4.12384e-08    
36	0	0	4.13507e-08    
37	0	0	4.14274e-08    
38	0	0	4.15019e-08    
39	0	0	4.16436e-08    
40	0	0	4.17621e-08    
41	0	0	4.1849e-08     
42	0	0	4.19204e-08    
43	0	0	4.19737e-08    
44	0	0	4.20842e-08    
45	0	0	4.22274e-08    
46	0	0	4.23027e-08    
47	0	0	4.24274e-08    
48	0	0	4.25338e-08    
49	0	0	4.26076e-08    
50	0	0	4.27428e-08    
51	0	0	4.28314e-08    
52	0	0	4.29805e-08    
53	0	0	4.31053e-08    
54	0	0	4.32018e-08    
55	0	0	4.33008e-08    
56	0	0	4.34026e-08    
57	0	0	4.35522e-08    
58	0	0	4.36138e-08    
59	0	0	4.37505e-08    
60	0	0	4.38202e-08    
61	0	0	4.39837e-08    
62	0	0	4.41144e-08    
63	0	0	4.42333e-08    
64	0	0	4.43306e-08    
65	0	0	4.45268e-08    
66	0	0	4.46042e-08    
67	0	0	4.47452e-08    
68	0	0	4.48604e-08    
69	0	0	4.49613e-08    
70	0	0	4.51159e-08    
71	0	0	4.52636e-08    
72	0	0	4.53927e-08    
73	0	0	4.55015e-08    
74	0	0	4.56903e-08    
75	0	0	4.57549e-08    
76	0	0	4.59548e-08    
77	0	0	4.61116e-08    
78	0	0	4.62814e-08    
79	0	0	4.63986e-08    
80	0	0	4.65109e-08    
81	0	0	4.66651e-08    
82	0	0	4.68418e-08    
83	0	0	4.69909e-08    
84	0	0	4.71391e-08    
85	0	0	4.73023e-08    
86	0	0	4.75066e-08    
87	0	0	4.75849e-08    
88	0	0	4.77839e-08    
89	0	0	4.79642e-08    
90	0	0	4.81502e-08    
91	0	0	4.83065e-08    
