i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          

0	0	0	97365          0.48752        0.487531       0.48752        0.487531       0              0              0              0              0              0              
1	0	0	97786.9        0.489337       0.489348       0.489337       0.489348       0              0              0              0              0              0              
2	0	0	98048          0.49118        0.491191       0.49118        0.491191       0              0              0              0              0              0              
3	0	0	98439.1        0.493049       0.49306        0.493049       0.49306        0              0              0              0              0              0              
4	0	0	98839.5        0.494947       0.494958       0.494947       0.494958       0              0              0              0              0              0              
5	0	0	99280.1        0.496874       0.496885       0.496874       0.496885       0              0              0              0              0              0              
6	0	0	99603.6        0.49883        0.498841       0.49883        0.498841       0              0              0              0              0              0              
7	0	0	100001         0.500815       0.500827       0.500815       0.500827       0              0              0              0              0              0              
8	0	0	100379         0.502831       0.502843       0.502831       0.502843       0              0              0              0              0              0              
9	0	0	100866         0.504879       0.504891       0.504879       0.504891       0              0              0              0              0              0              
10	0	0	101296         0.50696        0.506973       0.50696        0.506973       0              0              0              0              0              0              
11	0	0	101663         0.509076       0.509088       0.509076       0.509088       0              0              0              0              0              0              
12	0	0	102039         0.521589       0.511244       0.511223       0.511235       0              0              626.226        570.008        0              0              
13	0	0	102487         0.513406       0.513417       0.513406       0.513417       0              0              0              0              0              0              
14	0	0	102968         0.515624       0.515636       0.515624       0.515636       0              0              0              0              0              0              
15	0	0	103348         0.517879       0.517892       0.517879       0.517892       0              0              0              0              0              0              
16	0	0	103877         0.520174       0.520186       0.520174       0.520186       0              0              0              0              0              0              
17	0	0	104318         0.53627        0.522529       0.522507       0.522519       0              0              697.978        613.731        0              0              
18	0	0	104779         0.524881       0.524892       0.524881       0.524892       0              0              0              0              0              0              
19	0	0	105349         0.531641       0.527312       0.527297       0.527308       0              0              466.808        466.808        0              0              
20	0	0	105709         0.529753       0.529765       0.529753       0.529765       0              0              0              0              0              0              
21	0	0	106339         0.532256       0.532268       0.532256       0.532268       0              0              0              0              0              0              
22	0	0	106848         0.534805       0.534817       0.534805       0.534817       0              0              0              0              0              0              
23	0	0	107420         0.538692       0.537487       0.537401       0.537413       8.98752        5.48873        0              0              0              0              
24	0	0	107776         0.540044       0.540055       0.540044       0.540055       0              0              0              0              0              0              
25	0	0	108345         0.542734       0.542746       0.542734       0.542746       0              0              0              0              0              0              
26	0	0	108829         0.545473       0.545487       0.545473       0.545487       0              0              0              0              0              0              
27	0	0	109439         0.552985       0.548286       0.548267       0.548281       0              0              482.988        410.35         0              0              
28	0	0	110046         0.551118       0.55113        0.551118       0.55113        0              0              0              0              0              0              
29	0	0	110630         0.554026       0.554037       0.554026       0.554037       0              0              0              0              0              0              
30	0	0	111198         0.561043       0.557007       0.55699        0.557001       0              0              458.297        372.75         0              0              
31	0	0	111857         0.560015       0.560026       0.560015       0.560026       0              0              0              0              0              0              
32	0	0	112418         0.563101       0.563114       0.563101       0.563114       0              0              0              0              0              0              
33	0	0	113014         0.566254       0.566264       0.566254       0.566264       0              0              0              0              0              0              
34	0	0	113765         0.56947        0.569482       0.56947        0.569482       0              0              0              0              0              0              
35	0	0	114299         0.572759       0.572769       0.572759       0.572769       0              0              0              0              0              0              
36	0	0	114962         0.576113       0.576125       0.576113       0.576125       0              0              0              0              0              0              
37	0	0	115697         0.579545       0.579556       0.579545       0.579556       0              0              0              0              0              0              
38	0	0	116317         0.583053       0.583063       0.583053       0.583063       0              0              0              0              0              0              
39	0	0	117072         0.58664        0.58665        0.58664        0.58665        0              0              0              0              0              0              
40	0	0	117882         0.590309       0.590321       0.590309       0.590321       0              0              0              0              0              0              
41	0	0	118567         0.594069       0.594078       0.594069       0.594078       0              0              0              0              0              0              
42	0	0	119336         0.597915       0.597924       0.597915       0.597924       0              0              0              0              0              0              
43	0	0	120179         0.601855       0.601863       0.601855       0.601863       0              0              0              0              0              0              
44	0	0	121003         0.605894       0.605901       0.605894       0.605901       0              0              0              0              0              0              
45	0	0	121781         0.610032       0.610039       0.610032       0.610039       0              0              0              0              0              0              
46	0	0	122617         0.614277       0.614282       0.614277       0.614282       0              0              0              0              0              0              
47	0	0	123460         0.632776       0.618646       0.618629       0.618633       0              0              740.679        585.094        0              0              
48	0	0	124405         0.623095       0.6231         0.623095       0.6231         0              0              0              0              0              0              
49	0	0	125286         0.642439       0.627699       0.627684       0.627687       0              0              754.51         652.041        0              0              
50	0	0	126160         0.632396       0.632396       0.632396       0.632396       0              0              0              0              0              0              
51	0	0	127151         0.643838       0.637276       0.637237       0.637236       3.10863        3.06148        470.259        394.337        400.389        400.389        
52	0	0	128367         0.643212       0.642274       0.642223       0.642218       10.8575        6.80851        0              0              0              0              
53	0	0	129391         0.647353       0.647348       0.647353       0.647348       0              0              0              0              0              0              
54	0	0	130451         0.652633       0.652629       0.652633       0.652629       0              0              0              0              0              0              
55	0	0	131519         0.65807        0.658068       0.65807        0.658068       0              0              0              0              0              0              
56	0	0	132683         0.663682       0.663674       0.663682       0.663674       0              0              0              0              0              0              
57	0	0	133883         0.669468       0.669459       0.669468       0.669459       0              0              0              0              0              0              
58	0	0	135111         0.675442       0.67543        0.675442       0.67543        0              0              0              0              0              0              
59	0	0	136297         0.68161        0.681595       0.68161        0.681595       0              0              0              0              0              0              
60	0	0	137576         0.687981       0.687966       0.687981       0.687966       0              0              0              0              0              0              
61	0	0	138876         0.694571       0.694555       0.694571       0.694555       0              0              0              0              0              0              
62	0	0	140265         0.705598       0.701379       0.701392       0.701373       0              0              507.468        443.269        0              0              
63	0	0	141645         0.708465       0.708436       0.708465       0.708436       0              0              0              0              0              0              
64	0	0	143137         0.715789       0.715758       0.715789       0.715758       0              0              0              0              0              0              
65	0	0	144772         0.723395       0.723361       0.723395       0.723361       0              0              0              0              0              0              
