i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          
71	0	0	115215         0.576691       0.576682       0.576691       0.576682       0              0              0              0              0              0              
72	0	0	115823         0.580137       0.580128       0.580137       0.580128       0              0              0              0              0              0              
73	0	0	116486         0.583663       0.58365        0.583663       0.58365        0              0              0              0              0              0              
74	0	0	117212         0.587264       0.587251       0.587264       0.587251       0              0              0              0              0              0              
75	0	0	117964         0.590951       0.590936       0.590951       0.590936       0              0              0              0              0              0              
76	0	0	118689         0.623581       0.594728       0.594721       0.594708       0              0              901.177        781.035        0              0              
77	0	0	119458         0.598585       0.59857        0.598585       0.59857        0              0              0              0              0              0              
78	0	0	120250         0.602541       0.602524       0.602541       0.602524       0              0              0              0              0              0              
79	0	0	121156         0.606598       0.60658        0.606598       0.60658        0              0              0              0              0              0              
80	0	0	121928         0.610755       0.610736       0.610755       0.610736       0              0              0              0              0              0              
81	0	0	122807         0.622124       0.615008       0.615024       0.614998       0              0              582.447        462.394        0              0              
82	0	0	123639         0.6273         0.619379       0.619397       0.619371       0              0              610.746        519.876        0              0              
83	0	0	124520         0.623887       0.623859       0.623887       0.623859       0              0              0              0              0              0              
84	0	0	125421         0.628526       0.628477       0.628495       0.628466       1.79184        1.79321        0              0              0              0              
85	0	0	126402         0.643842       0.633238       0.633236       0.6332         2.10543        2.10071        540.416        467.452        0              0              
86	0	0	127407         0.638324       0.638112       0.638104       0.638066       3.12529        3.0439         0              0              0              0              
87	0	0	128502         0.644078       0.643124       0.643122       0.643074       11.9765        7.62374        0              0              0              0              
88	0	0	129576         0.648273       0.64823        0.648273       0.64823        0              0              0              0              0              0              
89	0	0	130632         0.65359        0.653538       0.65359        0.653538       0              0              0              0              0              0              
90	0	0	131860         0.659059       0.65901        0.659059       0.65901        0              0              0              0              0              0              
91	0	0	132914         0.664708       0.664653       0.664708       0.664653       0              0              0              0              0              0              
