i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	96603.4        0.490941       0.483865       0.483849       0.48386        0              0              537.549        434.69         
1	0	0	96948.9        0.485612       0.485622       0.485612       0.485622       0              0              0              0              
2	0	0	97372.5        0.4874         0.487411       0.4874         0.487411       0              0              0              0              
3	0	0	97681.1        0.49376        0.489229       0.489215       0.489225       0              0              460.617        418.522        
4	0	0	98078.2        0.491055       0.491067       0.491055       0.491067       0              0              0              0              
5	0	0	98508          0.492925       0.492936       0.492925       0.492936       0              0              0              0              
6	0	0	98814.9        0.494822       0.494832       0.494822       0.494832       0              0              0              0              
7	0	0	99298          0.505377       0.496766       0.496747       0.496758       0              0              581.63         512.49         
8	0	0	99618.8        0.498702       0.498713       0.498702       0.498713       0              0              0              0              
9	0	0	99943.3        0.500686       0.500696       0.500686       0.500696       0              0              0              0              
10	0	0	100421         0.5027         0.502711       0.5027         0.502711       0              0              0              0              
11	0	0	100824         0.504746       0.504758       0.504746       0.504758       0              0              0              0              
12	0	0	101221         0.506825       0.506837       0.506825       0.506837       0              0              0              0              
13	0	0	101728         0.524896       0.509028       0.508938       0.50895        9.67386        5.9098         708.908        593.856        
14	0	0	102086         0.511086       0.511097       0.511086       0.511097       0              0              0              0              
15	0	0	102515         0.513267       0.513278       0.513267       0.513278       0              0              0              0              
16	0	0	103039         0.515485       0.515497       0.515485       0.515497       0              0              0              0              
17	0	0	103457         0.517741       0.517753       0.517741       0.517753       0              0              0              0              
18	0	0	103875         0.520034       0.520046       0.520034       0.520046       0              0              0              0              
19	0	0	104333         0.522366       0.522377       0.522366       0.522377       0              0              0              0              
20	0	0	104748         0.524738       0.524748       0.524738       0.524748       0              0              0              0              
21	0	0	105274         0.527151       0.527161       0.527151       0.527161       0              0              0              0              
22	0	0	105733         0.529606       0.529617       0.529606       0.529617       0              0              0              0              
23	0	0	106267         0.532105       0.532116       0.532105       0.532116       0              0              0              0              
24	0	0	106799         0.534649       0.534661       0.534649       0.534661       0              0              0              0              
25	0	0	107278         0.537242       0.537253       0.537242       0.537253       0              0              0              0              
26	0	0	107803         0.543875       0.539897       0.539881       0.539892       0              0              451.067        386.556        
27	0	0	108333         0.548386       0.542586       0.54257        0.54258        0              0              520.965        423.943        
28	0	0	108802         0.545309       0.545319       0.545309       0.545319       0              0              0              0              
29	0	0	109389         0.552831       0.548115       0.548101       0.54811        0              0              483.337        417.014        
30	0	0	110031         0.550946       0.550956       0.550946       0.550956       0              0              0              0              
31	0	0	110508         0.553847       0.553858       0.553847       0.553858       0              0              0              0              
32	0	0	111177         0.556807       0.556818       0.556807       0.556818       0              0              0              0              
33	0	0	111754         0.559828       0.559838       0.559828       0.559838       0              0              0              0              
34	0	0	112442         0.562911       0.562922       0.562911       0.562922       0              0              0              0              
