i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	81954          0.410297       0.4103         0.410297       0.4103         0              0              0              0              
1	0	0	82146.5        0.411203       0.411206       0.411203       0.411206       0              0              0              0              
2	0	0	82337.9        0.412118       0.41212        0.412118       0.41212        0              0              0              0              
3	0	0	82517          0.413041       0.413043       0.413041       0.413043       0              0              0              0              
4	0	0	82696.9        0.413972       0.413975       0.413972       0.413975       0              0              0              0              
5	0	0	82834.6        0.414911       0.414915       0.414911       0.414915       0              0              0              0              
6	0	0	82985.6        0.41586        0.415863       0.41586        0.415863       0              0              0              0              
7	0	0	83347.3        0.416819       0.416822       0.416819       0.416822       0              0              0              0              
8	0	0	83497.7        0.417787       0.41779        0.417787       0.41779        0              0              0              0              
9	0	0	83746.5        0.418765       0.418768       0.418765       0.418768       0              0              0              0              
10	0	0	83812.4        0.419751       0.419754       0.419751       0.419754       0              0              0              0              
11	0	0	84040.4        0.441463       0.420761       0.420747       0.42075        0              0              740.565        636.456        
12	0	0	84226.6        0.421752       0.421755       0.421752       0.421755       0              0              0              0              
13	0	0	84517.3        0.422801       0.422777       0.422769       0.422772       2.91982        2.91982        0              0              
14	0	0	84664.4        0.425497       0.423876       0.423796       0.423798       9.02854        5.39449        0              0              
15	0	0	84895.4        0.424832       0.424835       0.424832       0.424835       0              0              0              0              
16	0	0	85051.2        0.425879       0.425882       0.425879       0.425882       0              0              0              0              
17	0	0	85270.9        0.426935       0.426939       0.426935       0.426939       0              0              0              0              
18	0	0	85574.6        0.428005       0.428008       0.428005       0.428008       0              0              0              0              
19	0	0	85741.2        0.429085       0.429088       0.429085       0.429088       0              0              0              0              
20	0	0	85905.5        0.430175       0.430178       0.430175       0.430178       0              0              0              0              
21	0	0	86207.4        0.431277       0.43128        0.431277       0.43128        0              0              0              0              
22	0	0	86420.4        0.432392       0.432395       0.432392       0.432395       0              0              0              0              
23	0	0	86670.7        0.433519       0.433521       0.433519       0.433521       0              0              0              0              
24	0	0	86851.4        0.434656       0.434659       0.434656       0.434659       0              0              0              0              
25	0	0	87115.4        0.435805       0.435809       0.435805       0.435809       0              0              0              0              
26	0	0	87262.3        0.436968       0.436971       0.436968       0.436971       0              0              0              0              
27	0	0	87537.8        0.438142       0.438146       0.438142       0.438146       0              0              0              0              
28	0	0	87851.4        0.439332       0.439334       0.439332       0.439334       0              0              0              0              
29	0	0	87967.8        0.440532       0.440535       0.440532       0.440535       0              0              0              0              
30	0	0	88230.6        0.441746       0.441749       0.441746       0.441749       0              0              0              0              
31	0	0	88504.8        0.456724       0.442987       0.442974       0.442977       0              0              655.408        524.848        
32	0	0	88781.9        0.444215       0.444219       0.444215       0.444219       0              0              0              0              
33	0	0	89016.2        0.445473       0.445475       0.445473       0.445475       0              0              0              0              
34	0	0	89293.2        0.446742       0.446746       0.446742       0.446746       0              0              0              0              
35	0	0	89484.9        0.448028       0.448031       0.448028       0.448031       0              0              0              0              
36	0	0	89741.2        0.449329       0.449331       0.449329       0.449331       0              0              0              0              
37	0	0	90001.4        0.450644       0.450646       0.450644       0.450646       0              0              0              0              
38	0	0	90324.5        0.451975       0.451976       0.451975       0.451976       0              0              0              0              
39	0	0	90533.4        0.453321       0.453323       0.453321       0.453323       0              0              0              0              
40	0	0	90735.4        0.454683       0.454684       0.454683       0.454684       0              0              0              0              
41	0	0	91183.8        0.456062       0.456064       0.456062       0.456064       0              0              0              0              
42	0	0	91402.3        0.457457       0.45746        0.457457       0.45746        0              0              0              0              
43	0	0	91709.6        0.458871       0.458874       0.458871       0.458874       0              0              0              0              
44	0	0	91963.3        0.460302       0.460305       0.460302       0.460305       0              0              0              0              
45	0	0	92335.3        0.461753       0.461755       0.461753       0.461755       0              0              0              0              
46	0	0	92572.9        0.463221       0.463222       0.463221       0.463222       0              0              0              0              
47	0	0	92910.6        0.464706       0.464708       0.464706       0.464708       0              0              0              0              
48	0	0	93131.4        0.466213       0.466213       0.466213       0.466213       0              0              0              0              
49	0	0	93518.1        0.467736       0.467738       0.467736       0.467738       0              0              0              0              
50	0	0	93734.9        0.469281       0.469282       0.469281       0.469282       0              0              0              0              
51	0	0	94192.8        0.470845       0.470847       0.470845       0.470847       0              0              0              0              
52	0	0	94366.9        0.48276        0.472442       0.472431       0.472433       0              0              606.318        483.285        
53	0	0	94561.9        0.474036       0.474037       0.474036       0.474037       0              0              0              0              
54	0	0	94952.1        0.475663       0.475663       0.475663       0.475663       0              0              0              0              
55	0	0	95395.3        0.477312       0.477313       0.477312       0.477313       0              0              0              0              
56	0	0	95691.3        0.478986       0.478986       0.478986       0.478986       0              0              0              0              
57	0	0	96045.3        0.480681       0.480681       0.480681       0.480681       0              0              0              0              
58	0	0	96386.9        0.487817       0.482408       0.482398       0.482401       0              0              484.351        435.298        
59	0	0	96718.8        0.484144       0.484145       0.484144       0.484145       0              0              0              0              
60	0	0	97163.7        0.485913       0.485913       0.485913       0.485913       0              0              0              0              
61	0	0	97409.9        0.487707       0.487708       0.487707       0.487708       0              0              0              0              
62	0	0	97650.8        0.501166       0.489535       0.489527       0.489526       0              0              640.51         529.788        
63	0	0	98161.4        0.491372       0.491371       0.491372       0.491371       0              0              0              0              
64	0	0	98570.9        0.493248       0.493245       0.493248       0.493245       0              0              0              0              
65	0	0	98941.6        0.49515        0.495147       0.49515        0.495147       0              0              0              0              
66	0	0	99234          0.497078       0.497077       0.497078       0.497077       0              0              0              0              
67	0	0	99686.2        0.499038       0.499036       0.499038       0.499036       0              0              0              0              
68	0	0	100092         0.501028       0.501026       0.501028       0.501026       0              0              0              0              
69	0	0	100530         0.503048       0.503047       0.503048       0.503047       0              0              0              0              
70	0	0	100921         0.505102       0.5051         0.505102       0.5051         0              0              0              0              
71	0	0	101357         0.514523       0.507193       0.507188       0.507186       0              0              551.942        417.927        
72	0	0	101652         0.509307       0.509303       0.509307       0.509303       0              0              0              0              
73	0	0	102223         0.51146        0.511456       0.51146        0.511456       0              0              0              0              
74	0	0	102619         0.51365        0.513645       0.51365        0.513645       0              0              0              0              
75	0	0	103039         0.529395       0.515883       0.515873       0.515869       3.28649        3.28649        688.484        629.033        
76	0	0	103541         0.51942        0.518197       0.518135       0.518131       9.68045        6.03502        0              0              
77	0	0	103903         0.520438       0.52043        0.520438       0.52043        0              0              0              0              
78	0	0	104398         0.522776       0.522769       0.522776       0.522769       0              0              0              0              
79	0	0	104933         0.525154       0.525148       0.525154       0.525148       0              0              0              0              
80	0	0	105383         0.527578       0.52757        0.527578       0.52757        0              0              0              0              
81	0	0	105859         0.530042       0.530033       0.530042       0.530033       0              0              0              0              
82	0	0	106403         0.53255        0.532542       0.53255        0.532542       0              0              0              0              
83	0	0	106945         0.535107       0.535097       0.535107       0.535097       0              0              0              0              
84	0	0	107384         0.537709       0.537697       0.537709       0.537697       0              0              0              0              
85	0	0	107999         0.540356       0.540347       0.540356       0.540347       0              0              0              0              
86	0	0	108459         0.543059       0.543046       0.543059       0.543046       0              0              0              0              
87	0	0	109015         0.545809       0.545796       0.545809       0.545796       0              0              0              0              
88	0	0	109655         0.548613       0.548601       0.548613       0.548601       0              0              0              0              
89	0	0	110209         0.551474       0.551461       0.551474       0.551461       0              0              0              0              
90	0	0	110755         0.554392       0.554376       0.554392       0.554376       0              0              0              0              
91	0	0	111333         0.557369       0.55735        0.557369       0.55735        0              0              0              0              
92	0	0	111925         0.560401       0.560383       0.560401       0.560383       0              0              0              0              
93	0	0	112577         0.563499       0.56348        0.563499       0.56348        0              0              0              0              
94	0	0	113112         0.566657       0.56664        0.566657       0.56664        0              0              0              0              
95	0	0	113833         0.569891       0.569867       0.569891       0.569867       0              0              0              0              
96	0	0	114448         0.573186       0.573164       0.573186       0.573164       0              0              0              0              
97	0	0	115195         0.576553       0.576533       0.576553       0.576533       0              0              0              0              
98	0	0	115851         0.580003       0.579978       0.580003       0.579978       0              0              0              0              
99	0	0	116498         0.583526       0.583498       0.583526       0.583498       0              0              0              0              
100	0	0	117262         0.587125       0.587098       0.587125       0.587098       0              0              0              0              
101	0	0	118001         0.590814       0.590783       0.590814       0.590783       0              0              0              0              
102	0	0	118722         0.594586       0.594554       0.594586       0.594554       0              0              0              0              
103	0	0	119532         0.598456       0.598415       0.598456       0.598415       0              0              0              0              
104	0	0	120253         0.602404       0.602369       0.602404       0.602369       0              0              0              0              
105	0	0	121045         0.606459       0.606419       0.606459       0.606419       0              0              0              0              
106	0	0	121933         0.610617       0.610572       0.610617       0.610572       0              0              0              0              
107	0	0	122731         0.614875       0.614831       0.614875       0.614831       0              0              0              0              
108	0	0	123548         0.619243       0.619198       0.619243       0.619198       0              0              0              0              
109	0	0	124511         0.623734       0.62368        0.623734       0.62368        0              0              0              0              
110	0	0	125345         0.628346       0.628283       0.628346       0.628283       0              0              0              0              
111	0	0	126435         0.633084       0.633014       0.633084       0.633014       0              0              0              0              
112	0	0	127495         0.637947       0.63788        0.637947       0.63788        0              0              0              0              
113	0	0	128447         0.642963       0.642885       0.642963       0.642885       0              0              0              0              
114	0	0	129521         0.648116       0.648036       0.648116       0.648036       0              0              0              0              
115	0	0	130648         0.653422       0.653342       0.653422       0.653342       0              0              0              0              
116	0	0	131844         0.658897       0.658811       0.658897       0.658811       0              0              0              0              
117	0	0	132883         0.673999       0.664457       0.664538       0.664448       0              0              666.301        591.443        
118	0	0	134023         0.670351       0.67026        0.670351       0.67026        0              0              0              0              
119	0	0	135249         0.676373       0.67626        0.676373       0.67626        0              0              0              0              
120	0	0	136566         0.682567       0.682459       0.682567       0.682459       0              0              0              0              
121	0	0	137815         0.688991       0.688867       0.688991       0.688867       0              0              0              0              
122	0	0	139095         0.698773       0.6955         0.695623       0.695493       0              0              455.059        436.574        
123	0	0	140534         0.702494       0.702354       0.702494       0.702354       0              0              0              0              
124	0	0	142003         0.709617       0.709463       0.709617       0.709463       0              0              0              0              
125	0	0	143456         0.722975       0.716844       0.717004       0.716836       0              0              580.034        508.862        
126	0	0	145034         0.729193       0.724497       0.724676       0.72449        0              0              527.613        455.226        
127	0	0	146540         0.732641       0.732439       0.732641       0.732439       0              0              0              0              
128	0	0	148210         0.740916       0.740704       0.740916       0.740704       0              0              0              0              
129	0	0	150019         0.749548       0.749313       0.749548       0.749313       0              0              0              0              
130	0	0	151871         0.758551       0.758288       0.758551       0.758288       0              0              0              0              
131	0	0	153603         0.774209       0.767657       0.767935       0.767649       0              0              606.395        543.956        
132	0	0	155607         0.777745       0.777428       0.777745       0.777428       0              0              0              0              
133	0	0	157712         0.787999       0.787663       0.787999       0.787663       0              0              0              0              
134	0	0	159807         0.798754       0.798383       0.798754       0.798383       0              0              0              0              
135	0	0	162129         0.836973       0.809697       0.810197       0.80967        0.969326       0.969326       814.51         643.862        
136	0	0	164518         0.825854       0.821514       0.822625       0.821507       0.986701       0.986701       489.752        405.926        
137	0	0	166951         0.834426       0.833915       0.834424       0.833913       1.01139        1.01139        0              0              
138	0	0	169629         0.847673       0.847051       0.84767        0.847049       1.04002        1.04002        0              0              
139	0	0	172346         0.862248       0.860961       0.862245       0.860958       1.07206        1.07206        0              0              
140	0	0	175298         0.87628        0.875598       0.876277       0.875595       1.10905        1.10905        0              0              
141	0	0	178476         0.895776       0.89121        0.891977       0.891201       1.15076        1.15099        533.921        431.692        
142	0	0	181826         0.908688       0.907818       0.908683       0.907814       1.19764        1.19844        0              0              
143	0	0	185380         0.926546       0.925549       0.926541       0.925546       1.25066        1.25158        0              0              
144	0	0	189241         0.945682       0.944544       0.945676       0.94454        1.31072        1.31059        0              0              
145	0	0	193343         0.966296       0.964953       0.966289       0.964949       1.38242        1.38352        0              0              
146	0	0	197723         0.989011       0.98697        0.989003       0.986964       1.47281        1.47199        0              0              
147	0	0	202585         1.01246        1.01074        1.01245        1.01074        1.58226        1.58052        0              0              
148	0	0	207847         1.04602        1.03669        1.03868        1.03666        1.7335         1.73123        558.193        464.363        
149	0	0	213425         1.06744        1.06502        1.06742        1.06501        1.95465        1.95378        0              0              
150	0	0	219665         1.10156        1.09622        1.09916        1.0962         2.29125        2.28336        485.046        405.526        
151	0	0	226722         1.13661        1.13076        1.13462        1.13074        2.97401        2.94677        456.441        395.194        
152	0	0	234438         1.17412        1.16934        1.17359        1.16929        10.4431        6.39716        0              0              
153	0	0	243138         1.22078        1.21282        1.21877        1.21281        0              0              473.577        442.556        
154	0	0	253101         1.26957        1.2623         1.26957        1.2623         0              0              0              0              
155	0	0	264676         1.32923        1.31962        1.32923        1.31962        0              0              0              0              
156	0	0	278169         1.40053        1.38711        1.40053        1.38711        0              0              0              0              
157	0	0	294629         1.48908        1.4686         1.48908        1.4686         0              0              0              0              
158	0	0	315080         1.60646        1.57045        1.60646        1.57045        0              0              0              0              
