i	j	k	Dose(Gy)       
0	0	0	4.2001e-08     
1	0	0	4.23175e-08    
2	0	0	4.24007e-08    
3	0	0	4.24808e-08    
4	0	0	4.26101e-08    
5	0	0	4.27361e-08    
6	0	0	4.28175e-08    
7	0	0	4.29049e-08    
8	0	0	4.3036e-08     
9	0	0	4.31278e-08    
10	0	0	4.32541e-08    
11	0	0	4.33779e-08    
12	0	0	4.34876e-08    
13	0	0	4.36296e-08    
14	0	0	4.37061e-08    
15	0	0	4.3859e-08     
16	0	0	4.40009e-08    
17	0	0	4.40435e-08    
18	0	0	4.42519e-08    
19	0	0	4.43216e-08    
20	0	0	4.4454e-08     
21	0	0	4.45393e-08    
22	0	0	4.46715e-08    
23	0	0	4.47857e-08    
24	0	0	4.50131e-08    
25	0	0	4.50513e-08    
26	0	0	4.51986e-08    
27	0	0	4.53551e-08    
28	0	0	4.54902e-08    
29	0	0	4.56415e-08    
30	0	0	4.57637e-08    
31	0	0	4.59303e-08    
32	0	0	4.61067e-08    
33	0	0	4.61906e-08    
34	0	0	4.63373e-08    
35	0	0	4.6478e-08     
36	0	0	4.66201e-08    
37	0	0	4.67936e-08    
38	0	0	4.69702e-08    
39	0	0	4.71249e-08    
40	0	0	4.73074e-08    
41	0	0	4.75e-08       
42	0	0	4.76077e-08    
43	0	0	4.77888e-08    
44	0	0	4.79323e-08    
45	0	0	4.81084e-08    
46	0	0	4.82301e-08    
47	0	0	4.84072e-08    
48	0	0	4.86424e-08    
49	0	0	4.88011e-08    
50	0	0	4.89945e-08    
51	0	0	4.91788e-08    
52	0	0	4.93163e-08    
53	0	0	4.95253e-08    
54	0	0	4.97658e-08    
55	0	0	4.9899e-08     
56	0	0	5.00748e-08    
57	0	0	5.03123e-08    
58	0	0	5.05637e-08    
59	0	0	5.07538e-08    
60	0	0	5.09658e-08    
61	0	0	5.11729e-08    
62	0	0	5.1408e-08     
63	0	0	5.16476e-08    
64	0	0	5.18567e-08    
65	0	0	5.20466e-08    
66	0	0	5.22946e-08    
67	0	0	5.25078e-08    
68	0	0	5.276e-08      
69	0	0	5.30334e-08    
70	0	0	5.32778e-08    
71	0	0	5.35059e-08    
72	0	0	5.38215e-08    
73	0	0	5.40871e-08    
74	0	0	5.43405e-08    
75	0	0	5.45781e-08    
76	0	0	5.48573e-08    
77	0	0	5.51552e-08    
78	0	0	5.54632e-08    
79	0	0	5.57279e-08    
80	0	0	5.60375e-08    
81	0	0	5.63918e-08    
82	0	0	5.6685e-08     
83	0	0	5.69942e-08    
84	0	0	5.73465e-08    
85	0	0	5.76448e-08    
86	0	0	5.80249e-08    
87	0	0	5.83688e-08    
88	0	0	5.87221e-08    
89	0	0	5.9107e-08     
90	0	0	5.94492e-08    
91	0	0	5.98482e-08    
92	0	0	6.02579e-08    
93	0	0	6.06661e-08    
94	0	0	6.11012e-08    
95	0	0	6.14814e-08    
96	0	0	6.19303e-08    
97	0	0	6.23431e-08    
98	0	0	6.28415e-08    
99	0	0	6.33161e-08    
100	0	0	6.38174e-08    
101	0	0	6.43449e-08    
102	0	0	6.49227e-08    
103	0	0	6.54443e-08    
104	0	0	6.59986e-08    
105	0	0	6.66123e-08    
106	0	0	6.71513e-08    
107	0	0	6.77401e-08    
108	0	0	6.8378e-08     
109	0	0	6.90047e-08    
110	0	0	6.97231e-08    
111	0	0	7.03824e-08    
112	0	0	7.11313e-08    
113	0	0	7.18637e-08    
114	0	0	7.26297e-08    
115	0	0	7.3428e-08     
116	0	0	7.42703e-08    
117	0	0	7.51022e-08    
118	0	0	7.59987e-08    
119	0	0	7.70015e-08    
120	0	0	7.79802e-08    
121	0	0	7.90246e-08    
122	0	0	8.00695e-08    
123	0	0	8.12061e-08    
124	0	0	8.24131e-08    
125	0	0	8.36879e-08    
126	0	0	8.4961e-08     
127	0	0	8.64002e-08    
128	0	0	8.78732e-08    
129	0	0	8.94193e-08    
130	0	0	9.1101e-08     
131	0	0	9.28882e-08    
132	0	0	9.48496e-08    
133	0	0	9.69087e-08    
134	0	0	9.91099e-08    
135	0	0	1.0149e-07     
136	0	0	1.04129e-07    
137	0	0	1.06938e-07    
138	0	0	1.10109e-07    
139	0	0	1.13611e-07    
140	0	0	1.17541e-07    
141	0	0	1.21901e-07    
142	0	0	1.26885e-07    
143	0	0	1.32662e-07    
144	0	0	1.3946e-07     
145	0	0	1.47548e-07    
146	0	0	1.57808e-07    
147	0	0	1.71057e-07    
148	0	0	1.89536e-07    
149	0	0	2.15725e-07    
150	0	0	2.49814e-07    
151	0	0	2.79216e-07    
152	0	0	2.76731e-07    
153	0	0	2.22116e-07    
154	0	0	1.34176e-07    
155	0	0	5.79253e-08    
156	0	0	1.70125e-08    
157	0	0	3.22477e-09    
158	0	0	4.2878e-10     
159	0	0	4.54497e-11    
160	0	0	1.55732e-12    
161	0	0	3.58018e-13    
162	0	0	2.34998e-13    
163	0	0	3.76463e-13    
164	0	0	3.77928e-13    
165	0	0	1.41613e-13    
166	0	0	3.33764e-13    
167	0	0	2.90856e-13    
168	0	0	3.36509e-13    
169	0	0	2.12204e-13    
170	0	0	2.01369e-13    
171	0	0	2.44361e-13    
172	0	0	3.41384e-13    
173	0	0	2.2227e-13     
174	0	0	2.0304e-13     
175	0	0	1.10807e-13    
176	0	0	2.28652e-13    
177	0	0	1.95881e-13    
178	0	0	2.38694e-13    
179	0	0	9.80457e-14    
180	0	0	9.89361e-14    
181	0	0	1.94922e-13    
