i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	80273.4        0.401777       0.401779       0.401777       0.401779       0              0              0              0              
1	0	0	80460          0.402606       0.402609       0.402606       0.402609       0              0              0              0              
2	0	0	80642.1        0.403444       0.403446       0.403444       0.403446       0              0              0              0              
3	0	0	80773.2        0.404288       0.40429        0.404288       0.40429        0              0              0              0              
4	0	0	81029.4        0.40514        0.405142       0.40514        0.405142       0              0              0              0              
5	0	0	81157.5        0.406          0.406002       0.406          0.406002       0              0              0              0              
6	0	0	81275.5        0.406867       0.406869       0.406867       0.406869       0              0              0              0              
7	0	0	81456          0.407742       0.407744       0.407742       0.407744       0              0              0              0              
8	0	0	81653.8        0.414982       0.408634       0.408624       0.408627       0              0              482.084        390.876        
9	0	0	81910.4        0.417144       0.409524       0.409515       0.409518       0              0              518.425        444.191        
10	0	0	82028          0.419613       0.410425       0.410415       0.410418       0              0              554.594        515.991        
11	0	0	82275.9        0.411323       0.411325       0.411323       0.411325       0              0              0              0              
12	0	0	82343.9        0.41224        0.412241       0.41224        0.412241       0              0              0              0              
13	0	0	82483.1        0.413162       0.413165       0.413162       0.413165       0              0              0              0              
14	0	0	82782.9        0.414095       0.414098       0.414095       0.414098       0              0              0              0              
15	0	0	82893.4        0.415038       0.415039       0.415038       0.415039       0              0              0              0              
16	0	0	83102.3        0.415988       0.41599        0.415988       0.41599        0              0              0              0              
17	0	0	83254.4        0.416946       0.416949       0.416946       0.416949       0              0              0              0              
18	0	0	83557.8        0.417916       0.417918       0.417916       0.417918       0              0              0              0              
19	0	0	83702.1        0.418895       0.418897       0.418895       0.418897       0              0              0              0              
20	0	0	83916.6        0.419883       0.419885       0.419883       0.419885       0              0              0              0              
21	0	0	84114.6        0.42088        0.420883       0.42088        0.420883       0              0              0              0              
22	0	0	84366.8        0.421889       0.421891       0.421889       0.421891       0              0              0              0              
23	0	0	84568.8        0.422907       0.422909       0.422907       0.422909       0              0              0              0              
24	0	0	84796.4        0.423935       0.423938       0.423935       0.423938       0              0              0              0              
25	0	0	84915.6        0.424973       0.424976       0.424973       0.424976       0              0              0              0              
26	0	0	85118.6        0.426022       0.426025       0.426022       0.426025       0              0              0              0              
27	0	0	85362.6        0.427083       0.427084       0.427083       0.427084       0              0              0              0              
28	0	0	85525.1        0.428152       0.428154       0.428152       0.428154       0              0              0              0              
29	0	0	85789.8        0.429234       0.429236       0.429234       0.429236       0              0              0              0              
30	0	0	85960.9        0.430326       0.430328       0.430326       0.430328       0              0              0              0              
31	0	0	86229.3        0.431429       0.431432       0.431429       0.431432       0              0              0              0              
32	0	0	86560.3        0.432545       0.432548       0.432545       0.432548       0              0              0              0              
33	0	0	86569.9        0.433673       0.433676       0.433673       0.433676       0              0              0              0              
34	0	0	86843.2        0.434813       0.434814       0.434813       0.434814       0              0              0              0              
35	0	0	87081.9        0.435964       0.435965       0.435964       0.435965       0              0              0              0              
36	0	0	87433.1        0.437129       0.43713        0.437129       0.43713        0              0              0              0              
37	0	0	87592.4        0.438305       0.438307       0.438305       0.438307       0              0              0              0              
38	0	0	87822.9        0.439495       0.439497       0.439495       0.439497       0              0              0              0              
39	0	0	88074          0.441214       0.440766       0.4407         0.4407         3.44894        3.25038        0              0              
40	0	0	88265.9        0.443184       0.441953       0.441915       0.441916       14.9377        9.91781        0              0              
41	0	0	88629.4        0.443145       0.443147       0.443145       0.443147       0              0              0              0              
42	0	0	88813.7        0.44439        0.444391       0.44439        0.444391       0              0              0              0              
43	0	0	89099.4        0.445648       0.44565        0.445648       0.44565        0              0              0              0              
44	0	0	89265.6        0.460381       0.446931       0.446922       0.446923       0              0              657.66         556.862        
45	0	0	89611.1        0.44821        0.44821        0.44821        0.44821        0              0              0              0              
46	0	0	89846.3        0.449511       0.449513       0.449511       0.449513       0              0              0              0              
47	0	0	90087.9        0.457915       0.450837       0.450831       0.450831       0              0              522.772        436.392        
48	0	0	90326.4        0.452163       0.452164       0.452163       0.452164       0              0              0              0              
49	0	0	90666.7        0.453512       0.453514       0.453512       0.453514       0              0              0              0              
50	0	0	90904.6        0.454878       0.454879       0.454878       0.454879       0              0              0              0              
51	0	0	91236.6        0.45626        0.456261       0.45626        0.456261       0              0              0              0              
52	0	0	91445.7        0.45766        0.457661       0.45766        0.457661       0              0              0              0              
53	0	0	91746.4        0.459076       0.459077       0.459076       0.459077       0              0              0              0              
54	0	0	92046.2        0.460511       0.460511       0.460511       0.460511       0              0              0              0              
55	0	0	92209.9        0.461962       0.461961       0.461962       0.461961       0              0              0              0              
56	0	0	92535.3        0.463432       0.46343        0.463432       0.46343        0              0              0              0              
57	0	0	92808.7        0.464919       0.464917       0.464919       0.464917       0              0              0              0              
58	0	0	93251          0.466424       0.466424       0.466424       0.466424       0              0              0              0              
59	0	0	93442.5        0.473765       0.467956       0.467951       0.467951       0              0              493.26         405.257        
60	0	0	93807.5        0.473988       0.469503       0.469498       0.469498       0              0              447.626        401.759        
61	0	0	94099.9        0.488155       0.471081       0.471067       0.471065       0              0              575.675        439.763        
62	0	0	94373.3        0.472654       0.472652       0.472654       0.472652       0              0              0              0              
63	0	0	94749.7        0.474263       0.474261       0.474263       0.474261       0              0              0              0              
64	0	0	95096.5        0.475893       0.475892       0.475893       0.475892       0              0              0              0              
65	0	0	95395.1        0.477546       0.477544       0.477546       0.477544       0              0              0              0              
66	0	0	95753.1        0.479224       0.47922        0.479224       0.47922        0              0              0              0              
67	0	0	96132.3        0.480921       0.48092        0.480921       0.48092        0              0              0              0              
68	0	0	96447.4        0.482645       0.482643       0.482645       0.482643       0              0              0              0              
69	0	0	96861.8        0.484394       0.484391       0.484394       0.484391       0              0              0              0              
70	0	0	97088.4        0.486166       0.486164       0.486166       0.486164       0              0              0              0              
71	0	0	97490.9        0.487964       0.487961       0.487964       0.487961       0              0              0              0              
72	0	0	97849.3        0.528222       0.489804       0.489786       0.489784       0              0              921.763        813.533        
73	0	0	98132.7        0.491636       0.491634       0.491636       0.491634       0              0              0              0              
74	0	0	98655.7        0.493517       0.493512       0.493517       0.493512       0              0              0              0              
75	0	0	99019.7        0.495421       0.495418       0.495421       0.495418       0              0              0              0              
76	0	0	99374.5        0.497357       0.497353       0.497357       0.497353       0              0              0              0              
77	0	0	99729.2        0.516565       0.499333       0.499322       0.499317       0              0              585.714        513.848        
78	0	0	100062         0.501318       0.50131        0.501318       0.50131        0              0              0              0              
79	0	0	100570         0.50334        0.503335       0.50334        0.503335       0              0              0              0              
80	0	0	100940         0.505401       0.505392       0.505401       0.505392       0              0              0              0              
81	0	0	101349         0.507489       0.507482       0.507489       0.507482       0              0              0              0              
82	0	0	101807         0.509611       0.509605       0.509611       0.509605       0              0              0              0              
