i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	86214.4        0.431771       0.431776       0.431771       0.431776       0              0              0              0              
1	0	0	86539.8        0.43289        0.432895       0.43289        0.432895       0              0              0              0              
2	0	0	86746          0.434021       0.434026       0.434021       0.434026       0              0              0              0              
3	0	0	86991.4        0.435165       0.43517        0.435165       0.43517        0              0              0              0              
4	0	0	87152.4        0.44237        0.436331       0.43632        0.436325       0              0              485.566        385.176        
5	0	0	87418.9        0.437488       0.437493       0.437488       0.437493       0              0              0              0              
6	0	0	87683.2        0.438669       0.438674       0.438669       0.438674       0              0              0              0              
7	0	0	87918          0.44628        0.439874       0.439862       0.439868       0              0              499.134        430.418        
8	0	0	88129          0.441069       0.441075       0.441069       0.441075       0              0              0              0              
9	0	0	88306.8        0.450759       0.442302       0.44229        0.442295       0              0              554.266        464.836        
10	0	0	88520.9        0.443523       0.443528       0.443523       0.443528       0              0              0              0              
11	0	0	88754.8        0.444769       0.444775       0.444769       0.444775       0              0              0              0              
12	0	0	89055.9        0.446031       0.446036       0.446031       0.446036       0              0              0              0              
13	0	0	89420          0.447307       0.447313       0.447307       0.447313       0              0              0              0              
14	0	0	89545.6        0.448599       0.448604       0.448599       0.448604       0              0              0              0              
15	0	0	89899.4        0.449904       0.44991        0.449904       0.44991        0              0              0              0              
16	0	0	90145.2        0.451227       0.451232       0.451227       0.451232       0              0              0              0              
17	0	0	90443          0.452565       0.45257        0.452565       0.45257        0              0              0              0              
18	0	0	90729.7        0.453919       0.453924       0.453919       0.453924       0              0              0              0              
19	0	0	90935.6        0.455289       0.455294       0.455289       0.455294       0              0              0              0              
20	0	0	91301          0.465143       0.456688       0.456676       0.456681       0              0              560.855        419.368        
21	0	0	91539.8        0.463776       0.458092       0.45808        0.458086       0              0              484.669        429.036        
22	0	0	91897.5        0.459502       0.459508       0.459502       0.459508       0              0              0              0              
