i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O17_D          O17_T          

0	0	0	93918.7        0.469932       0.469941       0.469932       0.469941       0              0              0              0              0              0              
1	0	0	94229.5        0.471505       0.471514       0.471505       0.471514       0              0              0              0              0              0              
2	0	0	94531          0.473099       0.473108       0.473099       0.473108       0              0              0              0              0              0              
3	0	0	94749.2        0.474713       0.474722       0.474713       0.474722       0              0              0              0              0              0              
4	0	0	95119.9        0.476349       0.476358       0.476349       0.476358       0              0              0              0              0              0              
5	0	0	95467.7        0.478007       0.478016       0.478007       0.478016       0              0              0              0              0              0              
6	0	0	95786.3        0.479688       0.479697       0.479688       0.479697       0              0              0              0              0              0              
7	0	0	96189.5        0.481393       0.481403       0.481393       0.481403       0              0              0              0              0              0              
8	0	0	96424.3        0.497032       0.483145       0.483121       0.483131       0              0              537.783        434.11         0              0              
9	0	0	96939.2        0.484876       0.484885       0.484876       0.484885       0              0              0              0              0              0              
10	0	0	97193.9        0.486654       0.486664       0.486654       0.486664       0              0              0              0              0              0              
11	0	0	97612.9        0.488459       0.488468       0.488459       0.488468       0              0              0              0              0              0              
12	0	0	97982.9        0.494549       0.490304       0.490291       0.4903         0              0              446.502        374.964        0              0              
13	0	0	98279.3        0.492149       0.492157       0.492149       0.492157       0              0              0              0              0              0              
14	0	0	98645.8        0.494032       0.494041       0.494032       0.494041       0              0              0              0              0              0              
15	0	0	99098.2        0.500788       0.49596        0.495945       0.495954       0              0              469.871        400.983        0              0              
16	0	0	99363.2        0.497885       0.497896       0.497885       0.497896       0              0              0              0              0              0              
17	0	0	99923.9        0.499858       0.499868       0.499858       0.499868       0              0              0              0              0              0              
18	0	0	100218         0.50186        0.50187        0.50186        0.50187        0              0              0              0              0              0              
19	0	0	100635         0.503893       0.503903       0.503893       0.503903       0              0              0              0              0              0              
20	0	0	100996         0.505958       0.505968       0.505958       0.505968       0              0              0              0              0              0              
21	0	0	101419         0.508055       0.508065       0.508055       0.508065       0              0              0              0              0              0              
22	0	0	101957         0.510187       0.510197       0.510187       0.510197       0              0              0              0              0              0              
23	0	0	102290         0.512355       0.512363       0.512355       0.512363       0              0              0              0              0              0              
24	0	0	102716         0.514556       0.514565       0.514556       0.514565       0              0              0              0              0              0              
25	0	0	103225         0.516793       0.516803       0.516793       0.516803       0              0              0              0              0              0              
26	0	0	103591         0.523023       0.519084       0.519069       0.519079       0              0              0              0              432.631        369.444        
27	0	0	104093         0.521383       0.521392       0.521383       0.521392       0              0              0              0              0              0              
28	0	0	104559         0.523737       0.523746       0.523737       0.523746       0              0              0              0              0              0              
