i	j	k	Dose(Gy)       
0	0	0	4.86549e-08    
1	0	0	4.89565e-08    
2	0	0	4.90995e-08    
3	0	0	4.92901e-08    
4	0	0	4.94808e-08    
5	0	0	4.97002e-08    
6	0	0	4.98745e-08    
7	0	0	5.00687e-08    
8	0	0	5.02582e-08    
9	0	0	5.05002e-08    
10	0	0	5.07211e-08    
11	0	0	5.09022e-08    
12	0	0	5.10873e-08    
13	0	0	5.13127e-08    
14	0	0	5.15609e-08    
15	0	0	5.1743e-08     
16	0	0	5.20094e-08    
17	0	0	5.22325e-08    
18	0	0	5.24621e-08    
19	0	0	5.27372e-08    
20	0	0	5.29341e-08    
21	0	0	5.32456e-08    
22	0	0	5.3504e-08     
23	0	0	5.37792e-08    
24	0	0	5.39604e-08    
25	0	0	5.42485e-08    
26	0	0	5.4496e-08     
27	0	0	5.47878e-08    
28	0	0	5.51044e-08    
29	0	0	5.53932e-08    
30	0	0	5.56667e-08    
31	0	0	5.60114e-08    
32	0	0	5.62886e-08    
33	0	0	5.65838e-08    
34	0	0	5.69665e-08    
35	0	0	5.7229e-08     
36	0	0	5.75578e-08    
37	0	0	5.79222e-08    
38	0	0	5.8245e-08     
39	0	0	5.86231e-08    
40	0	0	5.90193e-08    
41	0	0	5.93643e-08    
42	0	0	5.9754e-08     
43	0	0	6.01779e-08    
44	0	0	6.05792e-08    
45	0	0	6.09694e-08    
46	0	0	6.14042e-08    
47	0	0	6.18093e-08    
48	0	0	6.22789e-08    
49	0	0	6.27465e-08    
50	0	0	6.3154e-08     
51	0	0	6.36731e-08    
52	0	0	6.4268e-08     
53	0	0	6.4795e-08     
54	0	0	6.53161e-08    
55	0	0	6.58469e-08    
56	0	0	6.64341e-08    
57	0	0	6.70343e-08    
58	0	0	6.76525e-08    
59	0	0	6.82435e-08    
60	0	0	6.88761e-08    
61	0	0	6.95406e-08    
62	0	0	7.02354e-08    
63	0	0	7.09163e-08    
64	0	0	7.16716e-08    
65	0	0	7.2484e-08     
66	0	0	7.32473e-08    
67	0	0	7.40955e-08    
68	0	0	7.49158e-08    
69	0	0	7.58328e-08    
70	0	0	7.67358e-08    
71	0	0	7.77394e-08    
72	0	0	7.87692e-08    
73	0	0	7.98112e-08    
74	0	0	8.09632e-08    
75	0	0	8.20943e-08    
76	0	0	8.33752e-08    
77	0	0	8.46514e-08    
78	0	0	8.6033e-08     
79	0	0	8.74923e-08    
80	0	0	8.90412e-08    
81	0	0	9.07127e-08    
82	0	0	9.24676e-08    
83	0	0	9.43173e-08    
84	0	0	9.6385e-08     
85	0	0	9.85744e-08    
86	0	0	1.00893e-07    
87	0	0	1.03437e-07    
88	0	0	1.06211e-07    
89	0	0	1.09282e-07    
90	0	0	1.12665e-07    
91	0	0	1.16422e-07    
92	0	0	1.20626e-07    
93	0	0	1.25397e-07    
94	0	0	1.30891e-07    
95	0	0	1.37208e-07    
96	0	0	1.44787e-07    
97	0	0	1.53919e-07    
98	0	0	1.6543e-07     
99	0	0	1.80671e-07    
100	0	0	2.02433e-07    
101	0	0	2.37439e-07    
102	0	0	2.91175e-07    
103	0	0	3.32225e-07    
104	0	0	2.75982e-07    
105	0	0	1.32988e-07    
106	0	0	3.25872e-08    
107	0	0	3.42664e-09    
108	0	0	1.31907e-10    
109	0	0	6.91734e-12    
110	0	0	4.73291e-13    
111	0	0	3.82064e-13    
112	0	0	4.44907e-13    
113	0	0	3.42397e-13    
114	0	0	2.72538e-13    
115	0	0	3.24123e-13    
116	0	0	2.37349e-13    
117	0	0	1.78702e-13    
118	0	0	2.70198e-13    
119	0	0	1.66411e-13    
120	0	0	1.30057e-13    
121	0	0	2.53774e-13    
122	0	0	2.12238e-13    
123	0	0	1.19295e-13    
124	0	0	1.08672e-13    
125	0	0	1.77157e-13    
126	0	0	3.32263e-13    
127	0	0	2.41172e-13    
128	0	0	2.03418e-13    
129	0	0	1.35852e-13    
130	0	0	1.78968e-13    
131	0	0	7.91814e-14    
132	0	0	1.3129e-13     
133	0	0	9.96707e-14    
134	0	0	7.7858e-14     
135	0	0	1.37072e-13    
136	0	0	7.038e-14      
137	0	0	7.82633e-14    
138	0	0	4.50016e-14    
139	0	0	1.26217e-13    
140	0	0	1.18968e-13    
141	0	0	1.78259e-13    
142	0	0	1.83233e-13    
143	0	0	8.35112e-14    
144	0	0	1.38509e-13    
145	0	0	4.21827e-14    
146	0	0	9.35809e-14    
147	0	0	1.12901e-13    
148	0	0	1.33735e-14    
149	0	0	8.36732e-14    
150	0	0	6.87888e-14    
151	0	0	4.17206e-14    
152	0	0	8.48165e-14    
153	0	0	4.80611e-14    
154	0	0	5.23004e-14    
155	0	0	8.01234e-14    
156	0	0	2.96422e-14    
157	0	0	8.49816e-14    
158	0	0	7.31894e-14    
159	0	0	1.63904e-13    
160	0	0	4.37658e-14    
161	0	0	5.08845e-14    
162	0	0	5.34733e-14    
163	0	0	5.01319e-14    
164	0	0	1.1918e-13     
165	0	0	5.00502e-14    
166	0	0	1.83654e-14    
167	0	0	4.65744e-14    
168	0	0	6.27557e-15    
169	0	0	6.69446e-14    
170	0	0	6.97423e-16    
171	0	0	3.18737e-14    
172	0	0	3.34343e-14    
173	0	0	4.47003e-14    
174	0	0	3.65234e-16    
175	0	0	3.50898e-14    
176	0	0	3.28313e-14    
