i	j	k	Dose(Gy)       
0	0	0	4.38157e-08    
1	0	0	4.40718e-08    
2	0	0	4.42019e-08    
3	0	0	4.43149e-08    
4	0	0	4.44041e-08    
5	0	0	4.46013e-08    
6	0	0	4.47448e-08    
7	0	0	4.48265e-08    
8	0	0	4.49663e-08    
9	0	0	4.51647e-08    
10	0	0	4.52366e-08    
11	0	0	4.53752e-08    
12	0	0	4.5577e-08     
13	0	0	4.56586e-08    
14	0	0	4.57991e-08    
15	0	0	4.5975e-08     
16	0	0	4.61068e-08    
17	0	0	4.62361e-08    
18	0	0	4.63492e-08    
19	0	0	4.6558e-08     
20	0	0	4.66833e-08    
21	0	0	4.68044e-08    
22	0	0	4.70254e-08    
23	0	0	4.71748e-08    
24	0	0	4.73219e-08    
25	0	0	4.7481e-08     
26	0	0	4.76431e-08    
27	0	0	4.77557e-08    
28	0	0	4.79658e-08    
29	0	0	4.81362e-08    
30	0	0	4.83475e-08    
31	0	0	4.84833e-08    
32	0	0	4.87014e-08    
33	0	0	4.88503e-08    
34	0	0	4.90085e-08    
35	0	0	4.9231e-08     
36	0	0	4.93746e-08    
37	0	0	4.9595e-08     
38	0	0	4.98011e-08    
39	0	0	4.99792e-08    
40	0	0	5.01754e-08    
41	0	0	5.04093e-08    
42	0	0	5.06301e-08    
43	0	0	5.08009e-08    
44	0	0	5.10126e-08    
45	0	0	5.1249e-08     
46	0	0	5.14466e-08    
47	0	0	5.16193e-08    
48	0	0	5.18955e-08    
49	0	0	5.21339e-08    
50	0	0	5.23326e-08    
51	0	0	5.26281e-08    
52	0	0	5.28589e-08    
53	0	0	5.3106e-08     
54	0	0	5.3331e-08     
55	0	0	5.35999e-08    
56	0	0	5.38915e-08    
57	0	0	5.41064e-08    
58	0	0	5.4372e-08     
59	0	0	5.47014e-08    
60	0	0	5.49334e-08    
61	0	0	5.52485e-08    
62	0	0	5.55183e-08    
63	0	0	5.5804e-08     
64	0	0	5.61541e-08    
65	0	0	5.64481e-08    
66	0	0	5.67731e-08    
67	0	0	5.71092e-08    
68	0	0	5.74221e-08    
69	0	0	5.77394e-08    
70	0	0	5.81491e-08    
71	0	0	5.84408e-08    
72	0	0	5.88436e-08    
73	0	0	5.91945e-08    
74	0	0	5.95847e-08    
75	0	0	5.9936e-08     
76	0	0	6.03519e-08    
77	0	0	6.07441e-08    
78	0	0	6.11666e-08    
79	0	0	6.15757e-08    
80	0	0	6.20107e-08    
81	0	0	6.25149e-08    
82	0	0	6.29485e-08    
83	0	0	6.34385e-08    
84	0	0	6.39664e-08    
85	0	0	6.44978e-08    
86	0	0	6.50608e-08    
87	0	0	6.56173e-08    
88	0	0	6.61618e-08    
89	0	0	6.67355e-08    
90	0	0	6.73184e-08    
91	0	0	6.79489e-08    
92	0	0	6.85377e-08    
93	0	0	6.92311e-08    
94	0	0	6.99083e-08    
95	0	0	7.0579e-08     
96	0	0	7.12611e-08    
97	0	0	7.20613e-08    
98	0	0	7.28e-08       
99	0	0	7.36433e-08    
100	0	0	7.45033e-08    
101	0	0	7.5388e-08     
102	0	0	7.63022e-08    
103	0	0	7.72483e-08    
104	0	0	7.82367e-08    
105	0	0	7.92994e-08    
106	0	0	8.03742e-08    
107	0	0	8.14851e-08    
108	0	0	8.27171e-08    
109	0	0	8.39855e-08    
110	0	0	8.53191e-08    
111	0	0	8.67784e-08    
112	0	0	8.82884e-08    
113	0	0	8.98713e-08    
114	0	0	9.15402e-08    
115	0	0	9.33814e-08    
116	0	0	9.53449e-08    
117	0	0	9.74547e-08    
118	0	0	9.96877e-08    
119	0	0	1.02176e-07    
120	0	0	1.04784e-07    
121	0	0	1.07726e-07    
122	0	0	1.10961e-07    
123	0	0	1.14532e-07    
124	0	0	1.18521e-07    
