i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	79577.3        0.397771       0.397739       0.397725       0.397727       1.37746        1.37829        0              0              
1	0	0	79596.2        0.398612       0.398546       0.39852        0.398522       1.52401        1.52028        0              0              
2	0	0	79750.3        0.399462       0.399353       0.399321       0.399323       1.80628        1.79714        0              0              
3	0	0	79954.2        0.400409       0.400176       0.400129       0.400131       2.44529        2.42527        0              0              
4	0	0	80047.2        0.402707       0.401022       0.400944       0.400946       8.98411        5.47061        0              0              
5	0	0	80352.1        0.401766       0.401768       0.401766       0.401768       0              0              0              0              
6	0	0	80440.8        0.402596       0.402598       0.402596       0.402598       0              0              0              0              
7	0	0	80610.4        0.403433       0.403435       0.403433       0.403435       0              0              0              0              
8	0	0	80868.6        0.404278       0.404279       0.404278       0.404279       0              0              0              0              
9	0	0	80959.9        0.410909       0.405137       0.405129       0.405131       0              0              464.707        364.829        
10	0	0	81103.4        0.405989       0.405991       0.405989       0.405991       0              0              0              0              
11	0	0	81246.7        0.406855       0.406857       0.406855       0.406857       0              0              0              0              
12	0	0	81431          0.407729       0.407731       0.407729       0.407731       0              0              0              0              
13	0	0	81543.5        0.408611       0.408613       0.408611       0.408613       0              0              0              0              
14	0	0	81891.7        0.409502       0.409504       0.409502       0.409504       0              0              0              0              
15	0	0	81959.9        0.410401       0.410402       0.410401       0.410402       0              0              0              0              
16	0	0	82148.8        0.411307       0.411309       0.411307       0.411309       0              0              0              0              
17	0	0	82394.8        0.412223       0.412225       0.412223       0.412225       0              0              0              0              
18	0	0	82487.9        0.413146       0.413149       0.413146       0.413149       0              0              0              0              
19	0	0	82737.5        0.41408        0.414081       0.41408        0.414081       0              0              0              0              
20	0	0	82876.6        0.41502        0.415022       0.41502        0.415022       0              0              0              0              
21	0	0	83123.9        0.41597        0.415973       0.41597        0.415973       0              0              0              0              
22	0	0	83262.3        0.416931       0.416932       0.416931       0.416932       0              0              0              0              
23	0	0	83620.9        0.417899       0.417902       0.417899       0.417902       0              0              0              0              
24	0	0	83608.5        0.418878       0.41888        0.418878       0.41888        0              0              0              0              
25	0	0	83818.9        0.419865       0.419866       0.419865       0.419866       0              0              0              0              
26	0	0	84109.2        0.420862       0.420864       0.420862       0.420864       0              0              0              0              
27	0	0	84353          0.42187        0.421872       0.42187        0.421872       0              0              0              0              
28	0	0	84525.8        0.422889       0.422889       0.422889       0.422889       0              0              0              0              
29	0	0	84690.9        0.423915       0.423917       0.423915       0.423917       0              0              0              0              
30	0	0	84936.2        0.424953       0.424955       0.424953       0.424955       0              0              0              0              
31	0	0	85233.2        0.426003       0.426004       0.426003       0.426004       0              0              0              0              
32	0	0	85383.2        0.451769       0.427076       0.427062       0.427064       0              0              789.635        614.012        
33	0	0	85541.6        0.428133       0.428134       0.428133       0.428134       0              0              0              0              
34	0	0	85702.3        0.435722       0.429221       0.429213       0.429215       0              0              497.14         366.389        
35	0	0	85937.4        0.430305       0.430306       0.430305       0.430306       0              0              0              0              
36	0	0	86287          0.431409       0.43141        0.431409       0.43141        0              0              0              0              
37	0	0	86471.9        0.432525       0.432526       0.432525       0.432526       0              0              0              0              
38	0	0	86645.8        0.439          0.433661       0.433652       0.433654       0              0              461.586        398.741        
39	0	0	86859.5        0.43479        0.434793       0.43479        0.434793       0              0              0              0              
40	0	0	87107.9        0.435943       0.435944       0.435943       0.435944       0              0              0              0              
41	0	0	87377.6        0.437108       0.437108       0.437108       0.437108       0              0              0              0              
42	0	0	87506.9        0.438284       0.438284       0.438284       0.438284       0              0              0              0              
43	0	0	87893.7        0.439474       0.439474       0.439474       0.439474       0              0              0              0              
44	0	0	87992.9        0.440675       0.440677       0.440675       0.440677       0              0              0              0              
45	0	0	88308          0.441891       0.441892       0.441891       0.441892       0              0              0              0              
46	0	0	88489.2        0.443122       0.443122       0.443122       0.443122       0              0              0              0              
47	0	0	88794.6        0.444365       0.444366       0.444365       0.444366       0              0              0              0              
48	0	0	89082.3        0.454943       0.445633       0.445623       0.445624       0              0              571.222        464.352        
49	0	0	89213          0.446895       0.446895       0.446895       0.446895       0              0              0              0              
50	0	0	89602.1        0.448182       0.448182       0.448182       0.448182       0              0              0              0              
51	0	0	89816.2        0.449483       0.449484       0.449483       0.449484       0              0              0              0              
52	0	0	90113.7        0.450802       0.450802       0.450802       0.450802       0              0              0              0              
53	0	0	90292.7        0.452135       0.452134       0.452135       0.452134       0              0              0              0              
54	0	0	90754.3        0.453486       0.453484       0.453486       0.453484       0              0              0              0              
55	0	0	90903.8        0.454851       0.454851       0.454851       0.454851       0              0              0              0              
56	0	0	91152.5        0.456232       0.456232       0.456232       0.456232       0              0              0              0              
57	0	0	91505.5        0.457631       0.457631       0.457631       0.457631       0              0              0              0              
58	0	0	91792.4        0.459047       0.459047       0.459047       0.459047       0              0              0              0              
59	0	0	92047.5        0.462093       0.460571       0.460483       0.460482       8.02986        4.7693         0              0              
60	0	0	92377.5        0.461934       0.461934       0.461934       0.461934       0              0              0              0              
61	0	0	92609.4        0.463404       0.463404       0.463404       0.463404       0              0              0              0              
62	0	0	92981.8        0.469588       0.464898       0.464894       0.464893       0              0              453.309        383.88         
63	0	0	93148.2        0.472354       0.466405       0.466402       0.4664         0              0              496.822        407.24         
64	0	0	93507.1        0.467929       0.467927       0.467929       0.467927       0              0              0              0              
65	0	0	93884.5        0.469475       0.469474       0.469475       0.469474       0              0              0              0              
66	0	0	94147.5        0.476291       0.471047       0.471045       0.471042       0              0              475.019        399.666        
67	0	0	94457.7        0.472632       0.47263        0.472632       0.47263        0              0              0              0              
68	0	0	94871.4        0.474244       0.47424        0.474244       0.47424        0              0              0              0              
69	0	0	95143.5        0.475875       0.475873       0.475875       0.475873       0              0              0              0              
70	0	0	95429.7        0.4776         0.477536       0.477528       0.477526       3.47762        3.46683        0              0              
71	0	0	95782.5        0.480586       0.479262       0.479203       0.479202       10.8166        6.67065        0              0              
72	0	0	96116.4        0.480904       0.480902       0.480904       0.480902       0              0              0              0              
73	0	0	96389.6        0.482628       0.482624       0.482628       0.482624       0              0              0              0              
74	0	0	96778.7        0.484375       0.484371       0.484375       0.484371       0              0              0              0              
75	0	0	97169.3        0.486148       0.486143       0.486148       0.486143       0              0              0              0              
76	0	0	97470.7        0.487943       0.487941       0.487943       0.487941       0              0              0              0              
77	0	0	97828.3        0.491143       0.489829       0.489768       0.489763       9.8992         6.18076        0              0              
78	0	0	98218.4        0.491618       0.491614       0.491618       0.491614       0              0              0              0              
79	0	0	98553.2        0.493495       0.49349        0.493495       0.49349        0              0              0              0              
80	0	0	98968.6        0.495404       0.495396       0.495404       0.495396       0              0              0              0              
81	0	0	99328          0.497338       0.49733        0.497338       0.49733        0              0              0              0              
82	0	0	99815.4        0.504852       0.499303       0.4993         0.499294       0              0              493.02         423.166        
83	0	0	100160         0.505578       0.501293       0.501297       0.501289       0              0              452.095        384.458        
84	0	0	100577         0.503324       0.503314       0.503324       0.503314       0              0              0              0              
85	0	0	100964         0.505382       0.505371       0.505382       0.505371       0              0              0              0              
86	0	0	101412         0.50747        0.507461       0.50747        0.507461       0              0              0              0              
87	0	0	101847         0.509595       0.509585       0.509595       0.509585       0              0              0              0              
88	0	0	102222         0.511754       0.511743       0.511754       0.511743       0              0              0              0              
89	0	0	102712         0.513946       0.513937       0.513946       0.513937       0              0              0              0              
90	0	0	103159         0.51618        0.516167       0.51618        0.516167       0              0              0              0              
91	0	0	103496         0.523366       0.51844        0.518447       0.518434       0              0              479.376        374.682        
92	0	0	104000         0.520751       0.520738       0.520751       0.520738       0              0              0              0              
93	0	0	104504         0.523096       0.523082       0.523096       0.523082       0              0              0              0              
94	0	0	104979         0.525486       0.525467       0.525486       0.525467       0              0              0              0              
95	0	0	105465         0.527909       0.527895       0.527909       0.527895       0              0              0              0              
96	0	0	106001         0.530386       0.530366       0.530386       0.530366       0              0              0              0              
97	0	0	106438         0.5329         0.532881       0.5329         0.532881       0              0              0              0              
98	0	0	106922         0.535463       0.535441       0.535463       0.535441       0              0              0              0              
99	0	0	107508         0.538071       0.538048       0.538071       0.538048       0              0              0              0              
100	0	0	107962         0.540725       0.540704       0.540725       0.540704       0              0              0              0              
101	0	0	108547         0.543433       0.543409       0.543433       0.543409       0              0              0              0              
102	0	0	109143         0.546196       0.546168       0.546196       0.546168       0              0              0              0              
103	0	0	109711         0.549013       0.548981       0.549013       0.548981       0              0              0              0              
104	0	0	110274         0.551877       0.551848       0.551877       0.551848       0              0              0              0              
105	0	0	110830         0.562081       0.554778       0.554807       0.554772       0              0              570.802        459.6          
106	0	0	111352         0.568353       0.557762       0.557795       0.557753       0              0              652.711        485.097        
107	0	0	112016         0.573509       0.560806       0.560837       0.560795       0              0              691.301        580.818        
108	0	0	112666         0.563952       0.563902       0.563952       0.563902       0              0              0              0              
109	0	0	113301         0.567138       0.567075       0.567138       0.567075       0              0              0              0              
