i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	87778.1        0.439743       0.439748       0.439743       0.439748       0              0              0              0              
1	0	0	88060.9        0.440947       0.440953       0.440947       0.440953       0              0              0              0              
2	0	0	88287.6        0.442166       0.442171       0.442166       0.442171       0              0              0              0              
3	0	0	88500.6        0.443397       0.443403       0.443397       0.443403       0              0              0              0              
4	0	0	88701          0.444642       0.444648       0.444642       0.444648       0              0              0              0              
5	0	0	89064.4        0.457829       0.445917       0.445902       0.445908       0              0              627.781        489.022        
6	0	0	89349.5        0.447177       0.447183       0.447177       0.447183       0              0              0              0              
7	0	0	89599.5        0.448467       0.448473       0.448467       0.448473       0              0              0              0              
8	0	0	89786.7        0.45466        0.449784       0.449772       0.449778       0              0              453.55         350.001        
9	0	0	90190.2        0.451092       0.451098       0.451092       0.451098       0              0              0              0              
10	0	0	90357          0.452429       0.452435       0.452429       0.452435       0              0              0              0              
11	0	0	90625.3        0.45378        0.453786       0.45378        0.453786       0              0              0              0              
12	0	0	91026.8        0.455149       0.455155       0.455149       0.455155       0              0              0              0              
13	0	0	91167.1        0.456534       0.45654        0.456534       0.45654        0              0              0              0              
14	0	0	91510          0.457936       0.457942       0.457936       0.457942       0              0              0              0              
15	0	0	91786.1        0.459355       0.459361       0.459355       0.459361       0              0              0              0              
16	0	0	92104.4        0.485855       0.460814       0.460791       0.460799       0              0              808.624        674.29         
17	0	0	92341.5        0.462248       0.462253       0.462248       0.462253       0              0              0              0              
18	0	0	92585.4        0.46372        0.463726       0.46372        0.463726       0              0              0              0              
19	0	0	92990.1        0.465211       0.465218       0.465211       0.465218       0              0              0              0              
20	0	0	93233.5        0.466724       0.466729       0.466724       0.466729       0              0              0              0              
21	0	0	93470.9        0.477468       0.468267       0.468253       0.468259       0              0              581.431        445.637        
22	0	0	93931.5        0.469803       0.46981        0.469803       0.46981        0              0              0              0              
23	0	0	94200          0.471375       0.471382       0.471375       0.471382       0              0              0              0              
24	0	0	94529.7        0.472969       0.472974       0.472969       0.472974       0              0              0              0              
25	0	0	94844.5        0.487013       0.474597       0.474582       0.474588       0              0              648.229        522.491        
26	0	0	95124.3        0.476217       0.476223       0.476217       0.476223       0              0              0              0              
27	0	0	95416          0.477874       0.477879       0.477874       0.477879       0              0              0              0              
28	0	0	95786.3        0.479553       0.479559       0.479553       0.479559       0              0              0              0              
29	0	0	96134.6        0.481256       0.481262       0.481256       0.481262       0              0              0              0              
30	0	0	96575.1        0.482985       0.482991       0.482985       0.482991       0              0              0              0              
31	0	0	96818.3        0.484736       0.484742       0.484736       0.484742       0              0              0              0              
32	0	0	97263.1        0.502802       0.486532       0.486515       0.48652        0              0              716.085        621.362        
33	0	0	97588.7        0.488318       0.488323       0.488318       0.488323       0              0              0              0              
34	0	0	97858.9        0.490147       0.490151       0.490147       0.490151       0              0              0              0              
35	0	0	98340          0.492002       0.492007       0.492002       0.492007       0              0              0              0              
36	0	0	98594.5        0.493885       0.493889       0.493885       0.493889       0              0              0              0              
37	0	0	99061.8        0.495796       0.4958         0.495796       0.4958         0              0              0              0              
38	0	0	99486.4        0.497736       0.497741       0.497736       0.497741       0              0              0              0              
39	0	0	99801.8        0.499706       0.499711       0.499706       0.499711       0              0              0              0              
40	0	0	100206         0.501706       0.501711       0.501706       0.501711       0              0              0              0              
41	0	0	100665         0.503738       0.503743       0.503738       0.503743       0              0              0              0              
42	0	0	101150         0.505802       0.505807       0.505802       0.505807       0              0              0              0              
43	0	0	101429         0.507899       0.507904       0.507899       0.507904       0              0              0              0              
44	0	0	101906         0.51003        0.510033       0.51003        0.510033       0              0              0              0              
45	0	0	102354         0.512196       0.512199       0.512196       0.512199       0              0              0              0              
46	0	0	102738         0.514395       0.514399       0.514395       0.514399       0              0              0              0              
47	0	0	103105         0.516631       0.516634       0.516631       0.516634       0              0              0              0              
48	0	0	103655         0.518905       0.518907       0.518905       0.518907       0              0              0              0              
49	0	0	104115         0.521217       0.52122        0.521217       0.52122        0              0              0              0              
50	0	0	104544         0.52357        0.523572       0.52357        0.523572       0              0              0              0              
51	0	0	105073         0.532201       0.525973       0.525962       0.525965       0              0              527.085        493.406        
52	0	0	105570         0.528401       0.528401       0.528401       0.528401       0              0              0              0              
53	0	0	106107         0.530879       0.53088        0.530879       0.53088        0              0              0              0              
54	0	0	106485         0.533483       0.533424       0.533403       0.533404       2.1554         2.14706        0              0              
55	0	0	107052         0.536469       0.536043       0.535969       0.535973       3.75704        3.44322        0              0              
56	0	0	107632         0.539506       0.538618       0.538588       0.53859        17.1509        12.1702        0              0              
57	0	0	108054         0.541253       0.541254       0.541253       0.541254       0              0              0              0              
58	0	0	108605         0.54397        0.543969       0.54397        0.543969       0              0              0              0              
59	0	0	109234         0.546735       0.546736       0.546735       0.546736       0              0              0              0              
60	0	0	109735         0.549557       0.549557       0.549557       0.549557       0              0              0              0              
61	0	0	110327         0.552435       0.552433       0.552435       0.552433       0              0              0              0              
62	0	0	110879         0.555368       0.555366       0.555368       0.555366       0              0              0              0              
63	0	0	111473         0.558363       0.558357       0.558363       0.558357       0              0              0              0              
64	0	0	112136         0.561414       0.561411       0.561414       0.561411       0              0              0              0              
65	0	0	112746         0.569796       0.564563       0.564533       0.564529       2.54933        2.52903        504.958        412.44         
66	0	0	113392         0.568964       0.567787       0.567716       0.56771        8.93515        5.34675        0              0              
67	0	0	114051         0.570967       0.570961       0.570967       0.570961       0              0              0              0              
68	0	0	114692         0.574286       0.574282       0.574286       0.574282       0              0              0              0              
69	0	0	115324         0.577679       0.577674       0.577679       0.577674       0              0              0              0              
70	0	0	116125         0.581152       0.581142       0.581152       0.581142       0              0              0              0              
71	0	0	116732         0.584697       0.584689       0.584697       0.584689       0              0              0              0              
72	0	0	117500         0.588328       0.588316       0.588328       0.588316       0              0              0              0              
73	0	0	118244         0.592042       0.592028       0.592042       0.592028       0              0              0              0              
74	0	0	119001         0.59584        0.595829       0.59584        0.595829       0              0              0              0              
75	0	0	119701         0.599732       0.599718       0.599732       0.599718       0              0              0              0              
76	0	0	120543         0.610349       0.60371        0.603717       0.603703       0              0              567.823        482.477        
77	0	0	121313         0.607804       0.607786       0.607804       0.607786       0              0              0              0              
78	0	0	122155         0.61199        0.611971       0.61199        0.611971       0              0              0              0              
79	0	0	122986         0.620867       0.616275       0.616288       0.616265       1.37774        1.37774        500.273        413.167        
80	0	0	123854         0.620731       0.620684       0.620696       0.62067        1.47357        1.47318        0              0              
81	0	0	124844         0.625266       0.62521        0.625222       0.625193       1.64584        1.64311        0              0              
82	0	0	125723         0.629936       0.629859       0.629869       0.629838       1.91307        1.90799        0              0              
83	0	0	126707         0.641101       0.63465        0.634645       0.63461        2.46045        2.43461        564.755        460.718        
84	0	0	127757         0.640659       0.639592       0.639555       0.639517       8.81063        5.29084        0              0              
85	0	0	128813         0.648178       0.644574       0.644608       0.644568       0              0              462.755        417.676        
86	0	0	129944         0.649819       0.649769       0.649819       0.649769       0              0              0              0              
87	0	0	131040         0.655178       0.655128       0.655178       0.655128       0              0              0              0              
88	0	0	132146         0.660701       0.66065        0.660701       0.66065        0              0              0              0              
89	0	0	133271         0.666403       0.666342       0.666403       0.666342       0              0              0              0              
90	0	0	134448         0.680638       0.672223       0.672272       0.672215       0              0              502.668        428.423        
91	0	0	135704         0.678342       0.678278       0.678342       0.678278       0              0              0              0              
92	0	0	136906         0.684614       0.684541       0.684614       0.684541       0              0              0              0              
93	0	0	138265         0.691101       0.691018       0.691101       0.691018       0              0              0              0              
94	0	0	139624         0.697814       0.69772        0.697814       0.69772        0              0              0              0              
95	0	0	140948         0.704759       0.704659       0.704759       0.704659       0              0              0              0              
96	0	0	142325         0.711956       0.711847       0.711956       0.711847       0              0              0              0              
97	0	0	143915         0.719438       0.719304       0.719438       0.719304       0              0              0              0              
98	0	0	145411         0.727199       0.727049       0.727199       0.727049       0              0              0              0              
99	0	0	147079         0.735315       0.7351         0.735315       0.7351         0              0              0              0              
100	0	0	148802         0.744477       0.743505       0.744477       0.743505       0              0              0              0              
101	0	0	150559         0.752423       0.752189       0.752321       0.752164       2.98486        2.9513         0              0              
102	0	0	152400         0.762276       0.761317       0.761437       0.761257       10.184         6.42737        0              0              
103	0	0	154281         0.770959       0.770746       0.770959       0.770746       0              0              0              0              
104	0	0	156248         0.780939       0.780669       0.780939       0.780669       0              0              0              0              
105	0	0	158369         0.792069       0.79108        0.792069       0.79108        0              0              0              0              
106	0	0	160533         0.802145       0.801898       0.802145       0.801898       0              0              0              0              
107	0	0	162739         0.821587       0.813328       0.813591       0.813313       0              0              524.813        410.898        
108	0	0	165209         0.825622       0.825315       0.825622       0.825315       0              0              0              0              
109	0	0	167735         0.838358       0.837978       0.838325       0.837964       2.05695        2.05262        0              0              
110	0	0	170391         0.851815       0.851339       0.851728       0.85131        2.60825        2.57908        0              0              
111	0	0	173309         0.866827       0.865508       0.866057       0.86544        9.25834        5.64448        0              0              
112	0	0	176333         0.881325       0.880375       0.881325       0.880375       0              0              0              0              
113	0	0	179490         0.904046       0.896255       0.896783       0.896246       0              0              676.396        491.036        
114	0	0	182817         0.913782       0.913168       0.913782       0.913168       0              0              0              0              
115	0	0	186496         0.931947       0.93125        0.931943       0.931247       1.80944        1.80944        0              0              
116	0	0	190423         0.952187       0.950707       0.951466       0.950629       7.42731        3.62744        0              0              
117	0	0	194632         0.973103       0.971528       0.973006       0.971495       2.86074        2.81501        0              0              
118	0	0	199098         0.995618       0.993971       0.994987       0.993916       10.5795        6.55127        0              0              
119	0	0	204061         1.01956        1.01829        1.01956        1.01829        0              0              0              0              
120	0	0	209273         1.04888        1.04486        1.04692        1.04486        0              0              441.868        344.999        
121	0	0	215157         1.07856        1.07387        1.07608        1.07386        2.03926        2.03926        487.418        406.356        
122	0	0	221593         1.108          1.10584        1.10796        1.10582        2.2841         2.27771        0              0              
123	0	0	228737         1.14883        1.14134        1.14425        1.14131        3.13124        3.08901        616.358        513.12         
124	0	0	236708         1.18935        1.18102        1.18413        1.18096        11.2518        7.00369        638.102        524.552        
125	0	0	245696         1.23462        1.22577        1.23009        1.22576        0              0              636.218        535.271        
126	0	0	256013         1.2821         1.27689        1.2821         1.27689        0              0              0              0              
127	0	0	267946         1.34508        1.33612        1.34353        1.33612        0              0              446.564        375.405        
128	0	0	282003         1.41631        1.40597        1.41631        1.40597        0              0              0              0              
129	0	0	298871         1.50631        1.49018        1.50452        1.49017        2.03688        2.03455        488.723        378.449        
130	0	0	320088         1.62144        1.5954         1.61894        1.59533        8.13328        4.40807        535.722        432.199        
131	0	0	347869         1.79126        1.73357        1.78441        1.73354        3.00427        2.98035        652.944        541.168        
132	0	0	386830         2.07139        1.93001        2.07119        1.92996        7.97784        6.01764        0              0              
133	0	0	444586         2.675          2.23505        2.67061        2.23503        48.0566        48.292         624.28         506.232        
134	0	0	523081         3.82346        2.71999        3.82346        2.71999        3.36256        3.28522        0              0              
135	0	0	588459         5.52076        3.4213         5.51994        3.42123        8.6781         5.98158        442.751        384.153        
136	0	0	562048         7.40015        4.2851         7.40006        4.28509        32.8208        27.1504        0              0              
137	0	0	406385         9.18368        5.22348        9.18228        5.22346        0              0              504.223        428.123        
138	0	0	204652         10.9117        6.21894        10.9117        6.21894        0              0              0              0              
139	0	0	65245          12.3071        7.14388        12.3071        7.14388        0              0              0              0              
140	0	0	12477          13.8192        8.07858        13.8192        8.07858        0              0              0              0              
141	0	0	1455.73        14.1176        8.41932        14.1176        8.41932        0              0              0              0              
142	0	0	105.103        17.1247        10.0505        17.1247        10.0505        0              0              0              0              
143	0	0	11.9789        11.1501        7.01814        11.1501        7.01814        0              0              0              0              
144	0	0	0              0              0              0              0              0              0              0              0              
145	0	0	0              0              0              0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              0              0              
167	0	0	0              0              0              0              0              0              0              0              0              
168	0	0	0              0              0              0              0              0              0              0              0              
169	0	0	0              0              0              0              0              0              0              0              0              
170	0	0	0              0              0              0              0              0              0              0              0              
171	0	0	0              0              0              0              0              0              0              0              0              
172	0	0	0              0              0              0              0              0              0              0              0              
173	0	0	0              0              0              0              0              0              0              0              0              
174	0	0	0              0              0              0              0              0              0              0              0              
175	0	0	0              0              0              0              0              0              0              0              0              
176	0	0	0              0              0              0              0              0              0              0              0              
177	0	0	0              0              0              0              0              0              0              0              0              
178	0	0	0              0              0              0              0              0              0              0              0              
179	0	0	0              0              0              0              0              0              0              0              0              
180	0	0	0              0              0              0              0              0              0              0              0              
181	0	0	0              0              0              0              0              0              0              0              0              
182	0	0	0              0              0              0              0              0              0              0              0              
183	0	0	0              0              0              0              0              0              0              0              0              
184	0	0	0              0              0              0              0              0              0              0              0              
185	0	0	0              0              0              0              0              0              0              0              0              
186	0	0	0              0              0              0              0              0              0              0              0              
187	0	0	0              0              0              0              0              0              0              0              0              
188	0	0	0              0              0              0              0              0              0              0              0              
189	0	0	0              0              0              0              0              0              0              0              0              
190	0	0	0              0              0              0              0              0              0              0              0              
191	0	0	0              0              0              0              0              0              0              0              0              
192	0	0	0              0              0              0              0              0              0              0              0              
193	0	0	0              0              0              0              0              0              0              0              0              
