i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          

0	0	0	89540.5        0.448183       0.448189       0.448183       0.448189       0              0              0              0              0              0              
1	0	0	89781.8        0.449484       0.44949        0.449484       0.44949        0              0              0              0              0              0              
2	0	0	90087.1        0.450802       0.450808       0.450802       0.450808       0              0              0              0              0              0              
3	0	0	90337          0.452134       0.452141       0.452134       0.452141       0              0              0              0              0              0              
4	0	0	90630.3        0.453483       0.45349        0.453483       0.45349        0              0              0              0              0              0              
5	0	0	90837.4        0.454847       0.454854       0.454847       0.454854       0              0              0              0              0              0              
6	0	0	91085.5        0.456228       0.456234       0.456228       0.456234       0              0              0              0              0              0              
7	0	0	91421.4        0.457625       0.457632       0.457625       0.457632       0              0              0              0              0              0              
8	0	0	91634.6        0.45904        0.459046       0.45904        0.459046       0              0              0              0              0              0              
9	0	0	92048.6        0.460472       0.460479       0.460472       0.460479       0              0              0              0              0              0              
10	0	0	92313.7        0.470401       0.461938       0.461924       0.461931       0              0              563.432        476.472        0              0              
11	0	0	92515.6        0.463394       0.4634         0.463394       0.4634         0              0              0              0              0              0              
12	0	0	92815.4        0.464901       0.464893       0.46488        0.464887       1.63591        1.63591        0              0              0              0              
13	0	0	93220.4        0.466501       0.466423       0.466387       0.466394       1.84276        1.83358        0              0              0              0              
14	0	0	93478.8        0.468119       0.46796        0.467913       0.46792        2.44092        2.41004        0              0              0              0              
15	0	0	93773.1        0.470993       0.469543       0.469458       0.469466       8.94394        5.35731        0              0              0              0              
16	0	0	94087.2        0.471025       0.471032       0.471025       0.471032       0              0              0              0              0              0              
17	0	0	94369.9        0.47968        0.472624       0.472612       0.472618       0              0              532.616        429.849        0              0              
18	0	0	94692.4        0.474219       0.474226       0.474219       0.474226       0              0              0              0              0              0              
19	0	0	95053.8        0.475849       0.475856       0.475849       0.475856       0              0              0              0              0              0              
20	0	0	95355.1        0.4775         0.477507       0.4775         0.477507       0              0              0              0              0              0              
21	0	0	95720.6        0.479202       0.479189       0.479176       0.479182       1.80556        1.80568        0              0              0              0              
22	0	0	96083.4        0.481059       0.48092        0.480875       0.480881       2.17982        2.16537        0              0              0              0              
23	0	0	96413.8        0.484113       0.482692       0.482596       0.482603       7.8362         4.69623        0              0              0              0              
24	0	0	96822.1        0.484342       0.48435        0.484342       0.48435        0              0              0              0              0              0              
25	0	0	97109.2        0.491816       0.486126       0.486114       0.486121       0              0              496.017        410.859        0              0              
26	0	0	97485.7        0.48791        0.487917       0.48791        0.487917       0              0              0              0              0              0              
27	0	0	97824.8        0.489733       0.48974        0.489733       0.48974        0              0              0              0              0              0              
28	0	0	98223.9        0.491584       0.49159        0.491584       0.49159        0              0              0              0              0              0              
29	0	0	98433.2        0.493459       0.493465       0.493459       0.493465       0              0              0              0              0              0              
30	0	0	98956.5        0.495362       0.495369       0.495362       0.495369       0              0              0              0              0              0              
31	0	0	99349.5        0.497296       0.497302       0.497296       0.497302       0              0              0              0              0              0              
32	0	0	99670          0.499259       0.499264       0.499259       0.499264       0              0              0              0              0              0              
33	0	0	100106         0.502782       0.501352       0.501251       0.501257       7.64054        4.42879        0              0              0              0              
34	0	0	100457         0.503276       0.503279       0.503276       0.503279       0              0              0              0              0              0              
35	0	0	100991         0.50533        0.505335       0.50533        0.505335       0              0              0              0              0              0              
36	0	0	101312         0.507417       0.507424       0.507417       0.507424       0              0              0              0              0              0              
37	0	0	101756         0.509538       0.509545       0.509538       0.509545       0              0              0              0              0              0              
38	0	0	102166         0.511696       0.511701       0.511696       0.511701       0              0              0              0              0              0              
39	0	0	102657         0.518013       0.513897       0.513887       0.513892       0              0              448.387        376.351        0              0              
40	0	0	103114         0.516117       0.51612        0.516117       0.51612        0              0              0              0              0              0              
41	0	0	103576         0.518381       0.518386       0.518381       0.518386       0              0              0              0              0              0              
42	0	0	104036         0.520687       0.520691       0.520687       0.520691       0              0              0              0              0              0              
43	0	0	104498         0.523029       0.523034       0.523029       0.523034       0              0              0              0              0              0              
44	0	0	104971         0.525415       0.525419       0.525415       0.525419       0              0              0              0              0              0              
45	0	0	105439         0.527842       0.527845       0.527842       0.527845       0              0              0              0              0              0              
46	0	0	105913         0.530308       0.530313       0.530308       0.530313       0              0              0              0              0              0              
47	0	0	106484         0.532824       0.532827       0.532824       0.532827       0              0              0              0              0              0              
48	0	0	106930         0.535382       0.535386       0.535382       0.535386       0              0              0              0              0              0              
49	0	0	107475         0.543665       0.537997       0.537987       0.537991       0              0              513.894        442.222        0              0              
50	0	0	108028         0.540646       0.540646       0.540646       0.540646       0              0              0              0              0              0              
51	0	0	108564         0.547959       0.543356       0.543349       0.543351       0              0              477.53         396.519        0              0              
52	0	0	108983         0.546104       0.546105       0.546104       0.546105       0              0              0              0              0              0              
53	0	0	109602         0.549226       0.548967       0.548912       0.548913       3.19633        3.08318        0              0              0              0              
54	0	0	110211         0.552852       0.551823       0.551777       0.551777       12.6729        8.23842        0              0              0              0              
55	0	0	110752         0.554696       0.554696       0.554696       0.554696       0              0              0              0              0              0              
56	0	0	111366         0.557677       0.557674       0.557677       0.557674       0              0              0              0              0              0              
57	0	0	112024         0.589269       0.560734       0.560715       0.560715       0              0              885.298        700.41         0              0              
58	0	0	112591         0.563817       0.563818       0.563817       0.563818       0              0              0              0              0              0              
59	0	0	113252         0.566988       0.566985       0.566988       0.566985       0              0              0              0              0              0              
60	0	0	113895         0.570221       0.57022        0.570221       0.57022        0              0              0              0              0              0              
61	0	0	114518         0.57353        0.573523       0.57353        0.573523       0              0              0              0              0              0              
62	0	0	115218         0.576907       0.576899       0.576907       0.576899       0              0              0              0              0              0              
63	0	0	115900         0.580455       0.580375       0.580359       0.580351       2.37577        2.36271        0              0              0              0              
64	0	0	116633         0.585149       0.583965       0.583884       0.583879       8.23594        4.88989        0              0              0              0              
65	0	0	117304         0.587496       0.587488       0.587496       0.587488       0              0              0              0              0              0              
66	0	0	118027         0.591186       0.591179       0.591186       0.591179       0              0              0              0              0              0              
67	0	0	118738         0.594969       0.594957       0.594969       0.594957       0              0              0              0              0              0              
68	0	0	119564         0.598837       0.598825       0.598837       0.598825       0              0              0              0              0              0              
69	0	0	120274         0.602805       0.602787       0.602805       0.602787       0              0              0              0              0              0              
70	0	0	121168         0.610408       0.606853       0.606866       0.606847       0              0              449.596        367.39         0              0              
71	0	0	122023         0.611029       0.611011       0.611029       0.611011       0              0              0              0              0              0              
72	0	0	122728         0.615299       0.615278       0.615299       0.615278       0              0              0              0              0              0              
73	0	0	123643         0.619677       0.619655       0.619677       0.619655       0              0              0              0              0              0              
74	0	0	124531         0.624172       0.624148       0.624172       0.624148       0              0              0              0              0              0              
75	0	0	125531         0.628792       0.628763       0.628792       0.628763       0              0              0              0              0              0              
76	0	0	126511         0.633542       0.633507       0.633542       0.633507       0              0              0              0              0              0              
77	0	0	127561         0.638424       0.638385       0.638424       0.638385       0              0              0              0              0              0              
78	0	0	128595         0.643446       0.643405       0.643446       0.643405       0              0              0              0              0              0              
79	0	0	129549         0.64862        0.64857        0.64862        0.64857        0              0              0              0              0              0              
80	0	0	130736         0.653948       0.653888       0.653948       0.653888       0              0              0              0              0              0              
81	0	0	131974         0.659443       0.659374       0.659443       0.659374       0              0              0              0              0              0              
82	0	0	133009         0.665119       0.665033       0.665118       0.665033       1.14538        1.14538        0              0              0              0              
83	0	0	134171         0.671004       0.670879       0.670991       0.670872       1.17782        1.17843        0              0              0              0              
84	0	0	135334         0.677158       0.67691        0.677144       0.676902       1.24167        1.24065        0              0              0              0              
85	0	0	136646         0.683967       0.683127       0.683949       0.683118       1.31855        1.31764        0              0              0              0              
86	0	0	137985         0.68961        0.68952        0.689591       0.68951        1.41077        1.40975        0              0              0              0              
87	0	0	139252         0.696277       0.69617        0.696252       0.696159       1.5246         1.52374        0              0              0              0              
88	0	0	140623         0.703188       0.703056       0.703156       0.703043       1.67881        1.67584        0              0              0              0              
89	0	0	142070         0.713892       0.710195       0.710311       0.710176       1.90294        1.90353        483.649        483.649        0              0              
90	0	0	143578         0.717818       0.717599       0.717748       0.717577       2.28133        2.27445        0              0              0              0              
91	0	0	145160         0.733092       0.725315       0.725552       0.725271       3.14147        3.09768        491.073        408.572        0              0              
92	0	0	146799         0.735909       0.73336        0.735048       0.733305       11.3556        7.08377        0              0              0              0              
93	0	0	148312         0.747745       0.741487       0.741598       0.74148        0              0              596.057        499.287        0              0              
94	0	0	150101         0.75367        0.750115       0.750232       0.750111       0              0              488.524        488.524        0              0              
95	0	0	151897         0.764517       0.759116       0.759253       0.759108       0              0              566.063        434.515        0              0              
96	0	0	153750         0.768652       0.768496       0.768652       0.768496       0              0              0              0              0              0              
97	0	0	155806         0.778516       0.77832        0.778491       0.77831        1.98471        1.98152        0              0              0              0              
98	0	0	157805         0.788857       0.788602       0.788777       0.788576       2.39444        2.38194        0              0              0              0              
99	0	0	159982         0.799938       0.79939        0.799556       0.79933        4.89776        4.34073        0              0              0              0              
100	0	0	162276         0.811367       0.810635       0.810872       0.810618       24.4737        18.9303        0              0              0              0              
101	0	0	164622         0.826544       0.822488       0.822777       0.822482       0              0              517.881        422.738        0              0              
102	0	0	167132         0.835329       0.834975       0.835329       0.834975       0              0              0              0              0              0              
103	0	0	169831         0.848616       0.848163       0.848616       0.848163       0              0              0              0              0              0              
104	0	0	172610         0.871303       0.862159       0.863483       0.86215        0              0              0              0              654.848        591.826        
105	0	0	175566         0.881018       0.876842       0.877681       0.876814       2.8365         2.82121        501.995        432.312        0              0              
106	0	0	178785         0.893934       0.892546       0.893196       0.892483       9.79449        5.96983        0              0              0              0              
107	0	0	182113         0.910089       0.909132       0.910089       0.909132       0              0              0              0              0              0              
108	0	0	185551         0.932226       0.92692        0.927582       0.926912       0              0              581.595        493.601        0              0              
109	0	0	189447         0.946957       0.94599        0.946957       0.94599        0              0              0              0              0              0              
110	0	0	193607         0.968126       0.96642        0.968126       0.96642        0              0              0              0              0              0              
111	0	0	198003         0.989323       0.988426       0.989323       0.988426       0              0              0              0              0              0              
112	0	0	202789         1.01335        1.01231        1.01335        1.01231        0              0              0              0              0              0              
113	0	0	207970         1.03951        1.03827        1.03951        1.03827        0              0              0              0              0              0              
114	0	0	213725         1.07044        1.06667        1.06817        1.06667        0              0              477.915        477.915        0              0              
115	0	0	220010         1.09968        1.0979         1.09968        1.0979         0              0              0              0              0              0              
116	0	0	226890         1.13472        1.13247        1.13472        1.13247        0              0              0              0              0              0              
117	0	0	234781         1.17511        1.17113        1.17457        1.17107        9.82947        5.93361        0              0              0              0              
118	0	0	243444         1.21775        1.2144         1.21775        1.2144         0              0              0              0              0              0              
119	0	0	253348         1.26841        1.26381        1.26841        1.26381        0              0              0              0              0              0              
120	0	0	264819         1.32632        1.32074        1.32632        1.32074        0              0              0              0              0              0              
121	0	0	278187         1.39515        1.38752        1.39515        1.38752        0              0              0              0              0              0              
122	0	0	294241         1.47876        1.4675         1.47876        1.4675         0              0              0              0              0              0              
123	0	0	314149         1.5848         1.56608        1.58321        1.56607        0              0              478.051        395.109        0              0              
124	0	0	339746         1.7261         1.69316        1.7261         1.69316        0              0              0              0              0              0              
