i	j	k	Dose(Gy)       
0	0	0	4.71962e-08    
1	0	0	4.74987e-08    
2	0	0	4.76182e-08    
3	0	0	4.77897e-08    
4	0	0	4.80127e-08    
5	0	0	4.81585e-08    
6	0	0	4.83384e-08    
7	0	0	4.84873e-08    
8	0	0	4.86958e-08    
9	0	0	4.8879e-08     
10	0	0	4.90034e-08    
11	0	0	4.92719e-08    
12	0	0	4.94341e-08    
13	0	0	4.95502e-08    
14	0	0	4.9815e-08     
15	0	0	4.99996e-08    
16	0	0	5.0219e-08     
17	0	0	5.04083e-08    
18	0	0	5.06022e-08    
19	0	0	5.0801e-08     
20	0	0	5.10508e-08    
21	0	0	5.12664e-08    
22	0	0	5.14808e-08    
23	0	0	5.16936e-08    
24	0	0	5.19325e-08    
25	0	0	5.21682e-08    
26	0	0	5.2362e-08     
27	0	0	5.26562e-08    
28	0	0	5.28962e-08    
29	0	0	5.31315e-08    
30	0	0	5.33851e-08    
31	0	0	5.3643e-08     
32	0	0	5.39192e-08    
33	0	0	5.4173e-08     
34	0	0	5.44336e-08    
35	0	0	5.47029e-08    
36	0	0	5.4989e-08     
37	0	0	5.53061e-08    
38	0	0	5.56457e-08    
39	0	0	5.59029e-08    
40	0	0	5.62338e-08    
41	0	0	5.64558e-08    
42	0	0	5.6786e-08     
43	0	0	5.71286e-08    
44	0	0	5.74947e-08    
45	0	0	5.77982e-08    
46	0	0	5.81489e-08    
47	0	0	5.85066e-08    
48	0	0	5.8894e-08     
49	0	0	5.92567e-08    
50	0	0	5.96487e-08    
51	0	0	5.99653e-08    
52	0	0	6.0377e-08     
53	0	0	6.08226e-08    
54	0	0	6.12544e-08    
55	0	0	6.16493e-08    
56	0	0	6.21163e-08    
57	0	0	6.25902e-08    
58	0	0	6.30082e-08    
59	0	0	6.35158e-08    
60	0	0	6.40631e-08    
61	0	0	6.45818e-08    
62	0	0	6.51441e-08    
63	0	0	6.57053e-08    
64	0	0	6.62414e-08    
65	0	0	6.68307e-08    
66	0	0	6.74369e-08    
67	0	0	6.8017e-08     
68	0	0	6.86173e-08    
