i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	8820.7         0.442501       0.442507       0.442501       0.442507       0              0              0              0              
1	0	0	8847.22        0.443735       0.443739       0.443735       0.443739       0              0              0              0              
2	0	0	8899           0.444984       0.44499        0.444984       0.44499        0              0              0              0              
3	0	0	8903.32        0.446249       0.446255       0.446249       0.446255       0              0              0              0              
4	0	0	8928.02        0.447526       0.447531       0.447526       0.447531       0              0              0              0              
5	0	0	8958.82        0.448818       0.448825       0.448818       0.448825       0              0              0              0              
6	0	0	8986.47        0.450126       0.450134       0.450126       0.450134       0              0              0              0              
7	0	0	8994.03        0.45145        0.451454       0.45145        0.451454       0              0              0              0              
8	0	0	9049.73        0.452788       0.452793       0.452788       0.452793       0              0              0              0              
9	0	0	9080.09        0.454145       0.454152       0.454145       0.454152       0              0              0              0              
10	0	0	9098.41        0.455517       0.455524       0.455517       0.455524       0              0              0              0              
11	0	0	9123.7         0.456906       0.456913       0.456906       0.456913       0              0              0              0              
12	0	0	9150.63        0.458313       0.458318       0.458313       0.458318       0              0              0              0              
13	0	0	9182.84        0.459736       0.459742       0.459736       0.459742       0              0              0              0              
14	0	0	9224.36        0.461176       0.461183       0.461176       0.461183       0              0              0              0              
15	0	0	9230.04        0.462636       0.462644       0.462636       0.462644       0              0              0              0              
16	0	0	9266.8         0.464115       0.46412        0.464115       0.46412        0              0              0              0              
17	0	0	9297.97        0.465612       0.465617       0.465612       0.465617       0              0              0              0              
18	0	0	9360.37        0.467131       0.467136       0.467131       0.467136       0              0              0              0              
19	0	0	9375.21        0.468666       0.468674       0.468666       0.468674       0              0              0              0              
20	0	0	9368.29        0.47022        0.470228       0.47022        0.470228       0              0              0              0              
21	0	0	9429.53        0.471798       0.471803       0.471798       0.471803       0              0              0              0              
22	0	0	9462.52        0.473395       0.473401       0.473395       0.473401       0              0              0              0              
23	0	0	9496.33        0.475019       0.475022       0.475019       0.475022       0              0              0              0              
24	0	0	9502.91        0.476655       0.476661       0.476655       0.476661       0              0              0              0              
25	0	0	9558.86        0.478318       0.478323       0.478318       0.478323       0              0              0              0              
26	0	0	9588.91        0.480004       0.480009       0.480004       0.480009       0              0              0              0              
27	0	0	9628.3         0.481713       0.481719       0.481713       0.481719       0              0              0              0              
28	0	0	9639.31        0.483448       0.483452       0.483448       0.483452       0              0              0              0              
29	0	0	9680.42        0.4852         0.485207       0.4852         0.485207       0              0              0              0              
30	0	0	9720.21        0.486982       0.486989       0.486982       0.486989       0              0              0              0              
31	0	0	9801.31        0.488794       0.488801       0.488794       0.488801       0              0              0              0              
32	0	0	9808.88        0.490634       0.490641       0.490634       0.490641       0              0              0              0              
33	0	0	9811.32        0.492493       0.492501       0.492493       0.492501       0              0              0              0              
34	0	0	9872.52        0.494385       0.494388       0.494385       0.494388       0              0              0              0              
35	0	0	9944.86        0.496305       0.496311       0.496305       0.496311       0              0              0              0              
36	0	0	9949.73        0.498254       0.49826        0.498254       0.49826        0              0              0              0              
37	0	0	9995.05        0.500231       0.500239       0.500231       0.500239       0              0              0              0              
38	0	0	10016          0.502238       0.502245       0.502238       0.502245       0              0              0              0              
39	0	0	10054          0.504274       0.504279       0.504274       0.504279       0              0              0              0              
40	0	0	10103.3        0.506344       0.506348       0.506344       0.506348       0              0              0              0              
41	0	0	10148.3        0.508446       0.508451       0.508446       0.508451       0              0              0              0              
42	0	0	10202.3        0.510579       0.510591       0.510579       0.510591       0              0              0              0              
43	0	0	10238.5        0.512758       0.512763       0.512758       0.512763       0              0              0              0              
44	0	0	10301.8        0.514966       0.514974       0.514966       0.514974       0              0              0              0              
45	0	0	10342          0.517219       0.517223       0.517219       0.517223       0              0              0              0              
46	0	0	10388.8        0.519504       0.519508       0.519504       0.519508       0              0              0              0              
47	0	0	10423.4        0.521833       0.521833       0.521833       0.521833       0              0              0              0              
48	0	0	10460.8        0.524192       0.524194       0.524192       0.524194       0              0              0              0              
49	0	0	10515.8        0.526593       0.526598       0.526593       0.526598       0              0              0              0              
50	0	0	10570.6        0.529037       0.529044       0.529037       0.529044       0              0              0              0              
51	0	0	10619.8        0.53153        0.531534       0.53153        0.531534       0              0              0              0              
52	0	0	10657.4        0.577575       0.534134       0.534069       0.534068       0              0              462.813        362.674        
53	0	0	10700          0.536645       0.536645       0.536645       0.536645       0              0              0              0              
54	0	0	10769.6        0.539268       0.539273       0.539268       0.539273       0              0              0              0              
55	0	0	10818.8        0.541943       0.541949       0.541943       0.541949       0              0              0              0              
56	0	0	10864.6        0.544673       0.544675       0.544673       0.544675       0              0              0              0              
57	0	0	10929.4        0.547452       0.547454       0.547452       0.547454       0              0              0              0              
58	0	0	10981.1        0.55028        0.550287       0.55028        0.550287       0              0              0              0              
59	0	0	11066.8        0.553183       0.55318        0.553183       0.55318        0              0              0              0              
