i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	8603.98        0.431769       0.431775       0.431769       0.431775       0              0              
1	0	0	8650.98        0.432888       0.432892       0.432888       0.432892       0              0              
2	0	0	8657.66        0.434017       0.434022       0.434017       0.434022       0              0              
3	0	0	8708.57        0.43516        0.435166       0.43516        0.435166       0              0              
4	0	0	8723.91        0.436317       0.436323       0.436317       0.436323       0              0              
5	0	0	8770.62        0.437488       0.437493       0.437488       0.437493       0              0              
6	0	0	8750.55        0.438667       0.438674       0.438667       0.438674       0              0              
7	0	0	8802.24        0.439864       0.439868       0.439864       0.439868       0              0              
8	0	0	8789.16        0.44107        0.441074       0.44107        0.441074       0              0              
9	0	0	8820.96        0.442286       0.442292       0.442286       0.442292       0              0              
10	0	0	8862.7         0.443518       0.443525       0.443518       0.443525       0              0              
11	0	0	8863.81        0.444766       0.444771       0.444766       0.444771       0              0              
12	0	0	8930.17        0.446026       0.446034       0.446026       0.446034       0              0              
13	0	0	8922.41        0.447306       0.44731        0.447306       0.44731        0              0              
14	0	0	8970.78        0.448597       0.448602       0.448597       0.448602       0              0              
15	0	0	8996.77        0.449905       0.44991        0.449905       0.44991        0              0              
16	0	0	9015.66        0.451227       0.451231       0.451227       0.451231       0              0              
17	0	0	9046.32        0.452566       0.45257        0.452566       0.45257        0              0              
18	0	0	9049.48        0.453917       0.453922       0.453917       0.453922       0              0              
19	0	0	9089.83        0.455288       0.45529        0.455288       0.45529        0              0              
20	0	0	9114.85        0.456674       0.456676       0.456674       0.456676       0              0              
21	0	0	9161.88        0.458075       0.458079       0.458075       0.458079       0              0              
22	0	0	9188.2         0.459497       0.459502       0.459497       0.459502       0              0              
23	0	0	9203.08        0.460934       0.460941       0.460934       0.460941       0              0              
24	0	0	9244.74        0.462391       0.462398       0.462391       0.462398       0              0              
25	0	0	9267.34        0.463866       0.463872       0.463866       0.463872       0              0              
26	0	0	9271.5         0.465358       0.465365       0.465358       0.465365       0              0              
27	0	0	9343.5         0.46687        0.466877       0.46687        0.466877       0              0              
28	0	0	9360.11        0.468405       0.468411       0.468405       0.468411       0              0              
29	0	0	9399.66        0.469963       0.469964       0.469963       0.469964       0              0              
