i	j	k	Dose(Gy)       
0	0	0	4.29624e-09    
1	0	0	4.32702e-09    
2	0	0	4.3393e-09     
3	0	0	4.35574e-09    
4	0	0	4.36709e-09    
5	0	0	4.39196e-09    
6	0	0	4.38178e-09    
7	0	0	4.40453e-09    
8	0	0	4.40449e-09    
9	0	0	4.4161e-09     
10	0	0	4.43923e-09    
11	0	0	4.43743e-09    
12	0	0	4.46891e-09    
13	0	0	4.46681e-09    
14	0	0	4.49323e-09    
15	0	0	4.50219e-09    
16	0	0	4.51557e-09    
17	0	0	4.5261e-09     
18	0	0	4.53519e-09    
19	0	0	4.55406e-09    
20	0	0	4.5625e-09     
21	0	0	4.5844e-09     
22	0	0	4.60282e-09    
23	0	0	4.60589e-09    
24	0	0	4.63005e-09    
25	0	0	4.64099e-09    
26	0	0	4.64364e-09    
27	0	0	4.67369e-09    
28	0	0	4.68945e-09    
29	0	0	4.70535e-09    
30	0	0	4.71551e-09    
31	0	0	4.74357e-09    
32	0	0	4.74202e-09    
33	0	0	4.76501e-09    
34	0	0	4.76929e-09    
35	0	0	4.77822e-09    
36	0	0	4.81407e-09    
37	0	0	4.82606e-09    
38	0	0	4.86208e-09    
39	0	0	4.87517e-09    
40	0	0	4.8913e-09     
41	0	0	4.91573e-09    
42	0	0	4.92289e-09    
43	0	0	4.95008e-09    
44	0	0	4.96406e-09    
45	0	0	4.9699e-09     
46	0	0	5.00175e-09    
47	0	0	5.01125e-09    
48	0	0	5.04531e-09    
49	0	0	5.05377e-09    
50	0	0	5.08125e-09    
51	0	0	5.10376e-09    
52	0	0	5.12426e-09    
53	0	0	5.15242e-09    
54	0	0	5.17463e-09    
55	0	0	5.18662e-09    
56	0	0	5.21735e-09    
57	0	0	5.24372e-09    
58	0	0	5.26583e-09    
59	0	0	5.28609e-09    
60	0	0	5.30064e-09    
61	0	0	5.33929e-09    
62	0	0	5.35471e-09    
63	0	0	5.38929e-09    
64	0	0	5.40086e-09    
65	0	0	5.4305e-09     
66	0	0	5.48393e-09    
67	0	0	5.48909e-09    
68	0	0	5.52688e-09    
69	0	0	5.5548e-09     
70	0	0	5.58355e-09    
71	0	0	5.60135e-09    
72	0	0	5.64928e-09    
73	0	0	5.68407e-09    
74	0	0	5.70669e-09    
75	0	0	5.74621e-09    
76	0	0	5.77603e-09    
77	0	0	5.80958e-09    
78	0	0	5.85855e-09    
79	0	0	5.88558e-09    
80	0	0	5.92945e-09    
81	0	0	5.95838e-09    
82	0	0	6.00154e-09    
83	0	0	6.03461e-09    
84	0	0	6.07512e-09    
85	0	0	6.1193e-09     
86	0	0	6.16711e-09    
87	0	0	6.20437e-09    
88	0	0	6.25506e-09    
89	0	0	6.29722e-09    
90	0	0	6.34933e-09    
91	0	0	6.40387e-09    
92	0	0	6.44862e-09    
93	0	0	6.51852e-09    
94	0	0	6.56925e-09    
95	0	0	6.63284e-09    
96	0	0	6.68032e-09    
97	0	0	6.75366e-09    
98	0	0	6.808e-09      
99	0	0	6.86007e-09    
100	0	0	6.9364e-09     
101	0	0	7.00072e-09    
102	0	0	7.06096e-09    
103	0	0	7.14789e-09    
104	0	0	7.21445e-09    
105	0	0	7.29188e-09    
106	0	0	7.37916e-09    
107	0	0	7.46194e-09    
108	0	0	7.55145e-09    
109	0	0	7.63698e-09    
110	0	0	7.73906e-09    
111	0	0	7.83226e-09    
112	0	0	7.92282e-09    
113	0	0	8.0539e-09     
114	0	0	8.17372e-09    
115	0	0	8.28876e-09    
116	0	0	8.40608e-09    
117	0	0	8.54462e-09    
118	0	0	8.6876e-09     
119	0	0	8.84524e-09    
120	0	0	9.00053e-09    
121	0	0	9.18326e-09    
122	0	0	9.35671e-09    
123	0	0	9.56236e-09    
124	0	0	9.77926e-09    
125	0	0	9.99929e-09    
126	0	0	1.02411e-08    
127	0	0	1.05284e-08    
128	0	0	1.07964e-08    
129	0	0	1.11424e-08    
130	0	0	1.14984e-08    
131	0	0	1.19008e-08    
132	0	0	1.23489e-08    
133	0	0	1.28856e-08    
134	0	0	1.34881e-08    
135	0	0	1.42236e-08    
136	0	0	1.50977e-08    
137	0	0	1.61943e-08    
138	0	0	1.76714e-08    
139	0	0	1.97353e-08    
140	0	0	2.27244e-08    
141	0	0	2.65906e-08    
142	0	0	2.89474e-08    
143	0	0	2.69932e-08    
144	0	0	1.88642e-08    
145	0	0	9.90651e-09    
146	0	0	3.2939e-09     
147	0	0	7.1124e-10     
148	0	0	9.75482e-11    
149	0	0	4.3398e-12     
150	0	0	5.33258e-14    
151	0	0	6.41368e-14    
152	0	0	7.21192e-14    
153	0	0	4.10034e-14    
154	0	0	2.07355e-14    
155	0	0	6.89606e-15    
156	0	0	6.06753e-14    
157	0	0	4.80426e-15    
158	0	0	5.744e-15      
159	0	0	2.16412e-14    
160	0	0	3.11022e-14    
161	0	0	2.99874e-14    
162	0	0	2.78282e-14    
163	0	0	5.24554e-14    
164	0	0	1.12222e-15    
166	0	0	3.00284e-15    
168	0	0	2.59948e-14    
169	0	0	2.06782e-14    
171	0	0	2.19742e-14    
172	0	0	1.3028e-14     
174	0	0	3.80082e-15    
177	0	0	1.71949e-14    
178	0	0	3.51376e-15    
179	0	0	7.03018e-15    
181	0	0	2.56005e-15    
182	0	0	2.33376e-14    
183	0	0	4.1087e-15     
184	0	0	9.02899e-17    
185	0	0	1.25011e-14    
192	0	0	8.02785e-15    
196	0	0	3.78839e-16    
