i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9384.15        0.469932       0.46994        0.469932       0.46994        0              0              
1	0	0	9446.63        0.471506       0.471515       0.471506       0.471515       0              0              
2	0	0	9448.99        0.473102       0.473111       0.473102       0.473111       0              0              
3	0	0	9480.66        0.474716       0.474725       0.474716       0.474725       0              0              
4	0	0	9535.53        0.476354       0.476363       0.476354       0.476363       0              0              
5	0	0	9547.29        0.478016       0.478024       0.478016       0.478024       0              0              
6	0	0	9601.58        0.479698       0.479708       0.479698       0.479708       0              0              
7	0	0	9607.35        0.481404       0.481413       0.481404       0.481413       0              0              
8	0	0	9630.01        0.483131       0.483139       0.483131       0.483139       0              0              
9	0	0	9714.45        0.484887       0.484895       0.484887       0.484895       0              0              
10	0	0	9754.05        0.486668       0.48668        0.486668       0.48668        0              0              
11	0	0	9765.23        0.488477       0.488488       0.488477       0.488488       0              0              
12	0	0	9806.68        0.490308       0.490319       0.490308       0.490319       0              0              
13	0	0	9829.53        0.492169       0.492177       0.492169       0.492177       0              0              
14	0	0	9855.57        0.494052       0.494061       0.494052       0.494061       0              0              
15	0	0	9912.23        0.495963       0.495974       0.495963       0.495974       0              0              
16	0	0	9946.61        0.497909       0.497918       0.497909       0.497918       0              0              
17	0	0	9969.27        0.499883       0.499887       0.499883       0.499887       0              0              
18	0	0	10033.5        0.501881       0.501891       0.501881       0.501891       0              0              
19	0	0	10049.6        0.50391        0.503922       0.50391        0.503922       0              0              
20	0	0	10084.7        0.505973       0.505986       0.505973       0.505986       0              0              
21	0	0	10155.9        0.508072       0.508083       0.508072       0.508083       0              0              
22	0	0	10193.2        0.510201       0.510215       0.510201       0.510215       0              0              
23	0	0	10228.8        0.512372       0.512383       0.512372       0.512383       0              0              
24	0	0	10267.4        0.514573       0.514584       0.514573       0.514584       0              0              
25	0	0	10324.1        0.569808       0.516887       0.516816       0.516821       493.422        451.564        
26	0	0	10360          0.519087       0.519098       0.519087       0.519098       0              0              
27	0	0	10387.8        0.521399       0.52141        0.521399       0.52141        0              0              
28	0	0	10442.6        0.664392       0.523873       0.523748       0.52376        699.296        544.28         
29	0	0	10502.6        0.526139       0.526153       0.526139       0.526153       0              0              
30	0	0	10583.1        0.528584       0.528595       0.528584       0.528595       0              0              
31	0	0	10594.6        0.531062       0.531075       0.531062       0.531075       0              0              
32	0	0	10653.2        0.533592       0.533599       0.533592       0.533599       0              0              
33	0	0	10689.7        0.536156       0.536169       0.536156       0.536169       0              0              
34	0	0	10777          0.538778       0.53879        0.538778       0.53879        0              0              
35	0	0	10801.7        0.541449       0.541458       0.541449       0.541458       0              0              
36	0	0	10873.6        0.544167       0.544177       0.544167       0.544177       0              0              
37	0	0	10941.4        0.546939       0.546951       0.546939       0.546951       0              0              
38	0	0	10984.1        0.549766       0.549778       0.549766       0.549778       0              0              
39	0	0	11033.9        0.552646       0.552658       0.552646       0.552658       0              0              
40	0	0	11085.5        0.555582       0.555595       0.555582       0.555595       0              0              
41	0	0	11152          0.558582       0.558588       0.558582       0.558588       0              0              
42	0	0	11205.5        0.56164        0.561646       0.56164        0.561646       0              0              
43	0	0	11274.2        0.564754       0.564764       0.564754       0.564764       0              0              
44	0	0	11334.2        0.567941       0.56795        0.567941       0.56795        0              0              
45	0	0	11412.3        0.571194       0.571204       0.571194       0.571204       0              0              
46	0	0	11484.7        0.574524       0.574531       0.574524       0.574531       0              0              
47	0	0	11541.6        0.577926       0.577929       0.577926       0.577929       0              0              
48	0	0	11605          0.581394       0.581403       0.581394       0.581403       0              0              
49	0	0	11690.9        0.584948       0.584956       0.584948       0.584956       0              0              
50	0	0	11765.3        0.588581       0.588592       0.588581       0.588592       0              0              
51	0	0	11814.9        0.592308       0.59231        0.592308       0.59231        0              0              
52	0	0	11919.2        0.59611        0.596115       0.59611        0.596115       0              0              
53	0	0	11991.1        0.600015       0.600015       0.600015       0.600015       0              0              
54	0	0	12063.8        0.604005       0.60401        0.604005       0.60401        0              0              
55	0	0	12132.4        0.6081         0.608099       0.6081         0.608099       0              0              
56	0	0	12198.4        0.612291       0.612285       0.612291       0.612285       0              0              
57	0	0	12274.2        0.616586       0.616578       0.616586       0.616578       0              0              
58	0	0	12405.6        0.620998       0.620987       0.620998       0.620987       0              0              
59	0	0	12477.8        0.625521       0.625516       0.625521       0.625516       0              0              
60	0	0	12573.5        0.63017        0.630166       0.63017        0.630166       0              0              
61	0	0	12644.1        0.634942       0.634939       0.634942       0.634939       0              0              
62	0	0	12779.6        0.639852       0.639851       0.639852       0.639851       0              0              
63	0	0	12881.9        0.644912       0.644904       0.644912       0.644904       0              0              
64	0	0	13007.5        0.650134       0.650116       0.650134       0.650116       0              0              
65	0	0	13101.3        0.655502       0.655484       0.655502       0.655484       0              0              
66	0	0	13218.1        0.661024       0.661011       0.661024       0.661011       0              0              
67	0	0	13350.5        0.666729       0.666718       0.666729       0.666718       0              0              
68	0	0	13452.3        0.672624       0.672602       0.672624       0.672602       0              0              
69	0	0	13575.8        0.67869        0.678676       0.67869        0.678676       0              0              
70	0	0	13690.8        0.68499        0.684947       0.68499        0.684947       0              0              
71	0	0	13825.4        0.691468       0.691432       0.691468       0.691432       0              0              
72	0	0	13975.2        0.698182       0.698146       0.698182       0.698146       0              0              
73	0	0	14102.9        0.705138       0.705098       0.705138       0.705098       0              0              
74	0	0	14260          0.712351       0.712302       0.712351       0.712302       0              0              
75	0	0	14395.7        0.719814       0.719777       0.719814       0.719777       0              0              
76	0	0	14553.7        0.727594       0.727529       0.727594       0.727529       0              0              
77	0	0	14716.4        0.735664       0.73559        0.735664       0.73559        0              0              
78	0	0	14878.6        0.744048       0.743976       0.744048       0.743976       0              0              
79	0	0	15072.1        0.7528         0.752714       0.7528         0.752714       0              0              
80	0	0	15254.3        0.761935       0.761824       0.761935       0.761824       0              0              
81	0	0	15420.4        0.771438       0.771325       0.771438       0.771325       0              0              
82	0	0	15649.3        0.781387       0.781264       0.781387       0.781264       0              0              
83	0	0	15862.2        0.791813       0.791673       0.791813       0.791673       0              0              
84	0	0	16064.1        0.802712       0.802578       0.802712       0.802578       0              0              
85	0	0	16291.9        0.814167       0.814023       0.814167       0.814023       0              0              
86	0	0	16545.4        0.826246       0.826063       0.826246       0.826063       0              0              
87	0	0	16782.9        0.838945       0.838739       0.838945       0.838739       0              0              
88	0	0	17068.5        0.852329       0.852114       0.852329       0.852114       0              0              
89	0	0	17348.6        0.86654        0.866266       0.86654        0.866266       0              0              
90	0	0	17653          0.881574       0.881267       0.881574       0.881267       0              0              
91	0	0	17934.3        0.897516       0.897186       0.897516       0.897186       0              0              
92	0	0	18323.4        0.91456        0.91415        0.91456        0.91415        0              0              
93	0	0	18679.7        1.0022         0.932386       0.932745       0.93229        672.488        613.554        
94	0	0	19090.6        0.952258       0.951733       0.952258       0.951733       0              0              
95	0	0	19461.4        0.973212       0.97262        0.973212       0.97262        0              0              
96	0	0	19937          0.995847       0.995154       0.995847       0.995154       0              0              
97	0	0	20423.9        1.02037        1.01958        1.02037        1.01958        0              0              
98	0	0	20968          1.04714        1.04619        1.04714        1.04619        0              0              
99	0	0	21548          1.07645        1.07531        1.07645        1.07531        0              0              
100	0	0	22182.3        1.10881        1.10738        1.10881        1.10738        0              0              
101	0	0	22913.6        1.14472        1.14294        1.14472        1.14294        0              0              
102	0	0	23694.9        1.1849         1.18271        1.1849         1.18271        0              0              
103	0	0	24623.5        1.23052        1.2276         1.23052        1.2276         0              0              
104	0	0	25630.9        1.28329        1.27894        1.28329        1.27894        0              0              
105	0	0	26797          1.34558        1.33794        1.34558        1.33794        0              0              
