i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          
87	0	0	14931.4        0.74702        0.746927       0.74702        0.746927       0              0              
88	0	0	15123.5        0.755895       0.755785       0.755895       0.755785       0              0              
89	0	0	15322.9        0.76515        0.765032       0.76515        0.765032       0              0              
90	0	0	15485.8        0.774826       0.774674       0.774826       0.774674       0              0              
91	0	0	15707.4        0.784906       0.784764       0.784906       0.784764       0              0              
92	0	0	15930.1        0.795483       0.795339       0.795483       0.795339       0              0              
93	0	0	16140.5        0.806601       0.806425       0.806601       0.806425       0              0              
94	0	0	16371          0.818257       0.818066       0.818257       0.818066       0              0              
95	0	0	16618          0.830545       0.830311       0.830545       0.830311       0              0              
96	0	0	16870.9        0.843466       0.843212       0.843466       0.843212       0              0              
97	0	0	17170.1        0.857129       0.856853       0.857129       0.856853       0              0              
98	0	0	17459.3        0.871636       0.871294       0.871636       0.871294       0              0              
99	0	0	17765.4        0.886994       0.886616       0.886994       0.886616       0              0              
100	0	0	18091.8        0.903317       0.902905       0.903317       0.902905       0              0              
101	0	0	18426.8        0.920742       0.920268       0.920742       0.920268       0              0              
102	0	0	18797.1        0.939399       0.938827       0.939399       0.938827       0              0              
103	0	0	19200.2        0.959363       0.958736       0.959363       0.958736       0              0              
104	0	0	19640.7        0.980951       0.98018        0.980951       0.98018        0              0              
105	0	0	20090.6        1.00426        1.00334        1.00426        1.00334        0              0              
106	0	0	20612.9        1.02954        1.02851        1.02954        1.02851        0              0              
107	0	0	21131.5        1.0572         1.05594        1.0572         1.05594        0              0              
108	0	0	21744.9        1.08745        1.08602        1.08745        1.08602        0              0              
109	0	0	22428.3        1.14655        1.11929        1.12104        1.11925        503.644        413.425        
110	0	0	23183.1        1.15841        1.15622        1.15841        1.15622        0              0              
111	0	0	24009          1.20046        1.19769        1.20046        1.19769        0              0              
112	0	0	24943.5        1.24816        1.24465        1.24816        1.24465        0              0              
113	0	0	26031.8        1.30307        1.29851        1.30307        1.29851        0              0              
114	0	0	27281.6        1.36728        1.36117        1.36728        1.36117        0              0              
115	0	0	28792.5        1.46464        1.43557        1.44409        1.4355         508.293        444.557        
116	0	0	30626.3        1.53872        1.52598        1.53872        1.52598        0              0              
117	0	0	32900.6        1.6612         1.64013        1.6612         1.64013        0              0              
118	0	0	35980.8        1.85092        1.79314        1.85092        1.79314        0              0              
119	0	0	40332.6        2.15044        2.01266        2.15044        2.01266        0              0              
120	0	0	47187.7        2.88952        2.37616        2.88952        2.37616        0              0              
121	0	0	56193          4.31824        2.96547        4.30582        2.96539        539.2          442.585        
122	0	0	61670.7        6.27306        3.81214        6.27306        3.81214        0              0              
123	0	0	53676.8        8.39582        4.84124        8.39582        4.84124        0              0              
124	0	0	32055.9        10.431         5.97574        10.431         5.97574        0              0              
125	0	0	11281.8        12.2142        7.04665        12.2142        7.04665        0              0              
126	0	0	2309.25        13.1881        7.79273        13.1881        7.79273        0              0              
127	0	0	292.086        14.9326        9.03357        14.9326        9.03357        0              0              
128	0	0	19.0593        16.1996        10.9618        16.1996        10.9618        0              0              
129	0	0	0              0              0              0              0              0              0              
130	0	0	0              0              0              0              0              0              0              
131	0	0	0              0              0              0              0              0              0              
132	0	0	0              0              0              0              0              0              0              
133	0	0	0              0              0              0              0              0              0              
134	0	0	0              0              0              0              0              0              0              
135	0	0	0              0              0              0              0              0              0              
136	0	0	0              0              0              0              0              0              0              
137	0	0	0              0              0              0              0              0              0              
138	0	0	0              0              0              0              0              0              0              
139	0	0	0              0              0              0              0              0              0              
140	0	0	0              0              0              0              0              0              0              
141	0	0	0              0              0              0              0              0              0              
142	0	0	0              0              0              0              0              0              0              
143	0	0	0              0              0              0              0              0              0              
144	0	0	0              0              0              0              0              0              0              
145	0	0	0              0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              
167	0	0	0              0              0              0              0              0              0              
168	0	0	0              0              0              0              0              0              0              
169	0	0	0              0              0              0              0              0              0              
170	0	0	0              0              0              0              0              0              0              
171	0	0	0              0              0              0              0              0              0              
172	0	0	0              0              0              0              0              0              0              
173	0	0	0              0              0              0              0              0              0              
174	0	0	0              0              0              0              0              0              0              
