i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	8704.28        0.434381       0.434386       0.434381       0.434386       0              0              
1	0	0	8729.28        0.43553        0.435536       0.43553        0.435536       0              0              
2	0	0	8728.22        0.436692       0.436697       0.436692       0.436697       0              0              
3	0	0	8749.58        0.437863       0.437869       0.437863       0.437869       0              0              
4	0	0	8782.51        0.43905        0.439055       0.43905        0.439055       0              0              
5	0	0	8811.82        0.440249       0.440255       0.440249       0.440255       0              0              
6	0	0	8794.83        0.441459       0.441465       0.441459       0.441465       0              0              
7	0	0	8849.6         0.442682       0.442689       0.442682       0.442689       0              0              
8	0	0	8878.16        0.443922       0.443928       0.443922       0.443928       0              0              
9	0	0	8903.05        0.445176       0.445182       0.445176       0.445182       0              0              
10	0	0	8924.68        0.446445       0.446449       0.446445       0.446449       0              0              
11	0	0	8928.57        0.447725       0.44773        0.447725       0.44773        0              0              
12	0	0	8991.6         0.449023       0.449027       0.449023       0.449027       0              0              
13	0	0	9002.58        0.450336       0.45034        0.450336       0.45034        0              0              
14	0	0	9036.18        0.451664       0.451669       0.451664       0.451669       0              0              
15	0	0	9050.01        0.453006       0.453012       0.453006       0.453012       0              0              
16	0	0	9096.66        0.45437        0.454374       0.45437        0.454374       0              0              
17	0	0	9103.44        0.455742       0.45575        0.455742       0.45575        0              0              
18	0	0	9124.33        0.457136       0.457141       0.457136       0.457141       0              0              
19	0	0	9166.62        0.458544       0.45855        0.458544       0.45855        0              0              
20	0	0	9200.68        0.459971       0.459978       0.459971       0.459978       0              0              
21	0	0	9217.96        0.461418       0.461424       0.461418       0.461424       0              0              
22	0	0	9254.69        0.462881       0.462886       0.462881       0.462886       0              0              
23	0	0	9304.5         0.464367       0.464371       0.464367       0.464371       0              0              
24	0	0	9327.01        0.465872       0.465875       0.465872       0.465875       0              0              
25	0	0	9322.47        0.46739        0.467394       0.46739        0.467394       0              0              
26	0	0	9365.15        0.468925       0.468932       0.468925       0.468932       0              0              
27	0	0	9407.52        0.470484       0.470492       0.470484       0.470492       0              0              
28	0	0	9437.55        0.472064       0.472074       0.472064       0.472074       0              0              
29	0	0	9463.59        0.47367        0.473675       0.47367        0.473675       0              0              
30	0	0	9486.05        0.475293       0.475296       0.475293       0.475296       0              0              
31	0	0	9540.11        0.476936       0.476942       0.476936       0.476942       0              0              
32	0	0	9562.29        0.478605       0.47861        0.478605       0.47861        0              0              
33	0	0	9613.35        0.480294       0.480302       0.480294       0.480302       0              0              
34	0	0	9641.28        0.482012       0.482018       0.482012       0.482018       0              0              
35	0	0	9667.16        0.483755       0.483758       0.483755       0.483758       0              0              
36	0	0	9705.94        0.485513       0.485522       0.485513       0.485522       0              0              
37	0	0	9726.93        0.487309       0.487309       0.487309       0.487309       0              0              
38	0	0	9774.36        0.489116       0.489122       0.489116       0.489122       0              0              
39	0	0	9809.45        0.490961       0.490963       0.490961       0.490963       0              0              
40	0	0	9848.16        0.492826       0.492831       0.492826       0.492831       0              0              
41	0	0	9874.92        0.494722       0.494726       0.494722       0.494726       0              0              
42	0	0	9937.66        0.496643       0.496651       0.496643       0.496651       0              0              
43	0	0	9953.58        0.498598       0.498604       0.498598       0.498604       0              0              
44	0	0	10001.2        0.500583       0.500586       0.500583       0.500586       0              0              
45	0	0	10054          0.502599       0.502602       0.502599       0.502602       0              0              
46	0	0	10067.7        0.50464        0.504647       0.50464        0.504647       0              0              
47	0	0	10130.3        0.506723       0.506724       0.506723       0.506724       0              0              
48	0	0	10162.2        0.508838       0.508836       0.508838       0.508836       0              0              
49	0	0	10182.2        0.510973       0.510976       0.510973       0.510976       0              0              
50	0	0	10234          0.513145       0.513154       0.513145       0.513154       0              0              
51	0	0	10270.9        0.515362       0.515364       0.515362       0.515364       0              0              
52	0	0	10332.4        0.517611       0.517613       0.517611       0.517613       0              0              
53	0	0	10393          0.51991        0.519905       0.51991        0.519905       0              0              
54	0	0	10445.8        0.522237       0.522238       0.522237       0.522238       0              0              
55	0	0	10479          0.524606       0.524609       0.524606       0.524609       0              0              
56	0	0	10547.6        0.527029       0.527023       0.527029       0.527023       0              0              
57	0	0	10550.1        0.529473       0.529475       0.529473       0.529475       0              0              
58	0	0	10624.6        0.531966       0.531971       0.531966       0.531971       0              0              
59	0	0	10688.9        0.534513       0.534515       0.534513       0.534515       0              0              
60	0	0	10729.1        0.537105       0.537106       0.537105       0.537106       0              0              
61	0	0	10802.3        0.539749       0.539747       0.539749       0.539747       0              0              
62	0	0	10862.3        0.542444       0.542441       0.542444       0.542441       0              0              
63	0	0	10901.1        0.545188       0.545184       0.545188       0.545184       0              0              
64	0	0	10945.3        0.547982       0.547975       0.547982       0.547975       0              0              
65	0	0	11015.6        0.550824       0.550824       0.550824       0.550824       0              0              
66	0	0	11064.2        0.553727       0.553727       0.553727       0.553727       0              0              
67	0	0	11131.4        0.556694       0.556688       0.556694       0.556688       0              0              
68	0	0	11167.6        0.559717       0.559707       0.559717       0.559707       0              0              
69	0	0	11247.6        0.562796       0.56279        0.562796       0.56279        0              0              
70	0	0	11285.1        0.56593        0.565932       0.56593        0.565932       0              0              
71	0	0	11370.2        0.569157       0.569145       0.569157       0.569145       0              0              
72	0	0	11418.8        0.572434       0.572425       0.572434       0.572425       0              0              
73	0	0	11502.2        0.575776       0.575773       0.575776       0.575773       0              0              
74	0	0	11591.6        0.579212       0.579203       0.579212       0.579203       0              0              
75	0	0	11642.2        0.582728       0.582709       0.582728       0.582709       0              0              
76	0	0	11712.8        0.586307       0.586296       0.586307       0.586296       0              0              
77	0	0	11765.3        0.589974       0.589957       0.589974       0.589957       0              0              
78	0	0	11855.4        0.593718       0.593705       0.593718       0.593705       0              0              
79	0	0	11941.1        0.597562       0.597547       0.597562       0.597547       0              0              
80	0	0	11997.6        0.601496       0.601476       0.601496       0.601476       0              0              
81	0	0	12093.7        0.60552        0.605505       0.60552        0.605505       0              0              
82	0	0	12186.6        0.609655       0.609638       0.609655       0.609638       0              0              
83	0	0	12255          0.613901       0.613873       0.613901       0.613873       0              0              
84	0	0	12338.6        0.618246       0.618218       0.618246       0.618218       0              0              
85	0	0	12412.4        0.622696       0.622669       0.622696       0.622669       0              0              
86	0	0	12529.4        0.627293       0.627244       0.627293       0.627244       0              0              
87	0	0	12603.7        0.631973       0.631944       0.631973       0.631944       0              0              
88	0	0	12723.7        0.636818       0.636772       0.636818       0.636772       0              0              
89	0	0	12833.6        0.641792       0.64175        0.641792       0.64175        0              0              
90	0	0	12933.9        0.646905       0.646867       0.646905       0.646867       0              0              
91	0	0	13052          0.652192       0.652142       0.652192       0.652142       0              0              
92	0	0	13158.8        0.657636       0.657574       0.657636       0.657574       0              0              
93	0	0	13241.6        0.663236       0.663168       0.663236       0.663168       0              0              
94	0	0	13365.8        0.668977       0.668931       0.668977       0.668931       0              0              
95	0	0	13494.8        0.674949       0.674883       0.674949       0.674883       0              0              
96	0	0	13613.5        0.681106       0.681033       0.681106       0.681033       0              0              
97	0	0	13731.3        0.687459       0.687381       0.687459       0.687381       0              0              
98	0	0	13880.4        0.694024       0.69395        0.694024       0.69395        0              0              
99	0	0	14021.3        0.700839       0.700751       0.700839       0.700751       0              0              
100	0	0	14165.4        0.707914       0.707802       0.707914       0.707802       0              0              
101	0	0	14291.8        0.7152         0.715104       0.7152         0.715104       0              0              
102	0	0	14434.6        0.722785       0.722671       0.722785       0.722671       0              0              
103	0	0	14635.8        0.730652       0.730547       0.730652       0.730547       0              0              
104	0	0	14759.1        0.738871       0.738729       0.738871       0.738729       0              0              
105	0	0	14959.6        0.778977       0.747293       0.747402       0.747246       467.592        388.262        
106	0	0	15122.6        0.756274       0.756118       0.756274       0.756118       0              0              
107	0	0	15301.5        0.765546       0.765371       0.765546       0.765371       0              0              
108	0	0	15518.7        0.775237       0.77504        0.775237       0.77504        0              0              
109	0	0	15748.3        0.785394       0.785169       0.785394       0.785169       0              0              
110	0	0	15931          0.796001       0.79577        0.796001       0.79577        0              0              
111	0	0	16154.7        0.807153       0.80688        0.807153       0.80688        0              0              
112	0	0	16374.2        0.818853       0.818552       0.818853       0.818552       0              0              
113	0	0	16645.5        0.831145       0.830837       0.831145       0.830837       0              0              
114	0	0	16868.7        0.844155       0.843774       0.844155       0.843774       0              0              
115	0	0	17170.6        0.857824       0.857443       0.857824       0.857443       0              0              
116	0	0	17486.4        0.872415       0.871935       0.872415       0.871935       0              0              
117	0	0	17757.3        0.887809       0.887294       0.887809       0.887294       0              0              
118	0	0	18090.4        0.904213       0.903625       0.904213       0.903625       0              0              
119	0	0	18442.4        0.921727       0.921041       0.921727       0.921041       0              0              
120	0	0	18835.7        0.940465       0.939686       0.940465       0.939686       0              0              
121	0	0	19226.5        0.96057        0.959691       0.96057        0.959691       0              0              
122	0	0	19634.6        0.982263       0.981222       0.982263       0.981222       0              0              
123	0	0	20100.8        1.00566        1.00448        1.00566        1.00448        0              0              
124	0	0	20598.9        1.03116        1.02974        1.03116        1.02974        0              0              
125	0	0	21185.1        1.059          1.05732        1.059          1.05732        0              0              
126	0	0	21786.3        1.08958        1.08762        1.08958        1.08762        0              0              
127	0	0	22474.2        1.12344        1.1211         1.12344        1.1211         0              0              
128	0	0	23216.5        1.16133        1.15836        1.16133        1.15836        0              0              
129	0	0	24056          1.2038         1.20021        1.2038         1.20021        0              0              
130	0	0	24994.2        1.25233        1.24767        1.25233        1.24767        0              0              
131	0	0	26123          1.30823        1.30222        1.30823        1.30222        0              0              
132	0	0	27391.6        1.37405        1.3659         1.37405        1.3659         0              0              
133	0	0	28908.1        1.45325        1.44171        1.45325        1.44171        0              0              
134	0	0	30772.3        1.55193        1.53451        1.55193        1.53451        0              0              
135	0	0	33174.9        1.68541        1.65314        1.68541        1.65314        0              0              
136	0	0	36435.2        1.90763        1.81616        1.90763        1.81616        0              0              
137	0	0	41089.5        2.31686        2.05466        2.31686        2.05466        0              0              
138	0	0	47853.9        3.17691        2.43445        3.16492        2.43439        503.153        437.666        
139	0	0	55651.9        4.60761        3.01503        4.60761        3.01503        0              0              
140	0	0	58224.6        6.34135        3.76128        6.34135        3.76128        0              0              
141	0	0	49903          8.12504        4.62837        8.12504        4.62837        0              0              
142	0	0	31510.3        9.72432        5.50469        9.70774        5.50452        488.926        399.022        
143	0	0	14160.7        11.399         6.53279        11.399         6.53279        0              0              
144	0	0	3705.14        12.3568        7.14278        12.3568        7.14278        0              0              
145	0	0	738.723        14.0241        8.31149        14.0241        8.31149        0              0              
146	0	0	72.7751        16.5652        9.43142        16.5652        9.43142        0              0              
147	0	0	6.76147        16.0785        10.9868        16.0785        10.9868        0              0              
148	0	0	0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              
