i	j	k	Dose(Gy)       
0	0	0	4.47346e-09    
1	0	0	4.50376e-09    
2	0	0	4.50997e-09    
3	0	0	4.51859e-09    
4	0	0	4.54184e-09    
5	0	0	4.56246e-09    
6	0	0	4.56663e-09    
7	0	0	4.57179e-09    
8	0	0	4.5968e-09     
9	0	0	4.59827e-09    
10	0	0	4.61137e-09    
11	0	0	4.63505e-09    
12	0	0	4.66277e-09    
13	0	0	4.6549e-09     
14	0	0	4.68028e-09    
15	0	0	4.69323e-09    
16	0	0	4.71239e-09    
17	0	0	4.74103e-09    
18	0	0	4.74576e-09    
19	0	0	4.7554e-09     
20	0	0	4.76568e-09    
21	0	0	4.78526e-09    
22	0	0	4.81041e-09    
23	0	0	4.82075e-09    
24	0	0	4.84695e-09    
25	0	0	4.85045e-09    
26	0	0	4.88287e-09    
27	0	0	4.89613e-09    
28	0	0	4.9343e-09     
29	0	0	4.92935e-09    
30	0	0	4.96358e-09    
31	0	0	4.96749e-09    
32	0	0	4.99564e-09    
33	0	0	5.01873e-09    
34	0	0	5.03947e-09    
35	0	0	5.05102e-09    
36	0	0	5.07679e-09    
37	0	0	5.0976e-09     
38	0	0	5.1045e-09     
39	0	0	5.14395e-09    
40	0	0	5.1559e-09     
41	0	0	5.17763e-09    
42	0	0	5.20059e-09    
43	0	0	5.23077e-09    
44	0	0	5.24807e-09    
45	0	0	5.27398e-09    
46	0	0	5.3118e-09     
47	0	0	5.32273e-09    
48	0	0	5.35219e-09    
49	0	0	5.37626e-09    
50	0	0	5.40283e-09    
51	0	0	5.42931e-09    
52	0	0	5.44707e-09    
53	0	0	5.47886e-09    
54	0	0	5.51303e-09    
55	0	0	5.54174e-09    
56	0	0	5.5762e-09     
57	0	0	5.61548e-09    
58	0	0	5.62565e-09    
59	0	0	5.68112e-09    
60	0	0	5.70952e-09    
61	0	0	5.73885e-09    
62	0	0	5.76052e-09    
63	0	0	5.81156e-09    
64	0	0	5.83485e-09    
65	0	0	5.87852e-09    
66	0	0	5.90867e-09    
67	0	0	5.93881e-09    
68	0	0	5.99177e-09    
69	0	0	6.0283e-09     
70	0	0	6.07034e-09    
71	0	0	6.11034e-09    
72	0	0	6.14596e-09    
73	0	0	6.19867e-09    
74	0	0	6.23985e-09    
75	0	0	6.27609e-09    
76	0	0	6.32567e-09    
77	0	0	6.38562e-09    
78	0	0	6.433e-09      
79	0	0	6.50361e-09    
80	0	0	6.55732e-09    
81	0	0	6.60998e-09    
82	0	0	6.65681e-09    
83	0	0	6.71812e-09    
84	0	0	6.78578e-09    
85	0	0	6.83209e-09    
86	0	0	6.91188e-09    
87	0	0	6.95842e-09    
88	0	0	7.03713e-09    
89	0	0	7.10334e-09    
90	0	0	7.17927e-09    
91	0	0	7.26038e-09    
92	0	0	7.34741e-09    
93	0	0	7.4243e-09     
94	0	0	7.53527e-09    
95	0	0	7.60213e-09    
96	0	0	7.70721e-09    
97	0	0	7.81481e-09    
98	0	0	7.91429e-09    
99	0	0	8.01917e-09    
100	0	0	8.11543e-09    
101	0	0	8.22677e-09    
102	0	0	8.3677e-09     
103	0	0	8.50616e-09    
104	0	0	8.63894e-09    
105	0	0	8.78392e-09    
