i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9083.31        0.454088       0.454096       0.454088       0.454096       0              0              
1	0	0	9100.54        0.455462       0.455468       0.455462       0.455468       0              0              
2	0	0	9156.6         0.456852       0.456861       0.456852       0.456861       0              0              
3	0	0	9166.56        0.458261       0.458269       0.458261       0.458269       0              0              
4	0	0	9218.47        0.459689       0.459697       0.459689       0.459697       0              0              
5	0	0	9230.54        0.461133       0.46114        0.461133       0.46114        0              0              
6	0	0	9249.11        0.462593       0.462603       0.462593       0.462603       0              0              
7	0	0	9285.25        0.464073       0.464081       0.464073       0.464081       0              0              
8	0	0	9293.86        0.46557        0.465577       0.46557        0.465577       0              0              
9	0	0	9316.56        0.467084       0.46709        0.467084       0.46709        0              0              
10	0	0	9355.67        0.468618       0.468625       0.468618       0.468625       0              0              
11	0	0	9390.94        0.47017        0.470178       0.47017        0.470178       0              0              
12	0	0	9444.97        0.47175        0.471757       0.47175        0.471757       0              0              
13	0	0	9465.47        0.473348       0.473356       0.473348       0.473356       0              0              
14	0	0	9497.88        0.474967       0.474976       0.474967       0.474976       0              0              
15	0	0	9516.32        0.476609       0.476616       0.476609       0.476616       0              0              
16	0	0	9541.74        0.47827        0.478276       0.47827        0.478276       0              0              
17	0	0	9583.91        0.479953       0.479962       0.479953       0.479962       0              0              
18	0	0	9611.34        0.481663       0.481669       0.481663       0.481669       0              0              
19	0	0	9657.77        0.483395       0.483401       0.483395       0.483401       0              0              
20	0	0	9695.13        0.485155       0.485158       0.485155       0.485158       0              0              
21	0	0	9721.69        0.486933       0.486942       0.486933       0.486942       0              0              
22	0	0	9780.81        0.48874        0.488752       0.48874        0.488752       0              0              
23	0	0	9779.12        0.490579       0.490585       0.490579       0.490585       0              0              
24	0	0	9840.12        0.492434       0.492444       0.492434       0.492444       0              0              
25	0	0	9885.11        0.494328       0.494335       0.494328       0.494335       0              0              
26	0	0	9925.72        0.496251       0.496256       0.496251       0.496256       0              0              
27	0	0	9958.91        0.498199       0.498204       0.498199       0.498204       0              0              
28	0	0	9983.36        0.500177       0.500181       0.500177       0.500181       0              0              
29	0	0	10059.1        0.502181       0.502192       0.502181       0.502192       0              0              
30	0	0	10090.5        0.504227       0.504234       0.504227       0.504234       0              0              
31	0	0	10119.3        0.5063         0.506307       0.5063         0.506307       0              0              
32	0	0	10147.3        0.5084         0.50841        0.5084         0.50841        0              0              
33	0	0	10207.9        0.510541       0.510549       0.510541       0.510549       0              0              
34	0	0	10245.5        0.512715       0.512724       0.512715       0.512724       0              0              
35	0	0	10316.3        0.514934       0.514935       0.514934       0.514935       0              0              
36	0	0	10333.1        0.517176       0.517183       0.517176       0.517183       0              0              
37	0	0	10404.3        0.519468       0.519471       0.519468       0.519471       0              0              
38	0	0	10423.1        0.521794       0.521796       0.521794       0.521796       0              0              
39	0	0	10483.5        0.524152       0.524161       0.524152       0.524161       0              0              
40	0	0	10526.8        0.526555       0.526566       0.526555       0.526566       0              0              
41	0	0	10553.4        0.529007       0.52901        0.529007       0.52901        0              0              
42	0	0	10613.7        0.531495       0.5315         0.531495       0.5315         0              0              
43	0	0	10662          0.534027       0.534033       0.534027       0.534033       0              0              
44	0	0	10737          0.53661        0.536616       0.53661        0.536616       0              0              
45	0	0	10768          0.539238       0.539245       0.539238       0.539245       0              0              
46	0	0	10798.6        0.541908       0.541917       0.541908       0.541917       0              0              
47	0	0	10874.5        0.544637       0.544643       0.544637       0.544643       0              0              
48	0	0	10926.2        0.54741        0.547423       0.54741        0.547423       0              0              
49	0	0	10997.5        0.550256       0.550256       0.550256       0.550256       0              0              
50	0	0	11050.3        0.55314        0.553147       0.55314        0.553147       0              0              
51	0	0	11101.8        0.556084       0.556094       0.556084       0.556094       0              0              
52	0	0	11138.6        0.559089       0.559096       0.559089       0.559096       0              0              
53	0	0	11213.1        0.562154       0.562159       0.562154       0.562159       0              0              
54	0	0	11285          0.565289       0.565287       0.565289       0.565287       0              0              
55	0	0	11333          0.568481       0.568485       0.568481       0.568485       0              0              
