i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	8958.23        0.448184       0.44819        0.448184       0.44819        0              0              0              0              
1	0	0	8995.44        0.449487       0.449493       0.449487       0.449493       0              0              0              0              
2	0	0	9005.02        0.450805       0.450811       0.450805       0.450811       0              0              0              0              
3	0	0	9016.28        0.502363       0.452199       0.452136       0.452144       0              0              459.724        396.872        
4	0	0	9081.74        0.453488       0.453492       0.453488       0.453492       0              0              0              0              
5	0	0	9106.4         0.454853       0.45486        0.454853       0.45486        0              0              0              0              
6	0	0	9128.17        0.456237       0.456243       0.456237       0.456243       0              0              0              0              
7	0	0	9127.49        0.457633       0.457641       0.457633       0.457641       0              0              0              0              
8	0	0	9186.93        0.45905        0.459058       0.45905        0.459058       0              0              0              0              
9	0	0	9177.68        0.46048        0.460488       0.46048        0.460488       0              0              0              0              
10	0	0	9210.91        0.461929       0.461936       0.461929       0.461936       0              0              0              0              
11	0	0	9263.21        0.463399       0.463405       0.463399       0.463405       0              0              0              0              
12	0	0	9306.32        0.464888       0.464895       0.464888       0.464895       0              0              0              0              
13	0	0	9298.76        0.466394       0.466401       0.466394       0.466401       0              0              0              0              
14	0	0	9347.41        0.467917       0.467926       0.467917       0.467926       0              0              0              0              
15	0	0	9369.2         0.469465       0.469472       0.469465       0.469472       0              0              0              0              
16	0	0	9415.84        0.471031       0.471037       0.471031       0.471037       0              0              0              0              
17	0	0	9474.2         0.472622       0.472629       0.472622       0.472629       0              0              0              0              
18	0	0	9474.29        0.474231       0.474239       0.474231       0.474239       0              0              0              0              
19	0	0	9497.47        0.475863       0.475869       0.475863       0.475869       0              0              0              0              
20	0	0	9523.25        0.477514       0.477518       0.477514       0.477518       0              0              0              0              
21	0	0	9554.87        0.479182       0.479191       0.479182       0.479191       0              0              0              0              
22	0	0	9603.9         0.48088        0.480888       0.48088        0.480888       0              0              0              0              
23	0	0	9628.38        0.4826         0.482608       0.4826         0.482608       0              0              0              0              
24	0	0	9674.74        0.484347       0.484353       0.484347       0.484353       0              0              0              0              
25	0	0	9693.43        0.486117       0.486122       0.486117       0.486122       0              0              0              0              
26	0	0	9744.42        0.487909       0.487917       0.487909       0.487917       0              0              0              0              
27	0	0	9788.69        0.489735       0.48974        0.489735       0.48974        0              0              0              0              
28	0	0	9851.52        0.491583       0.491595       0.491583       0.491595       0              0              0              0              
29	0	0	9856.02        0.493461       0.493473       0.493461       0.493473       0              0              0              0              
30	0	0	9899.71        0.49537        0.495378       0.49537        0.495378       0              0              0              0              
31	0	0	9932.2         0.497301       0.497311       0.497301       0.497311       0              0              0              0              
32	0	0	9977.75        0.499265       0.499274       0.499265       0.499274       0              0              0              0              
33	0	0	10013.9        0.50126        0.501268       0.50126        0.501268       0              0              0              0              
34	0	0	10076.2        0.503289       0.503295       0.503289       0.503295       0              0              0              0              
35	0	0	10081.4        0.505339       0.505352       0.505339       0.505352       0              0              0              0              
36	0	0	10140.2        0.507433       0.50744        0.507433       0.50744        0              0              0              0              
37	0	0	10180.9        0.50955        0.509562       0.50955        0.509562       0              0              0              0              
38	0	0	10196.5        0.511708       0.511715       0.511708       0.511715       0              0              0              0              
39	0	0	10272.4        0.513902       0.513906       0.513902       0.513906       0              0              0              0              
40	0	0	10297.9        0.516125       0.516134       0.516125       0.516134       0              0              0              0              
41	0	0	10343.2        0.518393       0.518396       0.518393       0.518396       0              0              0              0              
42	0	0	10382.5        0.520693       0.520696       0.520693       0.520696       0              0              0              0              
43	0	0	10447.7        0.523037       0.523038       0.523037       0.523038       0              0              0              0              
44	0	0	10488.1        0.525419       0.525422       0.525419       0.525422       0              0              0              0              
45	0	0	10525.1        0.527844       0.527844       0.527844       0.527844       0              0              0              0              
46	0	0	10612          0.530311       0.530314       0.530311       0.530314       0              0              0              0              
47	0	0	10630.6        0.532826       0.532826       0.532826       0.532826       0              0              0              0              
48	0	0	10686          0.535383       0.535382       0.535383       0.535382       0              0              0              0              
49	0	0	10729.7        0.540898       0.53841        0.53798        0.537986       3.62585        3.51259        0              0              
50	0	0	10800.8        0.55127        0.541057       0.540633       0.540638       13.6979        9.14702        0              0              
51	0	0	10839.1        0.543334       0.543341       0.543334       0.543341       0              0              0              0              
52	0	0	10884.9        0.546092       0.546091       0.546092       0.546091       0              0              0              0              
53	0	0	10943.6        0.548891       0.548893       0.548891       0.548893       0              0              0              0              
54	0	0	11007.8        0.551751       0.551753       0.551751       0.551753       0              0              0              0              
55	0	0	11064.8        0.554664       0.55467        0.554664       0.55467        0              0              0              0              
56	0	0	11146.5        0.557647       0.557648       0.557647       0.557648       0              0              0              0              
57	0	0	11212.4        0.560691       0.56069        0.560691       0.56069        0              0              0              0              
58	0	0	11233.5        0.563794       0.56379        0.563794       0.56379        0              0              0              0              
59	0	0	11349.4        0.566972       0.566958       0.566972       0.566958       0              0              0              0              
60	0	0	11398.5        0.570189       0.570197       0.570189       0.570197       0              0              0              0              
61	0	0	11456.8        0.573499       0.573503       0.573499       0.573503       0              0              0              0              
62	0	0	11516          0.576886       0.576877       0.576886       0.576877       0              0              0              0              
63	0	0	11597.4        0.580329       0.58033        0.580329       0.58033        0              0              0              0              
64	0	0	11663.8        0.583867       0.583857       0.583867       0.583857       0              0              0              0              
65	0	0	11731.5        0.587475       0.587466       0.587475       0.587466       0              0              0              0              
66	0	0	11800.6        0.591164       0.591157       0.591164       0.591157       0              0              0              0              
67	0	0	11864          0.59494        0.594932       0.59494        0.594932       0              0              0              0              
68	0	0	11967.8        0.598804       0.598801       0.598804       0.598801       0              0              0              0              
69	0	0	12043.6        0.602785       0.602766       0.602785       0.602766       0              0              0              0              
70	0	0	12114.3        0.60684        0.606828       0.60684        0.606828       0              0              0              0              
71	0	0	12214          0.611002       0.610993       0.611002       0.610993       0              0              0              0              
72	0	0	12266.5        0.615279       0.615258       0.615279       0.615258       0              0              0              0              
73	0	0	12378.8        0.619656       0.61964        0.619656       0.61964        0              0              0              0              
74	0	0	12463.4        0.624156       0.624136       0.624156       0.624136       0              0              0              0              
75	0	0	12539.8        0.628776       0.628747       0.628776       0.628747       0              0              0              0              
76	0	0	12631.3        0.63352        0.633484       0.63352        0.633484       0              0              0              0              
77	0	0	12753.7        0.638375       0.63836        0.638375       0.63836        0              0              0              0              
78	0	0	12847.1        0.643406       0.643371       0.643406       0.643371       0              0              0              0              
79	0	0	12991.3        0.648573       0.648543       0.648573       0.648543       0              0              0              0              
80	0	0	13096.6        0.653908       0.65387        0.653908       0.65387        0              0              0              0              
81	0	0	13199.4        0.659392       0.659361       0.659392       0.659361       0              0              0              0              
82	0	0	13295.1        0.665059       0.665013       0.665059       0.665013       0              0              0              0              
83	0	0	13418.9        0.670885       0.670841       0.670885       0.670841       0              0              0              0              
84	0	0	13557.4        0.676914       0.676861       0.676914       0.676861       0              0              0              0              
85	0	0	13639.3        0.683132       0.683075       0.683132       0.683075       0              0              0              0              
86	0	0	13804.3        0.689573       0.6895         0.689573       0.6895         0              0              0              0              
87	0	0	13896.5        0.696245       0.696142       0.696245       0.696142       0              0              0              0              
88	0	0	14057.7        0.703094       0.703012       0.703094       0.703012       0              0              0              0              
89	0	0	14186.4        0.710226       0.710133       0.710226       0.710133       0              0              0              0              
90	0	0	14338.9        0.717611       0.717518       0.717611       0.717518       0              0              0              0              
91	0	0	14499.2        0.725272       0.725184       0.725272       0.725184       0              0              0              0              
92	0	0	14668.1        0.73324        0.733151       0.73324        0.733151       0              0              0              0              
93	0	0	14831.8        0.741544       0.741439       0.741544       0.741439       0              0              0              0              
94	0	0	15052.9        0.75023        0.750084       0.75023        0.750084       0              0              0              0              
95	0	0	15182.4        0.759251       0.759088       0.759251       0.759088       0              0              0              0              
96	0	0	15391.5        0.795707       0.768535       0.768643       0.768478       0              0              445.998        403.777        
97	0	0	15609.6        0.778493       0.778306       0.778493       0.778306       0              0              0              0              
98	0	0	15805.4        0.90267        0.7887         0.7888         0.78859        0              0              751.083        586.743        
99	0	0	16013          0.799597       0.799357       0.799597       0.799357       0              0              0              0              
100	0	0	16210.6        0.810899       0.810643       0.810899       0.810643       0              0              0              0              
101	0	0	16431          0.850562       0.822546       0.82278        0.822488       0              0              461.38         408.23         
102	0	0	16708.5        0.8353         0.834967       0.8353         0.834967       0              0              0              0              
103	0	0	16988.1        0.848488       0.848147       0.848488       0.848147       0              0              0              0              
104	0	0	17254.7        0.862545       0.862073       0.862545       0.862073       0              0              0              0              
105	0	0	17544.5        0.877307       0.876823       0.877307       0.876823       0              0              0              0              
106	0	0	17868.4        0.893041       0.892489       0.893041       0.892489       0              0              0              0              
107	0	0	18197          0.909905       0.909175       0.909905       0.909175       0              0              0              0              
108	0	0	18570.1        0.927996       0.92701        0.927996       0.92701        0              0              0              0              
109	0	0	18953.8        0.948186       0.946209       0.948186       0.946209       0              0              0              0              
110	0	0	19377.3        0.972351       0.966626       0.972351       0.966626       0              0              0              0              
111	0	0	19810.2        1.02461        0.988481       0.989273       0.988394       0              0              536.822        450.187        
