i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9654.73        0.483849       0.483859       0.483849       0.483859       0              0              
1	0	0	9717.02        0.485614       0.485625       0.485614       0.485625       0              0              
2	0	0	9714.93        0.487402       0.487412       0.487402       0.487412       0              0              
3	0	0	9771.89        0.570707       0.489296       0.489215       0.489226       567.125        477.911        
4	0	0	9796.72        0.491054       0.491065       0.491054       0.491065       0              0              
5	0	0	9842.36        0.492922       0.492933       0.492922       0.492933       0              0              
6	0	0	9886.29        0.494818       0.49483        0.494818       0.49483        0              0              
7	0	0	9917.24        0.496744       0.496754       0.496744       0.496754       0              0              
8	0	0	9944.25        0.498695       0.498706       0.498695       0.498706       0              0              
9	0	0	10001.5        0.50068        0.500689       0.50068        0.500689       0              0              
10	0	0	10064.9        0.502694       0.502707       0.502694       0.502707       0              0              
11	0	0	10086.8        0.504744       0.504757       0.504744       0.504757       0              0              
12	0	0	10127.8        0.506822       0.506836       0.506822       0.506836       0              0              
13	0	0	10176.6        0.508939       0.50895        0.508939       0.50895        0              0              
14	0	0	10209          0.511086       0.511098       0.511086       0.511098       0              0              
15	0	0	10252.3        0.513265       0.513279       0.513265       0.513279       0              0              
16	0	0	10290.3        0.515486       0.515495       0.515486       0.515495       0              0              
17	0	0	10341.9        0.517736       0.517749       0.517736       0.517749       0              0              
18	0	0	10381.2        0.520032       0.520041       0.520032       0.520041       0              0              
19	0	0	10439.5        0.52236        0.522374       0.52236        0.522374       0              0              
20	0	0	10488.6        0.524737       0.524746       0.524737       0.524746       0              0              
21	0	0	10533.4        0.52715        0.527162       0.52715        0.527162       0              0              
22	0	0	10601.5        0.529606       0.529623       0.529606       0.529623       0              0              
23	0	0	10635          0.532114       0.532125       0.532114       0.532125       0              0              
24	0	0	10676.3        0.534659       0.534672       0.534659       0.534672       0              0              
25	0	0	10725.4        0.537248       0.537261       0.537248       0.537261       0              0              
26	0	0	10760.3        0.539884       0.539897       0.539884       0.539897       0              0              
27	0	0	10851.2        0.542572       0.542586       0.542572       0.542586       0              0              
28	0	0	10888.6        0.545317       0.545328       0.545317       0.545328       0              0              
29	0	0	10961.6        0.548115       0.548124       0.548115       0.548124       0              0              
30	0	0	10991.5        0.550957       0.55097        0.550957       0.55097        0              0              
31	0	0	11063.5        0.553861       0.553872       0.553861       0.553872       0              0              
32	0	0	11142.6        0.556829       0.556841       0.556829       0.556841       0              0              
33	0	0	11172.1        0.559846       0.559863       0.559846       0.559863       0              0              
34	0	0	11211.2        0.562917       0.562939       0.562917       0.562939       0              0              
35	0	0	11296.5        0.566081       0.566083       0.566081       0.566083       0              0              
36	0	0	11364.6        0.569288       0.569297       0.569288       0.569297       0              0              
37	0	0	11443.5        0.572568       0.57258        0.572568       0.57258        0              0              
38	0	0	11492.6        0.57593        0.575933       0.57593        0.575933       0              0              
39	0	0	11553.1        0.579352       0.579358       0.579352       0.579358       0              0              
40	0	0	11652.5        0.582853       0.582867       0.582853       0.582867       0              0              
41	0	0	11731.5        0.586446       0.586455       0.586446       0.586455       0              0              
42	0	0	11760.1        0.590113       0.590123       0.590113       0.590123       0              0              
43	0	0	11842.1        0.593862       0.59387        0.593862       0.59387        0              0              
44	0	0	11926.2        0.5977         0.597706       0.5977         0.597706       0              0              
45	0	0	12020.6        0.601635       0.601644       0.601635       0.601644       0              0              
