i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	10005.6        0.499041       0.499054       0.499041       0.499054       0              0              0              0              
1	0	0	10015.4        0.501034       0.501047       0.501034       0.501047       0              0              0              0              
2	0	0	10046.7        0.503055       0.503069       0.503055       0.503069       0              0              0              0              
3	0	0	10117.8        0.518685       0.505818       0.505111       0.505124       9.48278        5.78634        0              0              
4	0	0	10127.5        0.507197       0.50721        0.507197       0.50721        0              0              0              0              
5	0	0	10153.3        0.509315       0.509326       0.509315       0.509326       0              0              0              0              
6	0	0	10215.2        0.511464       0.511477       0.511464       0.511477       0              0              0              0              
7	0	0	10249.2        0.51365        0.513664       0.51365        0.513664       0              0              0              0              
8	0	0	10294.4        0.515873       0.515886       0.515873       0.515886       0              0              0              0              
9	0	0	10329.9        0.51813        0.518142       0.51813        0.518142       0              0              0              0              
10	0	0	10405.3        0.520429       0.520442       0.520429       0.520442       0              0              0              0              
11	0	0	10414.6        0.522765       0.522779       0.522765       0.522779       0              0              0              0              
12	0	0	10490          0.525143       0.525154       0.525143       0.525154       0              0              0              0              
13	0	0	10531.3        0.527561       0.527574       0.527561       0.527574       0              0              0              0              
14	0	0	10598.8        0.530024       0.53004        0.530024       0.53004        0              0              0              0              
15	0	0	10633.8        0.532534       0.532546       0.532534       0.532546       0              0              0              0              
16	0	0	10670.6        0.535082       0.535096       0.535082       0.535096       0              0              0              0              
17	0	0	10727.1        0.537677       0.537692       0.537677       0.537692       0              0              0              0              
18	0	0	10781.1        0.54033        0.540339       0.54033        0.540339       0              0              0              0              
19	0	0	10881.1        0.543025       0.543039       0.543025       0.543039       0              0              0              0              
20	0	0	10901.9        0.545781       0.545793       0.545781       0.545793       0              0              0              0              
21	0	0	10981          0.548589       0.548602       0.548589       0.548602       0              0              0              0              
22	0	0	11003.1        0.551445       0.551457       0.551445       0.551457       0              0              0              0              
23	0	0	11043.1        0.554355       0.554364       0.554355       0.554364       0              0              0              0              
24	0	0	11132.7        0.557327       0.557335       0.557327       0.557335       0              0              0              0              
25	0	0	11197.5        0.560352       0.560368       0.560352       0.560368       0              0              0              0              
26	0	0	11261.9        0.563451       0.563465       0.563451       0.563465       0              0              0              0              
27	0	0	11284.5        0.566604       0.566619       0.566604       0.566619       0              0              0              0              
28	0	0	11368.6        0.569821       0.56984        0.569821       0.56984        0              0              0              0              
29	0	0	11430.1        0.573116       0.573132       0.573116       0.573132       0              0              0              0              
30	0	0	11505.7        0.576487       0.576496       0.576487       0.576496       0              0              0              0              
31	0	0	11566.5        0.579919       0.579931       0.579919       0.579931       0              0              0              0              
32	0	0	11639.5        0.583437       0.583447       0.583437       0.583447       0              0              0              0              
33	0	0	11729.3        0.587034       0.587044       0.587034       0.587044       0              0              0              0              
34	0	0	11777.7        0.590712       0.590722       0.590712       0.590722       0              0              0              0              
35	0	0	11872.2        0.594488       0.594489       0.594488       0.594489       0              0              0              0              
36	0	0	11916.2        0.598334       0.598341       0.598334       0.598341       0              0              0              0              
37	0	0	12014.1        0.602276       0.602283       0.602276       0.602283       0              0              0              0              
38	0	0	12129.7        0.606336       0.606337       0.606336       0.606337       0              0              0              0              
39	0	0	12191          0.610482       0.610489       0.610482       0.610489       0              0              0              0              
40	0	0	12266.5        0.61473        0.614743       0.61473        0.614743       0              0              0              0              
41	0	0	12344          0.619101       0.619102       0.619101       0.619102       0              0              0              0              
