i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	8383.96        0.419421       0.419425       0.419421       0.419425       0              0              0              0              
1	0	0	8396.14        0.420413       0.420417       0.420413       0.420417       0              0              0              0              
2	0	0	8429.79        0.421417       0.421421       0.421417       0.421421       0              0              0              0              
3	0	0	8436.24        0.42243        0.422433       0.42243        0.422433       0              0              0              0              
4	0	0	8446.94        0.423453       0.423455       0.423453       0.423455       0              0              0              0              
5	0	0	8459.51        0.424483       0.424486       0.424483       0.424486       0              0              0              0              
6	0	0	8489.25        0.425524       0.425527       0.425524       0.425527       0              0              0              0              
7	0	0	8523.32        0.426576       0.426581       0.426576       0.426581       0              0              0              0              
8	0	0	8532.09        0.427642       0.427645       0.427642       0.427645       0              0              0              0              
9	0	0	8566.16        0.428715       0.42872        0.428715       0.42872        0              0              0              0              
10	0	0	8596.89        0.429804       0.429808       0.429804       0.429808       0              0              0              0              
11	0	0	8634.47        0.430905       0.430909       0.430905       0.430909       0              0              0              0              
12	0	0	8646.72        0.432017       0.432021       0.432017       0.432021       0              0              0              0              
13	0	0	8640.51        0.433137       0.433141       0.433137       0.433141       0              0              0              0              
14	0	0	8675.63        0.43427        0.434275       0.43427        0.434275       0              0              0              0              
15	0	0	8711.44        0.435416       0.435422       0.435416       0.435422       0              0              0              0              
16	0	0	8722.01        0.436578       0.43658        0.436578       0.43658        0              0              0              0              
17	0	0	8719.99        0.523461       0.437813       0.437745       0.437748       0              0              554.228        412.922        
18	0	0	8762.13        0.438926       0.43893        0.438926       0.43893        0              0              0              0              
19	0	0	8798.47        0.440124       0.440126       0.440124       0.440126       0              0              0              0              
20	0	0	8817.12        0.441334       0.441336       0.441334       0.441336       0              0              0              0              
21	0	0	8857.27        0.442557       0.442562       0.442557       0.442562       0              0              0              0              
22	0	0	8861.32        0.443796       0.443798       0.443796       0.443798       0              0              0              0              
23	0	0	8887.71        0.445044       0.445049       0.445044       0.445049       0              0              0              0              
24	0	0	8916.39        0.446308       0.446314       0.446308       0.446314       0              0              0              0              
25	0	0	8933.13        0.44759        0.447594       0.44759        0.447594       0              0              0              0              
26	0	0	8961.36        0.448882       0.448887       0.448882       0.448887       0              0              0              0              
27	0	0	9006.05        0.450196       0.450198       0.450196       0.450198       0              0              0              0              
28	0	0	9018.39        0.451519       0.451524       0.451519       0.451524       0              0              0              0              
29	0	0	9041.1         0.452862       0.452864       0.452862       0.452864       0              0              0              0              
30	0	0	9070.25        0.454217       0.45422        0.454217       0.45422        0              0              0              0              
31	0	0	9075.06        0.45559        0.455591       0.45559        0.455591       0              0              0              0              
32	0	0	9118.7         0.456976       0.45698        0.456976       0.45698        0              0              0              0              
33	0	0	9160.06        0.45838        0.458386       0.45838        0.458386       0              0              0              0              
34	0	0	9185.74        0.459803       0.459811       0.459803       0.459811       0              0              0              0              
35	0	0	9218.85        0.461252       0.461254       0.461252       0.461254       0              0              0              0              
36	0	0	9226.02        0.462715       0.462713       0.462715       0.462713       0              0              0              0              
37	0	0	9248.82        0.464183       0.464188       0.464183       0.464188       0              0              0              0              
38	0	0	9308.6         0.465681       0.465684       0.465681       0.465684       0              0              0              0              
39	0	0	9324.14        0.467194       0.467201       0.467194       0.467201       0              0              0              0              
40	0	0	9351.08        0.468734       0.468736       0.468734       0.468736       0              0              0              0              
41	0	0	9391.28        0.470289       0.470291       0.470289       0.470291       0              0              0              0              
42	0	0	9409.61        0.471861       0.471867       0.471861       0.471867       0              0              0              0              
43	0	0	9472.08        0.473459       0.473466       0.473459       0.473466       0              0              0              0              
44	0	0	9492.29        0.475088       0.475087       0.475088       0.475087       0              0              0              0              
45	0	0	9512.45        0.476723       0.476727       0.476723       0.476727       0              0              0              0              
46	0	0	9552.86        0.478385       0.478391       0.478385       0.478391       0              0              0              0              
47	0	0	9585.43        0.480076       0.480077       0.480076       0.480077       0              0              0              0              
48	0	0	9629.64        0.481783       0.481788       0.481783       0.481788       0              0              0              0              
49	0	0	9681.41        0.48352        0.483525       0.48352        0.483525       0              0              0              0              
50	0	0	9714.19        0.485287       0.485288       0.485287       0.485288       0              0              0              0              
51	0	0	9734.84        0.487068       0.487074       0.487068       0.487074       0              0              0              0              
52	0	0	9770.89        0.488884       0.488887       0.488884       0.488887       0              0              0              0              
53	0	0	9794.8         0.490718       0.490723       0.490718       0.490723       0              0              0              0              
54	0	0	9830.31        0.492582       0.492584       0.492582       0.492584       0              0              0              0              
55	0	0	9882.8         0.494467       0.494475       0.494467       0.494475       0              0              0              0              
56	0	0	9924.65        0.496405       0.496397       0.496405       0.496397       0              0              0              0              
57	0	0	9950.2         0.498353       0.498347       0.498353       0.498347       0              0              0              0              
