i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	8421.45        0.421802       0.421806       0.421802       0.421806       0              0              
1	0	0	8475.31        0.422821       0.422824       0.422821       0.422824       0              0              
2	0	0	8485.13        0.42385        0.423854       0.42385        0.423854       0              0              
3	0	0	8470.85        0.424886       0.42489        0.424886       0.42489        0              0              
4	0	0	8524.62        0.425934       0.425938       0.425934       0.425938       0              0              
5	0	0	8527.43        0.426994       0.426997       0.426994       0.426997       0              0              
6	0	0	8573.55        0.428061       0.428067       0.428061       0.428067       0              0              
7	0	0	8554.91        0.429143       0.429147       0.429143       0.429147       0              0              
8	0	0	8570.92        0.43023        0.430235       0.43023        0.430235       0              0              
9	0	0	8617.92        0.431334       0.431337       0.431334       0.431337       0              0              
10	0	0	8630.05        0.432445       0.43245        0.432445       0.43245        0              0              
11	0	0	8669.54        0.433572       0.433576       0.433572       0.433576       0              0              
12	0	0	8679.91        0.434712       0.434714       0.434712       0.434714       0              0              
13	0	0	8697.69        0.43586        0.435864       0.43586        0.435864       0              0              
14	0	0	8729.92        0.437022       0.437026       0.437022       0.437026       0              0              
15	0	0	8766.32        0.438198       0.438203       0.438198       0.438203       0              0              
16	0	0	8793.53        0.439388       0.439392       0.439388       0.439392       0              0              
17	0	0	8790.86        0.440588       0.440595       0.440588       0.440595       0              0              
18	0	0	8850.26        0.441805       0.44181        0.441805       0.44181        0              0              
19	0	0	8861.27        0.443039       0.443041       0.443039       0.443041       0              0              
20	0	0	8863.13        0.444279       0.444284       0.444279       0.444284       0              0              
21	0	0	8898.12        0.445535       0.445538       0.445535       0.445538       0              0              
22	0	0	8933.71        0.446807       0.44681        0.446807       0.44681        0              0              
23	0	0	8958.34        0.448091       0.448096       0.448091       0.448096       0              0              
24	0	0	8982.96        0.449394       0.449398       0.449394       0.449398       0              0              
25	0	0	9001.36        0.450709       0.450715       0.450709       0.450715       0              0              
26	0	0	9006.53        0.452039       0.452043       0.452039       0.452043       0              0              
27	0	0	9061.29        0.453387       0.45339        0.453387       0.45339        0              0              
28	0	0	9086.02        0.45475        0.454753       0.45475        0.454753       0              0              
29	0	0	9131.96        0.456129       0.456136       0.456129       0.456136       0              0              
30	0	0	9143.79        0.457532       0.457533       0.457532       0.457533       0              0              
31	0	0	9193.27        0.458948       0.45895        0.458948       0.45895        0              0              
32	0	0	9213           0.460382       0.460385       0.460382       0.460385       0              0              
33	0	0	9200.56        0.461829       0.461832       0.461829       0.461832       0              0              
34	0	0	9262.91        0.463301       0.463299       0.463301       0.463299       0              0              
35	0	0	9272.99        0.464782       0.464786       0.464782       0.464786       0              0              
36	0	0	9310.23        0.466285       0.466289       0.466285       0.466289       0              0              
37	0	0	9332.65        0.467813       0.467813       0.467813       0.467813       0              0              
38	0	0	9368.73        0.469355       0.469355       0.469355       0.469355       0              0              
39	0	0	9427.01        0.470917       0.470922       0.470917       0.470922       0              0              
40	0	0	9433.27        0.472505       0.472509       0.472505       0.472509       0              0              
41	0	0	9478.47        0.474113       0.474116       0.474113       0.474116       0              0              
42	0	0	9485.74        0.475744       0.475744       0.475744       0.475744       0              0              
43	0	0	9519.69        0.477389       0.477392       0.477389       0.477392       0              0              
44	0	0	9579.15        0.479061       0.479064       0.479061       0.479064       0              0              
45	0	0	9608.88        0.480756       0.480762       0.480756       0.480762       0              0              
46	0	0	9664.1         0.482486       0.482485       0.482486       0.482485       0              0              
47	0	0	9694.42        0.484228       0.484235       0.484228       0.484235       0              0              
48	0	0	9724.73        0.486003       0.486007       0.486003       0.486007       0              0              
49	0	0	9736.94        0.487797       0.487802       0.487797       0.487802       0              0              
50	0	0	9784.08        0.489621       0.489622       0.489621       0.489622       0              0              
51	0	0	9813.17        0.491472       0.49147        0.491472       0.49147        0              0              
52	0	0	9899.52        0.493344       0.493349       0.493344       0.493349       0              0              
53	0	0	9858.86        0.495255       0.495252       0.495255       0.495252       0              0              
54	0	0	9929.26        0.497186       0.497181       0.497186       0.497181       0              0              
55	0	0	9967.49        0.499144       0.499142       0.499144       0.499142       0              0              
56	0	0	10005.4        0.501129       0.501132       0.501129       0.501132       0              0              
57	0	0	10036.3        0.503149       0.503152       0.503149       0.503152       0              0              
58	0	0	10114.1        0.505216       0.505207       0.505216       0.505207       0              0              
59	0	0	10121.9        0.507285       0.507293       0.507285       0.507293       0              0              
60	0	0	10178.3        0.50942        0.509414       0.50942        0.509414       0              0              
61	0	0	10225.1        0.511572       0.511569       0.511572       0.511569       0              0              
62	0	0	10253.1        0.513757       0.513758       0.513757       0.513758       0              0              
63	0	0	10295.5        0.51598        0.515981       0.51598        0.515981       0              0              
64	0	0	10357.2        0.518249       0.518244       0.518249       0.518244       0              0              
65	0	0	10392.2        0.520553       0.520544       0.520553       0.520544       0              0              
66	0	0	10439.9        0.52289        0.522885       0.52289        0.522885       0              0              
67	0	0	10471.5        0.525264       0.525264       0.525264       0.525264       0              0              
68	0	0	10525.5        0.527671       0.527682       0.527671       0.527682       0              0              
69	0	0	10577.5        0.530141       0.530145       0.530141       0.530145       0              0              
70	0	0	10669          0.532665       0.53266        0.532665       0.53266        0              0              
71	0	0	10671.2        0.535222       0.535214       0.535222       0.535214       0              0              
72	0	0	10753.6        0.537816       0.537817       0.537816       0.537817       0              0              
73	0	0	10772.6        0.54047        0.540466       0.54047        0.540466       0              0              
74	0	0	10863.2        0.54317        0.543166       0.54317        0.543166       0              0              
75	0	0	10912.2        0.545934       0.545921       0.545934       0.545921       0              0              
76	0	0	10966.8        0.548738       0.548728       0.548738       0.548728       0              0              
77	0	0	11013.6        0.551588       0.551587       0.551588       0.551587       0              0              
78	0	0	11067.9        0.554505       0.554504       0.554505       0.554504       0              0              
79	0	0	11143.6        0.55749        0.557478       0.55749        0.557478       0              0              
80	0	0	11184.5        0.560531       0.560514       0.560531       0.560514       0              0              
81	0	0	11235.1        0.563622       0.563608       0.563622       0.563608       0              0              
82	0	0	11328.8        0.566777       0.566771       0.566777       0.566771       0              0              
83	0	0	11398.2        0.570027       0.570004       0.570027       0.570004       0              0              
84	0	0	11439.3        0.573323       0.573304       0.573323       0.573304       0              0              
85	0	0	11526          0.576683       0.576675       0.576683       0.576675       0              0              
86	0	0	11557.2        0.580133       0.580118       0.580133       0.580118       0              0              
87	0	0	11661.1        0.583642       0.583639       0.583642       0.583639       0              0              
88	0	0	11757          0.587284       0.587249       0.587284       0.587249       0              0              
89	0	0	11795.6        0.590959       0.590939       0.590959       0.590939       0              0              
90	0	0	11910.1        0.594745       0.59472        0.594745       0.59472        0              0              
91	0	0	11938.3        0.598616       0.598583       0.598616       0.598583       0              0              
92	0	0	12029.3        0.60257        0.602542       0.60257        0.602542       0              0              
93	0	0	12118.9        0.606626       0.606595       0.606626       0.606595       0              0              
94	0	0	12196.2        0.610799       0.610754       0.610799       0.610754       0              0              
95	0	0	12293.2        0.615051       0.615019       0.615051       0.615019       0              0              
96	0	0	12356.7        0.619435       0.619393       0.619435       0.619393       0              0              
97	0	0	12463          0.623927       0.623883       0.623927       0.623883       0              0              
98	0	0	12554.9        0.628532       0.628497       0.628532       0.628497       0              0              
99	0	0	12625.9        0.633267       0.63323        0.633267       0.63323        0              0              
100	0	0	12760.4        0.638161       0.638101       0.638161       0.638101       0              0              
101	0	0	12855.4        0.643162       0.643113       0.643162       0.643113       0              0              
102	0	0	12960.9        0.64832        0.648271       0.64832        0.648271       0              0              
103	0	0	13086.4        0.653647       0.653589       0.653647       0.653589       0              0              
104	0	0	13179.5        0.659135       0.659065       0.659135       0.659065       0              0              
105	0	0	13265          0.664757       0.664699       0.664757       0.664699       0              0              
106	0	0	13417.2        0.670588       0.670519       0.670588       0.670519       0              0              
107	0	0	13537.1        0.676608       0.676529       0.676608       0.676529       0              0              
108	0	0	13663.8        0.682844       0.682737       0.682844       0.682737       0              0              
109	0	0	13799          0.689258       0.689155       0.689258       0.689155       0              0              
110	0	0	13925.1        0.695905       0.695797       0.695905       0.695797       0              0              
111	0	0	14050.6        0.70279        0.702664       0.70279        0.702664       0              0              
112	0	0	14206.2        0.70992        0.709785       0.70992        0.709785       0              0              
113	0	0	14333          0.79874        0.717266       0.717283       0.71716        645.21         509.603        
114	0	0	14503.2        0.724964       0.724819       0.724964       0.724819       0              0              
115	0	0	14666.6        0.732934       0.732779       0.732934       0.732779       0              0              
116	0	0	14819.4        0.741222       0.741054       0.741222       0.741054       0              0              
117	0	0	14986.6        0.749854       0.749666       0.749854       0.749666       0              0              
118	0	0	15185.4        0.758871       0.758646       0.758871       0.758646       0              0              
119	0	0	15358.9        0.768233       0.768015       0.768233       0.768015       0              0              
120	0	0	15574.3        0.778072       0.777808       0.778072       0.777808       0              0              
121	0	0	15771.8        0.788316       0.788057       0.788316       0.788057       0              0              
122	0	0	15976.4        0.799098       0.798783       0.799098       0.798783       0              0              
123	0	0	16221.6        0.810398       0.81005        0.810398       0.81005        0              0              
124	0	0	16448.1        0.822257       0.821887       0.822257       0.821887       0              0              
125	0	0	16700.8        0.834771       0.834347       0.834771       0.834347       0              0              
126	0	0	16988          0.847953       0.8475         0.847953       0.8475         0              0              
127	0	0	17236.3        0.86192        0.861399       0.86192        0.861399       0              0              
128	0	0	17521.8        0.876679       0.876101       0.876679       0.876101       0              0              
129	0	0	17865.9        0.8924         0.891727       0.8924         0.891727       0              0              
130	0	0	18187.7        0.909134       0.908368       0.909134       0.908368       0              0              
131	0	0	18545.6        0.926946       0.926119       0.926946       0.926119       0              0              
132	0	0	18932.6        0.946099       0.945134       0.946099       0.945134       0              0              
133	0	0	19339.6        0.966634       0.965562       0.966634       0.965562       0              0              
134	0	0	19769.2        0.988825       0.987576       0.988825       0.987576       0              0              
135	0	0	20294          1.01289        1.01143        1.01289        1.01143        0              0              
136	0	0	20784.5        1.03913        1.0374         1.03913        1.0374         0              0              
137	0	0	21370.5        1.06782        1.06577        1.06782        1.06577        0              0              
138	0	0	21982.1        1.09952        1.09699        1.09952        1.09699        0              0              
139	0	0	22694.4        1.13458        1.13157        1.13458        1.13157        0              0              
140	0	0	23468.5        1.17391        1.17019        1.17391        1.17019        0              0              
141	0	0	24330.1        1.21834        1.21369        1.21834        1.21369        0              0              
