i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	8896.04        0.445315       0.445322       0.445315       0.445322       0              0              
1	0	0	8924.04        0.446584       0.44659        0.446584       0.44659        0              0              
2	0	0	8933.57        0.447866       0.447872       0.447866       0.447872       0              0              
3	0	0	8940.24        0.449162       0.449167       0.449162       0.449167       0              0              
4	0	0	8991.74        0.450472       0.450478       0.450472       0.450478       0              0              
5	0	0	9014.65        0.451798       0.451805       0.451798       0.451805       0              0              
6	0	0	9068.38        0.453142       0.453149       0.453142       0.453149       0              0              
7	0	0	9078.4         0.454507       0.454511       0.454507       0.454511       0              0              
8	0	0	9100.18        0.455881       0.455887       0.455881       0.455887       0              0              
9	0	0	9144.13        0.457275       0.457281       0.457275       0.457281       0              0              
10	0	0	9147.02        0.458684       0.458691       0.458684       0.458691       0              0              
11	0	0	9171.42        0.460109       0.460116       0.460109       0.460116       0              0              
12	0	0	9229.47        0.461558       0.461563       0.461558       0.461563       0              0              
13	0	0	9269.88        0.463024       0.463029       0.463024       0.463029       0              0              
14	0	0	9272.68        0.464506       0.464512       0.464506       0.464512       0              0              
15	0	0	9298.52        0.466008       0.466013       0.466008       0.466013       0              0              
16	0	0	9342.67        0.467524       0.467533       0.467524       0.467533       0              0              
17	0	0	9387.76        0.469068       0.469076       0.469068       0.469076       0              0              
18	0	0	9396.68        0.470631       0.470638       0.470631       0.470638       0              0              
19	0	0	9440.45        0.472209       0.472222       0.472209       0.472222       0              0              
20	0	0	9462.31        0.473816       0.473824       0.473816       0.473824       0              0              
21	0	0	9479.15        0.475438       0.475446       0.475438       0.475446       0              0              
22	0	0	9531.87        0.477084       0.477092       0.477084       0.477092       0              0              
23	0	0	9574.81        0.478756       0.47876        0.478756       0.47876        0              0              
24	0	0	9584.57        0.48045        0.480454       0.48045        0.480454       0              0              
25	0	0	9614.18        0.48216        0.482166       0.48216        0.482166       0              0              
26	0	0	9677.97        0.483901       0.483906       0.483901       0.483906       0              0              
27	0	0	9703.26        0.485664       0.485671       0.485664       0.485671       0              0              
28	0	0	9718.25        0.487456       0.48746        0.487456       0.48746        0              0              
29	0	0	9782.09        0.489272       0.489276       0.489272       0.489276       0              0              
30	0	0	9844.35        0.491115       0.491122       0.491115       0.491122       0              0              
31	0	0	9871.6         0.492993       0.492998       0.492993       0.492998       0              0              
32	0	0	9898.33        0.494888       0.494899       0.494888       0.494899       0              0              
33	0	0	9939.61        0.496822       0.496827       0.496822       0.496827       0              0              
34	0	0	9971.5         0.498782       0.498785       0.498782       0.498785       0              0              
35	0	0	9975.05        0.500765       0.500767       0.500765       0.500767       0              0              
36	0	0	10064.3        0.502777       0.502784       0.502777       0.502784       0              0              
37	0	0	10110.1        0.50483        0.504838       0.50483        0.504838       0              0              
38	0	0	10124.8        0.506913       0.506918       0.506913       0.506918       0              0              
39	0	0	10172.8        0.509027       0.509035       0.509027       0.509035       0              0              
40	0	0	10208.5        0.511179       0.511182       0.511179       0.511182       0              0              
41	0	0	10230.6        0.513358       0.513362       0.513358       0.513362       0              0              
42	0	0	10268          0.515571       0.515575       0.515571       0.515575       0              0              
43	0	0	10376.3        0.517822       0.517833       0.517822       0.517833       0              0              
44	0	0	10380.9        0.520124       0.52013        0.520124       0.52013        0              0              
45	0	0	10418.4        0.522448       0.52246        0.522448       0.52246        0              0              
46	0	0	10490.1        0.524826       0.524833       0.524826       0.524833       0              0              
47	0	0	10522.9        0.527241       0.527246       0.527241       0.527246       0              0              
48	0	0	10570.4        0.529693       0.529703       0.529693       0.529703       0              0              
49	0	0	10644.2        0.532204       0.532206       0.532204       0.532206       0              0              
50	0	0	10679.2        0.534753       0.534753       0.534753       0.534753       0              0              
51	0	0	10735.8        0.537347       0.537348       0.537347       0.537348       0              0              
52	0	0	10774          0.539986       0.539988       0.539986       0.539988       0              0              
53	0	0	10824.1        0.54267        0.542676       0.54267        0.542676       0              0              
54	0	0	10866.8        0.545409       0.545413       0.545409       0.545413       0              0              
55	0	0	10938.3        0.548208       0.548205       0.548208       0.548205       0              0              
56	0	0	10981.4        0.551052       0.551048       0.551052       0.551048       0              0              
57	0	0	11063.2        0.553947       0.553951       0.553947       0.553951       0              0              
58	0	0	11143.2        0.55692        0.556918       0.55692        0.556918       0              0              
59	0	0	11166.3        0.559945       0.559942       0.559945       0.559942       0              0              
60	0	0	11234.3        0.563019       0.563025       0.563019       0.563025       0              0              
61	0	0	11343.3        0.566185       0.566181       0.566185       0.566181       0              0              
62	0	0	11384.2        0.569395       0.569402       0.569395       0.569402       0              0              
63	0	0	11450.1        0.572694       0.572695       0.572694       0.572695       0              0              
64	0	0	11496.5        0.576055       0.576052       0.576055       0.576052       0              0              
65	0	0	11580.2        0.579491       0.579484       0.579491       0.579484       0              0              
66	0	0	11669.8        0.583006       0.582999       0.583006       0.582999       0              0              
67	0	0	11711.4        0.586593       0.58659        0.586593       0.58659        0              0              
68	0	0	11814.6        0.590269       0.590268       0.590269       0.590268       0              0              
69	0	0	11875.6        0.594039       0.594031       0.594039       0.594031       0              0              
70	0	0	11938.1        0.597891       0.597879       0.597891       0.597879       0              0              
71	0	0	11990.4        0.601822       0.601813       0.601822       0.601813       0              0              
72	0	0	12123.4        0.605871       0.605852       0.605871       0.605852       0              0              
73	0	0	12153.3        0.609995       0.609988       0.609995       0.609988       0              0              
74	0	0	12260          0.614243       0.614226       0.614243       0.614226       0              0              
75	0	0	12350          0.618595       0.618578       0.618595       0.618578       0              0              
76	0	0	12450.8        0.623058       0.623046       0.623058       0.623046       0              0              
77	0	0	12538.3        0.627659       0.627637       0.627659       0.627637       0              0              
78	0	0	12612.2        0.632378       0.632347       0.632378       0.632347       0              0              
79	0	0	12713.1        0.637207       0.637186       0.637207       0.637186       0              0              
80	0	0	12847.6        0.642203       0.642169       0.642203       0.642169       0              0              
81	0	0	12937.3        0.647339       0.647299       0.647339       0.647299       0              0              
82	0	0	13022.9        0.652617       0.652573       0.652617       0.652573       0              0              
83	0	0	13166.9        0.658065       0.658015       0.658065       0.658015       0              0              
84	0	0	13259.8        0.663661       0.663625       0.663661       0.663625       0              0              
85	0	0	13396.3        0.66944        0.669404       0.66944        0.669404       0              0              
86	0	0	13504.2        0.675407       0.675375       0.675407       0.675375       0              0              
87	0	0	13649.1        0.681584       0.681547       0.681584       0.681547       0              0              
88	0	0	13771.1        0.687986       0.687926       0.687986       0.687926       0              0              
89	0	0	13881.1        0.694572       0.694513       0.694572       0.694513       0              0              
90	0	0	14040.3        0.734252       0.701388       0.701418       0.701337       462.909        388.567        
91	0	0	14163.3        0.708487       0.708402       0.708487       0.708402       0              0              
92	0	0	14324.8        0.715838       0.715731       0.715838       0.715731       0              0              
93	0	0	14473.6        0.723432       0.723336       0.723432       0.723336       0              0              
94	0	0	14635.5        0.731347       0.73124        0.731347       0.73124        0              0              
95	0	0	14785.5        0.739555       0.739447       0.739555       0.739447       0              0              
96	0	0	14974          0.748127       0.747997       0.748127       0.747997       0              0              
97	0	0	15159.2        0.757047       0.75691        0.757047       0.75691        0              0              
98	0	0	15343.5        0.766348       0.766207       0.766348       0.766207       0              0              
99	0	0	15533.1        0.776073       0.775918       0.776073       0.775918       0              0              
100	0	0	15732          0.786268       0.78607        0.786268       0.78607        0              0              
101	0	0	15923.1        0.796893       0.79669        0.796893       0.79669        0              0              
102	0	0	16158.1        0.808039       0.807836       0.808039       0.807836       0              0              
103	0	0	16393.7        0.819799       0.819542       0.819799       0.819542       0              0              
104	0	0	16666.9        0.832154       0.831876       0.832154       0.831876       0              0              
105	0	0	16924.5        0.845204       0.844887       0.845204       0.844887       0              0              
106	0	0	17195.1        0.858967       0.858625       0.858967       0.858625       0              0              
107	0	0	17470.8        0.873534       0.873158       0.873534       0.873158       0              0              
108	0	0	17792.5        0.889042       0.888586       0.889042       0.888586       0              0              
109	0	0	18103.9        0.905481       0.904986       0.905481       0.904986       0              0              
110	0	0	18482.6        0.923075       0.92249        0.923075       0.92249        0              0              
111	0	0	18841.7        0.941882       0.941215       0.941882       0.941215       0              0              
112	0	0	19229.8        0.96206        0.961304       0.96206        0.961304       0              0              
113	0	0	19669.8        0.983811       0.982924       0.983811       0.982924       0              0              
114	0	0	20167.9        1.00733        1.00634        1.00733        1.00634        0              0              
115	0	0	20666.7        1.033          1.03177        1.033          1.03177        0              0              
116	0	0	21221          1.06094        1.05954        1.06094        1.05954        0              0              
117	0	0	21838.1        1.11191        1.09007        1.09172        1.09001        455.729        412.416        
118	0	0	22523.4        1.12579        1.12371        1.12579        1.12371        0              0              
119	0	0	23286.7        1.16381        1.16125        1.16381        1.16125        0              0              
120	0	0	24131.7        1.20661        1.20343        1.20661        1.20343        0              0              
121	0	0	25080.5        1.25535        1.25126        1.25535        1.25126        0              0              
122	0	0	26194.2        1.31151        1.30624        1.31151        1.30624        0              0              
123	0	0	27464.4        1.37747        1.37039        1.37747        1.37039        0              0              
124	0	0	28998.2        1.45667        1.44673        1.45667        1.44673        0              0              
125	0	0	30896.5        1.55492        1.54009        1.55492        1.54009        0              0              
126	0	0	33287.6        1.68292        1.65877        1.68292        1.65877        0              0              
127	0	0	36534.9        1.87889        1.82041        1.87889        1.82041        0              0              
128	0	0	41340.6        2.28022        2.06386        2.28022        2.06386        0              0              
129	0	0	48513.1        3.16725        2.45837        3.16725        2.45837        0              0              
130	0	0	56584.1        4.53742        3.05225        4.53742        3.05225        0              0              
131	0	0	60799.3        6.62446        3.93064        6.62446        3.93064        0              0              
132	0	0	49345          8.55523        4.84598        8.54635        4.84587        457.139        405.957        
133	0	0	28915.5        10.1615        5.7701         10.1615        5.7701         0              0              
