i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9730.19        0.487519       0.48753        0.487519       0.48753        0              0              
1	0	0	9739.51        0.489331       0.48934        0.489331       0.48934        0              0              
2	0	0	9809.89        0.49117        0.491182       0.49117        0.491182       0              0              
3	0	0	9841.59        0.493041       0.493052       0.493041       0.493052       0              0              
4	0	0	9906.6         0.494942       0.494953       0.494942       0.494953       0              0              
5	0	0	9932.02        0.49687        0.49688        0.49687        0.49688        0              0              
6	0	0	9964.71        0.498829       0.498838       0.498829       0.498838       0              0              
7	0	0	9992.63        0.500811       0.500822       0.500811       0.500822       0              0              
8	0	0	10050.5        0.502831       0.50284        0.502831       0.50284        0              0              
9	0	0	10083.7        0.504877       0.504888       0.504877       0.504888       0              0              
10	0	0	10120.9        0.506959       0.506969       0.506959       0.506969       0              0              
11	0	0	10161.9        0.50907        0.509082       0.50907        0.509082       0              0              
12	0	0	10201.8        0.511217       0.511229       0.511217       0.511229       0              0              
13	0	0	10248.3        0.513397       0.513411       0.513397       0.513411       0              0              
14	0	0	10266.2        0.515614       0.515626       0.515614       0.515626       0              0              
15	0	0	10341          0.517866       0.51788        0.517866       0.51788        0              0              
16	0	0	10379.3        0.520162       0.520173       0.520162       0.520173       0              0              
17	0	0	10440.8        0.522494       0.522507       0.522494       0.522507       0              0              
18	0	0	10472.3        0.524869       0.52488        0.524869       0.52488        0              0              
19	0	0	10515.8        0.527282       0.527292       0.527282       0.527292       0              0              
20	0	0	10557.3        0.529734       0.529745       0.529734       0.529745       0              0              
21	0	0	10632.7        0.532235       0.532247       0.532235       0.532247       0              0              
22	0	0	10690.5        0.534783       0.534796       0.534783       0.534796       0              0              
23	0	0	10729.7        0.537378       0.537389       0.537378       0.537389       0              0              
24	0	0	10801.5        0.540022       0.540033       0.540022       0.540033       0              0              
25	0	0	10833.7        0.542717       0.542725       0.542717       0.542725       0              0              
26	0	0	10890.5        0.545456       0.545468       0.545456       0.545468       0              0              
27	0	0	10930.6        0.548248       0.548261       0.548248       0.548261       0              0              
28	0	0	11005.7        0.5511         0.55111        0.5511         0.55111        0              0              
29	0	0	11056.8        0.554001       0.554016       0.554001       0.554016       0              0              
30	0	0	11130.8        0.556974       0.556981       0.556974       0.556981       0              0              
31	0	0	11200.7        0.559995       0.560009       0.559995       0.560009       0              0              
32	0	0	11225.2        0.563085       0.563094       0.563085       0.563094       0              0              
33	0	0	11293          0.566237       0.566241       0.566237       0.566241       0              0              
34	0	0	11393.1        0.569448       0.569463       0.569448       0.569463       0              0              
35	0	0	11446.1        0.572743       0.572751       0.572743       0.572751       0              0              
36	0	0	11494.3        0.576101       0.576109       0.576101       0.576109       0              0              
37	0	0	11563.3        0.579526       0.57954        0.579526       0.57954        0              0              
38	0	0	11633          0.583033       0.583044       0.583033       0.583044       0              0              
39	0	0	11712.1        0.586623       0.586632       0.586623       0.586632       0              0              
40	0	0	11794.9        0.5903         0.590306       0.5903         0.590306       0              0              
41	0	0	11863.6        0.594056       0.594064       0.594056       0.594064       0              0              
42	0	0	11933.3        0.597909       0.597912       0.597909       0.597912       0              0              
43	0	0	12007.5        0.601833       0.601848       0.601833       0.601848       0              0              
44	0	0	12108.8        0.605874       0.605886       0.605874       0.605886       0              0              
45	0	0	12192.7        0.610018       0.610027       0.610018       0.610027       0              0              
46	0	0	12244.8        0.614267       0.614268       0.614267       0.614268       0              0              
47	0	0	12351.8        0.618618       0.618618       0.618618       0.618618       0              0              
48	0	0	12440.4        0.623084       0.623085       0.623084       0.623085       0              0              
49	0	0	12543.7        0.627673       0.627676       0.627673       0.627676       0              0              
50	0	0	12618.4        0.632378       0.632388       0.632378       0.632388       0              0              
51	0	0	12722.5        0.637221       0.637229       0.637221       0.637229       0              0              
52	0	0	12853.7        0.642221       0.642217       0.642221       0.642217       0              0              
53	0	0	12957.9        0.647363       0.647351       0.647363       0.647351       0              0              
54	0	0	13048.1        0.652642       0.652639       0.652642       0.652639       0              0              
55	0	0	13137.7        0.658081       0.658074       0.658081       0.658074       0              0              
56	0	0	13260.7        0.663681       0.663677       0.663681       0.663677       0              0              
57	0	0	13365.2        0.669478       0.669453       0.669478       0.669453       0              0              
58	0	0	13520.7        0.675425       0.675421       0.675425       0.675421       0              0              
